Ligand,Bite Angle (Â°),Cone Angle (Â°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Ea
WOKYUS,96.43,197.94,2.06,8.3,7.98,31.2,23.4,17.3,642.43,-3.9525,-1.4879,2.06,1.88,1.88,-0.1515,-0.1208,0.0649,0.1286,1.8878,2.9976,1.949,2.1146,29.0302,7.3647,8.5346,8.4434,0.8913,0.3167,0.5204,3.0211,3.8599,1.1967,1.4245,6.3966,12.4972,4.1463,4.1958,4.155,10.2574,2.0077,2.0394,2.0625,2.0628,2.0849,1.5287,0.0726,0.0179,0.0119,0.0167,0.0115,1.4081,1.4891,0.0826,0.0208,0.0176,0.0121,0.0191,17.7
WOLJUF,83.93,187.8,1.68,6.33,8.6,32.1,20.9,11.9,488.71,-4.4752,-2.2911,1.89,2.22,1.81,-0.0337,-0.1018,0.2149,0.1172,2.152,3.1136,3.4729,2.0964,29.1324,7.2624,7.0236,8.4095,0.9816,0.7477,0.2253,3.014,3.8394,1.3452,1.1229,6.4141,12.4936,4.1965,4.1815,4.1156,10.1256,1.9883,2.0507,2.0336,2.0068,2.0462,1.1918,0.2767,0.0271,0.0728,0.0697,0.0417,1.4199,1.4303,0.0705,0.0235,0.0115,0.0088,0.0158,22.3
WOMHUD,65.41,234.72,2.39,7.37,5.62,47.5,33.9,18.7,564.33,-3.5706,-1.4629,2.01,1.97,1.9,-0.1072,-0.0917,0.1221,0.1439,2.7315,2.9484,2.8629,2.9439,29.0863,7.3159,7.25,7.164,0.7819,0.4602,0.5263,3.0248,3.8281,1.3227,1.1768,6.3426,12.5713,4.1389,4.2132,4.2192,10.1928,2.0458,1.9898,2.0025,2.0367,2.118,1.235,0.2271,0.028,0.0582,0.0535,0.0373,1.33,1.1612,0.2345,0.0432,0.0487,0.0562,0.0388,33.6
WONLUJ02,88.61,203.52,1.59,8.53,7.4,36.2,24.9,15.1,580.23,-4.2978,-2.8928,2,1.93,1.84,-0.0357,-0.0475,0.1329,-0.2256,2.4391,3.1639,2.942,2.8087,29.0441,7.2377,7.2086,7.5162,0.8998,0.4672,0.7193,3.0227,3.7771,1.2973,1.3331,6.398,12.5311,4.0817,4.2,4.2495,10.1061,2.0004,2.0012,2.0541,2.0245,2.0257,1.1274,0.2938,0.048,0.0742,0.0583,0.0661,1.2146,1.3096,0.1866,0.0379,0.0357,0.0375,0.0588,25.3
WONWIH,82.72,180.8,3.88,7.7,8.63,37.8,32.1,24.1,674.2,-3.8368,-1.1526,1.97,2.05,1.85,-0.1548,-0.1154,-0.0935,0.1693,1.9669,3.0623,1.7847,1.9907,29.1336,7.275,8.6778,8.4209,0.9406,0.5847,0.2699,3.018,3.8543,1.3495,1.272,6.4411,12.4419,4.1687,4.1296,4.1436,10.2715,2.0626,2.0403,2.0579,2.0581,2.0526,1.5235,0.0642,0.0188,0.0124,0.0104,0.0122,1.3964,1.5706,0.0796,0.0153,0.0193,0.0182,0.0109,20.9
WOQCUC,85.09,187.46,3.02,6.14,8.81,31.2,25.1,17.3,589.38,-3.6375,-2.0224,1.97,1.93,1.84,-0.1383,-0.1185,-0.0743,0.1699,2.0918,3.0494,1.7983,2.1098,29.0948,7.315,8.6517,8.4009,0.9404,0.4716,0.469,3.0184,3.8535,1.3294,1.2011,6.4082,12.4796,4.1751,4.1667,4.1378,10.2502,2.0275,2.0768,2.0584,2.0682,2.0193,1.4666,0.0652,0.0199,0.0088,0.0105,0.0112,1.3482,1.5999,0.0816,0.0134,0.0193,0.0175,0.0109,17.6
WOQXIL,93.5,210.3,1.73,6.3,9.36,35,23.5,12.9,519.4,-3.8308,-2.401,1.92,1.96,1.87,-0.1482,-0.1135,0.1515,0.0648,2.1431,3.0226,2.0754,3.2501,29.1108,7.3284,8.4283,6.9817,0.9144,0.4066,0.6039,3.0185,3.8555,1.3211,1.2259,6.3932,12.5262,4.1559,4.1933,4.177,10.2285,2.0082,2.0723,2.0584,2.0431,2.0465,1.5468,0.0833,0.0192,0.0207,0.0119,0.0189,1.1721,1.2714,0.3327,0.0544,0.0583,0.097,0.0549,20.3
WOTZUD,84.22,204.71,1.74,5.75,8.76,36.1,25.6,15.9,572.42,-4.3398,-2.8822,1.98,1.97,1.81,-0.0561,-0.0612,0.2113,0.2086,2.4954,3.1919,3.2589,3.2537,29.1957,7.2131,7.1338,7.1356,0.9861,0.6119,0.6137,3.0147,3.792,1.3242,1.1656,6.3674,12.5681,4.1789,4.2038,4.1855,10.1203,2.0208,2.032,2.0355,1.9892,2.0429,1.2931,0.2521,0.0348,0.0557,0.063,0.0371,1.2197,1.1247,0.2527,0.0509,0.0401,0.0587,0.0386,22.5
WOVXIO,57.24,145.36,1.78,9.85,8.55,27,18.5,10.3,572.42,-4.589,-2.5199,3.29,1.97,1.85,0.0169,-0.1217,0.0001,0.0455,1.6735,3.035,3.0865,3.3538,29.1131,7.3028,7.4632,7.3895,0.9521,0,0.6216,3.018,3.8663,1.3738,1.3304,6.5049,12.3691,4.0354,4.1372,4.1965,10.1088,2.0244,2.0315,1.9902,1.9996,2.0631,1.2059,0.1388,0.0357,0.0235,0.0319,0.038,1.1683,1.2553,0.1603,0.0459,0.0238,0.0315,0.0409,25.6
WUBDAY01,82.12,180.96,2.21,7.69,12.59,28.3,19.4,13.5,689.75,-4.3236,-2.6082,1.97,2.04,1.8,-0.0845,-0.0998,0.1384,0.1698,1.9338,3.1203,2.0768,2.1466,29.0043,7.2997,8.4384,8.364,0.9845,0.4239,0.3336,3.0121,3.8342,1.3041,1.1512,6.3988,12.4797,4.1844,4.1793,4.116,10.2057,2.0082,2.065,2.0412,2.0391,2.0521,1.5598,0.0778,0.0147,0.0224,0.011,0.0183,1.4645,1.4505,0.0753,0.0242,0.0115,0.0116,0.0136,16.3
WUGROI,71.37,209.6,2.08,9.56,7.41,33.9,26.4,16.1,611.77,-4.3969,-1.6942,1.87,2.8,1.84,-0.0309,-0.1193,0.1489,0.1173,1.8516,3.0348,3.4313,2.939,29.2335,7.2927,7.0139,7.1394,0.8988,0.7604,0,3.0152,3.8645,1.375,1.2125,6.4893,12.4064,4.1358,4.1312,4.1394,10.1349,2.0246,1.9993,2.0207,2.04,2.0502,1.1488,0.2582,0.046,0.0533,0.052,0.0412,1.2932,1.1742,0.3024,0.0385,0.0605,0.0766,0.0475,22.7
WUKQIC,82.16,227.68,2,7.73,8.63,38.5,28.8,17.7,599.65,-4.1708,-2.2307,2.03,1.97,1.86,-0.1069,-0.0974,0.1449,0.1413,2.181,3.0816,3.0903,2.1,29.1049,7.3001,7.0552,8.4462,0.9463,0.5376,0.4232,3.0193,3.8367,1.3026,1.2567,6.3807,12.4763,4.1417,4.177,4.1576,10.2496,2.0007,2.0723,2.0633,2.0499,2.0635,1.3636,0.2929,0.0479,0.0672,0.0591,0.045,1.4317,1.4717,0.079,0.0239,0.0151,0.0103,0.0185,10.2
WUKXUV,95.86,238.17,3.04,11.18,12.17,43.8,32.1,20.3,884.04,-3.7787,-0.9514,2,1.95,1.96,-0.1733,-0.1055,0.1757,0.0514,1.9418,2.8882,3.1764,2.0162,29.0517,7.4303,7.1959,8.5185,0.6875,0.5172,0.5184,3.0355,3.8382,1.3434,1.1275,6.3768,12.4884,4.213,4.1955,4.08,10.3078,2.0912,2.0497,2.0352,2.0795,2.0522,1.2285,0.2518,0.0734,0.0568,0.025,0.067,1.4226,1.6056,0.0763,0.0242,0.0173,0.0042,0.026,23.3
WUQKAW01,101.39,209.05,1.98,7.47,7.58,34.1,24.5,17,594.92,-4.2009,-2.8352,1.89,1.87,1.85,0.0484,-0.0219,0.1065,-0.1167,2.6482,3.1727,2.0553,1.9315,28.9521,7.154,8.4553,8.5761,0.9095,0.5277,0.7582,3.0327,3.7434,1.2892,1.2012,6.366,12.5134,4.2139,4.1734,4.1261,10.0717,2.1156,1.9823,2.0411,1.9593,1.9733,1.44,0.0821,0.0159,0.0122,0.022,0.0098,1.4758,1.5236,0.0694,0.0222,0.0124,0.0084,0.0152,30.8
WURQAC,82.08,233.52,1.93,10.25,8.45,37.9,27.1,16.4,651.4,-4.2648,-2.5073,1.99,2.01,1.85,-0.1004,-0.0986,0.1465,0.1355,2.2292,3.09,2.1052,3.1996,29.1134,7.3184,8.4305,6.9913,0.9638,0.4123,0.5641,3.0196,3.8372,1.2482,1.4172,6.3832,12.4851,4.1424,4.2091,4.1335,10.2318,1.991,2.0722,2.0564,2.0606,2.0517,1.4748,0.0783,0.0174,0.0077,0.0197,0.0108,1.1339,1.3237,0.3028,0.0368,0.0676,0.0606,0.0522,11.6
WUTDUL,79.79,186.83,2.54,12.22,8.06,30.5,25,19.4,828.79,-4.4411,-1.5547,2.35,1.86,1.81,-0.058,-0.1156,0.1478,0.0967,2.058,3.0951,2.1013,3.3506,29.1959,7.27,8.3806,6.8401,1.0135,0.1569,0.7113,3.0135,3.8569,1.2405,1.2297,6.4545,12.4735,4.1358,4.2093,4.1284,10.1296,2.0046,2.0408,2.009,2.0218,2.0533,1.4946,0.0683,0.018,0.0063,0.0169,0.0085,1.1609,1.2222,0.3289,0.0606,0.0465,0.0911,0.0426,27.2
WUVWIT,92.06,189.45,2.37,11.24,11.53,35.8,26.3,16.3,715.64,-3.682,0.065,1.95,2.1,1.91,-0.1777,-0.1337,-0.0488,0.1514,1.8729,2.9681,1.8986,2.0779,29.1432,7.3747,8.6089,8.3803,0.8755,0.6735,0.2156,3.031,3.8678,1.2578,1.2152,6.4506,12.4247,4.2001,4.1586,4.066,10.3021,2.0279,2.0805,2.0593,2.0991,2.0353,1.5616,0.0688,0.011,0.0188,0.0144,0.009,1.3708,1.4815,0.0753,0.0196,0.0151,0.0143,0.0141,19.6
WUVWOB,48.6,140.92,2.4,8.18,8.4,25.3,23.9,20.8,711.91,-4.3287,0.601,1.87,2.95,1.84,-0.0432,-0.1356,0.0528,0.0112,1.6611,3.0388,1.9947,2.0475,29.1663,7.2838,8.5293,8.4514,0.9563,0.6323,0,3.0212,3.8728,1.2386,1.2081,6.5484,12.3617,4.1593,4.1347,4.0677,10.1327,1.9723,2.0234,2.033,2.0801,2.024,1.4383,0.0773,0.0165,0.0083,0.0229,0.0117,1.4791,1.5758,0.0641,0.0043,0.0199,0.0151,0.0084,24.6
WUYPAI,86.77,186.12,1.55,4.77,5.79,31.5,21.7,9.5,429.28,-4.1724,-1.2795,1.91,2.09,1.85,-0.0452,-0.1266,0.167,0.1879,1.9056,3.0122,2.1261,2.097,28.9769,7.3689,8.3358,8.3382,0.941,0.4763,0.2475,3.0218,3.8652,1.3153,1.3774,6.4031,12.4087,4.0768,4.1739,4.1581,10.2331,2.0163,2.0422,2.0575,2.0303,2.0868,1.4159,0.0835,0.0214,0.0204,0.005,0.0318,1.4564,1.6018,0.0782,0.0235,0.0189,0.0041,0.0256,14.6
XABCUZ,96.21,219.19,2.17,7.68,9.3,39.3,29.2,17.6,591.32,-3.9242,-2.0303,1.92,1.97,1.88,-0.2006,-0.1097,0.1069,0.1815,2.1535,3.0128,2.0808,3.1745,29.1433,7.3278,8.4634,7.0933,0.8892,0.4884,0.5355,3.0182,3.8496,1.2889,1.1511,6.3787,12.5547,4.1752,4.1932,4.1863,10.2669,2.0119,2.0337,2.0645,2.0841,2.0727,1.4997,0.0805,0.0214,0.0172,0.0119,0.0183,1.2451,1.1169,0.2472,0.0499,0.0484,0.0502,0.053,22.1
XACSOL,87.35,193.36,2.46,6.56,9.03,32.5,23.2,15.1,545.2,-4.1723,-2.7155,1.9,1.91,1.84,0.0167,-0.0521,-0.0859,0.1247,2.5762,3.1821,1.8755,2.0307,29.0123,7.2295,8.5997,8.4276,0.9574,0.7695,0.4859,3.0333,3.7726,1.24,1.3056,6.3832,12.4939,4.1655,4.1315,4.197,10.1056,2.0468,1.9646,1.9971,2.0718,2.0253,1.4865,0.0674,0.0187,0.0115,0.0118,0.0129,1.3657,1.5367,0.0838,0.0171,0.0123,0.0244,0.0095,27.2
XAFSIG,83.08,225.56,2.38,7.77,8.67,38.2,28.9,19.9,657.1,-4.4508,-2.8739,1.97,1.95,1.84,-0.0109,-0.0665,0.1345,0.1393,2.4405,3.1819,2.1008,3.1577,29.0936,7.2372,8.4565,7.0675,0.9715,0.4647,0.6814,3.0226,3.7986,1.2911,1.2355,6.3627,12.4972,4.1685,4.1687,4.16,10.1506,1.9614,2.0758,2.0643,2.0559,1.9931,1.4759,0.0778,0.0234,0.0156,0.0092,0.0194,1.1156,1.3612,0.2979,0.0512,0.0711,0.0624,0.0463,15.1
XALNEF,85.45,216.09,1.84,7.94,7.94,46.1,34.7,22.8,603.15,-5.7116,-3.3873,1.86,2.43,1.81,0.0988,0.0535,0.0252,0.1406,2.8923,3.3024,1.9897,2.0563,28.8673,7.0765,8.4974,8.4248,1.0993,0.7303,0.1088,3.0377,3.6499,1.185,1.1537,6.3221,12.54,4.2058,4.2085,4.1257,10.0384,1.6998,2.0682,2.1052,2.1093,2.0559,1.5209,0.0748,0.0098,0.0133,0.0213,0.0118,1.4189,1.5202,0.0663,0.0053,0.0159,0.0186,0.0081,5
XALSAG,96.64,194.16,3.2,8.66,7.97,37.8,32.7,24.5,699.59,-4.2169,-2.0803,2.04,2.01,1.87,-0.0979,-0.1188,0.2056,0.1879,1.879,3.0275,2.1263,2.0663,28.9712,7.3681,8.3687,8.4152,0.9505,0.3712,0.3047,3.0246,3.857,1.1915,1.3699,6.372,12.4311,4.1897,4.1386,4.1028,10.2944,2.0343,2.0772,2.0506,2.0618,2.0705,1.3748,0.0766,0.0156,0.023,0.0085,0.02,1.3569,1.6027,0.0796,0.003,0.022,0.0187,0.0102,13.5
XALVUB,80.71,226.63,1.81,11.84,6.21,37.4,26.4,14.5,698.02,-4.4097,-2.1095,2.24,1.93,1.84,-0.0836,-0.1105,0.1607,0.2076,2.0761,3.0805,2.1121,3.4261,29.2016,7.2899,8.3457,7.0359,0.9622,0.1852,0.6858,3.0168,3.8525,1.2581,1.2962,6.4219,12.4586,4.123,4.2035,4.1321,10.2028,1.9824,2.0426,2.0564,2.0367,2.0848,1.472,0.0706,0.0164,0.005,0.018,0.0083,1.1376,1.2926,0.2581,0.034,0.0508,0.072,0.0258,15.5
XAMMEF,100.95,258.25,2.01,9.31,7.55,42.7,30.7,19.7,626.3,-4.6047,-1.2856,1.99,1.89,2,-0.1116,0.0742,0.1979,0.0238,1.9747,3.2769,3.1638,2.0186,29.0373,7.1582,7.2337,8.535,0.5851,0.491,0.6507,2.9524,3.7133,1.1541,1.2599,6.3449,12.4765,4.1571,4.2032,4.1162,10.2899,2.0604,2.0295,2.0497,2.0747,2.0756,1.2152,0.2403,0.0447,0.0524,0.0426,0.0547,1.4904,1.5225,0.0776,0.018,0.0123,0.0177,0.0127,16.9
XANTOS,70.64,158.84,1.81,9.51,8.58,26.7,18.9,12.7,600.63,-4.4473,-0.885,1.84,3.17,1.81,0.0277,-0.1292,0.1546,0.0785,1.882,3.0524,3.5415,2.1535,29.2504,7.2601,7.0339,8.377,0.9709,0.7914,0,3.0139,3.8731,1.3266,1.1335,6.5012,12.4028,4.1725,4.1892,4.0411,10.0679,1.9696,2.0162,2.0157,2.0509,2.0156,1.2567,0.266,0.0336,0.0628,0.0689,0.0352,1.411,1.4366,0.0668,0.0222,0.0061,0.0135,0.01,31.4
XAPKOQ,81.68,218.56,1.98,5.98,8.65,36,24.3,12.5,512.99,-3.9485,-1.4992,2,1.96,1.85,-0.1545,-0.1141,0.0455,0.1264,2.16,3.0496,1.9911,3.1389,29.1204,7.322,8.4461,7.03,0.9253,0.4048,0.5842,3.0193,3.8526,1.2554,1.4311,6.4036,12.5081,4.1379,4.2085,4.1618,10.2424,2.0217,2.0489,2.0389,2.0634,2.0696,1.5181,0.0716,0.0151,0.0103,0.0183,0.01,1.2544,1.1117,0.3263,0.0626,0.0455,0.0813,0.063,20.1
XAPMAC,63.51,158.49,1.69,3.71,9.27,24.2,14.4,8.2,456.57,-4.1724,-1.8881,1.98,2.16,1.82,-0.0895,-0.1285,0.081,0.034,1.7697,3.037,2.0701,1.8987,29.074,7.3432,8.457,8.5432,0.936,0.4834,0.2571,3.0158,3.8643,1.3559,1.1675,6.4537,12.4187,4.176,4.1386,4.1041,10.2167,1.9919,2.0529,2.0502,2.0768,2.045,1.4495,0.0713,0.0051,0.0163,0.0172,0.0118,1.4558,1.4941,0.0674,0.0115,0.0214,0.0082,0.0177,21.1
XAPTOY,85.58,203.77,2.26,5.96,5.78,38.9,27.4,13.1,480.62,-3.8442,-0.8176,2.01,2.06,1.9,-0.1533,-0.1108,0.1761,0.0028,2.034,2.9745,3.1778,3.0415,29.12,7.3607,7.2054,7.1603,0.8735,0.4675,0.4191,3.0195,3.8546,1.2434,1.4244,6.4014,12.4782,4.1261,4.1767,4.1754,10.2735,2.0078,2.0216,2.0642,2.052,2.128,1.1953,0.2402,0.0559,0.0505,0.0311,0.0711,1.3078,1.1371,0.2844,0.0584,0.051,0.049,0.0663,23.1
XAPVES,101.14,245.76,2.26,8.44,7.85,43.6,32.3,19.3,566.6,-4.535,-0.6888,1.88,1.99,2.09,-0.0808,0.1745,0.0264,0.1384,1.9037,3.2529,2.0464,3.1231,29.036,7.0574,8.5163,7.1248,0.4959,0.727,0.4222,2.9152,3.591,1.1048,1.2322,6.3513,12.4416,4.1395,4.1887,4.1134,10.2876,2.0679,2.0235,2.0425,2.068,2.0856,1.5387,0.0768,0.0227,0.0138,0.0112,0.0166,1.1842,1.2227,0.3278,0.0793,0.0774,0.0424,0.078,53.6
XASLOS,62,154.23,2.31,6.1,11.64,23.8,14,9.1,615.86,-3.9258,-2.1643,2.05,2.17,1.84,-0.0899,-0.1317,0.0487,0.0422,1.7137,3.0217,1.9868,1.919,29.0986,7.3423,8.4968,8.5025,0.9391,0.4478,0.2663,3.0178,3.8694,1.2947,1.3951,6.4691,12.3714,4.0854,4.1816,4.1044,10.2491,2.016,2.0607,2.0402,2.0507,2.0815,1.6108,0.069,0.0119,0.0215,0.0118,0.0122,1.5286,1.4554,0.0679,0.016,0.0046,0.0168,0.009,19.8
XATWUK,71.75,157.63,1.62,9.25,9.63,28,19.6,12.4,630.79,-4.1527,0.6284,1.87,2.92,1.86,-0.1026,-0.1445,-0.0742,0.1027,1.7231,2.9947,1.9509,2.1242,29.1954,7.3308,8.5669,8.3501,0.885,0.7892,0,3.0269,3.8782,1.2829,1.451,6.5485,12.3691,4.0691,4.1901,4.1099,10.1847,2.0094,2.0337,2.0444,2.0431,2.0541,1.6196,0.0714,0.0131,0.0199,0.0105,0.017,1.3881,1.4556,0.0666,0.0216,0.0054,0.0141,0.0086,29.1
XAXLIU,82.07,233.82,1.9,10.25,8.49,37.9,27.1,16.5,661.87,-4.2699,-2.5233,2.01,1.99,1.85,-0.0997,-0.0979,0.1352,0.1461,2.2306,3.0903,3.1988,2.1048,29.111,7.3225,6.9937,8.4305,0.9633,0.5623,0.4157,3.0193,3.8364,1.3138,1.1803,6.3829,12.4856,4.1375,4.2028,4.1453,10.2309,2.023,2.0746,2.0571,2.0313,2.0449,1.3848,0.3029,0.051,0.0643,0.0544,0.059,1.447,1.4783,0.0783,0.0243,0.0123,0.0119,0.0152,10.9
XAYWIF,84.08,193.66,1.81,5.66,8.7,32.4,21.2,12.2,502.23,-4.0463,-1.327,2.05,1.93,1.85,-0.1516,-0.1144,0.0114,0.2032,2.0897,3.0269,2.0094,3.3485,29.155,7.3146,8.5174,7.0729,0.896,0.3976,0.604,3.0154,3.8528,1.1775,1.3759,6.4082,12.5331,4.1767,4.1908,4.1656,10.2099,2.0313,2.0105,2.0401,2.0441,2.084,1.5856,0.0703,0.012,0.0186,0.0121,0.0135,1.2081,1.1583,0.2646,0.0675,0.0271,0.0645,0.0428,24.2
XAZGAH,87.89,186.53,2.58,6.82,7.88,32.8,26.4,19.5,602,-4.418,-2.4052,2.01,2,1.83,-0.1062,-0.1032,0.1891,0.1901,1.9371,3.1098,2.1319,2.1347,28.9959,7.3117,8.3752,8.3719,1.0076,0.3397,0.3382,3.0165,3.8393,1.21,1.3073,6.3767,12.4783,4.18,4.1501,4.1482,10.2508,2.0388,2.0305,2.0813,2.0242,2.076,1.4119,0.0792,0.0086,0.0169,0.0199,0.0109,1.5239,1.488,0.0793,0.0138,0.012,0.0235,0.0114,14.7
XAZPOF,81.77,235.88,1.92,8.02,8.68,38.9,29.6,18.2,604.49,-4.2155,-2.2163,2.02,2,1.85,-0.1116,-0.1009,0.1314,0.1554,2.1791,3.0886,3.1879,2.1026,29.1058,7.325,7.0185,8.4302,0.9681,0.5468,0.402,3.0167,3.8412,1.2355,1.4199,6.3886,12.4834,4.1441,4.2002,4.1391,10.2392,1.9898,2.0703,2.0521,2.0565,2.0706,1.3206,0.3003,0.0374,0.0679,0.0579,0.0518,1.4106,1.481,0.0784,0.0182,0.0086,0.0188,0.0109,17.6
XEBTIJ,79.46,215.47,2.1,7.82,8.63,35.3,28.2,19.3,634.78,-4.1094,-1.7273,1.98,2.09,1.85,-0.135,-0.1129,0.138,0.1585,2.0089,3.0612,2.1085,3.0833,29.1222,7.3122,8.4348,7.0324,0.9629,0.4179,0.4337,3.0155,3.854,1.3425,1.171,6.4081,12.4766,4.1531,4.1814,4.1421,10.2499,2.0057,2.055,2.0472,2.0557,2.0864,1.4643,0.0785,0.0241,0.0149,0.0103,0.0181,1.1283,1.3263,0.3038,0.0429,0.0781,0.0613,0.0493,16.2
XEBZUB,87.77,235.06,1.94,9.04,7.67,41.7,30.9,19.8,625.83,-3.8449,-1.135,2.03,1.97,1.92,-0.1591,-0.1154,0.1219,0.1496,1.9531,2.9462,3.1494,2.0638,29.1028,7.3736,7.2037,8.3989,0.7998,0.5695,0.3351,3.0267,3.8565,1.2831,1.3518,6.3993,12.451,4.0932,4.2036,4.1542,10.3086,2.0102,2.0685,2.1081,2.0361,2.0857,1.3022,0.2263,0.0352,0.0493,0.0564,0.037,1.4394,1.5499,0.081,0.0182,0.0193,0.0061,0.0306,19.3
XECJEU03,84.54,193.99,1.66,7.6,6.18,32.6,21,11.1,478.17,-4.0569,-2.4178,2,1.92,1.83,-0.0974,-0.0984,0.0458,0.2154,2.274,3.1052,1.9885,3.3478,29.1327,7.292,8.4398,7.045,0.9563,0.405,0.6272,3.0178,3.834,1.3423,1.1881,6.3908,12.5283,4.1759,4.1746,4.1779,10.1779,1.996,2.0642,2.0472,2.0379,2.0326,1.5013,0.0712,0.0215,0.0131,0.0093,0.0148,1.1036,1.2816,0.2567,0.0325,0.0516,0.0684,0.0348,21.5
XEDHUM,81.63,182.6,3.03,8.03,7.29,30.3,24.2,18.1,616.24,-4.1345,-1.3795,2.03,1.95,1.85,-0.1416,-0.1144,0.1611,0.0949,2.0945,3.052,2.1111,3.2196,29.1657,7.3236,8.3899,6.9691,0.9507,0.3357,0.6,3.0203,3.8514,1.1974,1.3526,6.4235,12.5164,4.1821,4.1734,4.1609,10.2013,2.04,1.997,2.017,2.0648,2.0825,1.5239,0.0762,0.0201,0.0179,0.0071,0.0215,1.2229,1.1465,0.3174,0.0713,0.0427,0.0772,0.0493,22
XEFCOA,71.46,187.71,1.91,9.64,12.96,30.3,22.5,14.4,847.49,-4.4586,-1.7449,3.08,1.86,1.81,0.0038,-0.1258,0.0723,0.1204,1.9274,3.0755,2.1264,3.3565,29.2162,7.2346,8.3938,7.0796,0.9815,0,0.771,3.0136,3.8703,1.2767,1.202,6.4932,12.4119,4.1502,4.1914,4.0703,10.0907,1.9856,2.0218,2.0313,2.0446,2.0073,1.4638,0.0663,0.0199,0.0027,0.0151,0.0087,1.2453,1.1391,0.3016,0.0533,0.0485,0.0761,0.0423,29.2
XEGMAX01,64.4,161.01,3.06,8.35,9.04,28.2,21.7,15.5,642.08,-3.6465,-3.0559,2,2.07,1.84,-0.1221,-0.1331,0.0683,0.0603,1.831,3.028,2.001,1.974,29.1712,7.3332,8.4864,8.5054,0.9479,0.4867,0.3365,3.018,3.8682,1.2912,1.3162,6.4565,12.3894,4.1313,4.1572,4.1009,10.2759,2.0068,2.0766,2.0458,2.0608,2.0858,1.5974,0.0718,0.011,0.0192,0.0162,0.0101,1.4969,1.4519,0.0696,0.0147,0.005,0.0181,0.0094,24.3
XEHTEL,83.33,203.32,2.51,7.68,8.75,35.7,26.1,17.3,642.35,-4.2265,-2.1081,2,2,1.83,-0.1052,-0.0963,0.2241,0.2237,2.3313,3.1119,3.2658,3.2952,29.2195,7.262,7.1244,7.1313,0.9844,0.5393,0.5682,3.0125,3.8345,1.1816,1.3456,6.3806,12.5504,4.1706,4.1913,4.1885,10.1739,2.016,2.0356,2.0192,2.0278,2.0752,1.2202,0.2526,0.0347,0.0572,0.0573,0.0417,1.1157,1.137,0.2509,0.0491,0.0369,0.0635,0.0318,23.2
XEHZAL,45.21,164.97,1.7,5.67,8.6,27.5,22.4,13,517.68,-4.3779,0.2824,3.11,1.86,1.84,-0.042,-0.1379,0.0048,0.0844,1.6674,3.0273,2.0318,2.0343,29.1295,7.2891,8.4652,8.4402,0.9346,0,0.6111,3.0253,3.8723,1.3318,1.1698,6.5412,12.3513,4.148,4.14,4.0633,10.1491,1.9952,2.0272,2.0211,2.0619,2.0438,1.5022,0.064,0.0166,0.003,0.0151,0.0085,1.4449,1.603,0.0785,0.0174,0.022,0.0115,0.0173,27.6
XEKYES,86.51,188.92,3.19,7.63,11.74,28.9,18.1,12.7,723.43,-3.2111,-2.6763,1.97,1.93,1.83,-0.2166,-0.1303,0.0228,-0.0145,1.9249,2.9894,1.9589,1.9779,29.1415,7.3396,8.5442,8.55,0.8891,0.3904,0.5674,3.0146,3.8661,1.2766,1.4076,6.4252,12.4941,4.1214,4.193,4.1797,10.297,2.0008,2.0592,2.0634,2.0543,2.1193,1.4625,0.0746,0.0193,0.0087,0.0155,0.0108,1.495,1.593,0.0737,0.0097,0.0186,0.015,0.0115,19.1
XELSIT,81.72,182.49,1.81,8.96,8.23,32.4,24,15.5,655.35,-4.6022,-2.4486,1.89,2.12,1.81,-0.0427,-0.0864,0.1332,0.1412,2.2452,3.164,3.326,2.0993,29.0827,7.269,6.9471,8.3959,1.0141,0.6969,0.2951,3.0161,3.8199,1.2409,1.3203,6.4,12.5203,4.148,4.2152,4.1571,10.122,1.9635,2.0608,2.0081,2.0228,2.0668,1.123,0.346,0.0529,0.0539,0.0959,0.0581,1.4011,1.4641,0.0715,0.0211,0.007,0.0142,0.01,22.5
