Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
ADIMAC,0,-19.9,-4.6,19.7,-61.4,15.3,39.7,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ADINAD,0,-21,-0.1,19.8,-61.4,21,40.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADINEH,0,-50.1,-30.9,-12.8,-61.4,19.2,37.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADIPAC20,0,-20.8,-5,18.1,-61.4,15.8,38.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADIPAM10,0,-23.1,4.5,18.6,-61.4,27.6,41.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADIROV,0,-11.5,4.4,11.2,-61.4,15.9,22.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADLFUC,0,-16.4,5.2,30,-61.4,21.6,46.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ADMHEP,0,-23.6,18.9,3.7,-61.4,42.5,27.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ADOFEG,0,-16.6,1.1,21,-61.4,17.7,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADOFIJ,0,-12.1,5.6,13.8,-61.4,17.7,25.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
ADOGEG01,0,-20.7,-0.2,15.5,-61.4,20.5,36.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADOSHC,0,-14320.8,-14300.3,-14281.8,-61.4,20.6,39,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADOTUJ,0,-12.2,4.6,14.4,-61.4,16.8,26.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ADOXAV,0,-22.7,-0.6,9.3,-61.4,22.2,32,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADOXEZ,0,-21.1,0.9,11.9,-61.4,22,33,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
ADPCPY,0,-28.2,2.5,63,-61.4,30.6,91.1,Minimum,Not Minimum,Correct TS,Calc Fail,,,,,,,,,
ADPOSD,0,-29.9,9.2,24.6,-61.4,39.1,54.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADPOSM01,0,-29.4,7.4,44.9,-61.4,36.8,74.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADRENC,0,-116.2,-119.9,-78.5,-61.4,-3.7,37.7,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
ADRENL,0,-16.5,0.7,2,-61.4,17.2,18.5,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ADRTAR,0,-16.5,0.5,0.1,-61.4,17,16.6,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
ADUPIY,0,-23.9,8.6,22.6,-61.4,32.5,46.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADUQAR,0,-15.5,2.1,18.8,-61.4,17.5,34.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
ADUWUS01,0,-8.4,-6,17.7,-61.4,2.4,26.1,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
ADUXON,0,-18.6,22,16.5,-61.4,40.6,35,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADUYUU,0,-21.2,9.8,21.2,-61.4,30.9,42.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
ADUZAB,0,-19.2,19.6,16.8,-61.4,38.8,36,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFADEQ,0,-15.8,5.1,23,-61.4,20.9,38.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
AFAFIX,0,-22,11.7,14.6,-61.4,33.7,36.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFANAW01,0,-20.5,1,16.6,-61.4,21.5,37,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
AFAPAB,0,-30.4,-9.1,8.7,-61.4,21.3,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
AFAPIH,0,-18.4,5.7,27.3,-61.4,24.1,45.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
