Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpyr) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig),,,,,,,,,
TUBQUC,0,-20,5.8,20,-61.4,25.9,40,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUBRAJ,0,-21,14.8,21.3,-61.4,35.8,42.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUBRUD,0,-20.5,-5.2,17.7,-61.4,15.2,38.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUBSAM,0,-14.4,10.5,29.7,-61.4,24.8,44.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUBVOE,0,-20.4,-1.2,17.1,-61.4,19.2,37.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUBXUJ01,0,-18.8,0.7,16.7,-61.4,19.5,35.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUBZEY,0,-15.3,1.6,16.2,-61.4,16.9,31.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUCCEZ,0,-20.4,7.9,19.8,-61.4,28.3,40.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUCGED,0,-20.2,3,19.1,-61.4,23.1,39.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUDJOT,0,-20.4,1.3,21.1,-61.4,21.8,41.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUDLUZ01,0,-14.9,1.5,21.7,-61.4,16.4,36.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUDMIP,0,-4418.8,-4410.8,-4372.8,-61.4,8,46,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUDNOX,0,-18.7,5,21.1,-61.4,23.7,39.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUDPEP,0,-17.9,4.7,24.6,-61.4,22.5,42.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUDSUJ,0,-18.8,11.6,19.1,-61.4,30.4,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUFDAC,0,-19.2,35.5,20.2,-61.4,54.6,39.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUFDUV,0,-22.2,-5.7,16.3,-61.4,16.5,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUFGEG,0,-28.4,-1.2,18.6,-61.4,27.2,47,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUFJEM,0,-18.6,2.8,21.7,-61.4,21.3,40.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUGFIN,0,-22.1,-3.8,19.9,-61.4,18.4,42,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUGFOQ,0,-17.8,0.7,21.6,-61.4,18.5,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUGFUW,0,-19.5,1.4,19.5,-61.4,20.9,39,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUGGAD,0,-19.6,0.4,21.6,-61.4,20,41.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUGJAG,No Value,No Value,No Value,No Value,No Value,No Value,No Value,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUGMIT,0,-20.7,-3.5,20.6,-61.4,17.2,41.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHCEF,0,-69.8,-45.6,-48.4,-61.4,24.2,21.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUHCIJ,0,-27.9,-2.3,16,-61.4,25.6,43.9,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUHCIK,0,-11.6,-9.9,17.5,-61.4,1.7,29.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHCOP,0,-22.7,-2.8,18.1,-61.4,20,40.9,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUHHOT,0,-19.5,-0.6,18.7,-61.4,18.9,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHJAH,0,-23.3,6.4,22,-61.4,29.7,45.2,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUHKOY,0,-19.3,15.7,18.3,-61.4,35,37.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUHMUE,0,-18.8,6.2,20.5,-61.4,24.9,39.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUHNOC,0,-22.8,-3.5,20.4,-61.4,19.3,43.2,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHQOE,0,-32.7,-20.5,32.1,-61.4,12.2,64.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUHTAR,0,-20.4,2.5,17.9,-61.4,23,38.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUHWAU,0,-20.8,10.8,22.5,-61.4,31.6,43.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUHXAV01,0,-21,3,17,-61.4,24,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHYIE01,0,-17.9,-0.4,21.7,-61.4,17.5,39.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUHZIG,0,-15,15.5,7.5,-61.4,30.5,22.5,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
TUHZOM,0,-14.7,7.5,7.7,-61.4,22.2,22.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUHZUS,0,-14.6,-16.6,5.9,-61.4,-2,20.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJBAC,0,-14.9,-8.1,28.2,-61.4,6.8,43.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJBEG,0,-15,-17.5,28.6,-61.4,-2.5,43.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJBIK,0,-15.5,-8.2,6.9,-61.4,7.3,22.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJBOQ,0,-14.8,-22.3,26.8,-61.4,-7.5,41.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJBUW,0,-14.4,-14.3,7.6,-61.4,0.1,22.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJCAD,0,-14.8,-15.6,7.2,-61.4,-0.8,22,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJCEH,0,-15.5,-19.5,30.5,-61.4,-4.1,46,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUJCIL,0,-16.8,-10.2,7.2,-61.4,6.6,24,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUJRAU,0,-20.1,-3.7,18.9,-61.4,16.3,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUJWOL,0,-20.6,10,19.2,-61.4,30.6,39.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUKCAD,0,-19.5,2.5,15.2,-61.4,22.1,34.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUKDIO,0,-22.1,-2.4,19.2,-61.4,19.7,41.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUKLUJ,0,-20.9,-3.7,17.7,-61.4,17.2,38.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUKMAQ,0,-20.8,10.6,14.1,-61.4,31.4,34.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUKNAR,0,-31.4,-6.6,11.6,-61.4,24.9,43.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUKROJ,0,-21.8,12.3,15.6,-61.4,34.1,37.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUKXAA,0,-31.3,8.5,19.4,-61.4,39.8,50.7,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULBAG,0,-18.3,-9,12.8,-61.4,9.3,31.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULDAI,0,-22.7,0.9,14.7,-61.4,23.6,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULRAU,0,-20.8,5.6,16.7,-61.4,26.4,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULRIE,0,-19.8,10.3,17.5,-61.4,30.1,37.3,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
TULSEY,0,-20,-4.5,18.7,-61.4,15.5,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULTEC,0,-10.9,-12.5,-3.2,-61.4,-1.6,7.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TULWEF,0,-296.7,-280.4,-257.4,-61.4,16.2,39.3,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULWIJ,0,-21.4,-6.3,16.8,-61.4,15.1,38.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULXEG,0,-20,-6.7,17.1,-61.4,13.3,37.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULXIK,0,-20.9,-3.7,18.8,-61.4,17.2,39.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULYOQ,0,-21.4,0.7,20.7,-61.4,22.1,42.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TULZUV,0,-21.4,1.1,19.9,-61.4,22.5,41.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUMQUQ,0,-19.7,-1.9,17.6,-61.4,17.9,37.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUMREZ,0,-24,9,25,-61.4,33.1,49,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUMXEH,0,-9.4,3.1,18.4,-61.4,12.4,27.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUMZIK,0,-21.5,-3.8,18.1,-61.4,17.7,39.6,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUMZIN,0,-20.1,12.2,31.3,-61.4,32.3,51.4,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUNBAH,0,-20.2,0,16.1,-61.4,20.2,36.3,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUNMUN,0,-20.6,2.5,18.4,-61.4,23.1,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUNPAU,0,-16.6,10.8,25.5,-61.4,27.3,42.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUNTIF,0,-13.1,1.6,30.1,-61.4,14.7,43.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUNTIH,0,-27.2,-16,3.2,-61.4,11.2,30.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUNVOO,0,-23.5,1,17.1,-61.4,24.5,40.6,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUNYEH,0,-22.7,-17.4,28.3,-61.4,5.3,51.1,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
TUPBEN,0,-21.3,0.3,17.9,-61.4,21.6,39.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUPBOW,0,-15.6,3.2,29.3,-61.4,18.8,45,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
TUPBUC,0,-20.8,-4,19.1,-61.4,16.8,39.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPDIS,0,-27.5,-8.9,15.6,-61.4,18.6,43,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPGUG,0,-14.2,-0.8,12.2,-61.4,13.5,26.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPJOE,0,-19.5,1.2,22.4,-61.4,20.7,42,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUPMOI,0,-15.1,-1.9,16.9,-61.4,13.2,32,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUPMUN,0,-19.7,1.3,18.1,-61.4,21,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPNOI01,0,-20.4,-4.6,18.4,-61.4,15.8,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPPEA,0,-26.1,9.1,18.1,-61.4,35.2,44.3,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUPSIH,0,-9.6,-10,11.3,-61.4,-0.3,21,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPSON,0,-9,-10.3,12.5,-61.4,-1.3,21.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUPWEI,0,-14.1,2.3,22.8,-61.4,16.4,36.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUPYIN,0,-19.3,0.7,19.7,-61.4,20,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUQHET,0,-1154.4,-1139.7,-1112.4,-61.4,14.7,42,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUQKAS,0,-14.9,-9,9.4,-61.4,5.9,24.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUQNEZ,0,-21.7,0.1,12.9,-61.4,21.8,34.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUQNID,0,-15.9,6.8,29.1,-61.4,22.7,45,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUQNOJ,0,-20,-5.1,19.3,-61.4,14.9,39.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUQVAD01,0,-16.8,-6.1,22.8,-61.4,10.8,39.6,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUQWIM,0,-16.4,10.1,20.8,-61.4,26.4,37.2,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUQZEL,0,-1.4,-44.7,-26.1,-61.4,-43.3,-24.7,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TURACD,0,-22,21.4,24.9,-61.4,43.5,47,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TURANS01,0,-17,7,6.6,-61.4,24,23.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TURNIF,0,-19.1,-0.6,19.4,-61.4,18.5,38.5,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TURPED,0,-19,3.7,16.6,-61.4,22.7,35.6,Not Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TURWOS,0,-24.1,-3.6,15.4,-61.4,20.5,39.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUSDIX,0,-17.8,-2.5,13.9,-61.4,15.3,31.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUSGAQ,0,-20.9,3.5,23.2,-61.4,24.5,44.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUSGIZ,0,-20.4,-1.8,15.8,-61.4,18.6,36.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUSGUK,0,-13.8,2.2,14.9,-61.4,16,28.7,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUSLOJ,0,-25.6,-2.3,19.7,-61.4,23.3,45.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUSMOJ,0,-25.9,9.3,22.9,-61.4,35.2,48.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUSQIH,0,-20.2,-5.7,17.5,-61.4,14.5,37.7,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUSZEN,0,-18.3,-3.9,15.2,-61.4,14.4,33.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUSZOX,0,-41.2,-10.1,0.6,-61.4,31.2,41.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUTBUF,0,-20.5,5.5,23.9,-61.4,26,44.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUTDIW,0,-18.3,4.3,19.3,-61.4,22.7,37.6,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUTSIL,0,-25.9,6.4,18.7,-61.4,32.3,44.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUTVEK,0,-19.3,-0.2,19.3,-61.4,19.1,38.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUTVIO,0,-20.6,1.1,19.8,-61.4,21.8,40.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUVBOC,0,-184.8,-160.8,-139.3,-61.4,24,45.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUVVOW,0,-12.8,10.8,23.4,-61.4,23.6,36.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUVZIU,0,-22.1,-5.5,10.4,-61.4,16.6,32.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUWBAO,0,-16.5,5.9,23.8,-61.4,22.3,40.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUWCUK,0,-14.3,7.7,17.7,-61.4,22,32,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUWDOF,0,-24.2,-15.6,8.1,-61.4,8.5,32.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUWDUL,0,-24.3,-8.2,8.5,-61.4,16.1,32.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUWFIB,0,-19.9,7,19.5,-61.4,26.9,39.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUWFOG,0,-1111.5,-1087.1,-1068.8,-61.4,24.5,42.7,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUWVIQ,0,-16.1,2.4,20.7,-61.4,18.5,36.8,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
TUWVOW,0,262.7,6.3,33.4,-61.4,6.3,33.4,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUWYUG,0,-20.9,-1.3,18.4,-61.4,19.6,39.3,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
TUXBOD,0,-19.6,7,19,-61.4,26.5,38.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUYBAS,0,-23.3,8.5,24.7,-61.4,31.9,48,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
TUYKAZ,0,-24,-15.4,7.4,-61.4,8.6,31.4,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TUYLOO,0,-17.7,0,20.2,-61.4,17.7,37.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUZHOO,0,-21.2,-1,16.6,-61.4,20.3,37.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUZKIL,0,-22.3,-2.1,18.6,-61.4,20.3,40.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TUZKOR,0,-677.4,-650.6,-631.1,-61.4,26.8,46.4,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
TUZKUX,0,-15.3,8,30.7,-61.4,23.3,46,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
TUZLEI,0,-11,-8.8,10.9,-61.4,2.2,21.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TYRPXL10,0,-27.2,15.7,20.8,-61.4,42.8,48,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TYRTHM,0,-18.8,1.1,20.1,-61.4,19.9,38.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
TZACOL,0,-18.2,4.3,14.1,-61.4,22.5,32.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
TZSPOD10,0,-21,-3.4,15.6,-61.4,17.6,36.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
UBAGEL,0,-4106.1,-4079.8,-4066.6,-61.4,26.3,39.5,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBAGIP,0,-19,3.1,19.6,-61.4,22.2,38.6,Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
UBAGOV,0,-20.6,5.7,20.5,-61.4,26.3,41.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBALIV,0,-14.4,9.2,6.6,-61.4,23.6,20.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
UBAWEB,0,-22.9,11.8,1207.4,-61.4,34.7,1230.3,Not Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
UBEDUA,0,-19.1,-0.6,19,-61.4,18.5,38,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBEHIU,0,-20.8,-4.6,12.2,-61.4,16.3,33.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBEKER,0,-19.3,1.9,21.1,-61.4,21.3,40.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBEPAS,0,-8.5,-4.7,13.3,-61.4,3.8,21.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBEZIK,0,-20.9,8.2,18.2,-61.4,29,39,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBIJUM,0,No Value,6.3,21.6,-61.4,No Value,No Value,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UBIKAR,0,-16.3,6,22.4,-61.4,22.2,38.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
UBIKAT,0,-19.1,3.8,20.4,-61.4,22.9,39.5,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBIKEX,0,6.4,6.3,17.5,-61.4,6.3,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
UBOKEB,0,-23,29.6,16.4,-61.4,52.6,39.3,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UBOZES,0,-8.8,-2.1,12.5,-61.4,6.7,21.3,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBUFEF,0,-20,1,19.4,-61.4,21,39.4,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBUFIJ,0,-18.8,2.6,17.5,-61.4,21.3,36.3,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UBUGUT,0,-10.2,10,19.4,-61.4,20.2,29.6,Minimum,Minimum,Incorrect TS,Incorrect TS,,,,,,,,,
UBUPAI,0,-3092.9,-3071.9,-3052.1,-61.4,21.1,40.8,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies,,,,,,,,,
UBUPEM,0,-268.5,-305.4,-184.3,-61.4,-37,84.2,Not Minimum,Not Minimum,Correct TS,Calc Fail,,,,,,,,,
UCABIM,0,-5.9,5.2,9.9,-61.4,11,15.7,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UCAGAI,0,-15.7,3,3.6,-61.4,18.7,19.3,Minimum,Minimum,Correct TS,Incorrect TS,,,,,,,,,
UCAHUD,0,-19.7,4.9,14.5,-61.4,24.6,34.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCASID,0,-17.5,-1.1,23.4,-61.4,16.4,40.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
UCATAV,0,-18.9,-5.1,18,-61.4,13.9,37,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
UCEHIW,0,-19.9,-4.1,20,-61.4,15.7,39.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCEMAT,0,-191.8,-259,-230.9,-61.4,-67.2,-39.1,Not Minimum,Not Minimum,Correct TS,Correct TS,,,,,,,,,
UCERUS,0,-20,-4.7,19.1,-61.4,15.3,39.1,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCEXUV,0,-21,1.7,18.8,-61.4,22.7,39.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCEYAC,0,-20.8,5.2,20.3,-61.4,26,41.1,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
UCIHAR,0,-18.6,7.6,20.1,-61.4,26.2,38.7,Minimum,Minimum,Incorrect TS,Correct TS,,,,,,,,,
UCIKAU,0,-20.1,-4.6,18.7,-61.4,15.5,38.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCIKEX,0,-50,-34.6,101.1,-61.4,15.3,151.1,Not Minimum,Minimum,Correct TS,Calc Fail,,,,,,,,,
UCILUP,0,-18.4,6,20.5,-61.4,24.3,38.9,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCINEB,0,-18.7,0,22.6,-61.4,18.7,41.3,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UCIZIS,0,-14,6.1,22.8,-61.4,20.1,36.8,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCODAU,0,-55.3,-40.4,-18,-61.4,14.9,37.4,Not Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCOHAW,0,-14.7,9.8,29.2,-61.4,24.5,43.9,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS,,,,,,,,,
UCOJEC,0,-17.5,6.5,21.7,-61.4,24.1,39.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UCOKUV,0,-19.9,-15.1,15,-61.4,4.8,34.9,Minimum,Minimum,Correct TS,Correct TS,,,,,,,,,
UCOLAC,0,-15,-6.6,11.6,-61.4,8.3,26.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UCOLAZ,0,-12.5,11,31.1,-61.4,23.5,43.6,Minimum,Not Minimum,Incorrect TS,Correct TS,,,,,,,,,
UCOMOO,0,-21.7,5.4,24.4,-61.4,27,46.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
UCOPEI,0,-20.7,-4.1,19.1,-61.4,16.6,39.8,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies,,,,,,,,,
UCOSAJ,0,-19.8,-3.1,13.5,-61.4,16.7,33.3,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS,,,,,,,,,
