Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
AGIBAV,Minimum,Minimum,Correct TS,Correct TS
AGIDOM,Minimum,Minimum,Correct TS,Correct TS
AGIGIJ,Minimum,Minimum,Correct TS,Correct TS
AGIGUU,Minimum,Minimum,Correct TS,Calc Fail
AGIGUV,Minimum,Minimum,Correct TS,Correct TS
AGIHEF,Minimum,Minimum,Correct TS,Correct TS
AGIRAM,Minimum,Minimum,Correct TS,Correct TS
AGIREQ,Minimum,Minimum,Correct TS,Correct TS
AGISAN,Minimum,Minimum,Correct TS,Correct TS
AGOCOR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGODOR,Minimum,Minimum,Correct TS,Correct TS
AGOKOX,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AGOLAK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOLIS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOLOY,Minimum,Minimum,Incorrect TS,Correct TS
AGOLUE,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOMAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGOMEP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGOQEU01,Minimum,Minimum,Correct TS,Correct TS
AGOSUM,Minimum,Minimum,Correct TS,Correct TS
AGOTOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AGUCEM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGUCUC,Minimum,Minimum,Correct TS,Correct TS
AGUJAO,Minimum,Minimum,Correct TS,Correct TS
AGURAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AGUTON,Minimum,Not Minimum,Correct TS,Correct TS
AHALUQ,Minimum,Not Minimum,Correct TS,Correct TS
AHEKAZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
