Ligand,Starting material (CuLI),Ligand Exchange (CuLpyr),Transition State 1 (TSOA),Transition State 2 (TSSig)
YIBBIX,Not Minimum,Minimum,Incorrect TS,Incorrect TS
YIBGOF,Minimum,Minimum,Correct TS,Correct TS
YIBHID,Minimum,Minimum,Correct TS,Correct TS
YIBROQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIBZAK,Minimum,Minimum,Correct TS,Correct TS
YIBZEO,Minimum,Minimum,Correct TS,Correct TS
YICBIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YICFIA,Minimum,Minimum,Incorrect TS,Incorrect TS
YICGUM,Minimum,Minimum,Correct TS,Correct TS
YICRIO,Minimum,Minimum,Correct TS,Correct TS
YICSUB,Not Minimum,Minimum,Correct TS,Correct TS
YICWUD,Minimum,Minimum,Incorrect TS,Incorrect TS
YICYEO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIDGUO,Minimum,Not Minimum,Correct TS,Correct TS
YIDHAV,Minimum,Minimum,Correct TS,Correct TS
YIDKII,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIDKOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIDLEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIFHOL,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YIFJAZ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
YIFMUW,Not Minimum,Minimum,Correct TS,Correct TS
YIFNOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIFRUB,Minimum,Minimum,Correct TS,Correct TS
YIFTOX,Minimum,Minimum,Incorrect TS,Correct TS
YIFWUG01,Minimum,Minimum,Correct TS,Correct TS
YIGGIF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIGMEI,Minimum,Minimum,Correct TS,Correct TS
YIGNEJ,Minimum,Minimum,Correct TS,Correct TS
YIGPUA,Minimum,Minimum,Correct TS,Correct TS
YIGQIP,Minimum,Minimum,Correct TS,Correct TS
YIGSAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIHCUO,Minimum,Minimum,Correct TS,Correct TS
YIHDID,Minimum,Minimum,Correct TS,Correct TS
YIHHEC,Not Minimum,Minimum,Correct TS,Correct TS
YIHHIG,Minimum,Minimum,Correct TS,Correct TS
YIHJOP,Minimum,Minimum,Correct TS,Correct TS
YIHKEG,Not Minimum,Minimum,Incorrect TS,Correct TS
YIHLEI,Minimum,Minimum,Correct TS,Correct TS
YIHQIS01,Minimum,Minimum,Correct TS,Correct TS
YIHQOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YIHRIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIHVEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIJFED,Minimum,Minimum,Correct TS,Correct TS
YIJJIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIJPIQ,Not Minimum,Minimum,Correct TS,Correct TS
YIJSIT,Minimum,Minimum,Correct TS,Correct TS
YIJVIX,Minimum,Not Minimum,Correct TS,Correct TS
YIKBUP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIKCOM01,Minimum,Minimum,Correct TS,Correct TS
YIKLUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIKXUO,Minimum,Minimum,Incorrect TS,Correct TS
YIKYID,Minimum,Minimum,Correct TS,Correct TS
YIKYOI,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YILCEB,Not Minimum,Minimum,Correct TS,Correct TS
YILDOM,Minimum,Minimum,Correct TS,Correct TS
YILFAC,Not Minimum,Minimum,Correct TS,Incorrect TS
YILJAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YILJIP,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YILLEM,Minimum,Minimum,Correct TS,Correct TS
YILMEL01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YILNIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YILWIB,Minimum,Minimum,Correct TS,Correct TS
YILYUP,Minimum,Minimum,Correct TS,Correct TS
YILZUP,Minimum,Minimum,Correct TS,Correct TS
YIMCUU,Not Minimum,Not Minimum,Incorrect TS,Correct TS
YIMNEO,Minimum,Minimum,Correct TS,Correct TS
YIMVOI,Minimum,Minimum,Correct TS,Correct TS
YIMXIE,Minimum,Minimum,Correct TS,Correct TS
YIMXOK,Minimum,Minimum,Correct TS,Correct TS
YINDAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YINFAD,Minimum,Minimum,Correct TS,Correct TS
YINFAE,Not Minimum,Not Minimum,Correct TS,Correct TS
YINGUY,Minimum,Minimum,Correct TS,Correct TS
YINSEU,Minimum,Minimum,Correct TS,Correct TS
YIPCEH,Not Minimum,Minimum,Correct TS,Correct TS
YIPCOR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIPLER,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIPNES,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIPNIW,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIPPOC,Not Minimum,Minimum,Correct TS,Correct TS
YIPQIA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
YIPQUL,Minimum,Not Minimum,Correct TS,Correct TS
YIPREW,Minimum,Minimum,Correct TS,Correct TS
YIPROE,Minimum,Minimum,Correct TS,Correct TS
YIPSIZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YIQDEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIQDIM,Minimum,Minimum,Correct TS,Correct TS
YIQFUA,Minimum,Minimum,Correct TS,Correct TS
YIQLUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIQYON,Minimum,Not Minimum,Correct TS,Correct TS
YIQZUU,Minimum,Minimum,Correct TS,Correct TS
YIRBAF,Minimum,Minimum,Correct TS,Correct TS
YIRFAH,Minimum,Minimum,Correct TS,Correct TS
YIRGEO,Minimum,Minimum,Correct TS,Correct TS
YIRHIR01,Minimum,Minimum,Correct TS,Correct TS
YIRKOA01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIRLER,Minimum,Minimum,Correct TS,Correct TS
YIRNOC,Minimum,Minimum,Correct TS,Correct TS
YIRNUJ01,Minimum,Not Minimum,Correct TS,Correct TS
YIRNUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIRQAS,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
YIRWEC,Minimum,Minimum,Correct TS,Correct TS
YIRWUR01,Not Minimum,Minimum,Correct TS,Correct TS
YISBUA,Minimum,Not Minimum,Incorrect TS,Correct TS
YISDOU,Minimum,Minimum,Correct TS,Correct TS
YISGIR,Minimum,Not Minimum,Correct TS,Correct TS
YISGUC,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YISGUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YISHEN,Minimum,Minimum,Correct TS,Correct TS
YISJOZ,Minimum,Minimum,Correct TS,Correct TS
YISMIZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YISNEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YISPEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YISWAB,Minimum,Minimum,Correct TS,Correct TS
YISXIK,Minimum,Minimum,Correct TS,Correct TS
YISZAE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YITCOW,Minimum,Minimum,Correct TS,Correct TS
YITDOX,Minimum,Minimum,Correct TS,Correct TS
YITQAV,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIVFUF,Not Minimum,Minimum,Correct TS,Calc Fail
YIVNEZ,Minimum,Minimum,Correct TS,Correct TS
YIVSUU,Minimum,Minimum,Correct TS,Correct TS
YIVVIJ,Minimum,Minimum,Correct TS,Correct TS
YIWBUB,Minimum,Not Minimum,Correct TS,Correct TS
YIWKOG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YIXLUN,Minimum,Minimum,Correct TS,Correct TS
YIXNAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIXPOL,Minimum,Minimum,Correct TS,Correct TS
YIXRED01,Minimum,Minimum,Correct TS,Correct TS
YIYLAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIYVUY,Minimum,Minimum,Correct TS,Correct TS
YIZDOB,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
YIZDUH,Minimum,Minimum,Correct TS,Correct TS
YIZNOK,Minimum,Minimum,Correct TS,Correct TS
YIZPUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIZRAA,Not Minimum,Not Minimum,Correct TS,Correct TS
YIZREE,Minimum,Minimum,Correct TS,Correct TS
YIZROO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIZSEH,Minimum,Not Minimum,Correct TS,Correct TS
YIZTOT,Minimum,Minimum,Incorrect TS,Correct TS
YIZYAH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YIZYEL,Minimum,Minimum,Correct TS,Calc Fail
YOBCEA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
YOBKAE,Minimum,Minimum,Correct TS,Correct TS
YOBSEP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOBZUL,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOCBAW,Minimum,Minimum,Correct TS,Correct TS
YOCPIP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOCPUD,Minimum,Minimum,Correct TS,Correct TS
YOCTIU,Minimum,Not Minimum,Correct TS,Correct TS
YODFIJ,Minimum,Minimum,Correct TS,Correct TS
YODHIJ01,Minimum,Minimum,Correct TS,Correct TS
YODKAE,Minimum,Minimum,Correct TS,Correct TS
YODLOT,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YODLUY,Minimum,Minimum,Correct TS,Correct TS
YODRUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YODSAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOFFEE,Minimum,Minimum,Incorrect TS,Incorrect TS
YOFGAE,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOFGEI,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOFLOW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOFTEV,Not Minimum,Minimum,Correct TS,Correct TS
YOFWEX,Minimum,Minimum,Correct TS,Correct TS
YOFWOI,Minimum,Minimum,Correct TS,Correct TS
YOHGIL01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YOHJEM,Minimum,Not Minimum,Incorrect TS,Correct TS
YOHMOZ,Minimum,Minimum,Correct TS,Correct TS
YOHNOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOHNUH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOHWUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOJDEH,Minimum,Minimum,Correct TS,Correct TS
YOJDIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOJDOS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOJJEP,Minimum,Minimum,Incorrect TS,Correct TS
YOJZIH,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YOKBAC,Minimum,Minimum,Correct TS,Incorrect TS
YOKBAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOKBUX,Minimum,Minimum,Correct TS,Correct TS
YOKHIP,Not Minimum,Not Minimum,Correct TS,Correct TS
YOKJOY,Minimum,Minimum,Correct TS,Correct TS
YOKLOC,Minimum,Minimum,Correct TS,Correct TS
YOKQAQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOKQIY,Minimum,Minimum,Correct TS,Correct TS
YOLDEK,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOLDOU,Minimum,Minimum,Correct TS,Correct TS
YOLGIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOLNUK,Minimum,Minimum,Correct TS,Correct TS
YOLPAS,Minimum,Minimum,Correct TS,Correct TS
YOLPOE,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YOLQAR,Minimum,Minimum,Correct TS,Correct TS
YOLQEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOLWUS,Minimum,Minimum,Correct TS,Correct TS
YOMGIQ,Minimum,Minimum,Correct TS,Correct TS
YOMKAN,Minimum,Minimum,Correct TS,Correct TS
YOMMUJ,Not Minimum,Not Minimum,Correct TS,Correct TS
YOMROI,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YONBUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YONCIN,Minimum,Minimum,Correct TS,Incorrect TS
YONDAH,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
YONGUF01,Minimum,Minimum,Correct TS,Correct TS
YONHEQ,Not Minimum,Minimum,Correct TS,Correct TS
YONLES,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YONLUJ,Minimum,Minimum,Correct TS,Correct TS
YONPOG,Minimum,Not Minimum,Correct TS,Correct TS
YONSUP,Minimum,Minimum,Correct TS,Correct TS
YONVOO,Minimum,Minimum,Correct TS,Correct TS
YONWEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOPDOX,Minimum,Minimum,Incorrect TS,Correct TS
YOPDUD,Minimum,Minimum,Correct TS,Correct TS
YOPHIV,Minimum,Minimum,Correct TS,Correct TS
YOPLEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOPPUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOPROL,Minimum,Not Minimum,Correct TS,Correct TS
YORBEM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YORBOW,Minimum,Minimum,Correct TS,Correct TS
YORFIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YORFUI,Minimum,Minimum,Incorrect TS,Correct TS
YORMEA,Minimum,Minimum,Correct TS,Correct TS
YORMIE,Not Minimum,Minimum,Correct TS,Correct TS
YORMOK,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
YORMUQ,Minimum,Minimum,Correct TS,Correct TS
YORSUW,Minimum,Minimum,Correct TS,Correct TS
YORXUY,Not Minimum,Minimum,Correct TS,Correct TS
YOSCAM,Minimum,Minimum,Correct TS,Correct TS
YOSRAZ,Not Minimum,Minimum,Correct TS,Incorrect TS
YOSVEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOSVUY,Minimum,Minimum,Correct TS,Correct TS
YOTFAQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOTHEV,Minimum,Minimum,Correct TS,Correct TS
YOTHIZ,Minimum,Minimum,Correct TS,Correct TS
YOTKEY,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YOTKEZ,Minimum,Minimum,Correct TS,Correct TS
YOTNEB,Minimum,Minimum,Correct TS,Correct TS
YOTXIR,Not Minimum,Not Minimum,Incorrect TS,Incorrect TS
YOVBOD,Minimum,Minimum,Correct TS,Correct TS
YOVDET,Minimum,Minimum,Correct TS,Correct TS
YOVGUM,Minimum,Minimum,Correct TS,Correct TS
YOVJAW,Not Minimum,Minimum,Correct TS,Incorrect TS
YOVJEA,Not Minimum,Minimum,Correct TS,Correct TS
YOVJUP01,Not Minimum,Minimum,Correct TS,Correct TS
YOVKEA,Minimum,Minimum,Correct TS,Correct TS
YOVQIK,Minimum,Minimum,Correct TS,Correct TS
YOVRUZ,Minimum,Minimum,Correct TS,Correct TS
YOVXUF,Minimum,Minimum,Incorrect TS,Correct TS
YOWDET,Minimum,Minimum,Correct TS,Correct TS
YOWDOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOWDUK,Minimum,Minimum,Correct TS,Correct TS
YOWHAV,Minimum,Minimum,Correct TS,Correct TS
YOWJOK,Minimum,Minimum,Correct TS,Correct TS
YOWKIG,Minimum,Minimum,Correct TS,Correct TS
YOWNEG,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YOWNOQ,Minimum,Minimum,Correct TS,Correct TS
YOWNUU,Minimum,Minimum,Correct TS,Correct TS
YOWNUW,Minimum,Minimum,Correct TS,Correct TS
YOWPEF,Minimum,Minimum,Correct TS,Correct TS
YOWQAE,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOWXAJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YOWYOY,Minimum,Minimum,Correct TS,Correct TS
YOWYUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOXBAO,Minimum,Minimum,Correct TS,Correct TS
YOXBUI,Minimum,Minimum,Correct TS,Correct TS
YOXFIA,Not Minimum,Minimum,Incorrect TS,Correct TS
YOXFUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOXHOL,Minimum,Minimum,Correct TS,Correct TS
YOXHUR,Minimum,Minimum,Incorrect TS,Correct TS
YOXZUG,Not Minimum,Not Minimum,Correct TS,Correct TS
YOYGUP,Minimum,Minimum,Correct TS,Correct TS
YOYLEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOYNOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOYROW,Minimum,Minimum,Correct TS,Correct TS
YOYWEO,Not Minimum,Not Minimum,Correct TS,Correct TS
YOYZUK,Minimum,Minimum,Correct TS,Correct TS
YOZGAY,Minimum,Minimum,Correct TS,Correct TS
YOZGEC,Minimum,Minimum,Correct TS,Correct TS
YOZGIG,Minimum,Minimum,Correct TS,Correct TS
YOZGOM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOZGUS,Minimum,Minimum,Incorrect TS,Correct TS
YOZSIS,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YOZTIS,Minimum,Minimum,Correct TS,Correct TS
YOZTUE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YOZWIV,Minimum,Minimum,Correct TS,Correct TS
YUBZEA,Minimum,Minimum,Correct TS,Correct TS
YUCBOQ,Minimum,Not Minimum,Correct TS,Correct TS
YUCFUZ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YUCHAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUCPES,Minimum,Minimum,Incorrect TS,Correct TS
YUCPUJ,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YUCRUM,Minimum,Minimum,Correct TS,Correct TS
YUCTAU,Minimum,Minimum,Correct TS,Correct TS
YUCZII,Minimum,Minimum,Correct TS,Correct TS
YUDJUF,Not Minimum,Not Minimum,Correct TS,Correct TS
YUDNUH,Minimum,Minimum,Correct TS,Correct TS
YUDYOL,Minimum,Minimum,Correct TS,Correct TS
YUFGUE,Not Minimum,Minimum,Correct TS,Correct TS
YUFHAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUFHIT,Not Minimum,Minimum,Correct TS,Correct TS
YUFHOZ,Minimum,Minimum,Correct TS,Correct TS
YUFHUF,Not Minimum,Minimum,Correct TS,Correct TS
YUFJER,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUFKAL,Minimum,Minimum,Correct TS,Correct TS
YUFMER,Not Minimum,Minimum,Correct TS,Correct TS
YUFPEW,Minimum,Minimum,Correct TS,Correct TS
YUFRUM,Minimum,Minimum,Correct TS,Correct TS
YUFYUU,Minimum,Not Minimum,Correct TS,Correct TS
YUGSID,Not Minimum,Minimum,Correct TS,Correct TS
YUGTEB,Minimum,Minimum,Incorrect TS,Incorrect TS
YUGTOM,Minimum,Minimum,Correct TS,Correct TS
YUGWED,Minimum,Minimum,Correct TS,Correct TS
YUGZAE,Not Minimum,Not Minimum,Correct TS,Correct TS
YUHGUD,Minimum,Not Minimum,Incorrect TS,Correct TS
YUHYEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUHZIN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUJBAJ,Minimum,Minimum,Correct TS,Correct TS
YUJGEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUJHET,Minimum,Minimum,Correct TS,Correct TS
YUJHOD,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUJJET,Minimum,Minimum,Correct TS,Correct TS
YUJJOE01,Minimum,Minimum,Correct TS,Correct TS
YUJKAR,Minimum,Minimum,Correct TS,Correct TS
YUKPUQ,Not Minimum,Minimum,Correct TS,Correct TS
YUKVAB,Not Minimum,Minimum,Incorrect TS,Correct TS
YUKXEI,Minimum,Minimum,Correct TS,Correct TS
YUKYUA,Minimum,Minimum,Correct TS,Correct TS
YULLUM,Not Minimum,Not Minimum,Incorrect TS,Incorrect TS
YULMEA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
YULMOK,Minimum,Minimum,Correct TS,Correct TS
YULNOJ,Minimum,Minimum,Correct TS,Correct TS
YULYOW,Minimum,Minimum,Correct TS,Correct TS
YUMDOA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUMDUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUMFEU,Minimum,Not Minimum,Incorrect TS,Correct TS
YUMFOE,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUMHUJ,Minimum,Minimum,Correct TS,Correct TS
YUMPIG,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YUMYOW,Minimum,Minimum,Correct TS,Correct TS
YUMZOW,Minimum,Minimum,Correct TS,Correct TS
YUNCUH,Not Minimum,Minimum,Correct TS,Correct TS
YUNDES,Not Minimum,Minimum,Correct TS,Correct TS
YUNVAG,Minimum,Minimum,Correct TS,Correct TS
YUNVAH,Minimum,Minimum,Correct TS,Correct TS
YUNVEK,Minimum,Minimum,Correct TS,Correct TS
YUNVIO,Not Minimum,Minimum,Correct TS,Correct TS
YUNVUA,Minimum,Minimum,Correct TS,Correct TS
YUNVUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YUPBIW,Minimum,Minimum,Correct TS,Correct TS
YUPJOK,Minimum,Minimum,Correct TS,Correct TS
YUPKEB,Minimum,Minimum,Correct TS,Correct TS
YUPNOP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUPPEF,Minimum,Not Minimum,Correct TS,Correct TS
YUPQIK,Minimum,Minimum,Correct TS,Correct TS
YUPRAF,Not Minimum,Not Minimum,Incorrect TS,Correct TS
YUPROS,Minimum,Minimum,Correct TS,Correct TS
YUPSAF,Minimum,Not Minimum,Correct TS,Correct TS
YUPSEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUPSUY,Minimum,Not Minimum,Correct TS,Correct TS
YUPTUZ,Minimum,Minimum,Correct TS,Correct TS
YUQBAO,Minimum,Minimum,Correct TS,Correct TS
YUQDIY,Minimum,Minimum,Correct TS,Correct TS
YUQKEB,Not Minimum,Minimum,Correct TS,Correct TS
YUQMAZ,Minimum,Minimum,Correct TS,Correct TS
YUQQEH,Minimum,Minimum,Incorrect TS,Correct TS
YUQVEN,Not Minimum,Minimum,Correct TS,Correct TS
YUQWOX,Minimum,Minimum,Correct TS,Correct TS
YUQWUD,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YUQZUG,Not Minimum,Minimum,Correct TS,Correct TS
YURJIG,Minimum,Not Minimum,Correct TS,Correct TS
YURKUS,Minimum,Minimum,Correct TS,Correct TS
YURMOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YURMUV,Minimum,Minimum,Correct TS,Correct TS
YURTEL,Minimum,Minimum,Correct TS,Correct TS
YURYAN,Minimum,Not Minimum,Correct TS,Correct TS
YUSMIJ,Minimum,Minimum,Correct TS,Correct TS
YUSQUA,Not Minimum,Minimum,Incorrect TS,Correct TS
YUSZIV,Minimum,Minimum,Correct TS,Correct TS
YUTCOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YUTKOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUVBEY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YUVHIG,Minimum,Minimum,Incorrect TS,Incorrect TS
YUVTEP,Minimum,Not Minimum,Correct TS,Correct TS
YUWJIJ,Not Minimum,Minimum,Correct TS,Correct TS
YUWJOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUWLUA,Minimum,Minimum,Correct TS,Correct TS
YUWPEL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUWZAT,Minimum,Minimum,Correct TS,Correct TS
YUXBUQ,Minimum,Minimum,Correct TS,Correct TS
YUXCOK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YUXCOM,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
YUXCUP,Minimum,Minimum,Incorrect TS,Correct TS
YUXHIK,Minimum,Minimum,Correct TS,Correct TS
YUXNOU,Minimum,Minimum,Incorrect TS,Correct TS
YUXPAJ,Minimum,Minimum,Correct TS,Correct TS
YUYHAB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
YUYHAD,Minimum,Minimum,Correct TS,Correct TS
YUYHEH,Minimum,Minimum,Correct TS,Correct TS
YUYLIN,Minimum,Minimum,Incorrect TS,Correct TS
YUYWUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
YUYYUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
YUYZAT,Minimum,Minimum,Correct TS,Correct TS
YUZHUX,Not Minimum,Minimum,Incorrect TS,Correct TS
YUZPAK,Minimum,Minimum,Correct TS,Correct TS
YUZRAN,Minimum,Minimum,Correct TS,Correct TS
YUZTET,Minimum,Minimum,Incorrect TS,Correct TS
YUZVAR,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
ZABKIZ,Minimum,Minimum,Correct TS,Correct TS
ZABKUM,Minimum,Not Minimum,Correct TS,Correct TS
ZABSEA,Not Minimum,Minimum,Correct TS,Correct TS
ZACZOW,Minimum,Minimum,Correct TS,Correct TS
ZADCIU,Not Minimum,Minimum,Correct TS,Correct TS
ZADKAT,Not Minimum,Minimum,Correct TS,Correct TS
ZADLIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ZADWOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ZAFCES,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ZAFWIQ,Minimum,Minimum,Correct TS,Correct TS
ZAFXAJ,Minimum,Minimum,Correct TS,Correct TS
ZAFXIR,Minimum,Minimum,Correct TS,Correct TS
ZAGKAT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ZAGLAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ZAGRAA,Minimum,Minimum,Correct TS,Correct TS
