Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
PORWEB,266.79,48.1,-3.2242,-2.0425,2.08,-0.296,2.8925,28.7237,7.4639,0.4021,9.8611,1.9847,0.0234,1.5745,36.7
AFEVIR,180.02,28,-2.1075,0.6062,1.91,-0.4731,2.7399,28.9326,7.353,0.6983,9.7946,1.9544,0.0829,1.5524,24
JOTZEA,209.76,44.7,-2.7141,-1.9696,1.88,-0.4281,2.809,28.8495,7.3452,0.7853,9.7385,1.9746,0.1034,1.7207,21.7
LETXEN,182.83,30.5,-2.5544,-0.3011,1.89,-0.4664,2.751,28.9167,7.3537,0.7436,9.8027,1.9858,0.1081,1.6154,22.4
BIBXES,200.32,36.5,-2.8632,-1.1841,1.91,-0.4488,2.7404,28.8063,7.3656,0.7796,9.7877,1.9745,0.0721,1.4934,20.3
MIVQEN,187,31,-3.3682,-2.9018,1.83,-0.3819,2.9152,28.7297,7.3398,0.8549,9.7319,1.9519,0.0701,1.5375,17
THPDCB,191.31,32.4,-3.1289,-2.3613,1.82,-0.4204,2.8269,28.8338,7.3448,0.8317,9.7605,1.9845,0.031,1.7026,21.1
POHPOT,166.43,25.8,-2.715,-2.1359,1.85,-0.4655,2.7579,28.9369,7.3925,0.8093,9.8038,1.9667,0.0817,1.6719,20.4
PEWNOW,180.38,31.1,-3.2446,-2.9101,1.85,-0.4223,2.8476,28.8254,7.3623,0.8251,9.7994,1.9624,0.0291,1.183,18.3
FAPMEP,201.93,45.6,-2.7294,-1.041,1.91,-0.4378,2.7774,28.8724,7.3449,0.8097,9.8173,1.9411,0.0628,1.5009,15.6
MECXAV,201.96,36.6,-2.6401,-1.3524,1.9,-0.4603,2.7705,28.8686,7.3818,0.8137,9.802,1.9692,0.0281,1.6168,15.1
NAFTEU,193.98,35.7,-2.4398,-0.7202,1.91,-0.4644,2.7402,28.8977,7.3703,0.7548,9.7737,1.9602,0.0636,1.5527,32.1
XUJSIH,179.31,32.4,-3.7833,-3.0802,1.8,-0.3516,2.9481,28.5919,7.3377,0.848,9.721,1.9907,0.0913,1.2866,22.5
LANJUG,226.25,39.4,-2.2347,-0.1927,1.92,-0.4698,2.7127,28.8878,7.4262,0.7469,9.7641,1.9641,0.0368,1.5778,39.1
XIQBIL,199.32,36,-3.2411,-2.8624,1.85,-0.4051,2.8776,28.6644,7.3512,0.7982,9.7879,1.9915,0.0428,1.3224,14.2
OHEGEQ,213.14,36.3,-2.6043,-1.8971,1.89,-0.4628,2.7622,28.8921,7.3784,0.7838,9.8248,1.9756,0.0188,1.6686,18.9
QUKZON,154.71,24.9,-2.4621,-2.4215,1.85,-0.4707,2.7405,28.9346,7.401,0.802,9.8105,1.9628,0.0882,1.6478,18.9
EFAZOD,197.63,39.7,-2.9409,-2.3477,1.87,-0.4114,2.8338,28.7732,7.3386,0.7965,9.738,1.9562,0.0889,1.6142,13.3
XUBZID,204.67,38.2,-2.9276,-1.7866,1.84,-0.4192,2.812,28.7793,7.3224,0.7411,9.7292,1.9753,0.1023,1.0702,23.5
KTFPHT,192.77,41.9,-2.3913,-0.899,1.92,-0.4516,2.746,28.9174,7.3681,0.785,9.8032,1.9603,0.0727,1.4565,13.4
UPAVEO,230.14,51.6,-2.8188,-2.1689,1.9,-0.4457,2.7747,28.7992,7.3436,0.785,9.7854,1.9889,0.0136,1.5356,13.6
HOFRIE,188.55,35.3,-2.8146,-0.3458,1.9,-0.4544,2.7604,28.8139,7.3774,0.8114,9.8267,1.9359,0.0567,1.5118,13.5
