Ligand,Cone Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-N (A),Lowdin Charge (N),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge Cu(d),Orbital Charge Cu(dxy),Orbital Charge L1(dxy),Orbital Charge L2(py),Ea
GIRSOR,206.77,48.1,-2.9539,-1.7454,1.89,-0.4473,2.7812,28.8823,7.3589,0.8269,9.7923,1.9656,0.0365,1.4197,15.8
PIZSOJ,197,40.6,-3.0185,-2.3101,1.86,-0.4395,2.8141,28.7503,7.3816,0.8433,9.7711,1.9496,0.0581,1.6973,13.1
HITZEQ,191.26,30.2,-2.9127,-2.2809,1.86,-0.4293,2.817,28.7373,7.3548,0.807,9.778,1.9656,0.1053,1.5147,15.6
KUBGAS,227.55,34.5,-2.4339,-1.7444,1.88,-0.4323,2.8112,28.8362,7.3118,0.7877,9.781,1.9745,0.1131,1.612,11.9
NEBFIM,192.49,31.1,-2.5041,-2.0001,1.87,-0.4449,2.7863,28.7793,7.3779,0.7807,9.7693,1.9467,0.0753,1.5955,28.4
FUFJOI,259.74,48,-3.9236,-2.7691,2.06,-0.2989,2.8689,28.6174,7.4479,0.4182,9.8763,2.0068,0.0319,1.2173,45.3
MEBNAL,191.64,34.1,-2.6341,-1.3408,1.89,-0.4574,2.769,28.8424,7.3771,0.8003,9.7808,1.9726,0.0828,1.5146,18.6
GEKROG,178.54,30.8,-2.8036,-1.9862,1.86,-0.4441,2.7878,28.7591,7.3775,0.8134,9.8017,1.925,0.0653,1.5532,14.3
TEYQET,191.82,36.5,-3.5158,-2.9301,1.83,-0.3801,2.9051,28.7326,7.3083,0.8512,9.7408,1.8944,0.0851,1.6981,19.8
BOJYUV,186.34,31.5,-2.6633,-1.4816,1.89,-0.4595,2.7691,28.8656,7.3805,0.8029,9.7784,1.9624,0.0759,1.4632,18.2
AKEFII,208.59,33.8,-2.7013,-1.2509,1.89,-0.4591,2.7721,28.883,7.3741,0.8004,9.7778,1.9749,0.0731,1.5096,17.3
PAGZED,193.79,30.8,-2.4773,-1.905,1.88,-0.4472,2.7848,28.7854,7.3802,0.7744,9.7746,1.9808,0.1129,1.5637,17.7
ZAQHIK01,182.9,30.4,-2.6102,-1.5953,1.89,-0.4615,2.7645,28.8751,7.384,0.8041,9.7811,1.9781,0.0991,1.609,15.8
MIZMIT01,193.4,32.6,-2.9719,-1.8604,1.84,-0.43,2.8097,28.8294,7.3538,0.8104,9.7687,1.9583,0.0185,1.645,20.5
BOCMOV,185.11,31.6,-2.6328,-2.5806,1.88,-0.4522,2.7769,28.8234,7.3717,0.7955,9.7741,1.981,0.1145,1.6153,16.4
UBUFIJ,193.25,32.6,-2.8674,-1.8566,1.85,-0.4356,2.8186,28.8278,7.3604,0.8128,9.7721,1.973,0.0274,1.6767,19.3
AQARUF01,212.26,44.3,-2.5428,-0.3622,1.91,-0.4568,2.7678,28.8423,7.3458,0.7431,9.8164,1.9651,0.0244,1.5707,18.7
NUWPOL,240.27,56.7,-2.6385,-1.7674,1.92,-0.4336,2.7096,28.8142,7.3637,0.7666,9.8475,1.9447,0.0138,1.4977,12.6
ITEKUN,193.78,30.9,-2.5617,-2.1552,1.86,-0.4351,2.8023,28.7682,7.3733,0.7813,9.7641,1.9738,0.1071,1.5774,29
CURKIL,192.8,31.2,-2.5595,-2.0656,1.86,-0.4363,2.7986,28.7578,7.3709,0.7823,9.7623,1.9704,0.1074,1.5925,19
ECESUC,229.44,37.4,-3.1188,-2.2802,1.87,-0.434,2.8115,28.8733,7.3613,0.8259,9.7975,1.9705,0.0237,1.6685,16.9
UROWAB,192.38,41,-2.5827,-2.4072,1.88,-0.4113,2.8614,28.8186,7.3619,0.7953,9.7353,1.9978,0.0759,1.6323,19.4
FEFZAT,179.51,34.1,-2.6593,-1.2089,1.88,-0.4675,2.741,28.7905,7.4033,0.7997,9.8117,1.9407,0.0721,1.7366,16.4
RUCJIL,155.99,24,-2.5507,-2.5395,1.85,-0.4627,2.7554,28.9156,7.3938,0.8029,9.8027,1.9822,0.0726,1.6245,20.1
OQOSOD,224.6,40.5,-2.8806,-1.0614,1.89,-0.4586,2.7824,28.91,7.3525,0.7973,9.8285,1.9613,0.0337,1.3914,17.8
OJUGIM,205.28,41.4,-2.8541,-1.6779,1.88,-0.4485,2.779,28.7919,7.3839,0.8228,9.8009,1.9777,0.0965,1.466,14.3
APOTIJ,187.93,31.8,-2.7083,-1.7259,1.89,-0.4554,2.7765,28.8614,7.3778,0.8018,9.7704,1.9474,0.0849,1.4442,19.1
QEKCOY,191.7,31.6,-3.1572,-2.6782,1.85,-0.3957,2.8769,28.6969,7.3279,0.8065,9.7505,1.9738,0.1175,1.4928,18.2
BUXLOW,191.76,33.6,-2.7894,-2.0993,1.88,-0.4388,2.8061,28.8009,7.3693,0.8068,9.7649,1.9634,0.0928,1.5018,16.4
RIWPES,267.83,48.7,-4.0819,-2.827,2.06,-0.2883,2.9204,28.6622,7.4641,0.4483,9.8358,1.9511,0.0772,1.1241,52.8
QIJQEH,245.32,41.8,-3.2111,-2.7983,1.85,-0.3924,2.8794,28.7779,7.3318,0.7984,9.7969,1.9777,0.0322,1.2022,16.5
CIYVOX,186.07,39.9,-3.0992,-2.7259,1.86,-0.4374,2.8151,28.7787,7.362,0.7841,9.8058,1.9861,0.0361,1.1426,11.8
WUNZOW,184.78,30.4,-2.6229,-1.6152,1.89,-0.455,2.7698,28.8633,7.3785,0.7984,9.7718,1.9416,0.0728,1.4635,19.1
YEBBUC,260.37,39.8,-3.3803,-1.6185,1.94,-0.3323,2.9198,28.717,7.4347,0.545,9.8528,1.9792,0.0756,1.1559,34.3
KEVNUX,227.4,39,-2.5583,-1.9111,1.89,-0.4304,2.7831,28.9004,7.3412,0.8081,9.7769,1.9749,0.101,1.5096,15
LAQFIT,194.76,33.9,-2.9234,-1.5213,1.87,-0.448,2.7775,28.7619,7.3851,0.8272,9.8054,1.9701,0.0788,1.4624,14.9
CIZYAL,186.5,30.4,-3.4175,-3.056,1.83,-0.361,2.9219,28.6399,7.3126,0.8148,9.743,1.9645,0.0528,1.6566,15.5
GARROH,255.16,43.6,-3.2609,-2.8104,1.88,-0.3729,2.8867,28.7947,7.3132,0.8084,9.7494,1.969,0.0248,1.596,12
OKAGOW,223.59,41.7,-2.4731,-1.4005,1.9,-0.475,2.7548,28.8148,7.3686,0.745,9.843,1.9667,0.0167,1.2777,12.5
MUDZOB,179.42,34.7,-2.4025,-1.3758,1.89,-0.4668,2.7491,28.8942,7.3386,0.7328,9.7832,1.9656,0.1006,1.5657,16.1
SAPWEN,206.66,43.2,-2.4066,-1.2756,1.92,-0.4574,2.7469,28.8727,7.3221,0.7127,9.7778,1.9289,0.0852,1.75,16
WUBDAY01,180.96,28.3,-3.4719,-2.9735,1.8,-0.3629,2.9273,28.6519,7.3145,0.8366,9.7463,1.9692,0.0828,1.5751,20.3
KEWJOO,191.49,36.3,-2.5168,-0.8504,1.9,-0.4557,2.7394,28.8757,7.36,0.7186,9.7862,1.9713,0.0885,1.5584,17.4
JOWTAS,185,28.6,-4.0791,-3.5927,1.78,-0.2933,3.0308,28.6869,7.2624,0.8692,9.6972,1.9526,0.0909,1.666,23.1
DOWVUJ,197.14,33.7,-3.2485,-2.6136,1.84,-0.4399,2.821,28.6828,7.3826,0.8175,9.8116,1.9739,0.0385,1.3292,15.9
GADROT,262.45,44.3,-3.6128,-2.0022,1.96,-0.3478,2.9154,28.8173,7.4179,0.5379,9.8607,1.9837,0.0188,1.1917,40.2
FAGYER01,180.93,35.1,-2.7227,-2.484,1.86,-0.4313,2.8091,28.8438,7.324,0.7471,9.7489,1.9785,0.0987,1.5138,12.3
PAZBIC,185.16,28.6,-4.0583,-3.5702,1.78,-0.2959,3.024,28.6841,7.2659,0.8662,9.6977,1.9729,0.0763,1.6928,24.4
FAFNUX,262.05,50.9,-3.6751,-1.9622,2.01,-0.3393,2.8884,28.8002,7.4106,0.5145,9.8632,1.972,0.0209,1.2105,43.4
LIVSEQ,185.16,28.5,-4.114,-3.6292,1.78,-0.2896,3.0312,28.6817,7.2585,0.8679,9.6955,1.9622,0.0817,1.696,23.6
UGOJOP,181.24,35.9,-2.084,-1.5515,1.87,-0.4079,2.859,28.8493,7.2932,0.7996,9.756,1.9673,0.1063,1.5244,13.7
QQQFDJ03,155.63,25.9,-2.8079,-2.3462,1.85,-0.4533,2.7826,28.912,7.3908,0.82,9.785,1.9751,0.0765,1.6443,19.3
MOHVUB,186.47,32.3,-2.7211,-1.6794,1.89,-0.4547,2.7739,28.8632,7.3733,0.8028,9.7703,1.9776,0.1056,1.6206,16.6
CEBZIU,232.72,47,-3.2415,-1.6441,1.85,-0.4011,2.863,28.9069,7.2526,0.785,9.7113,1.9346,0.0742,1.5681,24.2
UBUYIC,205.1,32.8,-4.1447,-3.8575,1.81,-0.2889,3.0285,28.6933,7.2776,0.8504,9.7426,1.9698,0.0241,1.7466,23.6
UFUJUB,185.25,32.8,-2.6569,-1.2729,1.9,-0.4609,2.7617,28.8952,7.3752,0.8009,9.7794,1.9584,0.0889,1.4728,32.9
PIHLUO,200.07,39.5,-2.2562,-2.0842,1.88,-0.475,2.7634,28.9,7.3792,0.7565,9.8266,1.9794,0.0197,1.301,14.8
FASDOS,190.15,29.7,-3.3561,-3.0572,1.84,-0.3604,2.919,28.6225,7.3134,0.8023,9.7512,1.9807,0.094,1.5853,18.8
TASWAL,178.34,27.7,-3.7741,-3.5458,1.81,-0.3301,2.9704,28.6942,7.3061,0.8398,9.7438,1.971,0.079,1.6811,22.2
APAVIX,193.51,30.6,-2.818,-2.7963,1.88,-0.4046,2.8466,28.7284,7.34,0.7639,9.7542,1.9788,0.0897,1.6439,16.2
DIXKEA,180.85,29.6,-1.8154,0.5605,1.93,-0.4815,2.7055,28.9414,7.344,0.6778,9.7978,1.9614,0.0882,1.5586,22.7
QEKMIF,218.19,38.1,-2.8869,-2.3691,1.86,-0.4097,2.8512,28.7759,7.3492,0.8102,9.7447,1.9686,0.0206,1.5929,18
ODUSAJ,199.41,44,-2.871,-1.9858,1.86,-0.4334,2.7955,28.7865,7.3574,0.8276,9.7993,1.9527,0.0866,1.4589,13.4
SALQIH,186.32,31.5,-3.1142,-2.5838,1.85,-0.4119,2.8597,28.7859,7.3526,0.8415,9.7524,1.9586,0.0694,1.5446,15.7
OSIDAX,202.05,38.1,-3.5348,-3.1679,1.84,-0.364,2.9075,28.7125,7.2991,0.7973,9.7407,1.9767,0.0624,1.4442,18
QEVKOR,194.39,34.6,-2.5422,-1.8179,1.89,-0.459,2.7522,28.7201,7.3951,0.7646,9.7861,1.977,0.0663,1.6277,14.2
AQOPIG,265.5,49.8,-3.5241,-2.2438,2.08,-0.3,2.8452,28.6732,7.4295,0.3777,9.8538,1.9345,0.0178,1.1544,32.6
EVITAE,186.5,31.2,-2.8335,-2.1028,1.88,-0.4365,2.8141,28.8176,7.3682,0.8137,9.7586,1.967,0.076,1.4957,16.9
DUPFEA,178.27,29.3,-3.0843,-2.21,1.84,-0.44,2.803,28.8693,7.3679,0.8416,9.8107,1.971,0.0287,1.718,21.1
VEPKIL01,215.52,34.8,-2.3836,-0.0248,1.93,-0.484,2.729,28.9897,7.4144,0.7342,9.8422,1.9761,0.0252,1.2539,27.3
FURYUO,207.74,45.7,-2.8495,-1.9696,1.86,-0.3971,2.8321,28.8673,7.3051,0.7953,9.7163,1.9512,0.0875,1.7037,12.9
AJIZAU,184.36,30.4,-2.7173,-1.699,1.88,-0.452,2.7823,28.8447,7.3791,0.8103,9.7694,1.9745,0.0881,1.6077,16
ABORUE,258.97,42.9,-3.3787,-1.605,1.97,-0.3475,2.8585,28.7764,7.4184,0.516,9.8592,1.9822,0.0306,1.2068,34.4
SULHIT,213.98,37.1,-2.65,-1.2781,1.89,-0.4524,2.7769,28.9002,7.3572,0.8017,9.779,1.9725,0.1035,1.6292,15.4
XUYTIW,196.39,34.2,-2.3597,-1.0557,1.92,-0.4829,2.7444,28.9766,7.3796,0.7068,9.843,1.9828,0.0194,1.3003,24.4
FOHTOO,218.95,35.9,-2.7643,-2.1791,1.86,-0.4375,2.8133,28.829,7.3621,0.8021,9.7786,1.9565,0.0229,1.6057,18.8
MEVTUC,199.89,39.7,-2.444,-0.647,1.89,-0.4528,2.7577,28.7978,7.3744,0.7464,9.7924,1.9533,0.0752,1.4413,17.7
ACANAC12,208.05,40.5,-2.7247,-1.871,1.9,-0.4459,2.7898,28.8388,7.358,0.7607,9.7889,1.9623,0.0086,1.5134,18.7
QAPTUW,180.82,30.4,-3.3906,-3.022,1.83,-0.3804,2.9006,28.7722,7.3335,0.8255,9.7754,1.967,0.0257,1.6711,22
BAQVEX,194.15,31.3,-2.5588,-2.1257,1.87,-0.444,2.7838,28.7727,7.3669,0.7761,9.7954,1.9745,0.1135,1.6103,16.6
MXZTCE10,195.17,31.6,-3.2058,-2.5796,1.84,-0.4013,2.8632,28.7316,7.3529,0.8442,9.7505,1.9589,0.0681,1.4724,17.6
OCAVOG,225.65,36.2,-2.7423,-2.3244,1.87,-0.4343,2.8128,28.7607,7.3465,0.7354,9.7868,1.9759,0.0899,1.2097,17
COVPAE,196.56,32.9,-2.3596,-1.5857,1.91,-0.4565,2.7475,28.8835,7.3692,0.748,9.7726,1.9523,0.0534,1.5598,30.2
LUVCOU,181.15,29.5,-2.413,-1.2137,1.9,-0.4649,2.7336,28.8982,7.3801,0.7535,9.8,1.9715,0.0758,1.573,16
FEZXEQ,237.65,41.4,-2.9598,-2.4537,1.86,-0.4044,2.8985,28.8532,7.3384,0.7813,9.7843,1.9788,0.0297,1.3765,12.4
LUJXIA,197.51,33.3,-3.4299,-2.6289,1.82,-0.4009,2.8807,28.7968,7.3562,0.8372,9.7715,1.9539,0.034,1.174,20.1
VAFXEH,195.75,34.5,-2.7395,-2.129,1.87,-0.4343,2.8058,28.7767,7.3408,0.7552,9.7599,1.9573,0.1058,1.532,16.6
DOJRAY,226.46,40.2,-2.6652,-1.8143,1.9,-0.4377,2.7995,28.8526,7.334,0.7806,9.7722,1.975,0.0223,1.6095,13.7
WIGLOQ,186.29,31.6,-2.743,-1.784,1.89,-0.4514,2.7799,28.8642,7.373,0.8091,9.7672,1.9463,0.0775,1.457,32.7
JOXBEF,193.48,32.7,-3.1021,-2.3508,1.83,-0.4071,2.8702,28.7866,7.3551,0.8256,9.7405,1.963,0.0177,1.5624,19.6
BOJYIJ,185.11,31.6,-2.6784,-1.4121,1.88,-0.4573,2.7762,28.8701,7.3801,0.812,9.7786,1.9452,0.0829,1.4627,32.1
QUJZOL,193.73,33,-2.5178,-1.9239,1.87,-0.4396,2.7913,28.7338,7.3654,0.7638,9.7664,1.9543,0.085,1.5914,14.8
DONNIF,191.41,32.5,-2.8067,-2.1976,1.9,-0.442,2.7745,28.8762,7.3559,0.7369,9.7926,1.9595,0.0297,1.6649,16.2
GOCKIV,155.1,23.9,-2.727,-2.0666,1.85,-0.4611,2.7686,28.9288,7.391,0.8124,9.8,1.9723,0.0758,1.6353,21.1
VISSAR,255.55,59.2,-3.8924,-0.934,2.02,-0.3162,2.9681,28.7763,7.3828,0.5175,9.8732,1.9789,0.0165,1.5437,47.7
BUBBAE,183.56,31.6,-2.6053,-2.2243,1.87,-0.4326,2.7951,28.8205,7.3665,0.7733,9.7549,1.9804,0.0765,1.6853,21
SEVYIC,183.03,32.2,-3.2689,-2.5006,1.84,-0.4091,2.8639,28.7672,7.3528,0.8536,9.7428,1.9796,0.1087,1.6569,16
TUWBAO,195.46,41.4,-2.2885,0.1791,1.92,-0.4478,2.7737,28.833,7.3478,0.7592,9.8209,1.942,0.0711,1.6132,18.2
QUHDAY,179.34,37.8,-3.0371,-1.7885,1.85,-0.4349,2.8079,28.753,7.3644,0.8507,9.8047,1.9856,0.0995,1.5736,15.2
IKIZOT,192.5,30.1,-2.6403,-2.1946,1.86,-0.4284,2.7983,28.7388,7.3609,0.7805,9.7812,1.9475,0.0615,1.5708,16
EVUXEA,222.5,32.9,-3.0366,-1.9984,1.84,-0.422,2.8361,28.7959,7.3506,0.8169,9.7545,1.9363,0.0267,1.6812,19.6
MEDPEQ,218.74,43,-2.9903,-2.823,1.86,-0.3949,2.8609,28.759,7.3064,0.7754,9.7872,1.9355,0.0205,1.2102,11.9
BANTEP10,213.37,39.2,-3.4598,-2.6714,1.81,-0.3829,2.9023,28.7184,7.339,0.8449,9.7491,1.9822,0.0378,1.621,18.1
DOZFED,190.71,35.2,-2.3284,-0.9728,1.93,-0.4752,2.7284,28.8265,7.4057,0.7649,9.8327,1.9685,0.0852,1.643,15.2
CEJTEQ,230.86,40.9,-2.5919,-1.3863,1.91,-0.4547,2.7877,28.8749,7.3578,0.7592,9.801,1.967,0.0306,1.5921,11.7
NUGQEN01,215.16,41.5,-2.5934,-1.8767,1.91,-0.426,2.7598,28.8377,7.3371,0.7684,9.7936,1.9562,0.0986,1.681,13.2
APEVAU,183.33,32.9,-2.7183,-0.4807,1.89,-0.4598,2.7562,28.8402,7.4009,0.788,9.8162,1.9484,0.0543,1.6917,19.1
HABXEO,188.86,34.5,-2.88,-2.6866,1.88,-0.4298,2.8097,28.7623,7.3539,0.7917,9.7786,1.9645,0.0807,1.5858,15.7
PAMXEI,195.2,32.7,-2.9821,-2.2109,1.85,-0.4258,2.8346,28.7861,7.3617,0.8173,9.768,1.974,0.0275,1.6411,19.3
MESHAU,185.75,37.8,-3.6805,-3.2682,1.8,-0.3366,2.9544,28.7722,7.3107,0.8492,9.7556,1.9125,0.0722,1.5827,17.5
TANRIK,199.74,42.7,-2.4369,-1.546,1.93,-0.4441,2.745,28.9094,7.3533,0.7738,9.795,1.9685,0.0604,1.66,12.4
AFEBOC,184.78,32.5,-2.8928,-1.0669,1.87,-0.4449,2.7835,28.7921,7.3774,0.8157,9.8135,1.9793,0.1006,1.5043,16.8
COGPOE,204.09,32.5,-2.7407,-1.6999,1.89,-0.4517,2.7729,28.8507,7.3696,0.8049,9.7685,1.9686,0.1015,1.4639,18.2
QACCIJ,235.98,42.4,-2.274,-1.4969,1.92,-0.4402,2.7436,28.8044,7.3223,0.6759,9.7384,1.9989,0.0157,1.5367,10.2
HOKREG,207.5,44.3,-2.7543,-1.0016,1.91,-0.4479,2.7518,28.933,7.33,0.756,9.7725,1.9563,0.0515,1.571,32.9
MEPZUD,215.52,40.1,-2.6122,-1.9375,1.88,-0.4397,2.7879,28.7957,7.3584,0.7477,9.8046,1.9698,0.0983,1.1672,18.1
AZIJAW,210.5,40.7,-3.1744,-2.3047,1.86,-0.4276,2.8364,28.828,7.3634,0.8617,9.7658,1.9723,0.0169,1.6021,14.9
COJTUQ,172.32,29.7,-2.6274,-0.5761,1.9,-0.4704,2.7475,28.7786,7.3882,0.7696,9.835,1.9761,0.0051,1.5448,18.9
IYACUH,181.89,32.1,-2.8454,-1.8798,1.87,-0.4474,2.7927,28.8695,7.3785,0.805,9.8061,1.9745,0.0319,1.5248,12.2
HACBAO,176.29,28,-2.1968,0.3469,1.93,-0.4793,2.7267,28.8501,7.3495,0.6786,9.8311,1.974,0.0133,1.5035,15.7
CAMELL10,190.73,38.3,-1.9192,-1.1183,1.92,-0.4815,2.7576,28.8837,7.4329,0.7814,9.8053,1.9748,0.0821,1.4561,23.1
SOMFOR01,257.85,48.3,-3.4463,-2.348,2.12,-0.3096,2.8276,28.6234,7.4554,0.3779,9.89,1.9768,0.0217,1.2015,44.3
CUNQUY,156.71,24.1,-2.7645,-1.8336,1.85,-0.4573,2.7699,28.9172,7.3849,0.8146,9.7987,1.971,0.0696,1.6235,21.9
PETNIO,214.67,35,-2.8908,-2.2984,1.85,-0.4246,2.8413,28.8,7.3558,0.8136,9.7669,1.9696,0.0306,1.645,17
HIHHIP,180.29,36,-1.9381,0.1896,1.93,-0.4754,2.7331,28.9242,7.3567,0.6907,9.798,1.9882,0.0694,1.7152,20.1
SATFID,221.26,38.7,-2.7371,-1.7146,1.87,-0.4399,2.7742,28.7651,7.3878,0.7407,9.8129,1.9507,0.0282,1.6453,15.9
XIKNUA,229.09,44.3,-2.7458,-1.3654,1.89,-0.4448,2.7791,28.8756,7.3393,0.7476,9.8103,1.9666,0.0216,1.1871,14.1
BEKKOU,187.09,32.7,-3.4322,-2.7994,1.81,-0.383,2.8767,28.8128,7.325,0.8368,9.7408,1.9557,0.0407,1.6755,27.7
XURKUS,185.47,31.6,-3.2658,-2.3433,1.83,-0.4176,2.8196,28.7334,7.3739,0.8277,9.7883,1.9858,0.0809,1.4726,14.4
PONNAI,190.64,30.4,-2.5437,-2.1371,1.87,-0.4429,2.7854,28.7814,7.3812,0.7796,9.7821,1.9714,0.086,1.5547,16.2
IDIYUR,170.83,33,-2.8639,-1.9743,1.87,-0.4497,2.7895,28.7085,7.3763,0.8084,9.8126,1.9815,0.023,1.7184,16.6
MAYHEC,200.19,44.9,-3.1651,-2.2959,1.84,-0.4095,2.8136,28.8123,7.3437,0.8513,9.795,1.9102,0.0778,1.4783,16.8
HUKROU,188.61,34.7,-3.0623,-1.7434,1.85,-0.4552,2.8006,28.818,7.3768,0.8342,9.8279,1.9701,0.0351,1.3989,20.1
KEHWIF,207.59,35.8,-2.6993,-2.3678,1.91,-0.4267,2.8178,28.8713,7.3544,0.7623,9.7701,1.9847,0.0218,1.5524,14.7
GLTYCH,282.2,43,-3.6657,-0.9306,2.02,-0.2839,2.9637,28.6605,7.4585,0.4597,9.8643,1.9836,0.0898,1.6189,52.4
VUFMOY,199.32,36.4,-2.8371,-2.3206,1.88,-0.4247,2.8312,28.807,7.3631,0.7897,9.7457,1.8739,0.054,1.4637,34.4
MERYUE,183.11,33.6,-2.2783,-2.0322,1.92,-0.4753,2.7358,28.8333,7.4377,0.7592,9.7899,1.9795,0.1035,1.5312,12.3
BICLUW,218.6,34.5,-2.8852,-2.6892,1.86,-0.4168,2.84,28.8118,7.3531,0.7766,9.8081,1.9628,0.0285,1.2036,13.7
JELQOH,155.3,23.9,-2.7101,-2.0308,1.85,-0.4622,2.766,28.9308,7.3947,0.8103,9.8012,1.9749,0.0677,1.6158,21.9
POJXIW,181.08,33.1,-2.4473,-2.0763,1.88,-0.4608,2.7561,28.8438,7.3864,0.7812,9.7797,1.9766,0.1026,1.538,18.7
IXIWOC,223.61,44.1,-3.7579,-2.9836,1.87,-0.3496,2.8442,28.762,7.2983,0.7659,9.7838,1.9837,0.0207,1.2067,20.8
VELZOB,188.28,31.5,-2.5689,-1.7954,1.91,-0.4604,2.7688,28.8673,7.3839,0.7663,9.7814,1.9615,0.0175,1.6818,28.3
GEQXAE,181.54,28.4,-3.3662,-2.8862,1.8,-0.378,2.8907,28.7519,7.3412,0.8411,9.7645,1.9451,0.0747,1.6835,19.4
KEBARH,164.43,26.8,-2.6455,0.521,1.89,-0.4756,2.7522,28.933,7.3853,0.7378,9.8312,1.9688,0.0196,1.5017,22.5
DEGDAV01,237.99,40.2,-2.5714,-2.1984,1.88,-0.3965,2.8725,28.781,7.2624,0.7739,9.7527,1.9614,0.1201,1.5214,14.3
BENGOT,212.99,46.1,-2.3883,-0.9398,1.91,-0.4339,2.791,28.9072,7.3155,0.7599,9.7624,1.9332,0.093,1.4074,18.2
XABWAA,225.94,39.5,-3.0113,-2.1432,1.84,-0.4067,2.8524,28.781,7.3506,0.765,9.7864,1.9804,0.0249,1.1681,17.8
VOQSIG,199.03,33.2,-2.6188,-1.8381,1.88,-0.4436,2.7847,28.8019,7.3634,0.7811,9.7765,1.9729,0.092,1.6796,15.3
NIPLIH,186.18,31.1,-2.8072,-1.6546,1.86,-0.4425,2.7916,28.8033,7.379,0.7976,9.798,1.9657,0.0276,1.6902,21.6
QEVRAN,185.49,31,-2.7443,-2.2419,1.88,-0.4339,2.804,28.7888,7.3668,0.7859,9.7622,1.9813,0.1105,1.628,18.3
IQIXEM,186.37,31.3,-2.5458,-1.5555,1.89,-0.4552,2.7636,28.8521,7.3572,0.7266,9.7879,1.9648,0.0249,1.6481,15.6
RUSNEB,197.26,32.4,-2.4181,-1.7944,1.91,-0.448,2.7598,28.873,7.3653,0.7518,9.7659,1.9437,0.0643,1.5181,30.1
