Ligand,Bite Angle (°),HOMO Energy (eV),Lowdin Charge (Cu),Bonded Valence (Cu),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge L2(px),Orbital Charge L2(dxz),Ea
SIMZUJ,81.78,-2.4533,0.2295,1.8031,6.4465,12.5048,9.8192,1.9483,1.3522,0.0207,2
SIVVUO,88.04,-3.5647,0.27,2.2787,6.4041,12.5751,9.7508,1.9789,1.1137,0.0494,20.8
SIVYUR,96.04,-3.3301,0.4552,1.9513,6.377,12.4229,9.7448,1.9067,1.5732,0.0701,14.9
SIZCOT,91.63,-2.7215,0.3386,1.8553,6.4184,12.4558,9.7872,1.9438,1.6144,0.0942,16.8
SNQXSO,85.56,-4.0903,0.4391,2.478,6.3415,12.5639,9.6556,1.9674,1.1576,0.0232,18.8
SODRUA,79,-3.4315,0.2692,1.9766,6.4871,12.5005,9.7431,1.9104,1.5555,0.0794,28.1
SODTOW,81.57,-3.5771,0.2894,2.1251,6.4255,12.5309,9.7543,1.8928,1.4996,0.0724,18.8
SOGSUC,89.44,-3.0967,0.3822,1.8951,6.3652,12.4474,9.8052,1.9817,1.6095,0.056,7.4
SOHCOI,79.4,-3.9911,0.3453,2.2148,6.4162,12.5086,9.7298,1.9372,1.1972,0.0316,-18.4
SOHXAO01,87.98,-3.3091,0.5047,2.2391,6.3374,12.47,9.6878,1.9709,1.481,0.1007,21.2
SOLPEP,79.6,-3.3953,0.2633,1.9589,6.4826,12.5059,9.7482,1.8942,1.2911,0.0138,27.3
SOMCAA,81.47,-2.9521,0.137,1.9733,6.4501,12.5847,9.8282,1.9307,1.2257,0.0206,20.9
SORTEY,69.94,-3.4761,0.2748,1.8918,6.5427,12.4526,9.7298,1.8983,1.487,0.0716,31.6
SOYCAM,71.99,-3.1736,0.244,1.851,6.5613,12.4497,9.745,1.9523,1.695,0.0484,30.6
SOYSUV,81.68,-3.2269,0.3275,2.0861,6.3907,12.5052,9.7766,1.9382,1.5466,0.089,13.1
