Ligand,Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Cu-N (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (L1),Bonded Valence (L2),Atomic Population (Cu),Atomic Population (N),Atomic Population (L1),Atomic Population (L2),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(dxz),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L1(dx2y2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge L2(dx2y2),Ea
MIZPUG,73.76,165.53,1.55,6.06,6.19,30.9,22.4,12.3,458.76,-1.7244,-0.314,1.89,2.56,1.88,0.2954,-0.4583,-0.8273,-0.456,1.6967,2.8146,1.9295,2.0362,29.0038,7.3056,8.5772,8.4136,0.8404,0.6854,0,3.2139,1.1936,1.3914,1.5853,6.5498,12.3931,4.0642,4.18,4.1489,9.7617,1.9524,1.9631,1.8875,1.961,1.9977,1.4378,1.7128,0.0911,0.1054,0.0798,0.1133,0.0453,1.5367,1.5311,1.5487,0.3041,0.0722,0.0502,0.0571,0.0522,0.0725,15.9
MMALAC,47.4,131.64,1.97,4.6,7.64,21.2,16.4,10.2,461.47,-3.0404,-0.5955,3.02,1.88,1.84,0.3217,-0.465,-0.4938,-0.6551,1.5214,2.7793,2.0595,1.996,28.7564,7.3486,8.4048,8.6474,0.8294,0,0.519,3.2034,1.3171,1.3984,1.4718,6.5479,12.3608,4.1387,4.1267,4.0955,9.7696,1.9028,1.9525,1.9556,1.9695,1.9892,1.527,1.5763,0.0523,0.0681,0.0341,0.0792,0.0309,1.6748,1.5577,1.5081,0.4365,0.0841,0.0982,0.0908,0.085,0.0783,23.5
MNAPOD10,110.29,211,2.53,7.44,9.63,36.3,30,22.2,695.7,-3.1882,-2.1422,1.95,2,1.85,0.4009,-0.4048,-0.572,-0.5734,2.0454,2.8071,2.1723,2.094,28.7724,7.3277,8.4382,8.4438,0.7961,0.4802,0.47,3.1952,1.4941,1.2887,1.3511,6.3271,12.4986,4.1588,4.1643,4.1755,9.7734,1.9343,1.9291,1.9833,1.9313,1.9954,1.4421,1.5565,0.0895,0.0718,0.1019,0.0649,0.1133,1.4331,1.689,1.5084,0.4365,0.0414,0.0816,0.1287,0.0508,0.134,13.3
MOFQED,70.58,179.6,3.47,6.87,8.69,38.8,34.8,23,651.07,-2.9476,-0.9527,2.39,1.92,1.87,0.4194,-0.4715,-0.6786,-0.6992,1.5609,2.7738,1.6998,1.7074,28.7694,7.3242,8.4307,8.5279,0.838,0,0.4083,3.2164,1.2233,1.6229,1.3358,6.4427,12.3466,4.0967,4.1408,4.1091,9.7913,1.935,1.9311,1.9476,1.9858,1.9918,1.6616,1.6306,0.0696,0.1273,0.1291,0.0825,0.1301,1.6661,1.6169,1.3994,0.5767,0.0871,0.142,0.1378,0.0712,0.1386,15.1
MOGLAW,67.97,164.21,1.87,7.36,8.86,32.7,28.9,21.6,611.61,-2.6829,-1.0684,1.86,2.87,1.86,0.314,-0.48,-0.8413,-0.4842,1.6748,2.7597,1.9302,2.1331,28.8943,7.3526,8.5942,8.4082,0.797,0.6965,0,3.2115,1.2259,1.3234,1.644,6.5473,12.3802,4.0998,4.1683,4.1121,9.7585,1.8925,1.9656,1.9517,1.9834,1.9654,1.4624,1.7146,0.118,0.1011,0.0788,0.0987,0.0581,1.4451,1.4666,1.7258,0.3202,0.0796,0.0563,0.0769,0.0467,0.0607,27.4
MOHVOV,86.57,187.52,1.55,8.8,8.62,31.5,22.4,14.7,599.52,-2.8489,-2.2161,1.93,2.01,1.87,0.424,-0.4288,-0.6832,-0.5348,2.0342,2.8174,2.0453,1.9509,28.8112,7.3562,8.5271,8.4649,0.8079,0.5412,0.3897,3.2133,1.1943,1.3633,1.5841,6.3847,12.4406,4.0718,4.2092,4.1596,9.7507,1.9394,1.9519,1.9608,1.9616,1.937,1.5038,1.5995,0.0985,0.0701,0.0704,0.0944,0.0679,1.5064,1.6753,1.4586,0.3887,0.096,0.0878,0.0586,0.0905,0.0558,22.9
MOJTUA,86.74,187.77,2.03,8.23,9.41,29.8,22,18.3,700.76,-2.5807,-2.3613,1.97,1.97,1.85,0.4096,-0.4052,-0.6053,-0.8529,2.1464,2.8161,2.1474,1.7931,28.7495,7.347,8.4819,8.5538,0.7544,0.49,0.5306,3.2078,1.2589,1.3041,1.5582,6.3796,12.4906,4.1091,4.1843,4.1971,9.7202,1.8997,1.9374,1.9567,1.9752,1.9513,1.5575,1.523,0.0627,0.0759,0.0839,0.0788,0.0933,1.73,1.4764,1.6752,0.3919,0.0849,0.0487,0.1033,0.0613,0.0938,-10
MOPBEZ,93.95,248.52,2.19,11.97,8.04,41.2,31,21.2,754.36,-2.346,-1.4208,2.01,1.98,1.95,0.279,-0.4636,-0.7338,-0.1533,1.9105,2.75,1.9029,3.2173,28.9021,7.3554,8.5552,7.1491,0.7217,0.4371,0.4893,3.2271,1.4188,1.3108,1.4341,6.4066,12.49,4.2127,4.1924,4.0849,9.8245,1.9324,1.99,1.9629,1.9755,1.9637,1.4614,1.6938,0.1153,0.1,0.0357,0.1276,0.0351,1.2493,1.2977,1.345,0.0924,0.0181,0.0156,0.015,0.0313,0.0124,22.5
MOPHIK,80.67,231.99,1.88,8.02,9.79,37.8,28.5,17.4,627.6,-3.2832,-2.9804,2.07,2,1.86,0.346,-0.391,-0.0533,-0.6477,2.0599,2.8722,3.1063,2.0561,28.8153,7.3454,7.0185,8.5469,0.8191,0.4929,0.4603,3.2083,1.409,1.418,1.2813,6.3897,12.4871,4.1377,4.1964,4.1529,9.7773,1.9348,1.9656,1.9727,1.9562,1.9481,1.2255,1.4257,0.0166,0.0299,0.024,0.0177,0.0279,1.5154,1.5507,1.6377,0.4271,0.0906,0.0791,0.0888,0.088,0.0806,11.9
MOSLOW,84.4,181.55,1.55,6.34,6.92,30,19.7,12.6,513.26,-2.5474,-1.4487,2.1,1.96,1.9,0.3698,-0.4676,-0.52,-0.6848,1.7937,2.7541,2.0241,2.0272,28.885,7.3914,8.457,8.5308,0.8021,0.2975,0.5368,3.2181,1.4628,1.4145,1.2985,6.4287,12.4094,4.1896,4.1337,4.086,9.7922,1.9064,1.9936,1.9789,1.9546,1.9586,1.4792,1.5767,0.058,0.0702,0.0849,0.0583,0.0878,1.5571,1.6252,1.5946,0.3921,0.0759,0.0591,0.0952,0.0655,0.0964,19.5
MOSYAV,81.29,211.52,1.89,10.18,7.66,39.7,30.2,18.7,668.89,-3.5221,-2.5799,1.89,2.2,1.82,0.2905,-0.3998,-0.0329,-0.5137,2.1157,2.8919,3.3522,2.0339,28.8225,7.327,6.9586,8.4621,0.866,0.6549,0.2356,3.1989,1.3775,1.34,1.4077,6.4231,12.5309,4.1614,4.2271,4.1424,9.7556,1.8982,1.9867,1.9457,1.9528,1.9722,1.3174,1.2596,0.0189,0.0189,0.0325,0.0216,0.0279,1.5013,1.5176,1.6171,0.3554,0.0757,0.0599,0.072,0.0578,0.0901,23.3
MOTCII,81.33,211.69,1.93,9.4,7.69,39.8,30.3,18.9,668.87,-3.527,-2.6122,2.2,1.89,1.82,0.2916,-0.3988,-0.5153,-0.0327,2.1149,2.8937,2.0356,3.3558,28.818,7.3253,8.4634,6.9598,0.8645,0.2363,0.6537,3.1991,1.4056,1.292,1.4264,6.422,12.5307,4.1685,4.2043,4.1578,9.7558,1.9104,1.9711,1.9497,1.9403,1.9843,1.4851,1.5614,0.0739,0.062,0.0763,0.056,0.0873,1.3329,1.2009,1.2285,0.1198,0.0196,0.0192,0.0263,0.0193,0.0354,23.4
MOXCPB10,85.03,226.71,1.69,9.51,6.57,45.5,31.6,20.1,641,-3.1573,-1.6813,1.81,2.17,1.86,0.4973,-0.4252,-0.553,-0.5197,2.4539,2.8577,2.0497,1.9833,28.9086,7.3334,8.3599,8.4239,0.8269,0.6112,0.2714,3.2156,1.3386,1.3338,1.463,6.2957,12.4702,4.0742,4.2183,4.1778,9.7368,1.9588,1.9814,1.9195,1.885,1.9921,1.4635,1.5165,0.0778,0.0753,0.0778,0.0989,0.0698,1.5109,1.5157,1.612,0.3738,0.0522,0.0883,0.0587,0.1075,0.067,19
MOYWUU,82.12,202.57,1.99,6.64,7.59,35.4,25.6,18,591.3,-3.206,-2.3207,2.01,2,1.84,0.1679,-0.4258,-0.1363,-0.1369,2.0783,2.8464,3.1408,3.1503,28.8262,7.3528,7.1402,7.1476,0.8258,0.4517,0.4645,3.2019,1.5186,1.4023,1.2268,6.4365,12.6014,4.208,4.2085,4.1849,9.7942,1.9314,1.9763,1.9692,1.9271,1.9903,1.3327,1.213,0.0218,0.0133,0.0211,0.0147,0.0225,1.2875,1.3861,1.2131,0.0933,0.0124,0.0217,0.025,0.0159,0.0183,19
MOYXAB01,82.12,202.57,1.99,6.64,7.59,35.4,25.6,18,591.28,-3.2084,-2.3208,2,2.01,1.84,0.1678,-0.4259,-0.1369,-0.1363,2.0784,2.8462,3.1512,3.1395,28.8266,7.3525,7.1482,7.1395,0.8264,0.4656,0.4503,3.202,1.5209,1.3998,1.2269,6.4366,12.6014,4.2069,4.2098,4.1847,9.7942,1.9303,1.9773,1.9695,1.9275,1.9896,1.286,1.3872,0.0125,0.0216,0.0251,0.0159,0.0182,1.3328,1.2136,1.3388,0.0933,0.0217,0.0133,0.021,0.0145,0.0228,19
MPYDCX01,94.66,197.52,1.66,4.64,7.49,34,20.9,10.8,451.59,-2.5962,-2.3494,2.32,1.93,1.89,0.1811,-0.4301,0.0381,-0.6048,2.1304,2.8007,2.0985,1.9755,28.8587,7.3633,16.4053,8.4674,0.7438,0.6136,0.4593,3.2177,1.3353,1.4088,1.3947,6.4485,12.5647,4.1364,4.2229,4.2054,9.8057,1.9214,1.9639,1.9734,1.9788,1.9683,3.306,3.6211,0.0112,0.0301,0.0071,0.0161,0.0102,1.4712,1.6863,1.5544,0.3897,0.0718,0.0924,0.0658,0.1003,0.0594,20.9
MRUBFN,84.45,183.27,1.55,9.53,8.24,31.4,22.7,14.8,631.91,-2.6282,-1.7756,1.96,2.04,1.86,0.4189,-0.4347,-0.6324,-0.7016,1.962,2.7939,2.0537,1.8832,28.8042,7.3706,8.4822,8.633,0.7802,0.5163,0.4153,3.2018,1.385,1.3954,1.3781,6.3808,12.4312,4.1912,4.1374,4.1026,9.7691,1.9183,1.9799,1.9736,1.9514,1.9459,1.5329,1.5826,0.078,0.0516,0.1011,0.0559,0.1021,1.5598,1.5348,1.6447,0.4424,0.0776,0.073,0.123,0.0739,0.0949,17.1
MUFLAA,91.64,194.74,1.82,6,11.81,30.4,19.7,10.6,598.75,-2.871,-2.4291,1.99,1.9,1.86,0.4281,-0.405,-0.5818,-0.618,2.0841,2.8545,1.8946,2.1489,28.7042,7.3526,8.4746,8.4689,0.7916,0.3866,0.5218,3.2104,1.3894,1.3834,1.3469,6.3559,12.4803,4.1805,4.1387,4.1611,9.7358,1.8845,1.9662,1.965,1.9722,1.9479,1.4642,1.645,0.0805,0.0927,0.0445,0.0894,0.055,1.4586,1.5934,1.6512,0.4115,0.0845,0.0707,0.0877,0.0746,0.0941,15.8
MUGRAI,82.95,203.54,1.96,6.92,7.89,35.7,25.4,15.9,579.82,-3.455,-2.957,2.06,1.93,1.84,0.2309,-0.3775,-0.1452,-0.1419,2.2032,2.9135,3.0823,3.2134,28.7793,7.3229,7.1345,7.1423,0.8267,0.3906,0.606,3.2092,1.3195,1.3042,1.4683,6.422,12.5951,4.1643,4.2375,4.1934,9.752,1.9014,1.9717,1.9459,1.9609,1.972,1.316,1.2042,0.0235,0.009,0.0261,0.0111,0.0221,1.2817,1.3974,1.2145,0.0933,0.0149,0.0184,0.024,0.0159,0.02,18.8
MUTWON,84.99,194.78,1.81,9.35,7.9,35.6,25.7,16.8,695.18,-3.2619,-2.6262,1.97,2.05,1.85,0.4004,-0.3887,-0.6461,-0.1611,2.0657,2.886,2.0295,3.1265,28.7305,7.3419,8.4904,7.2129,0.8182,0.4542,0.404,3.2079,1.255,1.4209,1.4308,6.3784,12.4624,4.0621,4.2173,4.183,9.7588,1.9745,1.9439,1.9493,1.9562,1.9348,1.5163,1.6935,0.0934,0.0927,0.0734,0.1009,0.067,1.2314,1.4014,1.2748,0.0853,0.0233,0.0153,0.0169,0.0201,0.0097,14.4
MUTXAA,105.77,205.29,2.26,12.13,8.03,34.4,24.2,15.2,683.3,-2.3926,-2.3831,1.94,2.05,1.89,0.3981,-0.4176,-0.8471,-0.6504,1.9805,2.7785,1.8645,1.9882,28.737,7.3439,8.5315,8.532,0.7069,0.5395,0.3534,3.2136,1.2399,1.4656,1.4243,6.3656,12.4701,4.1291,4.17,4.1709,9.7662,1.9485,1.9062,1.9611,1.9772,1.9732,1.6121,1.6565,0.0829,0.0938,0.0887,0.0769,0.0733,1.5058,1.5493,1.6798,0.4,0.0952,0.0642,0.0778,0.0856,0.0771,14.3
MXNSAC20,82.45,189.37,1.72,9.7,8.42,31.5,20,10.7,559.4,-3.4929,-2.7232,1.95,2.01,1.81,0.3311,-0.3746,0.1664,-0.6715,2.1666,2.9075,3.2495,2.0497,28.7409,7.3401,6.9745,8.5658,0.8276,0.6083,0.4079,3.1988,1.3393,1.2897,1.4695,6.3905,12.5435,4.1659,4.1982,4.1795,9.7349,1.8979,1.9587,1.9342,1.962,1.9822,1.3302,1.1742,0.0144,0.0253,0.0365,0.0254,0.0277,1.5081,1.517,1.7067,0.4148,0.088,0.0698,0.0927,0.0737,0.0907,18.9
MXZTCE10,97.27,195.17,1.55,5.8,7.69,31.6,22.2,14.1,513.71,-3.2058,-2.5796,1.96,2.08,1.84,0.4614,-0.4013,-0.5846,-0.5832,2.0036,2.8632,2.1157,2.0047,28.7316,7.3529,8.4957,8.4589,0.8442,0.4809,0.3603,3.2076,1.2757,1.2961,1.5465,6.3583,12.4299,4.0864,4.1583,4.1851,9.7505,1.8983,1.9684,1.9589,1.9581,1.9668,1.5795,1.5417,0.0629,0.0858,0.0681,0.073,0.0692,1.5035,1.7084,1.4724,0.3638,0.0617,0.0847,0.0523,0.0906,0.0744,13.7
NADVUN,82.68,203.23,2.94,5.61,13.32,35.6,25.3,15.8,776.51,-3.3253,-2.527,2,2,1.84,0.1829,-0.4104,-0.1349,-0.1343,2.111,2.8606,3.1546,3.1417,28.7969,7.3524,7.1458,7.1354,0.8231,0.4826,0.4707,3.2025,1.4967,1.4282,1.2065,6.4284,12.6067,4.1997,4.2137,4.1933,9.7821,1.9323,1.9745,1.973,1.919,1.9832,1.2796,1.3946,0.0109,0.022,0.0271,0.0137,0.0188,1.3141,1.2146,1.3536,0.0925,0.02,0.0135,0.021,0.0144,0.0235,18.9
NARCAN,81.59,241.8,3.21,10.9,8.42,48.1,39.7,21.9,737.74,-2.6266,-2.3274,2,1.99,1.89,0.2266,-0.428,-0.2041,-0.1472,2.0838,2.8136,2.8213,3.1538,28.8266,7.3386,7.2827,7.0967,0.7626,0.4698,0.463,3.2162,1.3648,1.5961,1.1771,6.4303,12.5492,4.2214,4.1661,4.1616,9.794,1.9516,1.9794,1.9792,1.9181,1.9656,1.4063,1.1938,0.0201,0.0082,0.0207,0.0105,0.0189,1.2047,1.4713,1.2061,0.0945,0.0153,0.0176,0.0312,0.0117,0.0187,37.7
NATSEJ,82.16,193.79,1.87,11.2,7.61,33.7,23.9,13.8,618.25,-3.333,-2.4183,2.03,1.97,1.83,0.1755,-0.4173,-0.1478,-0.0806,2.1409,2.8504,3.1884,3.1565,28.818,7.3626,7.099,6.9466,0.8375,0.4375,0.528,3.2013,1.4216,1.2622,1.4558,6.4289,12.6073,4.1854,4.2149,4.2071,9.7883,1.9325,1.966,1.9619,1.9365,1.9913,1.2467,1.2054,0.0174,0.0111,0.0287,0.0106,0.0213,1.3061,1.302,1.1701,0.1263,0.0162,0.0253,0.0355,0.017,0.0323,20.2
NATSIN,82.21,193.96,1.89,8.99,7.57,33.8,24,13.9,574.45,-3.3416,-2.4471,2.03,1.97,1.83,0.1798,-0.4164,-0.1474,-0.0795,2.1486,2.8514,3.1854,3.168,28.8137,7.364,7.1012,6.9454,0.8373,0.4336,0.5361,3.2011,1.4917,1.43,1.2172,6.4278,12.6063,4.2007,4.2186,4.187,9.786,1.9391,1.963,1.9632,1.9329,1.9878,1.3487,1.2076,0.0237,0.0106,0.0215,0.0155,0.0179,1.2734,1.3242,1.179,0.1262,0.0183,0.0242,0.0349,0.0183,0.0305,21
NATTIO,82.23,193.8,1.86,11.29,8.14,33.8,23.9,13.8,644.01,-3.3086,-2.3781,2.02,1.98,1.83,0.1723,-0.4191,-0.1489,-0.0843,2.1344,2.8438,3.1935,3.1373,28.818,7.3656,7.0997,6.9527,0.8318,0.4479,0.5177,3.2007,1.4998,1.4227,1.2196,6.4292,12.6085,4.1998,4.2195,4.1891,9.79,1.9396,1.9617,1.9652,1.9315,1.9921,1.3495,1.2064,0.0236,0.0107,0.0216,0.0148,0.0185,1.2744,1.3305,1.1764,0.126,0.0179,0.0244,0.0357,0.0183,0.0298,20
NAYTAJ,81.93,235.16,1.79,7.58,7.43,41.1,30.7,18.7,583.28,-3.2872,-2.8904,1.97,2.04,1.84,0.2361,-0.3961,-0.1247,-0.2073,2.1376,2.8668,3.192,3.1585,28.7667,7.3356,7.2382,7.1627,0.784,0.6001,0.4055,3.2043,1.3662,1.4949,1.2555,6.416,12.5721,4.1561,4.2193,4.1966,9.7759,1.9538,1.9139,1.9723,1.942,1.9938,1.3586,1.1972,0.023,0.0108,0.0246,0.0142,0.0202,1.3303,1.4165,1.2098,0.091,0.0128,0.0166,0.0298,0.013,0.0189,21.1
NEBPIW,63.73,163.74,2.51,7.76,10.6,24.5,19.2,13.8,698.54,-3.6006,-2.8429,3.13,1.78,1.78,0.3787,-0.4197,-0.1316,-0.5291,1.7135,2.8979,3.1725,2.3331,28.5685,7.2849,7.2594,8.5434,0.8746,0,0.4562,3.1902,1.4707,1.4184,1.2651,6.4798,12.4143,4.1727,4.1711,4.0705,9.7271,1.8912,1.9724,1.9509,1.9474,1.9652,1.4638,1.2575,0.0153,0.0225,0.0342,0.0099,0.0381,1.4976,1.6449,1.5316,0.4178,0.0832,0.0806,0.0835,0.0801,0.0903,-18.9
NECCAC,84.65,183.1,2.82,8.55,10.09,28.9,22.7,17.4,773.35,-3.6153,-3.0721,2.16,1.88,1.79,0.4179,-0.3524,-0.6092,-0.5328,2.03,2.9485,1.9998,2.2051,28.7214,7.3033,8.5334,8.4925,0.8524,0.3179,0.5979,3.1974,1.4107,1.3908,1.2743,6.3771,12.4767,4.1699,4.1886,4.1181,9.7284,1.9028,1.9822,1.9695,1.9092,1.9647,1.5459,1.4992,0.0744,0.0598,0.078,0.0621,0.0846,1.4496,1.644,1.5431,0.3913,0.0768,0.0792,0.0819,0.078,0.0754,16.8
NELNID,81.38,227.68,2.11,7.82,6.04,40.5,29.8,15.2,525.07,-3.0906,-2.3729,2.07,1.98,1.85,0.2451,-0.4009,-0.103,-0.2637,2.1283,2.8598,3.0622,3.0629,28.7832,7.3377,7.0484,7.2434,0.769,0.4788,0.518,3.2061,1.2666,1.3883,1.4654,6.4242,12.5488,4.1709,4.2082,4.1697,9.782,1.9207,1.9367,1.9765,1.9952,1.9529,1.3343,1.3338,0.0109,0.0321,0.0232,0.0187,0.0293,1.3991,1.1862,1.4149,0.0843,0.0204,0.0086,0.0266,0.0101,0.0186,16.8
NERDOE,75.65,194.58,2.33,6.52,7.75,36.6,29.8,17.6,561.11,-3.3253,-2.3005,1.85,2.7,1.81,0.2476,-0.4386,-0.1761,-0.1323,1.9407,2.8628,3.1069,2.8744,28.8089,7.3403,7.0664,6.9866,0.8563,0.7222,0,3.1976,1.5172,1.1916,1.4584,6.5257,12.4781,4.2103,4.078,4.1897,9.7486,1.9653,1.8999,1.9678,1.9453,1.9703,1.3597,1.213,0.0249,0.011,0.0202,0.0132,0.0197,1.3103,1.3004,1.1486,0.1176,0.0178,0.0221,0.0272,0.0237,0.0268,27.2
NERPUX,83.62,190.12,1.65,8.2,5.67,33.9,23.4,12.3,511.58,-3.6085,-3.0045,1.95,1.93,1.82,0.308,-0.3559,-0.1276,-0.1236,2.4249,2.9513,3.1033,3.1383,28.7572,7.3286,6.9827,7.0921,0.8369,0.5115,0.6472,3.2158,1.2954,1.3962,1.3727,6.3956,12.589,4.2028,4.2445,4.1417,9.7074,1.9713,1.8664,1.9697,1.9964,1.9037,1.2817,1.3133,0.0219,0.0195,0.0286,0.0258,0.0235,1.2553,1.1944,1.349,0.1176,0.0194,0.0155,0.0352,0.0153,0.0322,19.5
NEWLIK,85.43,208.03,2.35,8.44,8.33,33.4,30.5,23.4,668.88,-2.5766,-2.0659,1.98,1.93,1.86,0.385,-0.4248,-0.76,-0.5699,2.1253,2.8137,1.6903,2.1626,28.8655,7.3538,8.6525,8.4614,0.7808,0.5644,0.5538,3.2143,1.3852,1.3005,1.4489,6.3828,12.4849,4.1365,4.1832,4.1652,9.7473,1.9244,1.9346,1.8974,1.9886,2.0023,1.6009,1.4934,0.0901,0.0727,0.0912,0.0957,0.0967,1.4836,1.5213,1.6502,0.3996,0.0901,0.0834,0.0647,0.0975,0.0637,20
NICCEH,79.5,212.97,2.17,7.85,6.2,35.7,27.3,16.7,553.03,-2.9351,-1.5481,2.03,2.09,1.86,0.2714,-0.4478,-0.0508,-0.6073,1.9011,2.7976,3.1838,2.0622,28.8403,7.3508,7.0423,8.4938,0.8126,0.4852,0.3639,3.2015,1.3197,1.2692,1.5829,6.4327,12.4882,4.1495,4.185,4.1537,9.8077,1.912,1.9709,1.9684,1.9686,1.9877,1.2865,1.3638,0.0109,0.0339,0.0237,0.0172,0.0317,1.5051,1.5249,1.6744,0.3734,0.0793,0.0602,0.0923,0.0538,0.0878,16.3
NIFVEG,86.71,185.21,1.55,8.79,10.8,30.1,19.9,12.3,643.93,-2.6422,-1.5842,1.95,2.07,1.89,0.3708,-0.4588,-0.6998,-0.5338,1.8639,2.7663,2.034,1.9636,28.8592,7.3837,8.5414,8.483,0.7994,0.5426,0.3208,3.2158,1.5319,1.4388,1.1984,6.4185,12.4305,4.1797,4.1571,4.0938,9.7801,1.8918,1.9896,1.9783,1.9822,1.9382,1.5733,1.5956,0.0808,0.0557,0.097,0.0642,0.0998,1.4849,1.5432,1.6238,0.3627,0.0586,0.068,0.0873,0.0533,0.0955,20.6
NIFVIK,98.79,205.88,1.71,9.31,8.79,34.9,27.2,19.4,662.65,-3.1417,-2.8037,1.89,1.89,1.88,0.5015,-0.3449,-0.6238,-0.8859,2.4006,2.9144,2.0228,1.9083,28.7213,7.2882,8.4258,8.5789,0.8028,0.5702,0.5826,3.2296,1.3523,1.4485,1.2406,6.3286,12.5019,4.2301,4.1708,4.101,9.668,2.0019,1.9387,1.9733,1.8507,1.9033,1.6357,1.5386,0.09,0.0696,0.0941,0.0779,0.0989,1.5221,1.5922,1.7663,0.4631,0.1187,0.0988,0.0602,0.108,0.0774,20.7
NIGVIK,78.77,193.22,2.16,7.56,6.06,39.9,29.4,17.4,556.07,-3.1294,-2.4112,2,2.18,1.85,0.2944,-0.4258,-0.1915,-0.3786,1.8678,2.8433,3.0787,2.9259,28.6776,7.3467,7.1893,7.7206,0.8018,0.4879,0.2198,3.2009,1.4167,1.4907,1.244,6.4353,12.4759,4.2296,4.173,4.0733,9.7944,1.9315,1.9791,1.9864,1.9366,1.9607,1.2871,1.4557,0.012,0.0164,0.0357,0.0121,0.0168,1.5231,1.2647,1.3125,0.063,0.0041,0.0179,0.0163,0.0082,0.0165,9.6
NIKBAN,94.07,197.93,1.6,7.45,8.1,33.2,22.5,13.8,549.61,-2.633,-1.333,1.9,2.02,1.9,0.2058,-0.4581,-0.0974,-0.7323,1.9946,2.7537,3.2127,1.9788,28.8926,7.376,7.0453,8.548,0.7617,0.5707,0.4404,3.2075,1.5832,1.3106,1.2825,6.4245,12.5649,4.1844,4.1925,4.188,9.8048,1.9352,1.9201,1.979,1.98,1.9906,1.3586,1.1492,0.0292,0.0147,0.0312,0.0206,0.0239,1.525,1.5848,1.6862,0.4074,0.0953,0.0708,0.0785,0.0845,0.0782,25.6
NILLEB,86.85,187.4,1.55,9.43,9.36,31.7,22.8,16.3,707.92,-2.7359,-1.849,1.94,2.03,1.88,0.3932,-0.45,-0.6938,-0.5406,1.9558,2.7807,2.0419,1.9222,28.8487,7.368,8.5334,8.4736,0.8067,0.5476,0.3558,3.215,1.5348,1.4211,1.2053,6.404,12.4372,4.1925,4.1542,4.0906,9.7656,1.8923,1.982,1.9773,1.9805,1.9335,1.5572,1.5958,0.0877,0.0619,0.0906,0.0716,0.0887,1.4779,1.5241,1.6377,0.3909,0.0713,0.0694,0.0923,0.063,0.0949,22.6
NIPVEO,80.97,191.64,3.91,7.56,8.25,40.6,34,21.4,665.65,-2.7993,-1.55,2.16,1.95,1.86,0.25,-0.4502,-0.6369,-0.1492,1.8891,2.7997,2.0541,2.819,28.8867,7.352,8.5116,7.2399,0.8092,0.2889,0.5703,3.2014,1.4551,1.2799,1.4387,6.4496,12.5013,4.1643,4.1648,4.1723,9.799,1.9376,1.9228,1.9595,1.9811,1.9981,1.5033,1.6557,0.0815,0.0692,0.0845,0.0624,0.0965,1.3899,1.1941,1.3556,0.0828,0.0192,0.0082,0.0221,0.0102,0.0231,24.1
NIPVUG,86.68,204.27,2.79,6.57,8.17,47,36.5,21.2,613.54,-3.366,-1.9099,2.45,1.87,1.83,0.1831,-0.431,1.0423,-0.1847,2.2399,2.8553,3.3223,3.3719,28.9957,7.2951,14.2476,7.1365,0.8904,0.3899,0.6256,3.198,1.416,1.2141,1.5292,6.4969,12.553,4.1738,4.1576,4.2216,9.7671,1.9698,1.9112,1.9634,1.9821,1.9406,3.0464,2.824,0.0458,0.0779,0.0288,0.056,0.1243,1.3239,1.2104,1.4211,0.0917,0.0181,0.0089,0.028,0.0115,0.0252,24.6
NIQNUX,81.58,233.57,1.77,7.7,8.58,38.6,27.6,17.2,597.35,-3.3466,-2.804,1.97,2.04,1.84,0.3483,-0.3676,-0.6432,-0.0851,2.1552,2.9304,2.0769,3.1288,28.7684,7.2923,8.5339,7.0727,0.8096,0.4838,0.4986,3.2081,1.261,1.3115,1.5116,6.389,12.5104,4.1524,4.2,4.158,9.7524,1.9128,1.9545,1.9659,1.9837,1.9354,1.5131,1.5274,0.084,0.0692,0.1041,0.0659,0.0959,1.2956,1.3733,1.1365,0.1144,0.0114,0.031,0.0231,0.0181,0.0309,14.4
