Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
SEFQEC,68.2,3.28,205.81,2.79,7.74,8.24,42.2,33.1,20.6,707.41,-1.8412,-1.6383,2.06,2.06,-0.03,0.04,2.56,1.94,3.16,2.94,3.66,1.34,1.25,112.82,57.97,77.32,106.23,104.88,123,108.9,127.69,-0.4621,0.1695,-0.1174,-0.2591,-0.3915,-0.309,-0.4886,-0.0334,3.0633,3.1281,3.5676,3.5659,3.4809,4.0983,1.9964,29.3015,7.0227,5.9427,25.7468,6.0377,5.6021,5.7881,8.5118,0.5769,0.1233,0,0.5926,0.3096,0.62,0.5369,0,1.7514,1.1787,2.8278,2.8283,0.9073,1.0367,0.8844,2.9848,3.5571,1.2034,1.2123,1.1414,3.7113,3.7856,3.8638,3.7961,10.0929,2.0203,2.0254,2.0093,2.0218,2.0161,6.3811,12.6822,4.2618,4.165,4.2553,10.3986,2.1131,2.0261,2.0864,2.1195,2.0535,0.8544,1.0583,1.0455,0.5157,0.1257,0.0833,0.1581,0.897,0.931,0.9926,0.6327,0.1519,0.1065,0.1019,0.1394,2.7386,2.7389,0.9564,0.9575,0.8249,3.4174,4.5464,1.5098,1.6054,1.4313,-275.77,15.8
GIRSOR,98.8,0.1,210.58,3.06,10.43,9.25,43.3,36.9,26.1,836.39,-3.8932,-2.3598,2.03,2.01,-0.12,0.01,2.61,2.08,2.96,3.15,2.45,1.36,1.22,84.08,71.39,90.71,93.88,113.64,123.49,108.66,125.51,-0.4273,0.1665,-0.1871,0.2674,0.117,0.2136,-0.4524,0.0717,2.298,3.0017,3.7239,3.1587,2.1157,4.1032,2.1073,29.0452,7.1764,5.8268,25.3068,6.9723,8.3687,5.7618,8.3827,0.5235,0,0.5808,0.4868,0.4173,0.5076,0.3798,0,1.9264,1.0805,2.7872,2.7972,0.9713,0.9017,0.9242,3.0051,3.5761,1.1499,1.1922,1.234,3.6348,3.5721,3.7304,3.6256,10.1534,2.0272,2.0491,2.0208,2.0286,2.0276,6.3583,12.5669,4.1575,4.2049,4.2045,10.5019,2.1065,2.1334,2.1275,2.0507,2.0838,1.1007,1.259,1.1608,0.3173,0.0632,0.0645,0.0684,1.3869,1.5632,1.4219,0.0823,0.0031,0.0218,0.0236,0.0091,2.7447,2.6908,0.9599,0.9423,0.7886,3.4023,4.4534,1.4953,1.5685,1.3897,-451.14,15.9
ATUWAN,83.31,0.7,183.52,2.57,5.29,9.11,28.4,17.2,10.8,587.55,-4.3765,-3.413,1.99,1.97,0.03,0.07,2.48,1.94,3.04,2.96,2.58,1.37,1.22,92.55,73.86,86.29,97.64,112.27,126.31,109.22,124.34,-0.3974,0.1419,-0.1157,0.2992,0.202,0.2033,-0.4591,0.0887,2.5732,3.0992,3.662,2.1874,2.1891,4.1705,2.1217,28.9869,7.1799,5.7897,25.2648,8.3095,8.2934,5.8063,8.3679,0.6502,0,0.4599,0.5704,0.3547,0.4885,0.4868,0,1.93,1.0926,2.7937,2.7734,0.9113,1.0534,0.8087,3.0098,3.592,1.1878,1.2177,1.1865,3.6319,3.4836,3.846,3.5911,10.1312,2.0191,2.0491,2.0132,2.0316,2.0181,6.3532,12.6328,4.2427,4.164,4.2261,10.4111,2.0621,2.0434,2.0911,2.1077,2.1068,1.3445,1.592,1.4267,0.0799,0.0199,0.0244,0.0089,1.3702,1.5565,1.4343,0.0807,0.0083,0.0146,0.0276,0.0102,2.7431,2.6903,0.9734,0.947,0.7699,3.3957,4.4426,1.4952,1.5946,1.3528,-420.29,16
FAFRIN,79.67,-1.37,181.18,2.18,8.03,12.12,35.4,30.5,21.1,773.59,-3.9498,-3.0167,2.11,1.97,-0.24,0.21,2.51,2.05,3.22,2.31,2.58,1.34,1.24,90.71,78.24,88.31,102.74,91.21,140.84,107.94,121.89,-0.4236,0.1658,-0.1193,0.2892,0.2221,0.2256,-0.4531,0.1129,2.2975,2.9345,3.7033,2.1179,2.169,4.0637,1.9646,28.9907,7.1785,5.7501,25.313,8.3078,8.2898,5.7879,8.4076,0.5869,0,0.4661,0.3977,0.3521,0.3229,0.4997,0.1793,1.6364,1.1378,2.7953,2.7737,1.0533,0.8858,0.8347,3.0112,3.5727,1.2614,1.1616,1.1497,3.6316,3.7487,3.5889,3.6015,10.1248,2.0228,2.0193,2.0403,2.014,2.0285,6.3678,12.5393,4.1207,4.2358,4.1828,10.5163,2.0999,2.0555,2.1174,2.1076,2.1358,1.3777,1.5387,1.434,0.0782,0.0211,0.0202,0.011,1.3723,1.5923,1.388,0.0864,0.0074,0.0285,0.0159,0.0142,2.7359,2.6798,0.9152,0.8723,0.8923,3.3832,4.4299,1.5569,1.4409,1.4321,-428.82,16.2
FEFXUM,81.97,-26.53,180,2.33,7.85,8.53,35.9,25,14,623.62,-4.3297,-4.2894,2.05,2.29,-0.2,1.46,2.5,3.21,3.31,1.97,2.3,1.3,1.27,63.2,87.18,90.99,75.34,62.27,165.14,111.93,127.57,-0.4038,0.1806,-0.2545,0.5902,0.1115,0.0933,-0.4441,0.0952,2.2878,3.105,3.6973,3.072,3.1767,4.0665,1.9925,28.9423,7.2012,5.7259,25.0344,7.0522,7.4564,5.7103,8.5134,0.7446,0,0.6278,0,0.3825,0.4731,0.2686,0.4754,1.3864,1.4992,2.792,2.8245,0.8908,0.8779,1.0558,3.0062,3.568,1.2362,1.1704,1.1614,3.5528,3.479,3.6241,3.5623,10.1678,2.0342,2.0391,2.0303,2.0403,2.0238,6.3845,12.5806,4.2142,4.1256,4.2409,10.4385,2.0607,2.133,2.0946,2.0598,2.0903,1.319,0.9366,1.1894,0.3147,0.0289,0.0708,0.052,1.1915,1.2291,1.3337,0.1493,0.047,0.0366,0.0243,0.0262,2.7246,2.6972,0.9529,0.8082,0.9361,3.34,4.4825,1.4958,1.4908,1.4959,-370.51,16.5
SAWMUA,85.65,-6.47,182.94,1.58,6.94,7.65,30.3,20.7,13.1,595.38,-4.9247,-3.9804,1.88,2.29,0.88,-0.57,2.49,1.91,3.05,2.94,2.61,1.36,1.22,93.62,73.38,85.56,97.54,112.55,126.63,109.87,124.15,-0.2987,0.1346,-0.0984,0.319,0.1352,0.2096,-0.4629,0.0908,2.7331,3.1523,3.6785,3.1621,2.1365,4.1907,2.1209,29.0719,7.1389,5.8014,25.2191,6.9502,8.3014,5.8177,8.3672,0.6521,0,0.4591,0.6312,0.326,0.7791,0.2617,0,1.9081,1.1077,2.7946,2.7651,0.9003,1.0155,0.8492,3.0045,3.6047,1.1875,1.1702,1.2469,3.6563,3.5107,3.8378,3.5441,10.1171,2.0245,2.0384,2.0123,2.0278,2.0142,6.3646,12.6268,4.2657,4.1162,4.2449,10.3069,2.0829,1.954,2.0799,2.1241,2.0659,1.1325,1.1097,1.1968,0.3279,0.0493,0.1,0.039,1.312,1.572,1.4555,0.0727,0.0019,0.0162,0.0226,0.008,2.7416,2.6913,0.9378,0.9306,0.8228,3.3953,4.4408,1.4802,1.5372,1.4235,-404.22,16.8
JUDWUA,84.47,15.84,242.96,1.7,8.51,6.22,36.6,31.4,21.7,672.57,-4.2746,-3.0883,2.11,1.92,-0.24,0.08,2.47,2.07,3.22,2.4,2.65,1.35,1.24,92.37,77.97,86.7,101.54,93.67,140.36,108.23,121.64,-0.4251,0.1695,-0.0867,0.3131,0.2045,0.1928,-0.4461,0.1038,2.4726,2.9676,3.7586,2.0989,2.1161,3.8207,1.936,28.9514,7.2823,5.7975,25.2577,8.2988,8.3248,5.6266,8.4766,0.6853,0,0.4447,0.425,0.3494,0.3181,0.5254,0.1661,1.5569,1.0569,2.7949,2.756,0.9126,0.8938,0.9496,3.0172,3.5674,1.3173,1.1076,1.1425,3.6241,3.5073,3.7204,3.7008,10.1189,2.0242,2.0312,2.0159,2.0261,2.0216,6.373,12.5815,4.1735,4.2191,4.1888,10.4703,2.1037,2.1116,2.1027,2.0598,2.0924,1.4235,1.5772,1.3628,0.0779,0.0252,0.0118,0.0169,1.41,1.4833,1.4889,0.0863,0.015,0.0195,0.0168,0.0203,2.7347,2.6712,0.9963,0.7681,0.9068,3.378,4.445,1.5911,1.3854,1.4686,-418.76,17.1
PAPFEU,100.59,32.77,205.78,1.73,9.28,10.1,40.6,33.1,23.7,796.44,-3.8402,-2.5812,1.98,2.06,-0.1,-0.1,2.53,2.12,3.2,2.86,2.5,1.36,1.23,86.86,79.11,89.83,101.07,103.1,128.67,108.18,124.64,-0.4373,0.1569,-0.1594,0.3139,0.1863,0.1822,-0.465,0.099,2.1653,2.9008,3.6975,2.1065,2.0828,4.0027,2.0681,28.9276,7.2765,5.7404,25.2662,8.3959,8.3747,5.7195,8.4055,0.6049,0,0.519,0.4073,0.3802,0.4363,0.3593,0,1.8301,1.0564,2.7937,2.7915,0.8926,1.0854,0.8135,3.018,3.5791,1.2994,1.1533,1.1265,3.6184,3.3764,3.7944,3.7403,10.1396,2.017,2.0294,2.0215,2.0483,2.0235,6.3513,12.5587,4.1861,4.1744,4.1982,10.5271,2.075,2.097,2.1506,2.0789,2.1257,1.4158,1.5043,1.4742,0.0831,0.0203,0.0169,0.0151,1.4338,1.5572,1.3996,0.0792,0.012,0.023,0.0155,0.0138,2.7423,2.6904,0.9609,0.9088,0.8207,3.3904,4.4378,1.5333,1.4895,1.415,-428.72,17.3
UCABIM,80.45,2.76,203.58,1.74,6.8,9.21,33.6,22.7,12.7,609.33,-4.6188,-4.0242,2.26,1.93,-0.16,0.13,2.51,1.92,2.98,3.04,2.55,1.37,1.22,90.97,72.2,86.32,96,114.85,123.43,109.79,124.63,-0.3275,0.1342,-0.1241,0.3158,-0.0118,0.2187,-0.4582,0.0873,2.6745,3.1464,3.7147,1.799,3.3179,4.1258,2.1299,29.1085,7.1491,5.8236,25.2304,8.3932,7.0609,5.7829,8.3696,0.6216,0,0.5126,0.6334,0.3628,0.2919,0.7043,0,1.9426,1.0788,2.7919,2.7741,0.9268,1.064,0.7833,3.0029,3.6049,1.1584,1.2341,1.2124,3.6496,3.5097,3.8383,3.5375,10.1332,2.0226,2.0478,2.0101,2.0308,2.0219,6.3677,12.6031,4.2409,4.1703,4.1919,10.3564,2.061,2.0464,2.066,2.1043,2.0787,1.5428,1.497,1.3857,0.0967,0.0159,0.0382,0.0126,1.1197,1.1441,1.2626,0.2484,0.0476,0.0352,0.065,0.0225,2.7418,2.6904,0.9529,0.9536,0.7839,3.3961,4.4433,1.474,1.6111,1.3582,-432.5,17.3
JEPJIY,86.06,13.85,196.67,3.96,8.09,7.03,37.5,32.7,21.2,660.39,-3.1941,-2.1402,1.96,2,0.03,0,2.53,2.16,3.26,3.16,2.41,1.34,1.23,83.46,82.68,89.17,101.76,103.36,116.19,109.55,126.55,-0.4521,0.1532,-0.201,0.3701,0.0012,0.226,-0.474,0.0186,2.4277,2.9066,3.7323,1.8387,3.2092,4.02,2.0676,29.0754,7.3148,5.7171,25.2427,8.6308,7.1929,5.6638,8.4619,0.621,0,0.5954,0.3685,0.3623,0.6206,0.5332,0,1.856,1.0951,2.7976,2.8161,0.9558,0.9973,0.863,3.0142,3.5862,1.1635,1.285,1.1377,3.6001,3.5134,3.639,3.6927,10.1642,2.036,2.0387,2.0347,2.0254,2.0294,6.3647,12.6279,4.2038,4.1742,4.2499,10.4593,2.0661,2.1125,2.1313,2.0735,2.0759,1.5722,1.5854,1.3966,0.0719,0.0186,0.0196,0.0096,1.1269,1.1796,1.2277,0.2607,0.0469,0.0667,0.0446,0.0598,2.7413,2.7024,0.9111,0.9484,0.8429,3.4075,4.5033,1.4553,1.6169,1.431,-364.39,17.4
VIGPOQ,80.78,92.2,217.95,2.14,5.33,6.05,40.8,24.2,11.2,543.16,-4.8945,-4.2848,1.99,2.29,-0.24,-0.49,2.55,2.08,3.22,2.83,2.3,1.42,1.21,77.68,83.2,88.07,108.52,101.3,122.79,106.52,122.26,-0.2129,0.1854,-0.2614,0.7743,0.1525,0.1011,-0.4128,0.1615,2.794,2.9889,3.7806,2.1196,2.034,4.0873,2.1989,28.8964,7.1921,5.6877,24.8338,8.3516,8.3995,5.7795,8.2714,0.5901,0,0.7727,0.5212,0.4519,0.533,0.234,0,2.052,0.8621,2.794,2.8577,1.0037,1.0073,0.8467,3.0452,3.5183,1.1574,1.292,1.0688,3.5616,3.6047,3.5631,3.1842,10.2826,2.0471,2.0785,2.0919,2.0318,2.0332,6.36,12.5595,4.1656,4.1726,4.2213,10.293,2.1015,2.0451,2.0051,2.0466,2.0948,1.4662,1.4233,1.5317,0.0745,0.0151,0.0075,0.0237,1.4901,1.4148,1.5367,0.0679,0.0153,0.019,0.002,0.0302,2.75,2.66,0.9346,0.9672,0.7581,3.3867,4.3768,1.4628,1.616,1.2979,-555.55,17.6
NUKXAV,81.87,2.74,179.38,2.53,9.3,9.35,35.2,28,18.8,762.76,-4.2564,-2.7932,1.98,2.11,0.11,-0.22,2.53,2,3.01,3.05,2.51,1.37,1.22,88.96,73.19,88.74,96.56,113.11,124.81,108.96,124.86,-0.4009,0.1502,-0.1485,0.2928,0.1247,0.2041,-0.4539,0.082,2.4294,3.0722,3.6686,2.9969,2.138,4.107,2.1219,29.031,7.1855,5.7731,25.2936,7.0531,8.3509,5.7694,8.3743,0.5769,0,0.4999,0.5554,0.389,0.6327,0.3647,0,1.9311,1.0649,2.7906,2.7849,0.9386,1.0098,0.8365,3.008,3.5879,1.1665,1.2512,1.1702,3.631,3.5151,3.766,3.6394,10.1392,2.0224,2.0441,2.0217,2.0315,2.0194,6.3634,12.6122,4.1906,4.2027,4.2189,10.425,2.0634,2.1289,2.1012,2.0606,2.0709,1.2061,0.9558,1.2915,0.3212,0.0371,0.0788,0.0413,1.3663,1.5385,1.4611,0.0754,0.0069,0.013,0.0273,0.0089,2.7444,2.6889,0.9723,0.9624,0.7541,3.3989,4.4465,1.4904,1.6195,1.3366,-443.99,17.7
OSIBUP,98.71,0.95,230.16,1.7,8.97,7.1,37.8,30.6,20.8,689.56,-4.3317,-3.2058,1.94,2.02,-0.08,-0.06,2.51,2.06,3.03,2.99,2.54,1.36,1.22,89.78,73.7,89.16,95.12,110.19,127.77,108.96,124.47,-0.4059,0.157,-0.1355,0.2947,0.203,0.1846,-0.4585,0.0943,2.3779,2.9829,3.6166,2.125,2.0779,4.0216,2.0421,28.9106,7.2088,5.7639,25.2586,8.3731,8.3919,5.7225,8.4093,0.6445,0,0.4946,0.4653,0.3556,0.4482,0.3668,0,1.7932,1.1105,2.792,2.7782,0.9112,1.0657,0.8012,3.0153,3.5789,1.2697,1.1762,1.133,3.6272,3.4434,3.8049,3.6797,10.1336,2.0262,2.0419,2.02,2.0288,2.0167,6.3463,12.594,4.2121,4.1659,4.2161,10.4653,2.0615,2.1448,2.1238,2.0235,2.1117,1.4355,1.4139,1.5321,0.0852,0.0194,0.0164,0.0181,1.4188,1.5763,1.4065,0.0792,0.01,0.0254,0.0144,0.0148,2.7424,2.6897,0.9937,0.9477,0.7482,3.3949,4.4376,1.5647,1.5488,1.3242,-438.58,18
DUHTUW,70.99,23.78,183,4,5.84,5.15,43.2,32,13.5,577.46,-4.3684,-3.3146,2.16,2.17,0.51,0.25,2.52,3.17,3.35,1.95,2.36,1.3,1.27,64,86.59,88.92,77.27,62.85,166.85,111.12,127.57,-0.4559,0.1712,-0.221,0.523,0.011,0.0071,-0.4414,0.0968,2.3292,3.0978,3.6869,2.7405,2.7486,4.0631,2.0139,28.968,7.2134,5.7306,25.0849,7.0184,7.041,5.7099,8.4899,0.7354,0,0.5915,0,0.3792,0.3346,0.3214,0.4922,1.3693,1.5042,2.7911,2.8083,0.8816,1.0002,0.9266,3.0119,3.5748,1.1956,1.2197,1.1595,3.5779,3.6686,3.5846,3.4668,10.1584,2.0268,2.0328,2.0411,2.0329,2.0248,6.3958,12.5721,4.1845,4.1786,4.209,10.4877,2.0742,2.1039,2.1504,2.0711,2.0881,1.2514,0.9742,1.2162,0.3647,0.0403,0.0912,0.0686,1.0521,1.2803,1.1104,0.3636,0.0924,0.073,0.0623,0.0847,2.726,2.6938,0.9686,0.8185,0.9067,3.3369,4.4832,1.4947,1.4955,1.4929,-368.53,18.2
DABTAB,91.91,-3.72,252.83,3.19,9.62,7.27,40,35.6,23.9,835.67,-3.9766,-2.1205,2.08,2.11,-0.01,0.01,2.53,3.19,3.24,1.98,2.34,1.3,1.27,63.24,83.35,89.94,73.46,63.33,170.49,111.43,128.43,-0.4589,0.1757,-0.2412,0.4761,0.1556,0.204,-0.4488,0.0864,2.2743,3.0731,3.6643,3.0579,2.1648,4.0749,2.0263,29.0011,7.199,5.7034,25.1742,7.0785,8.3707,5.7311,8.4857,0.6712,0,0.5664,0,0.4005,0.4339,0.3479,0.4819,1.4215,1.477,2.7887,2.8157,0.8995,0.8424,1.0738,3.0055,3.574,1.2545,1.1709,1.1487,3.5851,3.507,3.643,3.5937,10.1728,2.0372,2.0429,2.0306,2.0394,2.0227,6.3507,12.6065,4.2258,4.1597,4.221,10.5015,2.0823,2.1422,2.1064,2.0796,2.0911,1.1598,1.0408,1.2985,0.2813,0.035,0.0619,0.0328,1.3671,1.5632,1.4443,0.0757,0.0023,0.0166,0.0224,0.0089,2.7277,2.7013,0.9505,0.8185,0.9322,3.3469,4.4853,1.5351,1.4835,1.4666,-372.2,18.8
LAQXUX,93.67,1.1,195.61,3.49,6.55,8.59,35.3,29.4,20.8,677.07,-4.1833,-2.6852,1.94,1.98,-0.11,0.01,2.56,3.22,3.35,1.94,2.35,1.3,1.27,62.17,85.89,89.21,76.15,61.5,167.67,111.48,128.42,-0.3675,0.175,-0.2426,0.4216,0.2278,0.2199,-0.4413,0.0872,2.4078,3.0829,3.671,2.1303,2.0963,3.9862,2.0423,28.9126,7.2023,5.7034,25.1889,8.3108,8.3358,5.693,8.4904,0.6074,0,0.5794,0,0.4046,0.4859,0.3881,0.5659,1.3469,1.474,2.7898,2.8169,0.8177,0.9766,1.0227,3.0067,3.5738,1.1824,1.2489,1.1424,3.6144,3.7874,3.4813,3.5068,10.168,2.0276,2.0306,2.0575,2.0289,2.0234,6.329,12.6273,4.2062,4.2043,4.2168,10.4109,2.1158,2.0798,2.0821,2.0578,2.0754,1.3171,1.6198,1.4251,0.0861,0.0226,0.0264,0.0092,1.5813,1.3091,1.4731,0.0835,0.0065,0.0253,0.0177,0.0138,2.7265,2.6956,0.9641,0.8127,0.9188,3.3399,4.4901,1.5833,1.4901,1.4167,-375.54,19.2
JOFHOB,112.1,-9.25,214.8,2.96,7.27,8.43,42.1,36.8,24.1,687,-3.7855,-2.1798,2.06,2.01,-0.27,0.27,2.6,2.11,3.03,3.17,2.4,1.36,1.23,82.25,74.55,91.01,96.22,110.48,120.47,109.26,125.69,-0.3677,0.1668,-0.2174,0.3027,0.1609,0.1597,-0.4553,0.0623,2.0787,2.9678,3.6564,2.0224,2.0203,4.0301,2.0818,28.9598,7.2287,5.7215,25.2825,8.4507,8.4551,5.7008,8.4127,0.53,0,0.6075,0.4545,0.3709,0.4015,0.4252,0,1.8835,1.0705,2.7864,2.8116,0.9315,1.0041,0.876,3.0023,3.5772,1.1374,1.209,1.2308,3.6346,3.528,3.8465,3.5036,10.1661,2.0279,2.0613,2.0124,2.033,2.0314,6.3254,12.5369,4.1858,4.1656,4.1855,10.5052,2.0864,2.1014,2.108,2.104,2.1054,1.4296,1.4733,1.522,0.0778,0.0168,0.0181,0.0109,1.4602,1.5566,1.4104,0.0802,0.0104,0.0244,0.0155,0.0152,2.7423,2.691,0.9584,0.9553,0.7773,3.4021,4.4631,1.4865,1.6093,1.3673,-445.7,19.5
ROHXAP,93.81,-1.17,190.7,3.1,8.14,10.21,34,27.6,17,732.1,-4.1137,-2.7974,1.96,2.11,-0.05,-0.07,2.49,3.14,3.32,1.98,2.37,1.3,1.27,65.18,86.16,89.62,77.08,63.67,165.27,111.3,128.05,-0.4338,0.1719,-0.2204,0.4808,0.1883,0.2068,-0.4479,0.0801,2.318,3.0875,3.6849,2.1207,2.1184,4.0524,1.9958,28.9565,7.2116,5.7339,25.1349,8.3803,8.3689,5.7159,8.5003,0.7516,0,0.5779,0,0.3803,0.4924,0.2884,0.4669,1.3872,1.4927,2.7921,2.8075,0.8822,0.8783,1.047,3.0089,3.5763,1.2324,1.1859,1.1581,3.5787,3.5721,3.604,3.5782,10.1638,2.0305,2.0375,2.0346,2.0374,2.0237,6.3632,12.595,4.2146,4.1514,4.229,10.4753,2.0564,2.1523,2.1143,2.0584,2.094,1.4556,1.5369,1.4004,0.084,0.0206,0.0254,0.0109,1.4759,1.4564,1.433,0.0786,0.0044,0.0214,0.0201,0.0111,2.7279,2.6991,0.968,0.7944,0.9367,3.3514,4.4887,1.5223,1.4778,1.4886,-364.06,19.5
FUBBOW,90.86,7.86,199.9,2.11,8.62,7.92,36.3,30.7,22.6,723.64,-4.407,-3.3813,2.15,1.88,-0.17,-0.03,2.56,1.98,3.07,3,2.53,1.37,1.22,88.31,74.27,87.36,99.54,111.63,124.52,108.85,124.5,-0.2835,0.1451,-0.143,0.2787,0.2211,0.1808,-0.4563,0.0977,2.4875,3.1311,3.7042,2.1169,2.0606,3.9416,2.0949,28.9922,7.1326,5.7697,25.2798,8.3615,8.3888,5.6897,8.3909,0.5756,0,0.5192,0.6136,0.3696,0.2696,0.6263,0,1.8618,1.0635,2.7925,2.7856,0.9916,1.0046,0.7894,3.0078,3.5942,1.1321,1.2562,1.2059,3.6592,3.6388,3.7462,3.5281,10.134,2.0235,2.0343,2.0222,2.0297,2.0243,6.3562,12.5602,4.1872,4.1839,4.189,10.3668,2.1054,2.0909,1.9968,2.0822,2.0915,1.415,1.511,1.4348,0.0756,0.0179,0.023,0.009,1.4198,1.5057,1.4807,0.0863,0.0112,0.0219,0.0212,0.0123,2.7422,2.6904,0.9042,0.9636,0.8226,3.3949,4.434,1.4465,1.6122,1.3754,-433.92,19.7
VAKNUR,94.22,0.27,197.53,1.7,10.81,6.53,36.7,29.5,23,776.81,-3.93,-2.5735,2.06,2.03,0.4,-0.28,2.55,2.04,3.07,2.82,2.48,1.36,1.23,87.32,75.32,89.89,98.44,104.17,130.15,108.71,124.11,-0.3587,0.1573,-0.1728,0.303,0.2007,0.1795,-0.4551,0.0884,2.2132,3.0084,3.662,2.1383,2.1211,3.9918,2.0613,28.996,7.1773,5.736,25.2969,8.313,8.3438,5.7242,8.3893,0.5714,0,0.5499,0.5174,0.346,0.4229,0.3699,0,1.8393,1.0631,2.7912,2.7968,1.0633,0.908,0.8256,3.0076,3.5826,1.1588,1.207,1.2168,3.6401,3.7431,3.6971,3.4485,10.1509,2.0272,2.0233,2.0283,2.0287,2.0435,6.3484,12.54,4.1573,4.2008,4.1819,10.47,2.1539,2.0612,2.0738,2.0887,2.0923,1.397,1.548,1.4311,0.0779,0.0222,0.0197,0.0102,1.4574,1.5381,1.3987,0.0775,0.0091,0.0233,0.0151,0.0143,2.7399,2.6892,0.8896,0.9389,0.8607,3.3935,4.4451,1.4821,1.5535,1.4095,-446.09,20
DPCBAZ,82.73,3.16,211.68,1.99,8.13,9.38,35.8,24.4,15,708.07,-4.5499,-3.6807,2.02,1.91,-0.19,0.05,2.53,1.96,3.09,3.05,2.53,1.37,1.22,87.93,75.16,86.02,100.47,113.01,122.19,109.02,124.64,-0.3225,0.1481,-0.1382,0.3363,0.1104,0.139,-0.4506,0.0913,2.8863,3.101,3.7345,2.0786,3.18,4.0375,2.1414,29.1381,7.1389,5.7851,25.2227,8.4427,6.8599,5.742,8.3655,0.6295,0,0.502,0.579,0.3848,0.4573,0.8178,0,1.9612,1.023,2.7917,2.7812,0.9772,1.0021,0.8019,3.0082,3.5898,1.1585,1.2637,1.1676,3.6424,3.5852,3.7071,3.5797,10.1336,2.0279,2.0395,2.0242,2.0223,2.0197,6.3679,12.6426,4.1799,4.2195,4.2432,10.3116,2.0691,2.093,2.0201,2.0586,2.0708,1.4425,1.5659,1.438,0.0764,0.0135,0.0287,0.009,1.1074,1.2305,1.1505,0.3258,0.0449,0.0548,0.0899,0.0336,2.7436,2.6877,0.9683,0.97,0.7495,3.397,4.4389,1.4907,1.625,1.3232,-434.06,20.5
