Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
NADVIB,77.94,3.59,186.06,1.96,7.83,11.13,34.1,25.3,16.1,741.76,-4.3982,-2.5437,2.25,2.01,-0.22,0.04,2.54,1.99,1.97,1.32,1.24,47.72,71.04,115.25,132.84,111.61,61.23,124.89,-0.3573,-0.2718,0.1101,0.4556,0.2441,0.2451,-0.5117,0.0015,3.1607,3.4099,2.982,1.3039,3.0404,3.194,4.1853,2.0123,29.317,5.4248,7.2308,25.1996,7.1824,7.052,5.7674,8.5109,0.7454,0.2864,0.6432,0.3492,0.3416,0.5199,0,1.7759,1.3053,2.7711,0.9007,0.9512,1.0733,2.9904,1.2557,1.2606,1.1419,3.5994,3.2497,3.7435,3.7842,10.147,2.0421,2.0271,2.0132,2.0523,2.0124,6.3252,12.6376,4.2612,4.2286,4.1478,10.3942,2.1324,2.1227,2.0951,2.0162,2.0279,1.044,1.2349,0.2388,0.0315,0.076,0.0203,1.0721,1.2783,1.1826,0.2529,0.0233,0.0497,0.0855,0.0191,2.7353,2.7203,0.948,0.8144,0.9579,1.5604,1.4601,1.5067,-127.38,15.9
SALZIQ,80.97,1.3,206.19,1.98,6.41,5.89,35.6,23.8,10.6,517.94,-4.0492,-2.9187,1.94,2.08,0,-0.14,2.59,2.1,1.98,1.32,1.24,50.84,73.4,116.8,129.07,111.19,55.75,125.89,-0.4066,-0.2987,0.1051,0.546,0.1371,0.066,-0.5142,-0.0171,3.2167,3.4822,2.9715,1.3818,3.1543,3.0061,4.3101,2.0277,29.3801,5.5007,7.2485,25.1046,6.8633,7.024,5.8254,8.499,0.5699,0.227,0.6666,0.6135,0.5896,0.5126,0,1.8606,1.338,2.7707,0.9191,0.9536,1.0727,2.9962,1.2625,1.2357,1.1599,3.5735,3.3106,3.6555,3.7292,10.1614,2.0591,2.0328,2.0206,2.0382,2.0107,6.3273,12.6657,4.258,4.2229,4.1848,10.4133,2.0619,2.1279,2.0666,2.1152,2.0417,1.1549,1.2417,0.3338,0.0332,0.0938,0.0312,1.1277,1.2781,1.1513,0.2935,0.0361,0.0529,0.0776,0.0343,2.74,2.7232,0.972,0.8242,0.927,1.6227,1.4449,1.4703,-126.51,15.9
SOVNIB,85.2,0.62,183.49,1.7,8.51,13.28,28.7,17,10.5,772.81,-3.1543,-2.0158,1.98,2.04,0,-0.07,2.57,2.38,2,1.32,1.24,59.42,68.4,124.04,123.27,111.4,52.18,126.39,-0.4062,-0.298,0.0878,0.5392,0.0378,0.0828,-0.533,-0.0512,2.7536,3.5455,2.9217,1.3928,1.9698,2.0099,4.2317,1.9999,29.1486,5.5906,7.2528,25.1617,8.5038,8.4582,5.8144,8.5255,0.581,0.1443,0.6571,0.6165,0.564,0.4198,0,1.8174,1.3066,2.7812,0.9944,0.9457,1.0083,3.0012,1.2888,1.217,1.1642,3.5533,3.5094,3.7055,3.476,10.1887,2.0389,2.0491,2.0348,2.0351,2.0307,6.3379,12.619,4.2545,4.1821,4.1824,10.449,2.1414,2.108,2.0655,2.0737,2.0603,1.5028,1.4651,0.0726,0.0116,0.0245,0.0076,1.4352,1.4133,1.6223,0.0731,0.0162,0.003,0.0239,0.0078,2.7428,2.7377,0.9746,0.8367,0.9264,1.6204,1.4549,1.4952,-131.41,15.9
TUBVOE,75.79,5.27,219.86,1.94,12.23,9.31,34.4,26.9,18.3,944.54,-3.6919,-2.3897,2.31,1.95,-0.23,-0.02,2.68,2.25,1.97,1.31,1.24,53.75,74.62,126.79,121.01,111.36,51.63,126.9,-0.3131,-0.3192,0.0976,0.5253,0.2276,0.194,-0.5109,-0.0387,2.7916,3.6598,3.02,1.3515,3.0333,3.189,4.0418,1.9203,29.2303,5.6344,7.2833,25.1048,7.2131,7.0658,5.7168,8.5674,0.448,0.2331,0.6985,0.7191,0.3113,0.6008,0,1.6438,1.3229,2.7782,0.9259,0.939,1.0987,2.9936,1.2524,1.2455,1.1682,3.5783,3.2716,3.5831,3.8488,10.1687,2.0758,2.024,2.011,2.0447,2.0131,6.3352,12.5984,4.2316,4.22,4.1467,10.3792,2.0651,2.0745,2.0721,2.1417,2.0256,1.0624,1.2237,0.2343,0.0341,0.0747,0.0189,1.1554,1.3,1.1183,0.2431,0.026,0.0481,0.0844,0.0191,2.7392,2.7236,0.9643,0.7999,0.9594,1.5821,1.4522,1.527,-127.39,15.9
YAPDIE,73.36,6.15,204.23,2.68,9.85,10.3,35.7,28.6,18.6,791.26,-4.4395,-2.5709,2.4,2.04,-0.34,-0.03,2.57,2.03,1.95,1.32,1.24,48.16,70.8,115.11,133.28,111.55,61.04,124.91,-0.3196,-0.2549,0.1003,0.4289,0.249,0.2442,-0.511,-0.0112,3.1479,3.4889,3.0509,1.3076,2.9996,3.227,4.0492,1.9783,29.2823,5.4735,7.2141,25.1934,7.2339,6.9782,5.713,8.529,0.681,0.3294,0.7334,0.4327,0.2317,0.4733,0,1.7144,1.2785,2.7778,0.9005,0.9264,1.0909,2.9913,1.2336,1.2695,1.1626,3.6162,3.38,3.5676,3.8462,10.1425,2.058,2.0189,2.0091,2.0369,2.0196,6.3364,12.6043,4.2661,4.2296,4.1086,10.3786,1.9723,2.104,2.1021,2.1694,2.0307,1.1459,1.1799,0.2338,0.0319,0.0687,0.0234,1.0674,1.2828,1.1799,0.2514,0.0273,0.046,0.081,0.0225,2.7344,2.719,0.9327,0.8299,0.9564,1.5329,1.4704,1.5366,-141.05,15.9
BUYGOT,93.26,3.63,190.12,2.73,9.06,9.77,34,25,16.4,706.31,-3.3483,-1.5509,2.14,1.94,-0.09,-0.04,2.62,2.26,1.99,1.32,1.24,55.24,72.22,118.16,130.47,111.33,52.54,125.99,-0.3667,-0.3147,0.0939,0.504,0.1785,-0.0513,-0.5258,-0.036,2.8602,3.5813,2.9501,1.3268,2.039,1.895,4.1412,2.0041,29.1837,5.5975,7.2933,25.1772,8.37,8.568,5.7601,8.5307,0.5227,0.2061,0.7209,0.5985,0.2988,0.6908,0.1017,1.8003,1.287,2.778,0.9383,0.9528,1.0689,2.9965,1.2787,1.2491,1.1413,3.5656,3.3333,3.6765,3.7136,10.1808,2.0643,2.039,2.021,2.0422,2.0143,6.3469,12.5798,4.247,4.1856,4.1472,10.4397,2.1359,2.1154,2.0664,2.0809,2.0411,1.4571,1.4552,0.0766,0.0191,0.0224,0.0091,1.6427,1.3945,1.5617,0.0722,0.0158,0.0062,0.0227,0.0096,2.7405,2.7325,0.968,0.8104,0.9541,1.6044,1.452,1.5019,-160.05,16
CIRXOT,83.52,9.54,180.79,2.7,9.68,8.74,32.8,26.7,21.5,741,-3.6249,-2.2678,1.99,2.07,-0.04,-0.13,2.6,2.17,2.01,1.32,1.24,53.03,73.42,110.91,136.48,111.3,53.55,124.57,-0.3724,-0.3182,0.098,0.5422,0.0906,0.1575,-0.5231,-0.0222,2.846,3.4699,2.8908,1.3653,1.9837,1.9469,4.1845,2.0073,29.1423,5.4984,7.3291,25.1381,8.4564,8.4696,5.7646,8.5207,0.5658,0.2075,0.6577,0.604,0.4968,0.3529,0.1265,1.7711,1.3157,2.7709,1.0066,0.9432,1.0107,2.9984,1.2815,1.2389,1.1453,3.5592,3.483,3.7315,3.4888,10.1691,2.0316,2.0479,2.0275,2.028,2.0341,6.3234,12.5731,4.2274,4.1864,4.1594,10.4756,2.1369,2.1282,2.0699,2.0796,2.061,1.4732,1.3981,0.0735,0.0172,0.0233,0.0085,1.375,1.4222,1.616,0.0741,0.0189,0.006,0.0204,0.0089,2.7383,2.7283,0.9596,0.8262,0.9426,1.5931,1.4558,1.4996,-111.52,16
DMURID,61.99,-0.19,164.49,2.78,9.18,10.22,26.8,19.3,13.8,724.13,-3.5992,-1.6015,2.08,2.2,-0.08,0.06,2.61,2.33,1.96,1.32,1.24,57.45,70.42,116.74,130.11,111.42,52.13,125.56,-0.3506,-0.3035,0.0778,0.5628,0.177,0.0888,-0.5232,-0.0301,2.5783,3.6167,2.98,1.4203,2.9399,1.9787,4.1345,2.0025,29.1989,5.6435,7.2936,25.1023,7.2948,8.4806,5.7534,8.5232,0.5493,0.181,0.7203,0.678,0.4377,0.3223,0.1102,1.7704,1.2895,2.7787,0.9398,0.9566,1.0555,2.9956,1.2549,1.2382,1.1892,3.5591,3.386,3.624,3.6688,10.1731,2.0542,2.0374,2.0257,2.0419,2.0139,6.3509,12.5601,4.2521,4.1895,4.1185,10.4394,2.1072,2.0976,2.0684,2.115,2.0511,1.1811,1.2764,0.2197,0.0244,0.0656,0.0244,1.4337,1.4498,1.5783,0.0696,0.012,0.0066,0.0235,0.0079,2.7397,2.7294,0.9704,0.8178,0.9412,1.5633,1.4522,1.538,-113.26,16
FETXAE,80.81,3.89,177.26,1.43,6.99,8.4,29.1,17.7,9.7,552.08,-3.3593,-2.2471,2.13,1.96,-0.13,-0.02,2.6,2.25,2,1.32,1.24,55.04,71.8,118.92,128.89,111.44,53.16,125.75,-0.3772,-0.3135,0.0917,0.5032,0.1925,-0.1213,-0.528,-0.0387,2.8329,3.6244,2.9187,1.3617,2.104,1.9077,4.1811,2.0039,29.1428,5.6138,7.2964,25.1638,8.3375,8.5405,5.7758,8.5281,0.5582,0.236,0.6668,0.6008,0.2983,0.6475,0,1.8115,1.2925,2.778,0.9749,0.9522,1.0313,2.9995,1.2903,1.241,1.1385,3.5651,3.4599,3.7042,3.5613,10.18,2.0463,2.0454,2.033,2.0336,2.0217,6.347,12.5867,4.2425,4.1913,4.1529,10.4433,2.1485,2.1281,2.0814,2.0696,2.0156,1.3197,1.4334,0.0759,0.0172,0.0248,0.0081,1.6634,1.4624,1.5207,0.07,0.011,0.009,0.0231,0.0081,2.7413,2.7336,0.978,0.8072,0.9483,1.6257,1.4456,1.4891,-173.95,16
FINBUB,78.49,3.3,187.23,2.15,12.2,13.09,34.1,25.2,14.8,821.54,-4.1589,-2.7799,2.24,2.01,-0.22,0.04,2.54,1.99,1.97,1.32,1.24,47.88,71.27,116.49,131.71,111.61,60.85,125.06,-0.3539,-0.2731,0.1087,0.4575,0.244,0.2443,-0.5122,-0.0014,3.1538,3.4181,2.9893,1.3016,3.0443,3.2168,4.21,2.0095,29.3212,5.4275,7.2173,25.1995,7.1746,7.047,5.7804,8.5123,0.73,0.2865,0.6439,0.3622,0.3422,0.5263,0,1.7843,1.3175,2.771,0.9488,0.95,1.0274,2.9908,1.2647,1.2614,1.1331,3.5997,3.3899,3.7418,3.6424,10.1481,2.034,2.0398,2.0209,2.0332,2.0201,6.3256,12.6377,4.2339,4.2281,4.1757,10.3902,2.1269,2.12,2.0977,2.0328,2.0128,1.0568,1.2391,0.2381,0.0379,0.0696,0.0265,1.0844,1.2855,1.1629,0.2537,0.028,0.0493,0.0806,0.0247,2.7358,2.7207,0.9471,0.817,0.9566,1.5861,1.4658,1.4773,-125.46,16
HABXEO,85.86,3.06,179.03,3.43,8.21,9.9,33.3,30.8,24.9,785.33,-3.7852,-2.5497,2.14,2.05,-0.11,-0.05,2.7,2.2,1.99,1.32,1.24,52.44,76.18,120.48,128.41,111.11,51.38,126.1,-0.3104,-0.328,0.0798,0.5269,0.1416,0.167,-0.532,-0.0267,2.5583,3.6552,2.9882,1.3148,2.0208,2.0641,4.1203,1.9953,29.0734,5.622,7.2885,25.1062,8.4526,8.4078,5.7596,8.5102,0.4279,0.2946,0.6928,0.7202,0.3019,0.3645,0,1.7867,1.2759,2.7732,0.9333,0.9413,1.0946,3.0005,1.2789,1.2238,1.1772,3.5769,3.2523,3.6323,3.8253,10.1621,2.068,2.0257,2.0125,2.0448,2.0112,6.3319,12.5425,4.2438,4.1684,4.1304,10.4357,2.1003,2.1016,2.0794,2.1278,2.0266,1.4274,1.4302,0.0721,0.0175,0.0196,0.0083,1.4187,1.4249,1.5729,0.0752,0.018,0.0035,0.0224,0.0085,2.7417,2.7349,0.9715,0.8402,0.9231,1.6056,1.4403,1.5025,-99.08,16
ILIWOR,93.08,0.2,223.71,2.75,13.18,8.76,32.5,24.3,20.2,871.72,-3.8795,-3.1872,2.02,1.94,-0.11,-0.04,2.58,2.14,2.01,1.32,1.24,51.98,71.86,117.68,130.18,111.55,56.16,125.65,-0.3617,-0.2876,0.0945,0.4903,0.2018,0.11,-0.526,-0.0367,3.0712,3.5365,2.9297,1.3537,2.065,2.0457,4.1652,2.0031,29.2067,5.5186,7.2524,25.1848,8.381,8.4349,5.7762,8.526,0.6482,0.2317,0.6566,0.5017,0.4145,0.5829,0.1041,1.7935,1.2996,2.7744,0.8994,0.9773,1.0603,3.0001,1.2321,1.235,1.2015,3.5841,3.2198,3.7365,3.7816,10.1644,2.0553,2.0365,2.011,2.0514,2.0103,6.3246,12.635,4.2603,4.1981,4.1766,10.4016,2.1466,2.0888,2.0423,2.069,2.0549,1.3602,1.4144,0.0786,0.0184,0.0245,0.0096,1.4588,1.396,1.6102,0.0758,0.0181,0.003,0.0246,0.0079,2.7398,2.7316,0.9663,0.8253,0.94,1.551,1.4577,1.5508,-172.01,16
IQOCUM,90.76,4.52,188.01,3,6.76,8.72,37,30.2,20.7,667.53,-3.4004,-1.6305,1.94,2.13,-0.04,-0.11,2.65,2.2,1.99,1.32,1.24,52.95,74.13,118.44,130.17,111.33,52.92,126.02,-0.3656,-0.3175,0.0956,0.4813,-0.0172,0.1838,-0.5279,-0.0382,2.9368,3.6045,2.9494,1.3163,1.8112,2.0431,4.0985,2.0053,29.2087,5.5763,7.3106,25.1816,8.6335,8.3611,5.7346,8.5357,0.5195,0.2493,0.7203,0.5975,0.6972,0.2991,0.1054,1.7959,1.2642,2.7766,0.9502,0.9572,1.0538,2.995,1.284,1.2526,1.1314,3.5728,3.4095,3.6825,3.6523,10.1765,2.0572,2.039,2.0291,2.0354,2.0158,6.3434,12.5835,4.2348,4.195,4.1537,10.4385,2.1286,2.1295,2.0802,2.0773,2.0227,1.6264,1.3721,0.0704,0.0163,0.0213,0.0093,1.3981,1.4587,1.5251,0.0774,0.0182,0.0038,0.0232,0.0091,2.7403,2.7344,0.9687,0.8068,0.959,1.619,1.4496,1.4917,-135.43,16
JELTAV,82.28,6.05,179.68,2.95,10.37,8.5,30.8,22.6,17.7,842.33,-4.0399,-3.098,2.1,1.95,-0.16,-0.03,2.6,2.04,1.97,1.32,1.24,48.65,73.56,109.95,135.44,111.69,57.79,124.48,-0.3193,-0.29,0.0988,0.4418,0.1319,0.1322,-0.5163,-0.0172,3.1731,3.5632,2.9949,1.348,2.0316,2.0214,4.0971,2.0061,29.2053,5.5157,7.2628,25.1716,8.408,8.4045,5.7296,8.5171,0.6656,0.3262,0.7158,0.5067,0.398,0.4807,0.1138,1.7353,1.3008,2.7738,0.908,0.9597,1.0691,2.9926,1.1839,1.2522,1.2317,3.6038,3.4344,3.5322,3.8136,10.153,2.053,2.024,2.016,2.0419,2.018,6.3177,12.6042,4.2376,4.2198,4.1468,10.3971,1.9879,2.0931,2.0409,2.196,2.0792,1.4157,1.4086,0.0714,0.0184,0.0205,0.0091,1.4321,1.3814,1.631,0.0775,0.023,0.0058,0.0183,0.0112,2.7353,2.7239,0.9432,0.8116,0.969,1.4861,1.4531,1.6059,-153.5,16
MINBIU,80.97,1.28,206.2,1.98,5.81,5.89,35.6,23.8,10.6,517.89,-4.0487,-2.9187,2.08,1.94,-0.14,0,2.59,2.1,1.98,1.32,1.24,50.84,73.42,116.81,129.09,111.19,55.74,125.89,-0.4064,-0.2988,0.1052,0.5461,0.066,0.1371,-0.5143,-0.0171,3.2163,3.4825,2.9717,1.3816,3.0059,3.1544,4.3099,2.0276,29.3799,5.501,7.2486,25.1044,7.0239,6.8632,5.8253,8.4991,0.5691,0.2271,0.6666,0.6141,0.5123,0.5899,0,1.8606,1.338,2.7707,0.919,0.9536,1.073,2.9962,1.2627,1.2355,1.1599,3.5735,3.3103,3.6546,3.7304,10.1614,2.0592,2.0327,2.0205,2.0383,2.0107,6.3273,12.6655,4.2578,4.223,4.1847,10.4132,2.061,2.1277,2.0664,2.1162,2.0419,1.1276,1.2782,0.2935,0.036,0.0776,0.0343,1.1554,1.241,1.0994,0.3338,0.0332,0.0721,0.0938,0.0312,2.74,2.7232,0.9722,0.824,0.927,1.6231,1.4446,1.4703,-126.53,16
OCULUU,81.47,-1.1,178.42,3.24,7.63,10.29,31.6,26.3,20.9,720.09,-3.2295,-1.4244,2.26,1.98,0.02,-0.07,2.64,2.36,1.97,1.31,1.24,57.93,70.97,119.97,128.67,111.36,51.1,126.06,-0.3656,-0.3161,0.0847,0.5191,0.1538,-0.0991,-0.5268,-0.0389,2.6222,3.7094,2.9995,1.3445,1.9414,1.8623,4.1404,1.9938,29.1169,5.7202,7.3029,25.156,8.4486,8.5869,5.7644,8.5322,0.4675,0.1955,0.7227,0.6924,0.2053,0.6852,0.1011,1.7799,1.304,2.7819,0.9331,0.9643,1.063,2.9944,1.2806,1.2522,1.144,3.5604,3.3944,3.6205,3.692,10.1868,2.0659,2.0385,2.025,2.0428,2.0146,6.3695,12.5473,4.238,4.1791,4.1302,10.4486,2.1221,2.1017,2.0768,2.1075,2.0405,1.4768,1.4186,0.0734,0.0169,0.0237,0.009,1.6629,1.4412,1.5239,0.0674,0.0108,0.0081,0.0233,0.0077,2.7408,2.734,0.952,0.8395,0.9425,1.5905,1.4796,1.49,-114.72,16
OHOYES,77.67,3.5,184.7,1.55,10.35,7.27,31.8,24.5,15.6,712.36,-3.5532,-2.3125,2.47,1.98,-0.4,0.01,2.62,2.26,1.99,1.31,1.25,55.37,72.51,119.29,128.57,111.24,52.12,125.46,-0.3532,-0.3206,0.1098,0.5686,0.1459,0.0153,-0.4979,-0.0101,2.5936,3.5691,3.042,1.383,2.9445,2.9995,3.8191,1.881,29.1709,5.5903,7.3456,25.1074,7.1391,7.1015,5.6111,8.5921,0.5116,0.1754,0.6855,0.6855,0.1444,0.5702,0,1.4677,1.3226,2.7745,0.9438,0.9295,1.0914,2.9954,1.2642,1.2242,1.1658,3.559,3.2472,3.6391,3.7865,10.1733,2.0679,2.0278,2.0175,2.0481,2.0119,6.3483,12.5443,4.2572,4.1893,4.0978,10.4605,2.1333,2.0859,2.0812,2.1153,2.0448,1.1212,1.3661,0.265,0.0231,0.0673,0.0251,1.2997,1.2898,1.046,0.2864,0.0318,0.0558,0.0891,0.0323,2.7362,2.7146,0.9705,0.7887,0.9554,1.59,1.4504,1.5052,-105.53,16
PORMUG,73.92,3.46,196.12,2.59,5.75,7.45,34.6,27.3,15,570.14,-4.4156,-2.4915,2.06,2.25,0.03,-0.23,2.54,1.99,1.95,1.32,1.24,47.81,70.7,115.66,132.43,111.82,61.49,124.94,-0.3562,-0.2645,0.1049,0.4471,0.2418,0.1517,-0.5155,-0.0092,3.1072,3.4471,2.9937,1.294,3.2649,2.899,4.2386,2.0105,29.3037,5.4378,7.2083,25.2087,7.0021,7.2122,5.7944,8.5123,0.7467,0.2912,0.6513,0.3334,0.4643,0.3161,0,1.8135,1.3234,2.7722,0.8986,0.945,1.0771,2.9889,1.2638,1.2555,1.1436,3.6044,3.2789,3.7047,3.8006,10.1444,2.0641,2.0244,2.0116,2.0355,2.0088,6.334,12.63,4.2647,4.2249,4.1403,10.392,2.1048,2.1204,2.1165,2.067,1.9832,1.0993,1.249,0.2451,0.0252,0.0793,0.0233,1.191,1.1036,1.2202,0.2707,0.0399,0.0592,0.0696,0.0374,2.736,2.7217,0.9755,0.7937,0.9526,1.6086,1.4299,1.4974,-122.95,16
POVFUD,77.35,3.57,188.1,1.92,7,9.82,34.1,25.1,15.2,648.52,-4.3379,-2.5063,2.24,2.01,-0.22,0.03,2.55,2,1.97,1.32,1.24,48.07,71.48,115.37,132.85,111.76,60.45,124.84,-0.3543,-0.2744,0.1084,0.4585,0.2458,0.245,-0.5134,-0.0023,3.1377,3.4499,2.996,1.3027,3.0625,3.221,4.1887,2.0091,29.303,5.4418,7.2273,25.1988,7.163,7.0394,5.7729,8.515,0.7166,0.2965,0.6457,0.378,0.3368,0.5187,0,1.7794,1.3137,2.7714,0.9051,0.9517,1.0706,2.9902,1.2642,1.2571,1.1382,3.599,3.2497,3.7486,3.7741,10.1494,2.0485,2.029,2.0137,2.0471,2.0111,6.3249,12.6366,4.2594,4.2261,4.1512,10.3924,2.1486,2.1249,2.0979,2.0138,2.0073,1.0431,1.232,0.2414,0.0344,0.0751,0.0222,1.0725,1.2778,1.1808,0.2538,0.0242,0.0505,0.0851,0.0189,2.7355,2.721,0.9674,0.7959,0.9577,1.59,1.4404,1.5001,-120.45,16
ROFTOW,77.65,3.91,184.57,1.74,13.14,13.91,33.9,25.2,15.7,820.91,-4.384,-2.5749,2.26,2.02,-0.22,0.01,2.54,1.99,1.97,1.32,1.24,47.88,71.09,112,135.73,111.73,61.03,124.18,-0.3634,-0.2727,0.1105,0.4606,0.2433,0.2454,-0.5109,0.0065,3.1375,3.4185,2.9828,1.3102,3.0447,3.196,4.1419,2.0064,29.2947,5.4276,7.2493,25.1955,7.1831,7.0586,5.7455,8.5115,0.7406,0.2831,0.6406,0.3591,0.3285,0.509,0,1.7482,1.3,2.7708,0.8932,0.9497,1.0831,2.9901,1.2449,1.2568,1.1556,3.5963,3.2276,3.7321,3.8144,10.1482,2.0394,2.0228,2.0123,2.0608,2.0129,6.3242,12.6335,4.2624,4.2295,4.1416,10.4053,2.112,2.1166,2.0948,2.027,2.055,1.039,1.2444,0.2386,0.0302,0.0773,0.0186,1.0647,1.2824,1.1858,0.2523,0.0244,0.0482,0.0845,0.0203,2.734,2.7193,0.9325,0.8282,0.9585,1.525,1.4676,1.5317,-120.42,16
WABNUL,81.8,0.81,175.9,3.69,7.2,9.66,33.6,28.5,21.6,695.36,-3.4473,-2.1478,1.98,2.19,-0.04,-0.11,2.64,2.15,1.99,1.32,1.24,51.76,75.31,119.43,129.18,111.39,52.93,125.71,-0.3564,-0.3297,0.09,0.5062,-0.0194,0.2392,-0.5336,-0.0417,2.8287,3.6293,2.9424,1.3385,1.7955,2.075,4.2543,2.007,29.2002,5.5626,7.2707,25.1329,8.6343,8.3053,5.8294,8.5161,0.4717,0.2187,0.6969,0.6861,0.6528,0.2644,0,1.8162,1.3215,2.7722,1.0447,0.9847,0.9372,2.998,1.2858,1.2522,1.1328,3.5691,3.8207,3.703,3.2001,10.1751,2.012,2.0344,2.0638,2.0276,2.0372,6.337,12.5796,4.2006,4.1995,4.1795,10.4395,2.0634,2.1426,2.1222,2.0737,2.0376,1.6179,1.4442,0.0672,0.0105,0.0213,0.0083,1.2669,1.456,1.5999,0.0758,0.0149,0.0023,0.0263,0.008,2.7412,2.7375,0.9576,0.8223,0.9577,1.6152,1.4661,1.4814,-107.93,16
WAPNOS,79.12,4.28,187.89,2.05,6.3,8.45,33.9,25.1,15.7,632.53,-4.5833,-3.683,2.25,2.01,-0.25,0.03,2.54,1.99,1.96,1.32,1.24,47.23,69.75,120.26,128.14,111.47,63.02,125.88,-0.3333,-0.2502,0.1115,0.4281,0.2501,0.2581,-0.5115,0.0056,3.2348,3.3449,3.0138,1.2704,2.972,3.2153,4.3514,2.0335,29.3903,5.4011,7.1563,25.2161,7.153,7.0197,5.8527,8.488,0.7733,0.2637,0.6386,0.2872,0.3122,0.5811,0,1.8386,1.3686,2.7725,0.9048,0.9511,1.0589,2.9921,1.2523,1.2322,1.1706,3.6157,3.2831,3.7601,3.7565,10.138,2.0493,2.0281,2.0142,2.0368,2.0097,6.3319,12.6485,4.265,4.2274,4.1561,10.3526,2.1419,2.1123,2.1003,2.0083,1.9898,1.0569,1.2384,0.2341,0.0289,0.0747,0.02,1.062,1.2857,1.1731,0.2511,0.0236,0.048,0.082,0.0203,2.7362,2.7194,0.958,0.8432,0.9182,1.5818,1.4688,1.4698,-152.42,16
WIDCER02,81.96,14.87,184.53,1.73,10.75,7.07,32.8,23.8,14.8,651.45,-3.6503,-2.4116,2.1,1.97,-0.16,-0.05,2.61,2.16,2.01,1.32,1.24,52.57,73.78,110.75,136.37,111.19,53.65,124.86,-0.3616,-0.3191,0.0953,0.5396,0.1098,0.0879,-0.5203,-0.0194,2.845,3.477,2.9231,1.3567,1.933,2.0253,4.1475,2.0087,29.1371,5.5315,7.3406,25.1363,8.4921,8.4277,5.7414,8.5208,0.5526,0.2218,0.6572,0.6134,0.3095,0.5393,0.1145,1.7693,1.3021,2.7717,0.962,0.9499,1.0499,2.9983,1.279,1.2425,1.1477,3.5643,3.33,3.73,3.6447,10.1658,2.0461,2.0425,2.0208,2.0386,2.0177,6.3262,12.5675,4.2372,4.1883,4.1421,10.4676,2.1577,2.1199,2.078,2.0738,2.0382,1.43,1.424,0.0752,0.0197,0.0182,0.0112,1.4799,1.3942,1.6104,0.0742,0.018,0.0051,0.0228,0.009,2.7381,2.7267,0.9673,0.8081,0.9514,1.5889,1.4452,1.5117,-109.7,16
