Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),ΔCu-L1 (A),ΔCu-L2 (A),Cu-I (A),Cu-C (A),Cu-N (A),Amide C-N (A),Amide C-O (A),Cu-I-C (°),I-C-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),C-Cu-I (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (C),Lowdin Charge (N),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (C),Bonded Valence (N),Bonded Valence (I),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (C),Atomic Population (N),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-N),Bond Order (C-I),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(d),Orbital Charge L1(dxz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
POJWAN,82.24,1.59,178.8,2.97,10.3,7.83,30,25.4,20.1,768.62,-4.5229,-2.0185,1.95,2.21,-0.05,-0.09,2.59,2.25,1.98,1.32,1.24,55.3,71.45,118.74,128.42,111.57,53.25,125.65,-0.4062,-0.2998,0.0845,0.5638,-0.0179,0.2027,-0.5221,-0.0565,2.5373,3.6671,2.9131,1.3274,1.8364,2.116,4.2009,1.9777,29.0909,5.5905,7.2757,25.148,8.6225,8.3181,5.7809,8.5495,0.4773,0.6656,0.6811,0.588,0.2252,0,1.807,1.3276,2.7692,0.9392,0.955,1.0578,2.9924,1.2751,1.2507,1.1581,3.4723,3.5609,3.6546,10.1697,2.0527,2.0324,2.0316,2.0381,2.0148,6.3142,12.5614,4.2389,4.1971,4.1255,10.5302,2.106,2.105,2.0904,2.1608,2.0681,1.6222,1.448,0.0677,0.0103,0.0229,0.0081,1.2833,1.4632,1.6172,0.0736,0.0119,0.0013,0.0273,0.0082,2.7381,2.7165,0.9652,0.7989,0.9524,1.5855,1.4783,1.5194,-179.43,21
PUQQAT,81.22,2.63,171.61,3.08,6.77,9.21,27.2,20.9,15.9,682.61,-5.5123,-2.5165,2.04,2.31,0.1,-0.35,2.53,1.97,2.01,1.31,1.25,47.1,70.58,96.03,152.39,111.54,62.32,121.65,-0.3971,-0.2452,0.0994,0.4498,0.2134,0.1485,-0.5049,0.0066,2.8201,3.6199,2.8478,1.2679,2.1636,2.0288,4.1546,1.9375,29.0608,5.4727,7.2364,25.1966,8.3195,8.4359,5.7737,8.5108,0.7187,0.517,0.3966,0.3981,0.1928,0.2189,1.6663,1.3782,2.7617,0.8874,0.9574,1.0645,2.9944,1.2418,1.2455,1.1834,3.27,3.744,3.786,10.1307,2.0521,2.0278,2.0112,2.0337,2.0059,6.3008,12.567,4.252,4.181,4.134,10.5289,2.1288,2.133,2.0945,2.1317,2.0408,1.3494,1.4737,0.0763,0.0096,0.0272,0.0086,1.3594,1.4494,1.6001,0.07,0.0142,0.0021,0.0237,0.008,2.7286,2.6991,0.9742,0.7675,0.9574,1.5008,1.4708,1.5691,-123.04,21
TAVYUM,72.44,6.38,163.88,3.26,12.15,9.33,33,27.5,16.7,787.63,-5.5124,-2.1575,2.18,2.31,0.03,-0.31,2.52,1.97,1.98,1.31,1.25,46.34,67.96,94.49,151.61,111.47,65.7,121.22,-0.4096,-0.2041,0.098,0.3969,0.1202,0.1686,-0.5001,0.028,3.0108,3.5086,2.7388,1.2685,3.0773,2.0723,3.966,1.9644,29.1501,5.4047,7.3462,25.2179,7.1109,8.3602,5.6887,8.4926,0.8428,0.5284,0.2497,0.3251,0.1915,0.2757,1.6232,1.2078,2.7647,0.8917,0.9633,1.0288,2.9879,1.2384,1.2598,1.1743,3.3536,3.7654,3.7301,10.1218,2.0402,2.0307,2.0154,2.0277,2.0078,6.3119,12.6022,4.2565,4.2005,4.1452,10.4951,2.1287,2.1355,2.078,2.1035,2.0494,1.0233,1.3527,0.2682,0.0797,0.0202,0.0814,1.4341,1.4226,1.544,0.0707,0.0171,0.0059,0.0218,0.0089,2.7265,2.6928,0.9601,0.7778,0.955,1.4958,1.4678,1.5604,-142.66,21
TUMZIK,92.98,3.59,190.9,2.38,6.32,8.46,35.7,25.9,15.6,602.6,-4.569,-0.9862,2.09,1.95,-0.08,-0.03,2.65,2.17,2.02,1.32,1.24,52.25,74.77,118.96,129.72,111.32,52.98,125.8,-0.4221,-0.305,0.0873,0.5173,0.1788,-0.0579,-0.5249,-0.0516,2.5798,3.703,2.8493,1.2729,2.078,1.8769,4.0776,1.9973,29.0633,5.5787,7.3623,25.1377,8.3537,8.5555,5.7204,8.5524,0.4353,0.6054,0.6964,0.2872,0.5853,0,1.7897,1.2892,2.7655,0.9228,0.9357,1.0968,2.9953,1.2628,1.2512,1.1685,3.1459,3.7282,3.853,10.1629,2.069,2.0233,2.0088,2.052,2.0099,6.3082,12.5625,4.2471,4.1744,4.141,10.5511,2.1659,2.1044,2.0845,2.132,2.0644,1.486,1.4421,0.0758,0.0189,0.0212,0.0091,1.6361,1.3744,1.6042,0.0714,0.0185,0.0037,0.0212,0.0084,2.7393,2.7186,0.972,0.7793,0.9672,1.5796,1.453,1.5462,-121.94,21
UHUJUE,91.01,5.25,209.25,2.83,8.9,6.86,39,31.5,19.2,672.96,-4.6511,-1.757,2.11,2.01,-0.18,-0.02,2.62,2.19,1.98,1.32,1.24,53.14,72.7,119.17,126.79,111.36,54.16,125.89,-0.4157,-0.2847,0.0885,0.5374,0.1639,0.1445,-0.5136,-0.0316,2.7219,3.6056,2.8675,1.3328,2.0438,2.8072,3.9697,2.0081,29.1664,5.5425,7.352,25.1324,8.4157,7.2661,5.6677,8.5401,0.5216,0.6975,0.6493,0.2932,0.5232,0,1.787,1.2066,2.7679,0.9338,0.9477,1.06,2.988,1.2811,1.2397,1.1635,3.339,3.6771,3.6943,10.1603,2.0582,2.0339,2.0205,2.0357,2.012,6.3007,12.5819,4.2444,4.198,4.1396,10.5327,2.1309,2.1111,2.0963,2.1401,2.0543,1.437,1.4252,0.0732,0.0227,0.011,0.0169,1.211,1.2922,1.1539,0.2198,0.0371,0.04,0.0548,0.0353,2.7358,2.7094,0.9717,0.7975,0.9402,1.5992,1.45,1.5122,-139.52,21
UNOROG,79.89,1.39,173.84,5.03,7.31,11.87,31.1,25.6,20.2,877.25,-4.3703,-0.8241,1.95,2.24,-0.05,-0.08,2.63,2.38,1.96,1.31,1.24,58.45,70.38,121.97,126.29,111.5,51.17,126.24,-0.4082,-0.2953,0.0841,0.5581,-0.1051,0.1876,-0.521,-0.0595,2.3928,3.7758,2.9527,1.3376,1.8048,2.0343,4.1742,1.9726,29.0637,5.6924,7.2769,25.1216,8.6275,8.376,5.7726,8.5529,0.4281,0.684,0.764,0.6214,0.2196,0,1.8001,1.332,2.7758,0.9185,0.9502,1.0801,2.9868,1.2445,1.2742,1.1668,3.4796,3.4148,3.7935,10.1706,2.0586,2.0247,2.0195,2.0468,2.0211,6.3362,12.5462,4.2118,4.2159,4.1184,10.5255,2.096,2.0743,2.0992,2.1833,2.0728,1.649,1.4514,0.0673,0.0127,0.0205,0.0092,1.3171,1.4591,1.6058,0.0739,0.0122,0.0015,0.0271,0.0084,2.7386,2.7169,0.9187,0.8525,0.9457,1.5356,1.5267,1.5223,-109.24,21
UQUDOA,79.68,9.64,187.3,2.9,8.15,7.02,33,27,19.7,684.59,-4.9741,-1.8175,2.05,2.07,-0.13,-0.03,2.59,2.24,1.99,1.32,1.24,55.03,71.87,117.84,126.79,110.88,53.1,125.73,-0.4198,-0.297,0.083,0.6023,0.1059,0.1803,-0.5159,-0.0296,2.3516,3.5095,2.9628,1.3466,1.9932,2.0658,4.3868,1.9989,29.0336,5.4991,7.2771,25.0888,8.4416,8.3673,5.8508,8.5171,0.4906,0.6238,0.7041,0.3147,0.3087,0,1.8354,1.4313,2.7644,1.0607,0.9237,0.9658,2.9947,1.2584,1.2577,1.169,3.6782,3.7321,3.2548,10.1561,2.0198,2.0375,2.0408,2.0179,2.0401,6.3061,12.5472,4.2047,4.1679,4.1747,10.5661,2.1167,2.1035,2.1565,2.1244,2.0652,1.4376,1.4266,0.0726,0.0178,0.0197,0.01,1.3805,1.4478,1.5782,0.0736,0.0135,0.0032,0.0248,0.0092,2.7379,2.7103,0.8311,0.9214,0.9578,1.5,1.5711,1.4896,-130.25,21
USAVAN,82.12,-0.68,195.82,1.8,7.81,7.27,32.5,22.4,13.2,586.22,-4.8102,-0.9403,2.04,2.04,-0.03,-0.03,2.63,2.27,1.99,1.32,1.24,55.44,72.64,124.59,123.45,111.44,51.93,126.2,-0.4723,-0.3024,0.085,0.5756,0.2274,-0.0434,-0.5279,-0.0645,2.5957,3.4952,2.8583,1.3515,3.1088,2.9818,4.2965,1.989,29.2055,5.496,7.2423,25.0964,7.1121,7.4404,5.829,8.5379,0.4463,0.6175,0.7312,0.4209,0.5143,0,1.8547,1.3321,2.7682,0.9979,0.9428,1.0124,2.9928,1.2936,1.2431,1.1446,3.5418,3.6803,3.457,10.1641,2.0343,2.0398,2.0379,2.0304,2.0217,6.3019,12.6405,4.2448,4.1884,4.2074,10.5295,2.1202,2.1425,2.0963,2.113,2.0575,1.1161,1.3186,0.239,0.0219,0.0846,0.0192,1.3147,1.2707,1.2285,0.1439,0.0261,0.0069,0.0441,0.0167,2.7404,2.7203,0.9768,0.7901,0.9534,1.6237,1.4626,1.5019,-121.27,21
WUQKAW,99.45,1.32,198.73,2.71,7.38,8.24,33.1,23.7,16.8,668.57,-4.7488,-3.2192,1.91,2.09,-0.03,-0.17,2.57,2.08,2,1.32,1.24,50,71.43,118.52,129.62,111.56,58.57,125.84,-0.4115,-0.2599,0.095,0.4276,-0.0829,0.1892,-0.5185,-0.0463,2.9637,3.6281,2.9006,1.2452,1.897,2.0544,4.2014,1.9891,29.1377,5.5129,7.2689,25.2376,8.5675,8.3922,5.7753,8.5462,0.6445,0.6068,0.4433,0.6802,0.2967,0,1.8311,1.3295,2.7672,0.9027,0.9379,1.0807,2.9933,1.2868,1.2574,1.1336,3.3144,3.7027,3.7884,10.1521,2.0674,2.0286,2.0139,2.0332,2.009,6.3133,12.6147,4.2514,4.2014,4.1619,10.4831,2.1219,2.1177,2.089,2.1161,2.0385,1.649,1.4267,0.07,0.0136,0.0221,0.0093,1.4696,1.4389,1.4697,0.073,0.0188,0.0036,0.0189,0.0094,2.7374,2.7138,0.9714,0.783,0.9594,1.6219,1.4562,1.4962,-190.79,21
XORTIJ,87.29,4.02,188.3,1.7,7.09,6.19,37.8,24.7,13.9,573.23,-3.7517,-0.7767,2.34,2.32,-0.04,-0.02,2.65,2.37,1.98,1.31,1.24,57.84,70.97,123.31,124.36,111.32,51.19,126.5,-0.8545,-0.2991,0.0884,0.536,0.2219,0.2346,-0.5273,-0.0731,2.5727,3.6496,2.9482,1.3346,1.8846,1.8962,4.2733,1.9801,29.1172,5.6269,7.1964,25.1249,16.6,16.5743,5.8244,8.5433,0.3936,0.6179,0.7331,0.5194,0.5465,0,1.8278,1.3609,2.7769,0.9519,0.9773,1.0258,2.9894,1.2522,1.2608,1.1664,3.6562,3.517,3.5267,10.172,2.0337,2.0349,2.042,2.0427,2.0187,6.3878,12.7237,4.2065,4.2663,4.2508,10.7428,2.1408,2.1435,2.1368,2.1578,2.164,3.3147,3.3639,0.188,0.0552,0.0266,0.0451,3.3194,3.326,3.6077,0.1912,0.0595,0.0255,0.0325,0.0424,2.7399,2.7225,0.928,0.8315,0.963,1.5512,1.5095,1.5346,-104.04,21
ZOGNAK,85.78,5.48,176.47,2.63,9.13,11.09,36.3,27.1,14.6,690.11,-4.5547,-0.8425,1.98,2.37,-0.04,-0.05,2.62,2.28,2.01,1.31,1.24,55.7,72.2,124.21,124.11,111.34,52.1,126.38,-0.411,-0.301,0.0874,0.5618,-0.109,0.0449,-0.5237,-0.0569,2.2555,3.6201,2.9152,1.3174,1.751,1.9491,4.1014,1.9809,28.9973,5.5665,7.3225,25.1199,8.6453,8.4381,5.739,8.5484,0.4581,0.6168,0.7164,0.5209,0.1496,0,1.7919,1.3028,2.7701,0.9432,0.9469,1.0621,2.9925,1.2997,1.2465,1.1364,3.2106,3.7517,3.731,10.166,2.044,2.0372,2.015,2.052,2.0179,6.3245,12.5234,4.2461,4.1645,4.1128,10.5628,2.1693,2.1187,2.0712,2.1035,2.1002,1.6371,1.3773,0.0694,0.0176,0.0185,0.0087,1.4642,1.5306,1.5491,0.0741,0.0161,0.0143,0.0168,0.0124,2.7386,2.7178,0.9725,0.7962,0.949,1.6253,1.4679,1.4876,-132.7,21
ZOZTOA,81.27,0.27,190.95,2.08,7.71,12.3,32.9,23.4,13.3,764.52,-4.7484,-0.9715,2.13,2.04,-0.18,0.03,2.67,2.25,1.98,1.31,1.25,53.98,74.43,116.51,131.74,111.54,51.59,125.31,-0.4289,-0.3077,0.0988,0.5528,0.1791,0.0241,-0.505,-0.0592,2.5628,3.6518,2.9519,1.3161,3.0777,2.8507,4.1519,1.9005,29.1789,5.5948,7.2478,25.0856,7.2056,7.0765,5.7486,8.5931,0.3851,0.6319,0.7649,0.3932,0.4823,0,1.6475,1.3925,2.7686,0.9319,0.9345,1.093,2.9888,1.2701,1.2333,1.1666,3.3207,3.5742,3.8003,10.1586,2.0637,2.0263,2.0152,2.0401,2.0133,6.3044,12.6001,4.235,4.1991,4.1661,10.5242,2.0932,2.0958,2.0993,2.1806,2.0552,1.1348,1.2631,0.2343,0.0302,0.0644,0.0233,1.2537,1.3706,0.9554,0.2921,0.0243,0.0629,0.0817,0.0337,2.7346,2.7067,0.9576,0.7804,0.9687,1.573,1.4688,1.55,-113.57,21
AMIDEF,99.93,-1.38,198.12,3.35,6.98,9.93,37,27.5,19.2,728.29,-4.1347,-0.7102,2.04,1.98,-0.04,0.01,2.57,2.45,2.02,1.31,1.24,61.49,67.03,126.05,120.07,111.23,51.48,126.87,-0.4765,-0.2799,0.096,0.5796,0.0033,-0.008,-0.5259,-0.081,2.4229,3.5676,2.7697,1.3506,1.8857,1.9334,4.1284,1.9763,29.0791,5.5949,7.3212,25.1417,8.5776,8.5476,5.7435,8.5598,0.5101,0.6146,0.6799,0.3912,0.515,0,1.8347,1.2407,2.7758,0.9767,0.9349,1.0303,2.9936,1.3021,1.2276,1.1419,3.4826,3.6606,3.532,10.1762,2.0453,2.0422,2.033,2.0348,2.021,6.3076,12.5819,4.2333,4.1674,4.1812,10.5866,2.15,2.1201,2.0858,2.1237,2.107,1.5715,1.4473,0.0677,0.0199,0.0138,0.0108,1.5247,1.4453,1.5982,0.07,0.0186,0.013,0.0126,0.016,2.7414,2.7217,0.9737,0.8003,0.9477,1.6382,1.4667,1.4974,-108.56,21.1
BEBJEZ,82.2,1.56,208.23,2.38,13.5,9.28,37.2,28.1,16.3,845.37,-4.6737,-1.2479,2.19,1.98,-0.16,0.01,2.64,2.25,1.99,1.32,1.24,54.73,72.9,121.86,126.5,111.54,52.37,125.97,-0.4391,-0.3002,0.0914,0.5591,0.1176,0.0976,-0.5217,-0.0498,2.6121,3.6503,2.9117,1.3254,2.9758,2.9736,4.1595,1.982,29.1864,5.5735,7.2881,25.1103,7.046,7.1392,5.759,8.5499,0.4468,0.6449,0.7232,0.2961,0.5749,0,1.7857,1.3307,2.7687,0.9718,0.9597,1.0221,2.9892,1.2945,1.2363,1.149,3.4896,3.7014,3.5005,10.1647,2.0422,2.0395,2.0328,2.0295,2.0207,6.3146,12.5894,4.2274,4.1868,4.1752,10.5348,2.137,2.1432,2.0962,2.1123,2.0461,1.1015,1.265,0.3065,0.033,0.086,0.0352,1.2331,1.3135,1.1347,0.2253,0.0224,0.0389,0.0747,0.0202,2.738,2.7162,0.9615,0.8145,0.9402,1.628,1.474,1.474,-133,21.1
BELWAS,88.35,3.37,185.91,1.86,8.8,9.64,32.3,24.5,16.7,749.85,-4.631,-0.8733,1.96,2.11,-0.05,-0.06,2.64,2.28,1.98,1.32,1.24,55.44,72.47,117.78,130.63,111.39,52.09,125.95,-0.4096,-0.2997,0.0859,0.5459,0.045,0.1185,-0.5208,-0.0531,2.4171,3.6356,2.9087,1.279,1.9717,2.013,4.2273,1.9868,29.042,5.5766,7.2859,25.135,8.5106,8.4482,5.7868,8.5433,0.4107,0.6697,0.7284,0.5017,0.285,0,1.8243,1.3338,2.7721,0.9756,0.9487,1.0288,2.9905,1.2971,1.2499,1.1364,3.4818,3.6961,3.5291,10.1575,2.0397,2.0395,2.0312,2.0291,2.0181,6.3109,12.5561,4.2337,4.1814,4.141,10.5422,2.1368,2.1354,2.1077,2.1063,2.056,1.5186,1.3894,0.0718,0.0175,0.0222,0.0082,1.4204,1.5026,1.5315,0.0737,0.016,0.0151,0.0171,0.0108,2.7384,2.7156,0.9712,0.7898,0.9546,1.6215,1.465,1.4937,-141.87,21.1
CICTOY,85.27,0.28,184.31,1.9,10,8.01,28.7,18.6,13,660.46,-3.864,-0.7968,2.02,1.98,-0.03,-0.01,2.58,2.46,2,1.31,1.24,61.56,67.21,126.38,121.86,111.39,51.23,126.75,-0.4635,-0.2861,0.0868,0.568,0.0635,-0.0132,-0.5326,-0.0768,2.3614,3.6304,2.8578,1.339,1.9738,1.9292,4.2866,1.9746,29.0582,5.6165,7.2576,25.1403,8.4866,8.543,5.8283,8.5494,0.4721,0.6076,0.7044,0.3997,0.5191,0,1.8503,1.3351,2.7765,0.9792,0.9471,1.0181,2.9955,1.2999,1.2388,1.1386,3.5345,3.6685,3.4751,10.178,2.0403,2.0424,2.0366,2.0353,2.0234,6.3152,12.602,4.2394,4.1831,4.1794,10.5461,2.1459,2.1157,2.0896,2.1204,2.0745,1.4638,1.407,0.0732,0.0163,0.0226,0.0081,1.5442,1.4854,1.5412,0.0709,0.0104,0.0086,0.0241,0.0077,2.7421,2.7249,0.9691,0.8053,0.9505,1.628,1.4764,1.4944,-119.03,21.1
FARWAZ,75.11,7.8,161.42,3.28,6.81,9.52,32.1,25.5,16.3,651.5,-5.6558,-2.1092,2.29,2.21,-0.27,-0.04,2.51,1.95,1.98,1.3,1.25,46.06,68.11,94.86,153.52,111.58,65.83,121.3,-0.421,-0.2118,0.1175,0.404,0.1118,0.0912,-0.5003,0.0137,2.9806,3.5509,2.8332,1.2583,1.9419,3.1864,4.0847,1.9386,29.0968,5.4275,7.2194,25.2277,8.5143,7.3562,5.7376,8.5084,0.8279,0.5408,0.2646,0.163,0.3335,0.2691,1.6204,1.3247,2.7636,0.895,0.9385,1.054,2.9829,1.2479,1.238,1.1724,3.3213,3.7725,3.7528,10.1217,2.0375,2.0286,2.012,2.0335,2.0102,6.308,12.5999,4.2407,4.2118,4.1475,10.5127,2.1507,2.1761,2.0851,2.0512,2.0495,1.4727,1.4431,0.0693,0.0164,0.0196,0.0084,1.202,1.3948,1.1728,0.1512,0.0225,0.0221,0.0198,0.0465,2.7248,2.6944,0.9584,0.7745,0.9615,1.504,1.4731,1.5601,-143.44,21.1
FELHEJ,91.89,6.75,186.33,2.45,4.4,8.63,36.3,25.7,13,562.53,-4.482,-0.825,2.18,2.02,0,-0.06,2.58,2.35,2,1.32,1.24,58.25,69.16,122.78,126.26,110.9,52.59,126.41,-0.455,-0.2839,0.0901,0.5678,0.057,-0.126,-0.5296,-0.068,2.3287,3.5708,2.9059,1.3401,1.8903,1.7788,4.2613,1.9793,28.9968,5.5635,7.2901,25.1324,8.4583,8.6075,5.8142,8.5442,0.516,0.6246,0.6578,0.25,0.4374,0,1.824,1.3543,2.7724,0.9503,0.9311,1.0627,2.9943,1.2988,1.2455,1.1333,3.4111,3.6162,3.6605,10.1675,2.0556,2.0346,2.0265,2.0364,2.0144,6.3261,12.5592,4.2397,4.1798,4.1397,10.5694,2.1382,2.1286,2.0923,2.1172,2.0932,1.4864,1.558,0.068,0.0145,0.0146,0.0105,1.4894,1.5448,1.6132,0.0744,0.0213,0.0134,0.0104,0.0214,2.7404,2.7236,0.9707,0.7838,0.9692,1.6297,1.4609,1.5008,-139.11,21.1
FERYUX,80.38,13.14,195.63,1.7,7.44,7.1,32.9,25.1,16.4,599.05,-4.5562,-0.8749,2.09,1.99,-0.14,-0.05,2.61,2.3,1.99,1.32,1.24,56.56,71.39,116.66,129.44,111.22,52.05,125.65,-0.4227,-0.2995,0.083,0.586,0.1534,0.0652,-0.5175,-0.052,2.3599,3.6357,2.8632,1.3424,2.0441,1.9674,4.2021,1.9879,29.0285,5.5749,7.3426,25.1046,8.3928,8.4597,5.7654,8.5479,0.4725,0.6339,0.721,0.2873,0.4344,0,1.8188,1.3218,2.769,0.9501,0.9303,1.0724,2.9928,1.2817,1.2458,1.1583,3.2656,3.699,3.7142,10.1595,2.0516,2.0347,2.0179,2.0424,2.0128,6.3084,12.5421,4.2463,4.1704,4.1254,10.5719,2.1624,2.1169,2.0998,2.1176,2.0751,1.3734,1.4269,0.0742,0.019,0.0213,0.0086,1.4661,1.4033,1.6422,0.0731,0.0209,0.0067,0.0185,0.0099,2.7384,2.713,0.9623,0.7898,0.9609,1.5926,1.4569,1.5293,-148.98,21.1
FETXAE,80.81,3.89,177.26,1.43,6.99,8.4,29.1,17.7,9.7,552.08,-4.3936,-1.5508,2.13,1.96,-0.13,-0.02,2.6,2.25,2,1.32,1.24,55.04,71.8,118.92,128.89,111.44,53.16,125.75,-0.4229,-0.2982,0.0879,0.5357,0.1828,-0.1452,-0.5233,-0.0565,2.5298,3.6953,2.8584,1.3299,2.0874,1.8589,4.2269,1.9847,29.0578,5.5958,7.3003,25.1364,8.363,8.5718,5.7839,8.5477,0.4924,0.6147,0.6727,0.2519,0.6081,0,1.8373,1.3224,2.7699,0.9758,0.9433,1.0314,2.9941,1.3014,1.2439,1.1356,3.4477,3.7136,3.5519,10.166,2.0434,2.0421,2.0305,2.0302,2.0198,6.3185,12.5654,4.2357,4.1851,4.1446,10.5387,2.1564,2.1368,2.0988,2.1027,2.0441,1.3232,1.4351,0.0749,0.0166,0.0245,0.0078,1.6765,1.4755,1.5248,0.07,0.0108,0.009,0.0235,0.0083,2.7392,2.7172,0.9795,0.7851,0.9525,1.6343,1.4579,1.4905,-173.95,21.1
FIJBAD,89.76,5.82,191.82,1.33,10.12,9.19,32.8,24.1,15.5,801.98,-4.6981,-0.9844,1.99,2.14,0,-0.21,2.65,2.25,1.99,1.31,1.24,54.35,73.52,123.16,124.91,111.84,52.12,126.19,-0.4183,-0.3041,0.087,0.55,0.0642,0.0845,-0.5213,-0.0548,2.4485,3.7549,2.9318,1.2892,1.9965,3.0023,4.2571,1.9712,29.069,5.6394,7.2588,25.1129,8.4932,7.0697,5.8101,8.5516,0.3998,0.6452,0.7584,0.4751,0.3214,0,1.8129,1.3722,2.7682,1.0032,0.9252,1.0275,2.9899,1.2894,1.2478,1.1459,3.4662,3.7151,3.5224,10.1576,2.0358,2.0399,2.0365,2.0256,2.0198,6.3095,12.5684,4.2227,4.1774,4.1683,10.54,2.1147,2.1491,2.1285,2.104,2.0438,1.4962,1.4268,0.0721,0.0177,0.0209,0.0088,1.1332,1.1685,1.2497,0.2835,0.0449,0.0348,0.0906,0.0301,2.7394,2.7155,0.9809,0.7751,0.9595,1.6465,1.4515,1.4821,-131.34,21.1
FOWDAY,77.88,0.48,181.26,2.51,4.82,8.03,31.1,19.1,8.7,512.56,-5.4966,-2.1194,2.18,2.11,-0.18,0.12,2.55,1.97,1.99,1.32,1.25,46.27,69.76,122.68,126.31,110.73,63.97,126.49,-0.3831,-0.2323,0.0967,0.3929,0.0215,-0.0368,-0.4968,-0.0524,3.0319,3.3183,3.0124,1.234,2.9091,3.0295,4.311,1.9262,29.2234,5.3236,7.1585,25.2229,7.1944,7.2619,5.8262,8.5632,0.7437,0.6436,0.3404,0.3412,0.3993,0,1.6868,1.4761,2.7658,0.8965,0.9593,1.0477,2.991,1.2805,1.1881,1.2073,3.3182,3.7761,3.7409,10.1282,2.049,2.0275,2.0157,2.029,2.007,6.3212,12.6688,4.2709,4.2292,4.1687,10.3927,2.1325,2.1188,2.0905,2.0723,1.9785,1.2687,1.3113,0.2575,0.031,0.0666,0.0278,1.2357,1.368,1.1714,0.1961,0.0294,0.0587,0.0411,0.0301,2.7346,2.6999,0.9822,0.8716,0.8462,1.6027,1.4899,1.4886,-136.94,21.1
HANDOS,83.15,0.83,189.49,2.97,6.18,10.92,31.2,20.8,12.5,673.44,-4.6946,-1.1502,2,2.1,0.01,-0.11,2.61,2.27,1.99,1.32,1.24,55.79,71.53,120.75,127.06,111.41,52.68,126.08,-0.4234,-0.2953,0.0843,0.5706,0.0501,0.2392,-0.5246,-0.0618,2.5434,3.5461,2.8945,1.3329,2.0188,3.1629,4.2776,1.9877,29.1335,5.5061,7.2485,25.112,8.478,7.088,5.8153,8.5396,0.4646,0.6115,0.7087,0.4947,0.3947,0,1.8346,1.35,2.77,1.0249,0.942,0.9832,2.9941,1.3004,1.2415,1.1406,3.6325,3.6846,3.366,10.1633,2.027,2.0368,2.0454,2.0277,2.0264,6.3022,12.6033,4.2366,4.1808,4.1859,10.5176,2.1173,2.1377,2.1131,2.0944,2.055,1.4931,1.4675,0.0728,0.0115,0.0251,0.008,1.0407,1.2348,1.2524,0.2542,0.0376,0.0398,0.0796,0.0199,2.7395,2.7182,0.9777,0.7907,0.9498,1.6305,1.4624,1.4938,-143.71,21.1
