Ligand,Bite Angle (°),Change in Bite Angle (°),Cone Angle (°),Sterimol B1,Sterimol B5,Sterimol L,% Buried Volume (3.5A),% Buried Volume (5.0A),% Buried Volume (7.0A),SASA (A^2),HOMO Energy (eV),LUMO Energy (eV),Cu-L1 (A),Cu-L2 (A),dCu-L1 (A),dCu-L2 (A),Cu-I (A),Cu-N (A),Cu-C (A),Cu-O (A),C-I (A),Amide C-N (A),Amide C-O (A),N-Cu-I (°),Cu-I-C (°),I-C-N (°),C-N-Cu (°),Cc-N-Cu (°),Ca-N-Cu (°),Cc-N-Ca (°),Amide O-C-N (°),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (C),Lowdin Charge (I),Lowdin Charge (L1),Lowdin Charge (L2),Lowdin Charge (Amide C),Lowdin Charge (Amide O),Bonded Valence (Cu),Bonded Valence (N),Bonded Valence (C),Bonded Valence (L1),Bonded Valence (L2),Bonded Valence (Amide C),Bonded Valence (Amide O),Atomic Population (Cu),Atomic Population (N),Atomic Population (C),Atomic Population (I),Atomic Population (L1),Atomic Population (L2),Atomic Population (Amide C),Atomic Population (Amide O),Bond Order (Cu-I),Bond Order (Cu-C),Bond Order (C-I),Bond Order (Cu-N),Bond Order (C-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Bond Order (Cu-O),Bond Order (Amide C-O),Bond Order (Amide C-N),Orbital Charge C(s),Orbital Charge C(p),Orbital Charge C(pz),Orbital Charge C(px),Orbital Charge C(py),Orbital Charge N(s),Orbital Charge N(p),Orbital Charge N(pz),Orbital Charge N(px),Orbital Charge N(py),Orbital Charge I(s),Orbital Charge I(pz),Orbital Charge I(px),Orbital Charge I(py),Orbital Charge I(d),Orbital Charge I(dxz),Orbital Charge I(dyz),Orbital Charge I(dxy),Orbital Charge I(dz2),Orbital Charge I(dx2y2),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(pz),Orbital Charge Cu(px),Orbital Charge Cu(py),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Orbital Charge Cu(dyz),Orbital Charge Cu(dxy),Orbital Charge Cu(dz2),Orbital Charge Cu(dx2y2),Orbital Charge L1(pz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L1(dxy),Orbital Charge L1(dz2),Orbital Charge L2(pz),Orbital Charge L2(px),Orbital Charge L2(py),Orbital Charge L2(d),Orbital Charge L2(dxz),Orbital Charge L2(dyz),Orbital Charge L2(dxy),Orbital Charge L2(dz2),Orbital Charge Amide C(s),Orbital Charge Amide C(p),Orbital Charge Amide C(pz),Orbital Charge Amide C(px),Orbital Charge Amide C(py),Orbital Charge Amide O(s),Orbital Charge Amide O(p),Orbital Charge Amide O(pz),Orbital Charge Amide O(px),Orbital Charge Amide O(py),Magnitude of the Imaginary Frequency (cm-1),Ea
XEYGEN,101.41,-5.11,204.72,3.02,7.79,10.36,37,26.9,17.7,688.59,-4.0428,-2.2395,1.94,1.93,0.04,0.04,2.48,2.12,3.15,3.22,2.68,1.33,1.24,97.2,75.17,88.94,92.83,114.26,120.21,109.76,126.78,-0.5807,0.1577,-0.0607,0.1994,0.0105,-0.0128,-0.4724,-0.006,2.0779,2.8598,3.7665,1.8864,1.9558,4.121,2.0486,28.9149,7.2665,5.739,25.4031,8.5735,8.5441,5.7175,8.4832,0.5304,0,0.4658,0.3374,0.3299,0.4228,0.5282,0,1.8884,1.1766,2.7991,2.7497,0.8795,1.064,0.8063,3.0096,3.5931,1.2648,1.1683,1.16,3.6307,3.4772,3.8545,3.6928,10.1285,2.0189,2.046,2.0201,2.0268,2.0167,6.3317,12.6219,4.2101,4.1904,4.2214,10.6267,2.0925,2.2107,2.1196,2.0876,2.1163,1.5774,1.5528,1.4241,0.0726,0.0159,0.0193,0.009,1.4419,1.6527,1.4789,0.0716,0.0147,0.0191,0.008,0.0233,2.7424,2.6915,0.9756,0.9677,0.7482,3.4089,4.5277,1.5948,1.5443,1.3886,-286.46,52
AFUROL,86.18,0.56,220.36,2.38,8.42,7.3,39.9,28.2,15.6,614.69,-4.9032,-1.7299,1.97,1.97,-0.01,-0.01,2.65,2.04,3.01,3.11,2.45,1.36,1.22,83.32,72.04,90.16,96.92,112.18,122.69,108.86,125.51,-0.4014,0.1578,-0.1822,0.2051,0.0261,0.1994,-0.4561,0.0636,2.1774,2.9245,3.6622,1.9959,3.2095,4.1305,2.1022,28.9828,7.1892,5.6709,25.3665,8.525,7.1351,5.7948,8.3973,0.3859,0,0.6057,0.4719,0.4005,0.4977,0.5409,0,1.9544,1.0632,2.7797,2.7899,0.9168,0.9635,0.9096,2.9944,3.5931,1.1634,1.1899,1.2398,3.657,3.4547,3.8708,3.6574,10.1403,2.0226,2.0538,2.0097,2.0337,2.0205,6.3157,12.5668,4.1754,4.176,4.2153,10.5186,2.0936,2.1148,2.1195,2.0907,2.1,1.5219,1.6047,1.4121,0.073,0.0191,0.0187,0.0089,1.2787,1.132,1.1548,0.2679,0.0653,0.0281,0.0745,0.0351,2.7419,2.6802,0.9801,0.9384,0.7618,3.3961,4.4677,1.4983,1.5818,1.3876,-446.54,52.1
ATOSAF,72.81,6.75,211.18,2.51,8.05,8.95,42.7,30.5,17.8,715.06,-5.1717,-1.8264,2.23,2.14,-0.06,-0.16,2.61,2.1,3.1,3.13,2.4,1.36,1.23,82.57,76.2,90.92,99.34,107.72,120.06,109.48,125.79,-0.4213,0.1605,-0.2039,0.311,0.1075,0.1545,-0.4475,0.0457,1.8259,2.9218,3.7722,2.9213,2.0958,4.0625,2.095,28.9087,7.1862,5.6946,25.2946,7.193,8.4208,5.7115,8.4254,0.454,0,0.6365,0.4301,0.4108,0.2793,0.2869,0,1.9397,1.0783,2.7796,2.7987,0.9619,1.0312,0.8056,2.9948,3.5944,1.1446,1.2676,1.1822,3.6325,3.5369,3.7564,3.6073,10.1397,2.0247,2.0507,2.0204,2.0256,2.0183,6.3102,12.4968,4.1648,4.1396,4.1924,10.614,2.0999,2.1359,2.1608,2.1282,2.0893,1.2069,1.2681,1.084,0.2977,0.0464,0.0632,0.0529,1.4365,1.5747,1.4095,0.073,0.0172,0.0157,0.0145,0.0124,2.7395,2.6743,0.976,0.966,0.7323,3.3986,4.4839,1.49,1.6402,1.3537,-425.75,52.1
FERQEY,63.55,-0.92,171.68,2.23,8.36,9.82,31.4,23.8,16.8,695.83,-4.9105,-1.755,2.13,2.03,-0.09,0.13,2.49,2.09,3.21,2.99,2.48,1.35,1.23,88.01,80.56,88.61,101.43,100.06,119.97,109.87,126.46,-0.4545,0.1488,-0.1519,0.3475,0.0721,0.0685,-0.4598,0.0189,1.9255,2.8724,3.7222,1.9499,1.9669,4.0769,2.0729,28.9761,7.2792,5.6463,25.2804,8.5189,8.5181,5.6983,8.4588,0.5984,0,0.5573,0.3772,0.3811,0.3324,0.4801,0,1.9087,1.0975,2.7886,2.7817,1.0756,0.9194,0.7867,3.0029,3.6024,1.1396,1.3001,1.1627,3.6041,3.7761,3.5001,3.6151,10.1383,2.0239,2.026,2.0478,2.0163,2.0243,6.3467,12.5303,4.1283,4.1771,4.2248,10.5773,2.0791,2.1373,2.195,2.0812,2.0848,1.5499,1.4561,1.4795,0.0677,0.0235,0.0091,0.0147,1.4877,1.459,1.55,0.0694,0.0171,0.0175,0.0064,0.0223,2.7383,2.6801,0.9642,0.9504,0.7655,3.4,4.5104,1.4946,1.6112,1.4046,-384.66,52.1
FOFNOF,85.2,-6.63,178.23,2.6,5.73,9.53,32.3,21.7,12.9,608.47,-4.778,-1.7325,2.27,1.96,0.43,-0.1,2.52,2.08,3.12,3.08,2.48,1.35,1.23,87.65,77.41,89.57,98.12,106.78,121.24,109.52,126.3,-0.47,0.152,-0.1549,0.3095,0.133,-0.0586,-0.4607,0.0235,1.9409,2.8926,3.6967,2.0787,1.8504,4.0929,2.0738,28.994,7.2519,5.6554,25.3139,8.396,8.6251,5.7207,8.4483,0.5396,0,0.5632,0.3904,0.3624,0.19,0.6719,0,1.9112,1.1166,2.7866,2.7824,0.8919,1.0262,0.8643,3.0004,3.6008,1.2195,1.1911,1.1901,3.6195,3.4224,3.857,3.6385,10.1356,2.0208,2.0505,2.0144,2.0325,2.0174,6.3496,12.5317,4.1951,4.1106,4.2259,10.5886,2.0761,2.2148,2.1176,2.0778,2.1023,1.4658,1.5097,1.4511,0.0714,0.0164,0.0212,0.0086,1.65,1.4589,1.4941,0.0685,0.0111,0.0076,0.0214,0.0083,2.7404,2.6813,0.9793,0.9579,0.7441,3.4012,4.5043,1.5427,1.5849,1.3768,-392.42,52.1
HECCAT,87.01,-15.5,179.35,2.76,8.75,10.27,30,20.6,14.4,738.5,-5.2728,-1.7275,2.25,2.02,0.85,-0.14,2.55,2.04,2.99,3.15,2.45,1.36,1.22,86.27,73.53,90.13,95.89,113.21,121.49,109.01,125.67,-0.3892,0.1516,-0.1722,0.2899,0.1483,0.2091,-0.4469,0.055,1.9002,2.9326,3.6226,2.1048,3.2303,4.1461,2.104,28.9533,7.2096,5.6385,25.3156,8.4067,7.2439,5.7622,8.41,0.5073,0,0.5526,0.4437,0.3973,0.2371,0.5633,0,1.9514,1.098,2.7793,2.7852,0.9129,1.0583,0.814,2.9982,3.5992,1.1626,1.226,1.2106,3.6258,3.4951,3.8511,3.5832,10.1382,2.0224,2.0548,2.0117,2.0301,2.0191,6.3266,12.5392,4.2057,4.1649,4.1686,10.5232,2.0728,2.1339,2.1149,2.114,2.0876,1.4001,1.5337,1.4812,0.0711,0.0091,0.0259,0.0085,1.1029,1.1801,1.2685,0.2463,0.0528,0.0289,0.0704,0.0204,2.742,2.6734,0.9757,0.9599,0.7377,3.3974,4.4753,1.5069,1.6158,1.3526,-444.04,52.1
HECRIQ,62.76,-0.24,179.23,1.7,7.93,7.18,26.7,20.4,15.5,628.18,-4.7493,-1.3351,2.12,2.08,-0.02,0.02,2.5,3.12,3.22,1.93,2.37,1.3,1.27,65.23,82.79,88.64,74.44,62.54,163.85,111.87,127.88,-0.489,0.1588,-0.2132,0.435,0.0485,0.0483,-0.444,0.0639,1.8739,3.0463,3.7282,1.961,1.9727,4.0219,1.9765,28.9124,7.2146,5.6954,25.2249,8.4905,8.4985,5.6939,8.5436,0.6125,0,0.6191,0,0.3754,0.3536,0.3571,0.4612,1.4042,1.5167,2.7845,2.797,0.8093,0.876,1.1116,3.0012,3.5993,1.2073,1.2474,1.1446,3.5787,3.4999,3.5856,3.7124,10.1657,2.0371,2.0244,2.0319,2.0303,2.0421,6.3386,12.5585,4.1238,4.2225,4.2122,10.5916,2.0778,2.1173,2.1732,2.0924,2.1309,1.5609,1.4446,1.503,0.0683,0.0247,0.0063,0.0193,1.5105,1.4445,1.5549,0.0697,0.0118,0.0219,0.004,0.0271,2.7258,2.6819,0.8174,0.9395,0.9251,3.3407,4.5129,1.5156,1.5462,1.4511,-336.78,52.1
HEGMAI,79.66,2.75,217.89,2.78,7.01,5.6,50,40.5,20.8,631.36,-4.3702,-1.3297,2.11,2.05,-0.11,-0.01,2.58,2.27,3.36,2.99,2.37,1.34,1.23,78.28,85.45,89.45,104.02,96.11,120.68,109.45,126.17,-0.4836,0.1585,-0.2238,0.4127,0.195,0.0628,-0.4618,0.0193,1.8968,2.8066,3.8318,3.0916,1.9319,4.0779,2.0639,28.918,7.2504,5.6638,25.2491,7.2607,8.4568,5.7206,8.4602,0.4644,0,0.6836,0.256,0.4047,0.421,0.358,0,1.9026,1.1257,2.7826,2.8113,1.0522,0.9563,0.8028,3.0032,3.5943,1.1363,1.3008,1.1572,3.5856,3.7068,3.5338,3.5879,10.1546,2.0314,2.0341,2.0457,2.0173,2.0261,6.3411,12.4669,4.0918,4.1656,4.2096,10.6753,2.1005,2.1469,2.259,2.0825,2.0864,1.1451,1.1658,1.2836,0.2283,0.0327,0.0595,0.0353,1.4616,1.6066,1.4363,0.0712,0.007,0.0205,0.0187,0.0092,2.7369,2.683,0.9638,0.957,0.7623,3.3994,4.5106,1.487,1.6196,1.4039,-383.15,52.1
PILYAM,100.23,-2.71,203.55,1.88,7.26,8.01,32.1,22.6,13.4,592.52,-4.9834,-1.5474,1.91,1.97,0.06,-0.03,2.52,2.31,3.18,3.37,2.4,1.33,1.24,79.09,80.45,87.28,93.31,109.97,112.33,109.94,126.76,-0.4287,0.1394,-0.1906,0.4304,0.1374,0.1249,-0.4714,0.026,1.8023,2.6927,3.7863,2.0783,2.0323,4.1634,2.0208,28.8613,7.2784,5.696,25.1721,8.4619,8.4802,5.7616,8.4815,0.6078,0,0.678,0.1769,0.2501,0.44,0.4431,0,1.805,1.2444,2.7844,2.7981,0.9355,0.9248,0.9377,3.0127,3.6092,1.3032,1.134,1.172,3.5851,3.532,3.604,3.6835,10.1454,2.0372,2.0328,2.0314,2.0196,2.0244,6.3443,12.5609,4.1486,4.1856,4.2267,10.5232,2.054,2.1492,2.1432,2.0565,2.1203,1.4264,1.6041,1.4123,0.082,0.0226,0.0174,0.0138,1.441,1.5998,1.4163,0.0767,0.0095,0.0173,0.022,0.0097,2.7364,2.6919,0.9453,0.9242,0.8223,3.399,4.5043,1.6052,1.4669,1.4322,-383.84,52.1
PULGIO,87.55,-2.25,227.36,2.73,10.2,7.36,46.1,33.8,18.5,660.46,-4.417,-1.0774,2.25,1.92,0.03,0.01,2.52,2.51,3.34,3.43,2.3,1.33,1.23,73.25,87.82,89.11,95.64,103.34,115.79,110.49,126.96,-0.4669,0.1493,-0.2591,0.5278,0.1977,-0.1494,-0.4836,-0.0126,1.929,2.7207,3.7558,2.9406,1.8419,4.1517,2.0445,28.9595,7.2784,5.6463,25.1361,7.1387,8.607,5.7147,8.4818,0.6137,0,0.7233,0.1079,0.3677,0.2874,0.6673,0,1.9133,1.2114,2.7821,2.8279,0.9081,1.0613,0.8585,3.0063,3.602,1.1812,1.2325,1.1882,3.5418,3.4044,3.8201,3.4977,10.1844,2.0307,2.059,2.0248,2.0389,2.0309,6.381,12.506,4.1366,4.1644,4.2049,10.5796,2.0922,2.1806,2.1397,2.0595,2.1077,1.1407,1.2264,1.2136,0.2863,0.0575,0.0543,0.0607,1.5645,1.5731,1.546,0.0733,0.0152,0.0144,0.0174,0.0126,2.7387,2.6966,0.9679,0.9667,0.7621,3.4056,4.5363,1.5216,1.6041,1.4106,-338.91,52.1
VUWQOV,68.01,-1.85,212.96,2.52,8.04,6.8,37.1,28.6,18.2,684.97,-4.172,-2.018,2.01,1.92,0.01,0.07,2.48,2.12,3.21,3.18,2.59,1.34,1.23,91.95,78.32,88.32,97.4,109.06,118.43,109.62,126.77,-0.5622,0.1509,-0.0984,0.2678,0.1162,0.1157,-0.4695,0.0075,2.2947,2.8465,3.8241,2.8702,2.9294,4.1553,2.0503,29.1321,7.2346,5.7637,25.3226,7.2763,7.1559,5.7534,8.4691,0.5955,0,0.5086,0.3274,0.3424,0.4368,0.6035,0,1.8876,1.1784,2.7949,2.7619,0.8821,1.077,0.8028,3.0101,3.5978,1.2558,1.1846,1.1575,3.619,3.4527,3.8514,3.6588,10.1331,2.0161,2.0497,2.0209,2.029,2.0173,6.3573,12.6549,4.2015,4.1958,4.2576,10.5495,2.0717,2.2086,2.1024,2.0704,2.0964,1.2969,1.1612,1.2248,0.2246,0.0261,0.0654,0.0292,1.2646,1.1299,1.2908,0.2323,0.0438,0.0224,0.0686,0.0236,2.7424,2.6873,0.9656,0.9675,0.7542,3.4049,4.5171,1.5648,1.5644,1.388,-325.14,52.1
WACXIJ,86.14,-17.48,178.48,3.05,8.86,11.33,29.7,22.4,17.4,856.58,-5.171,-1.4224,1.96,2.37,-0.09,0.87,2.55,3.15,3.22,1.92,2.34,1.3,1.26,63.35,82.3,89.39,73.85,62.2,169.6,111.64,128.64,-0.401,0.1658,-0.2375,0.436,0.1265,0.1443,-0.4365,0.0771,1.9601,3.0328,3.7212,3.1722,2.0766,4.0595,2.0272,28.9061,7.1978,5.668,25.2119,7.0023,8.4004,5.7038,8.5146,0.5497,0,0.6384,0,0.4066,0.5467,0.1839,0.5033,1.4359,1.4888,2.7804,2.8067,0.9794,0.9035,0.9238,2.9978,3.5921,1.2411,1.1569,1.1941,3.5995,3.6908,3.806,3.2932,10.1543,2.024,2.0376,2.0278,2.0359,2.029,6.3228,12.5657,4.2406,4.1842,4.1409,10.5122,2.0924,2.074,2.1023,2.1678,2.0756,1.0833,1.1179,1.3083,0.3261,0.0331,0.0933,0.0271,1.3812,1.5281,1.5047,0.0694,0.01,0.007,0.0252,0.0083,2.723,2.6775,0.9672,0.8408,0.8694,3.3318,4.508,1.5989,1.4805,1.4286,-369.13,52.1
WUSMUS,62.47,-12.08,169.88,2.49,7.8,8.69,31.8,28.4,21.5,734.96,-4.9652,-1.62,2.23,2,0.69,-0.11,2.52,2.14,3.27,3.03,2.43,1.34,1.23,84.53,82.59,89.3,103.09,99.04,117.98,109.9,126.63,-0.4117,0.1528,-0.1809,0.3854,0.026,0.1521,-0.4663,0.0135,1.8615,2.8464,3.7627,1.935,2.8048,4.0754,2.0663,28.9389,7.2783,5.6547,25.2474,8.5277,7.3428,5.7138,8.4647,0.5682,0,0.6063,0.3492,0.3882,0.2679,0.5153,0,1.9045,1.1039,2.7871,2.7943,0.8862,1.1174,0.7906,3.0022,3.5998,1.2653,1.1613,1.1733,3.5994,3.472,3.8465,3.5399,10.1385,2.0166,2.0556,2.015,2.0311,2.0203,6.3676,12.5233,4.1861,4.1045,4.2326,10.5206,2.0864,2.1967,2.0941,2.056,2.0874,1.492,1.5608,1.4697,0.0664,0.0095,0.0232,0.0079,1.228,1.1695,1.2583,0.2243,0.0389,0.029,0.065,0.0271,2.7385,2.6842,0.9704,0.955,0.7588,3.4008,4.5149,1.6021,1.5125,1.4003,-379.11,52.1
YUZTET,60.37,-10.95,150.04,1.74,6.19,9.8,25.9,18.7,12.3,611.06,-5.0181,-1.2922,2.04,2.29,-0.18,0.63,2.59,3.11,3.24,1.9,2.34,1.3,1.26,63.33,81.95,89.86,75.94,62.11,166.68,111.51,128.48,-0.3507,0.1739,-0.2517,0.3857,0.0919,0.031,-0.4293,0.0844,1.7196,3.0493,3.7883,2.0397,1.8781,3.959,2.0451,28.8796,7.1844,5.7047,25.2423,8.4551,8.5198,5.6628,8.5079,0.4823,0,0.679,0,0.4368,0.4161,0.1796,0.5582,1.3758,1.4716,2.7774,2.8114,0.9899,0.8624,0.9591,2.9932,3.5856,1.1941,1.2084,1.1831,3.6115,3.7017,3.7504,3.3687,10.1624,2.0199,2.0425,2.0366,2.0225,2.0407,6.3421,12.4955,4.1182,4.2008,4.1766,10.5128,2.1226,2.0819,2.0956,2.0573,2.1553,1.4356,1.4523,1.5861,0.0718,0.0082,0.0151,0.0099,1.5122,1.5063,1.4956,0.0688,0.0081,0.0153,0.0161,0.0092,2.7226,2.6733,0.802,0.9856,0.8857,3.327,4.5026,1.4702,1.6105,1.4219,-414.32,52.1
CABZIR,88.43,-11.86,188.96,3.35,6.71,7.9,36.1,27.2,14.8,606.9,-4.7938,-2.316,1.96,1.99,0.51,-0.08,2.52,2.06,3.24,2.84,2.51,1.35,1.23,88.9,80.21,88.23,102.23,99.35,125.9,109.26,124.76,-0.4894,0.1474,-0.1345,0.2962,0.1972,-0.0461,-0.4602,0.0357,2.1703,2.9031,3.7535,2.0761,1.8972,4.0507,2.0701,28.9408,7.2699,5.6808,25.3421,8.3564,8.5926,5.6984,8.4476,0.5156,0,0.5653,0.4006,0.3828,0.3462,0.5933,0,1.8869,1.0894,2.7892,2.7762,0.8995,1.0802,0.7965,3.008,3.6012,1.1984,1.1898,1.2131,3.6175,3.5737,3.8509,3.5149,10.1303,2.019,2.0483,2.011,2.0291,2.0229,6.3248,12.5785,4.2175,4.1519,4.209,10.5857,2.1081,2.174,2.1236,2.1145,2.0657,1.3529,1.5956,1.4216,0.0833,0.0185,0.0262,0.0101,1.6009,1.5303,1.4555,0.0684,0.0102,0.0111,0.0222,0.0085,2.7381,2.6776,0.9811,0.9589,0.7375,3.3944,4.4987,1.5381,1.5818,1.3787,-398.62,52.2
CCYBDX,61.4,-12.66,152.2,2.39,4.98,7.4,24.5,17.4,10.6,532.28,-4.9594,-1.7723,2.23,2.05,-0.38,0.92,2.48,2.1,3.23,2.9,2.48,1.35,1.24,88.09,81.35,88.87,101.68,98.46,123.21,109.26,125.72,-0.415,0.1458,-0.1527,0.3565,0.0714,0.0655,-0.4614,0.0208,1.7587,2.8539,3.7647,1.9349,1.9943,4.1101,2.0708,28.9003,7.2957,5.6806,25.2728,8.4968,8.4888,5.7227,8.4595,0.608,0,0.5647,0.3631,0.3888,0.2415,0.4358,0,1.9243,1.0898,2.7887,2.7833,0.8896,1.1112,0.7824,3.0079,3.6028,1.2958,1.1453,1.1618,3.6037,3.4512,3.8423,3.5919,10.1358,2.0156,2.0556,2.0165,2.0299,2.0182,6.3635,12.5104,4.1912,4.0985,4.2206,10.5409,2.0758,2.1932,2.1257,2.0568,2.0895,1.4413,1.5465,1.4957,0.0674,0.0071,0.0245,0.0084,1.4457,1.4971,1.553,0.0703,0.0155,0.0057,0.0191,0.0082,2.7388,2.6795,0.9688,0.9518,0.7589,3.3994,4.5092,1.61,1.4986,1.4006,-391.61,52.2
DILXAX,61.97,-11.97,153.69,2.6,5.53,9.2,25.4,17.9,12.4,630.37,-5.0791,-1.7845,2.04,2.2,0.87,-0.35,2.48,2.09,3.22,2.99,2.48,1.35,1.23,88.37,80.94,89.08,101.32,100.68,120.38,109.75,126.2,-0.4254,0.1448,-0.1522,0.3604,0.0705,0.0581,-0.4626,0.0204,1.8048,2.8668,3.7404,1.9708,1.9486,4.095,2.0765,28.9249,7.2878,5.6616,25.2669,8.5033,8.5027,5.7104,8.4576,0.6172,0,0.5593,0.3725,0.3844,0.4308,0.2734,0,1.9277,1.1026,2.7884,2.7819,0.8883,1.1139,0.7798,3.0062,3.6048,1.2482,1.1864,1.1702,3.6035,3.4821,3.8294,3.5713,10.1347,2.0181,2.0527,2.0165,2.0302,2.0171,6.3609,12.5202,4.2066,4.0982,4.2154,10.5441,2.0855,2.186,2.0969,2.0717,2.1039,1.452,1.4777,1.5641,0.071,0.0067,0.0166,0.0088,1.4734,1.5453,1.4741,0.0673,0.0081,0.0097,0.0235,0.0084,2.7394,2.6811,0.9775,0.9423,0.7613,3.3997,4.509,1.5786,1.5304,1.3999,-387.63,52.2
GIBRAK,80.63,-5.85,214.5,4.39,7.97,8.4,38.2,36.1,25.3,763.29,-4.8693,-1.5864,2.23,1.96,0.27,-0.05,2.53,2.19,3.32,3.25,2.43,1.34,1.23,83.5,83.96,89.16,103.27,103.93,113.44,109.64,127.26,-0.4528,0.1533,-0.1798,0.3722,0.1822,0.0805,-0.4638,0.0263,1.9061,2.8556,3.8407,2.0702,2.997,3.9846,2.0395,28.9716,7.2847,5.7115,25.2605,8.3715,7.3205,5.6638,8.4677,0.5548,0,0.6275,0.3206,0.3927,0.1903,0.621,0,1.8463,1.1011,2.7877,2.7945,0.8992,1.0561,0.8392,3.0073,3.5977,1.2216,1.2107,1.1653,3.5999,3.5645,3.701,3.6076,10.137,2.0277,2.041,2.0267,2.028,2.0136,6.378,12.5435,4.1874,4.1508,4.2052,10.5312,2.083,2.1738,2.1131,2.0894,2.0719,1.3699,1.5661,1.4514,0.0729,0.0176,0.0217,0.0084,1.2565,1.2396,1.2178,0.2182,0.0389,0.0447,0.0454,0.0423,2.7386,2.6838,0.9751,0.91,0.7987,3.4019,4.5005,1.5838,1.5,1.4167,-375.52,52.2
HEFTUI,94.96,1.54,196.2,1.84,6.24,7.52,31.3,19.9,10.6,572.51,-4.136,-1.4865,1.98,1.95,0,0,2.49,3.34,3.36,1.98,2.43,1.3,1.28,64.42,86.04,88.45,71.91,50.9,135.72,110.77,126.59,-0.5476,0.1096,-0.182,0.4119,0.0418,0.006,-0.4753,0.0456,2.1239,2.9087,3.796,1.9638,1.9295,4.1775,1.9681,28.8907,7.246,5.7734,25.2475,8.4237,8.5524,5.8082,8.4944,0.6269,0,0.6364,0,0.2467,0.4295,0.4367,0.3842,1.5292,1.5798,2.7983,2.8024,0.844,0.9563,1.0021,3.0299,3.6273,1.1685,1.2636,1.1953,3.5879,3.7776,3.4765,3.5531,10.1704,2.0217,2.0302,2.0643,2.0263,2.0279,6.3261,12.6335,4.2074,4.2008,4.2253,10.5877,2.106,2.1292,2.1929,2.1056,2.0539,1.4913,1.5887,1.4494,0.0704,0.0144,0.0233,0.0083,1.553,1.5758,1.4343,0.0725,0.0076,0.016,0.0199,0.0097,2.7366,2.7058,0.8803,0.8587,0.9668,3.3566,4.518,1.4834,1.5071,1.5275,-268.2,52.2
IJEPES,89,-0.83,215.15,3,5.56,7.3,38.2,29.2,14.2,607.64,-4.026,-1.3841,1.97,2.03,0.06,-0.06,2.51,3.33,3.35,1.97,2.42,1.3,1.27,64.12,85.76,89.25,72.24,54.91,145.42,110.92,127.61,-0.5624,0.1231,-0.1938,0.3893,-0.1005,0.0942,-0.4679,0.0549,2.2584,2.9281,3.7032,1.8219,2.8189,4.2087,1.9724,28.983,7.2294,5.7213,25.2816,8.6269,7.3113,5.8223,8.5007,0.5632,0,0.6038,0,0.2616,0.5129,0.5311,0.3723,1.5482,1.5628,2.7967,2.8028,0.8333,0.9597,1.0098,3.0226,3.6195,1.1854,1.2685,1.1657,3.5936,3.7854,3.4692,3.567,10.1735,2.0203,2.0287,2.0691,2.0269,2.0285,6.3327,12.6472,4.2067,4.21,4.2305,10.5822,2.124,2.1056,2.1809,2.1203,2.0515,1.625,1.6342,1.3892,0.0725,0.0176,0.0177,0.0098,1.1647,1.2077,1.3153,0.2212,0.0451,0.0538,0.0398,0.0469,2.7347,2.7021,0.907,0.8389,0.9562,3.3504,4.5138,1.5165,1.5086,1.4888,-274.27,52.2
JOCQEX,85.39,-0.63,195.72,4.09,7.1,11.37,35.9,30.2,22.6,791.23,-3.6784,-2.529,1.85,1.86,0.11,0.09,2.52,2.05,3.47,3.18,4.39,1.33,1.24,125.99,52.28,66.33,100.92,118.06,126.08,109.74,126.91,-0.5145,0.1692,-0.0665,-0.286,-0.0613,-0.0405,-0.4752,-0.0003,2.9108,2.9657,3.8701,1.869,1.887,4.1644,2.0432,28.8839,7.1365,6.0881,25.7743,8.521,8.5546,5.7586,8.4714,0.5083,0.2577,0,0.5786,0.2912,0.6149,0.6513,0,1.8926,1.1762,2.8403,2.8186,0.8614,1.0174,0.9397,3.0181,3.5713,1.2145,1.226,1.1308,3.6976,3.7738,3.875,3.8541,10.0756,2.0157,2.0237,2.0056,2.0221,2.0086,6.3586,12.7104,4.2554,4.2146,4.2403,10.4451,2.1548,2.1843,2.0066,2.1819,1.9175,1.6593,1.5466,1.3846,0.0722,0.0156,0.0182,0.0094,1.7065,1.4938,1.3701,0.0686,0.0081,0.0104,0.0239,0.0084,2.7447,2.6924,0.9679,0.9549,0.7696,3.4091,4.5218,1.5173,1.5906,1.4139,-101.12,52.2
