Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
AGOMEP,Minimum,Not Minimum,Incorrect TS,Correct TS
AGOQEU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOROF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOSEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGOSUM,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AGOTIZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AGUCEM,Minimum,Minimum,Correct TS,Correct TS
AGUJAO,Minimum,Minimum,Correct TS,Correct TS
AGULOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGURAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AGUTON,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHATEI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHEKAZ01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHEWUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHGLCM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AHICIF01,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
AHIDIT,Minimum,Minimum,Incorrect TS,Correct TS
AHIJEH,Minimum,Minimum,Correct TS,Correct TS
AHILIM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHILOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIMUA,Minimum,Minimum,Correct TS,Correct TS
AHINUA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHINUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHIROA,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHMPIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHOQEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AHOVOJ,Not Minimum,Minimum,Correct TS,Correct TS
AHOVUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AHOWAV,Minimum,Minimum,Incorrect TS,Incorrect TS
AHOXEC,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AHPAZP10,Minimum,Minimum,Correct TS,Correct TS
AHUHER,Minimum,Minimum,Correct TS,Correct TS
AHUKAQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AHXGLP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AIPTHL10,Minimum,Minimum,Incorrect TS,Correct TS
AISMRS,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
AJAFIA,Not Minimum,Not Minimum,Incorrect TS,Correct TS
AJAFOG,Not Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
AJAFUM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAGEX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAGOJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJAKAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJASEK,Minimum,Minimum,Incorrect TS,Correct TS
AJISOD,Minimum,Minimum,Correct TS,Correct TS
AJIXOG,Not Minimum,Not Minimum,Correct TS,Correct TS
AJIYEX,Minimum,Minimum,Correct TS,Correct TS
AJIZAU,Minimum,Minimum,Correct TS,Correct TS
AJOHAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJOHOZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AJONEV,Minimum,Minimum,Correct TS,Correct TS
AJONUL,Not Minimum,Not Minimum,Incorrect TS,Correct TS
AJOPOE01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AJUCOY,Minimum,Minimum,Correct TS,Correct TS
AJUJOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAKOM,Minimum,Minimum,Correct TS,Correct TS
AKAPIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKAUAC,Minimum,Minimum,Incorrect TS,Correct TS
AKAWAK,Minimum,Minimum,Correct TS,Correct TS
AKAWER,Minimum,Minimum,Correct TS,Correct TS
AKAWIS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKAXAO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEDUR,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
AKEFII,Minimum,Minimum,Correct TS,Correct TS
AKENAG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEQEN,Minimum,Minimum,Correct TS,Correct TS
AKEQIR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKEQOX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKIHIN,Minimum,Minimum,Correct TS,Correct TS
AKILOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AKIWEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOCOU,Minimum,Minimum,Incorrect TS,Correct TS
AKOLAQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOSUQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AKOTOL,Minimum,Minimum,Correct TS,Correct TS
AKUSOP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALABUK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ALACEV01,Minimum,Minimum,Incorrect TS,Correct TS
ALAGEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALALIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALAMET01,Minimum,Minimum,Correct TS,Correct TS
ALANEH,Minimum,Not Minimum,Incorrect TS,Correct TS
ALAROU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALECIE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ALEGAC,Minimum,Minimum,Correct TS,Correct TS
ALEJOS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALETIW,Minimum,Minimum,Correct TS,Correct TS
ALETOC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALEVUK,Minimum,Minimum,Correct TS,Correct TS
ALGLYL,Minimum,Not Minimum,Incorrect TS,Correct TS
ALIPUJ,Minimum,Minimum,Incorrect TS,Incorrect TS
ALOBOV,Minimum,Minimum,Incorrect TS,Correct TS
ALODAH,Minimum,Minimum,Correct TS,Correct TS
ALOLIW,Minimum,Minimum,Correct TS,Correct TS
ALOMAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOWEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
ALOXAN,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALPALC10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUJIC,Minimum,Minimum,Correct TS,Correct TS
ALUNIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ALUNOL,Not Minimum,Minimum,Correct TS,Correct TS
ALUXUC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ALUZUE,Not Minimum,Minimum,Correct TS,Correct TS
ALXANM11,Minimum,Minimum,Correct TS,Correct TS
AMALEH,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
AMANOF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAPTZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAQIQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMATEO,Minimum,Minimum,Correct TS,Correct TS
AMAYAQ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMAYEU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Calc Fail
AMAYIY,Minimum,Minimum,Incorrect TS,Correct TS
AMBACO10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMBNAC04,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
AMBNZA01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMCAPR10,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
AMCYTS,Minimum,Minimum,Correct TS,Correct TS
AMDOIS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
