Ligand,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
PUCDEZ,Minimum,Minimum,Correct TS,Correct TS
PUCPAF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUCPEJ,Minimum,Minimum,Correct TS,Correct TS
PUCROX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUDNIO,Minimum,Minimum,Correct TS,Correct TS
PUFGON,Minimum,Not Minimum,Incorrect TS,Correct TS
PUFJIK,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PUFLAE,Minimum,Minimum,Correct TS,Correct TS
PUFNAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUFNIO,Minimum,Minimum,Correct TS,Correct TS
PUFPAI,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUFSIT01,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUFTIU,Minimum,Minimum,Incorrect TS,Correct TS
PUGCAW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUGFAZ,Minimum,Minimum,Correct TS,Correct TS
PUGLIN,Not Minimum,Minimum,Incorrect TS,Correct TS
PUGMIO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUGQAK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUGROZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUGSAM,Minimum,Minimum,Correct TS,Correct TS
PUGXUL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUHCUT,Not Minimum,Minimum,Correct TS,Correct TS
PUHDUS,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUHHAC,Minimum,Minimum,Correct TS,Correct TS
PUHHAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PUHMOX,Not Minimum,Minimum,Incorrect TS,Correct TS
PUHYEY,Not Minimum,Minimum,Correct TS,Correct TS
PUHYIC,Minimum,Minimum,Correct TS,Correct TS
PUJCIH,Minimum,Minimum,Correct TS,Correct TS
PUJHAE,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUJLIR,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUJNOY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUKCOO,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUKDIL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUKKEM,Minimum,Minimum,Correct TS,Correct TS
PUKPIV,Minimum,Minimum,Correct TS,Correct TS
PUKVOI,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUKZUR,Minimum,Minimum,Correct TS,Correct TS
PULBEE,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PULBUU,Minimum,Minimum,Correct TS,Correct TS
PULPOD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUMJOX,Minimum,Not Minimum,Correct TS,Correct TS
PUMLAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUMMES,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUMRAR,Minimum,Minimum,Incorrect TS,Correct TS
PUMXUR,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
PUNGAI,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUNLUG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUNMER01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUNQAR,Minimum,Minimum,Correct TS,Correct TS
PUNVIG,Not Minimum,Minimum,Correct TS,Correct TS
PUNVOM,Minimum,Not Minimum,Incorrect TS,Correct TS
PUNXII,Minimum,Minimum,Incorrect TS,Correct TS
PUPHAK,Minimum,Minimum,Incorrect TS,Correct TS
PUPJAL,Minimum,Minimum,Correct TS,Correct TS
PUPJEP,Minimum,Not Minimum,Correct TS,Correct TS
PUQQAT,Minimum,Not Minimum,Correct TS,Correct TS
PUQQAW,Minimum,Minimum,Correct TS,Correct TS
PUQQEX,Minimum,Minimum,Correct TS,Correct TS
PUQSAV,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PUQSEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUQYOQ01,Not Minimum,Minimum,Correct TS,Correct TS
PUSKIY,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUSKOE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUSLEU,Minimum,Minimum,Calc Fail,Correct TS
PUSZAF,Minimum,Minimum,Correct TS,Correct TS
PUSZEJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PUSZIN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTCOW,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTDAM,Minimum,Minimum,Correct TS,Correct TS
PUTFAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTJUJ,Minimum,Not Minimum,Correct TS,Correct TS
PUTMEZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTNEX01,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
PUTTOP,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTVIJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUTYEK,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PUTYOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
PUTYUA,Minimum,Minimum,Correct TS,Correct TS
PUVNUP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUVRAZ,Minimum,Minimum,Incorrect TS,Correct TS
PUWSAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUWSEH,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUWSOR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUWZAJ,Minimum,Minimum,Correct TS,Correct TS
PUXNOL,Minimum,Minimum,Correct TS,Correct TS
PUXXIS,Minimum,Not Minimum,Correct TS,Correct TS
PUYKOM,Minimum,Minimum,Incorrect TS,Correct TS
PUYXEM,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUYXUC,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
PUYYOX01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
PUZCUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUZLAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PUZQAF,Not Minimum,Minimum,Correct TS,Correct TS
PUZRAG,Minimum,Minimum,Correct TS,Correct TS
PUZREI,Minimum,Minimum,Correct TS,Correct TS
PUZRIM,Minimum,Not Minimum,Incorrect TS,Correct TS
PUZRIO,Not Minimum,Minimum,Correct TS,Correct TS
PUZZOZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PVVAQS02,Not Minimum,Minimum,Correct TS,Correct TS
PYMPAZ10,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PYRNAH,Minimum,Minimum,Correct TS,Correct TS
PYRZOM01,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PYSGPR,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
PZPZTO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QABWAV,Minimum,Minimum,Correct TS,Correct TS
QABYUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QABZIG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QACCIJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QACLAH,Minimum,Minimum,Correct TS,Correct TS
QACLUE,Minimum,Minimum,Incorrect TS,Correct TS
QACSIY,Minimum,Minimum,Correct TS,Correct TS
QACWEZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QACXOJ,Not Minimum,Not Minimum,Correct TS,Correct TS
QACXUP,Minimum,Minimum,Correct TS,Correct TS
QADCEE,Minimum,Minimum,Incorrect TS,Correct TS
QADHIN,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QADMUF,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QADNAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QADNEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QADNIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QADVAS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAFFOS01,Minimum,Minimum,Incorrect TS,Correct TS
QAFLIV,Not Minimum,Minimum,Incorrect TS,Correct TS
QAFPOF,Minimum,Minimum,Correct TS,Correct TS
QAFSIZ02,Minimum,Minimum,Correct TS,Correct TS
QAFSUP,Minimum,Not Minimum,Incorrect TS,Incorrect TS
QAFVIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAFWAY,Minimum,Not Minimum,Incorrect TS,Correct TS
QAGLAO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QAGLAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAGNOF,Minimum,Minimum,Incorrect TS,Correct TS
QAGQAT,Minimum,Minimum,Correct TS,Correct TS
QAGSEZ,Minimum,Minimum,Correct TS,Correct TS
QAGSIE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAGWEE,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAGZAC,Minimum,Minimum,Correct TS,Correct TS
QAHDOV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAHLIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAHPIZ,Minimum,Minimum,Correct TS,Correct TS
QAHQID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAHTUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAJJUI,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QAJKET,Minimum,Minimum,Correct TS,Correct TS
QAJLIY,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAJNEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QAJPOJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAJVEC,Minimum,Not Minimum,Correct TS,Correct TS
QAJVOO,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QAJXUX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAJYAD,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAJYOP,Minimum,Minimum,Correct TS,Correct TS
QAKBEJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKBEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKFEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKLEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKMEW,Not Minimum,Minimum,Correct TS,Correct TS
QAKMOG,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKNUO,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKTAZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKTEB,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKXAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAKYUY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QALBOU,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QALNAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QALPUQ,Minimum,Minimum,Incorrect TS,Correct TS
QALQEB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QALQOL,Minimum,Minimum,Incorrect TS,Correct TS
QALQUR,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QAMJUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAMNOH,Minimum,Minimum,Correct TS,Correct TS
QAMNUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAMZIN,Minimum,Minimum,Incorrect TS,Correct TS
QANFIW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QANHIZ,Minimum,Not Minimum,Correct TS,Correct TS
QANKEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QANKIA,Minimum,Minimum,Incorrect TS,Correct TS
QANVUZ,Minimum,Minimum,Correct TS,Correct TS
QANWAE,Minimum,Minimum,Correct TS,Correct TS
QAPBAL,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAPKOH05,Not Minimum,Minimum,Correct TS,Correct TS
QAPTUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAPTUY,Minimum,Minimum,Correct TS,Correct TS
QAPYUC,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
QAPZOX,Not Minimum,Minimum,Correct TS,Correct TS
QAQCOC,Minimum,Not Minimum,Correct TS,Correct TS
QAQDAP,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QAQFAR,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
QAQGUM,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAQHEX,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAQHOH,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAQHUN,Minimum,Minimum,Incorrect TS,Correct TS
QAQKEA,Minimum,Minimum,Correct TS,Correct TS
QAQKOK,Minimum,Minimum,Incorrect TS,Correct TS
QAQKUQ,Minimum,Not Minimum,Incorrect TS,Correct TS
QAQMUS,Minimum,Minimum,Correct TS,Correct TS
QAQVUA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QARFUM,Minimum,Minimum,Correct TS,Correct TS
QARHUN,Minimum,Minimum,Correct TS,Correct TS
QARSIO,Minimum,Minimum,Correct TS,Correct TS
QARSOS,Not Minimum,Minimum,Correct TS,Correct TS
QARVOU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QASGUP,Minimum,Minimum,Incorrect TS,Correct TS
QASJAV,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QASTAG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QASTEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QASXOY,Minimum,Minimum,Incorrect TS,Correct TS
QASYEP,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QASYIT,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QATCIY,Minimum,Minimum,Correct TS,Correct TS
QATJUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QATYUG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAVNAD,Minimum,Minimum,Correct TS,Correct TS
QAWPEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAWTEQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAXJAD,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAXLEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAXLOQ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAXPUB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYCOJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYTOA,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYVUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYWOF01,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYZIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAYZUO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAZBAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAZFED,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAZXEU,Minimum,Minimum,Correct TS,Correct TS
QAZXUN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QAZYAR,Minimum,Minimum,Correct TS,Correct TS
QEBBIK,Minimum,Minimum,Correct TS,Correct TS
QEBBOQ,Minimum,Minimum,Correct TS,Correct TS
QEBDUZ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEBFOS,Minimum,Minimum,Correct TS,Correct TS
QEBJEP,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QECCOQ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QECNUK,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QECQEX,Minimum,Minimum,Correct TS,Correct TS
QECQIB,Minimum,Minimum,Correct TS,Correct TS
QECTAW,Not Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QECTID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QECWEC,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QECZIJ,Minimum,Minimum,Correct TS,Correct TS
QEDMUJ,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEDSOK,Minimum,Not Minimum,Correct TS,Correct TS
QEDSUP,Minimum,Minimum,Correct TS,Correct TS
QEDVAY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QEDWEE,Minimum,Minimum,Correct TS,Correct TS
QEDXAY,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QEFBUB,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEFFAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEFRAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEFRIC,Minimum,Minimum,Incorrect TS,Correct TS
QEGTON,Minimum,Minimum,Incorrect TS,Correct TS
QEHDEO,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QEHDIS,Minimum,Minimum,Correct TS,Correct TS
QEHRIF,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QEJKAR,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QEJKOF,Minimum,Minimum,Correct TS,Correct TS
QEJYUC,Minimum,Minimum,Correct TS,Correct TS
QEKBOX,Minimum,Not Minimum,Incorrect TS,Incorrect Imaginary Frequencies
QEKCOY,Minimum,Minimum,Correct TS,Correct TS
QEKJIC,Not Minimum,Minimum,Correct TS,Correct TS
QEKMAU,Minimum,Not Minimum,Incorrect TS,Correct TS
QEKMIF,Minimum,Minimum,Correct TS,Correct TS
QEKSAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QELFEV,Not Minimum,Minimum,Correct TS,Correct TS
QELHIB,Minimum,Minimum,Correct TS,Correct TS
QELZEP,Not Minimum,Minimum,Correct TS,Correct TS
QEMHAS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QEMHUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEMMUQ,Minimum,Minimum,Incorrect TS,Correct TS
QEMVEM,Minimum,Not Minimum,Correct TS,Incorrect Imaginary Frequencies
QEMZAK,Minimum,Minimum,Incorrect TS,Correct TS
QENGAU,Minimum,Minimum,Correct TS,Correct TS
QENGEW,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QENKOM,Minimum,Not Minimum,Incorrect TS,Correct TS
QENMOL,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEPDEW,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEPDOH,Minimum,Not Minimum,Correct TS,Correct TS
QEPFIB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEPFUN,Minimum,Not Minimum,Incorrect TS,Correct TS
QEPGAU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEPJON,Minimum,Not Minimum,Correct TS,Correct TS
QERCEW,Minimum,Minimum,Correct TS,Correct TS
QERMEF,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QESBOI,Minimum,Minimum,Correct TS,Correct TS
QESKUU,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QESQAJ,Not Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QESWIV,Minimum,Minimum,Incorrect TS,Correct TS
QETBID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QETGUU,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QETHAB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QETSEN,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QETTOB,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QETVEQ01,Minimum,Not Minimum,Incorrect TS,Correct TS
QETWIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEVBIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QEVKOR,Minimum,Minimum,Correct TS,Correct TS
QEVNAG,Minimum,Minimum,Correct TS,Correct TS
QEVNEK,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QEVQUG,Minimum,Minimum,Correct TS,Correct TS
QEVRAN,Minimum,Minimum,Correct TS,Correct TS
QEVSAL,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEVZOJ,Minimum,Minimum,Correct TS,Correct TS
QEWDUT,Minimum,Minimum,Correct TS,Correct TS
QEWJUA,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QEXKUA,Minimum,Not Minimum,Correct TS,Correct TS
QEXMOW,Minimum,Minimum,Correct TS,Correct TS
QEXZEZ,Minimum,Not Minimum,Incorrect TS,Correct TS
QEYQIX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QEZSET,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIBCIO,Minimum,Minimum,Incorrect TS,Correct TS
QIBJIU,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QIBQIB01,Minimum,Minimum,Incorrect TS,Correct TS
QIBRID,Minimum,Minimum,Correct TS,Correct TS
QIBROJ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QIBVOO,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIBVUT,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QIBZUW,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QICJIY01,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
QICVED,Minimum,Minimum,Correct TS,Correct TS
QICVIH,Minimum,Minimum,Incorrect TS,Correct TS
QICWOR,Minimum,Minimum,Correct TS,Correct TS
QICXAB,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QIDKIA,Not Minimum,Minimum,Correct TS,Correct TS
QIDQEC,Not Minimum,Minimum,Correct TS,Correct TS
QIFDIT02,Minimum,Minimum,Correct TS,Correct TS
QIFFAN,Minimum,Not Minimum,Incorrect TS,Correct TS
QIFFIV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIFKUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIGKUM,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIGVEK,Minimum,Minimum,Correct TS,Correct TS
QIHDIX,Minimum,Not Minimum,Correct TS,Correct TS
QIHRUU,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIJGAR,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QIJGEV,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIJMUR,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIJNUV,Minimum,Minimum,Incorrect TS,Correct TS
QIJQEH,Minimum,Minimum,Correct TS,Correct TS
QIKMOM,Not Minimum,Minimum,Incorrect TS,Correct TS
QIKNIH,Minimum,Minimum,Incorrect TS,Correct TS
QIKREH,Minimum,Minimum,Incorrect TS,Correct TS
QIKTUZ,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QIKXAM,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect TS
QILFIC,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QILHEY,Minimum,Not Minimum,Correct TS,Correct TS
QILLII,Minimum,Minimum,Correct TS,Correct TS
QILVUF,Minimum,Minimum,Incorrect TS,Correct TS
QILZEQ,Minimum,Minimum,Correct TS,Correct TS
QIMBAS,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
QIMDEV,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QIMFAT,Minimum,Minimum,Correct TS,Correct TS
QIMFIE,Minimum,Minimum,Correct TS,Correct TS
QIMHID,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIMJAX,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIMKEC,Minimum,Minimum,Correct TS,Correct TS
QIMKIJ,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIMLEG,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIMZAP,Minimum,Minimum,Correct TS,Correct TS
QINCEY,Minimum,Minimum,Correct TS,Correct TS
QINXIW,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
QINXOD,Minimum,Not Minimum,Correct TS,Correct TS
QIPDUR,Not Minimum,Minimum,Correct TS,Correct TS
QIPGUT,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
QIPKOP,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
