Ligand,Starting materials (CuLI) / kcal/mol,Ligand Exchange (CuLpip) / kcal/mol,Relative Energy (TSOA) / kcal/mol,Relative Energy (TSSig) / kcal/mol,Products (CuLI) / kcal/mol,Activation Energy (TSOA) / kcal/mol,TSSig Activation Energy (TSSig) / kcal/mol,Starting material (CuLI),Ligand Exchange (CuLpip),Transition State 1 (TSOA),Transition State 2 (TSSig)
ENIJEQ,0,-9.5,12.9,12.2,-63,22.5,21.7,Minimum,Minimum,Correct TS,Correct TS
ENIKIW,0,-5.9,-11.7,9,-63,-5.8,14.9,Minimum,Minimum,Incorrect TS,Correct TS
ENIVIG,0,-13.3,-11.1,13,-63,2.2,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENIXOO,0,-10.7,5.1,9.6,-63,15.8,20.3,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
ENMTHB,0,-13.8,-5.5,13.4,-63,8.3,27.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
ENUHIF,0,-10.9,9.8,42.5,-63,20.7,53.4,Not Minimum,Minimum,Correct TS,Calc Fail
ENUJED,0,-8.8,6.3,7.4,-63,15.1,16.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ENUXER,0,-4234.1,-4136.5,-4212.5,-63,97.6,21.6,Not Minimum,Minimum,Correct TS,Correct TS
EOISOX10,0,-15,-1.5,6.7,-63,13.6,21.7,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EPABUU,0,-25.4,-21.6,1.6,-63,3.8,27,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EPAHIN,0,-14.5,9.5,7.7,-63,24,22.2,Minimum,Minimum,Correct TS,Correct TS
EPETOK,0,-5.1,14.5,13.3,-63,19.7,18.4,Minimum,Minimum,Correct TS,Correct TS
EPICZA,0,-64.3,-48.7,-51.5,-63,15.7,12.8,Not Minimum,Not Minimum,Correct TS,Correct TS
EPIVEF03,0,-21.1,-7.7,-13.5,-63,13.4,7.6,Minimum,Minimum,Incorrect TS,Incorrect Imaginary Frequencies
EPOCET,0,1.4,4.2,14.6,-63,4.2,14.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EPSHAM,0,-6.9,-10.7,9.2,-63,-3.8,16.1,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EPUJUW,0,-8.4,-29.5,9.1,-63,-21,17.5,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EPUKUX,0,-13.3,-8,12.5,-63,5.3,25.8,Minimum,Minimum,Incorrect TS,Correct TS
EPUVOC,0,-13.2,-6.9,7.4,-63,6.3,20.6,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EPXPTZ10,0,-13.9,-1.3,-4.3,-63,12.6,9.6,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EPYROA,0,-11.6,17.3,9.6,-63,28.8,21.2,Minimum,Minimum,Correct TS,Correct TS
EPYROB,0,-12.8,15.3,14.9,-63,28,27.7,Minimum,Minimum,Incorrect TS,Correct TS
EQACAC,0,-27.2,19.2,7.6,-63,46.5,34.8,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EQAHEL,0,-16.3,-8.2,6.9,-63,8.1,23.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EQAKOX,0,-0.8,-5.9,20.4,-63,-5.1,21.2,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
EQANOA,0,-7.3,8.6,23.7,-63,15.9,31,Minimum,Minimum,Correct TS,Correct TS
EQICOY,0,-2.1,14.8,14.4,-63,16.9,16.5,Not Minimum,Not Minimum,Incorrect TS,Correct TS
EQIJOE,0,-12.1,-6.7,14.6,-63,5.4,26.6,Minimum,Minimum,Incorrect TS,Correct TS
EQITEE,0,-2.9,16.2,13.2,-63,19.1,16.1,Minimum,Minimum,Correct TS,Correct TS
EQIXEI,0,-16,12.1,8.6,-63,28.1,24.6,Minimum,Minimum,Correct TS,Correct TS
EQIZUZ01,0,-3.3,20.8,13.3,-63,24.2,16.6,Minimum,Minimum,Correct TS,Correct TS
EQOSUA,0,-65.5,-63.9,-53.5,-63,1.6,12,Not Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EQUBAV,0,-4.5,16.6,12.5,-63,21,16.9,Minimum,Minimum,Correct TS,Incorrect Imaginary Frequencies
EQUBOJ,0,-2.5,24.5,25.2,-63,27.1,27.7,Minimum,Not Minimum,Correct TS,Correct TS
EQUKAE,0,-3.8,16.2,12.7,-63,20.1,16.6,Minimum,Minimum,Correct TS,Correct TS
EQUPIP,0,-15.7,-9.7,-62.8,-63,6,-47.1,Minimum,Minimum,Incorrect Imaginary Frequencies,Incorrect Imaginary Frequencies
EQUSOZ,0,-3.7,-12.4,11.2,-63,-8.6,14.9,Minimum,Minimum,Incorrect TS,Correct TS
EQUTAL,0,-4.8,22.3,No Value,-63,27.1,No Value,Minimum,Minimum,Correct TS,Calc Fail
EQUTEP,0,0.8,-7.9,22.6,-63,-7.9,22.6,Minimum,Not Minimum,Incorrect Imaginary Frequencies,Correct TS
ERADEG,0,-9.4,2.4,12.8,-63,11.8,22.2,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
ERAVAU,0,-6.4,15.8,12.5,-63,22.2,18.9,Minimum,Minimum,Correct TS,Correct TS
ERAVOI,0,-30.4,-24.2,-4.1,-63,6.1,26.3,Minimum,Minimum,Incorrect Imaginary Frequencies,Correct TS
EREGUF,0,-9,9.2,8.6,-63,18.1,17.6,Minimum,Minimum,Correct TS,Correct TS
EREREY,0,-7.8,10.7,9.6,-63,18.5,17.3,Minimum,Minimum,Correct TS,Correct TS
