Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
HUTJIR,80.12,17.24,182.83,1.94,-3.8015,-2.3701,0.423,-0.1732,1.3032,1.9585,5.8962,8.4372,0.5228,1.0608,10.1509,6.2584,12.5755,9.7431,1.4777,1.4732,1.7094,0.4178,1.4404,0.0588,24.6
SAQVUB,62.82,1.08,155.73,3.24,-3.2523,-1.5205,0.3608,-0.212,1.3914,1.9,5.964,8.5219,0.5228,1.0358,10.1905,6.3041,12.5277,9.8074,1.5845,1.4954,1.6536,0.3913,1.6603,0.0707,14.7
UFORUE,87.5,-0.47,178.28,2.29,-3.7288,-1.8094,0.2784,-0.2134,1.3618,1.9826,5.9893,7.0287,0.5231,1.0254,10.1732,6.3478,12.5629,9.8108,1.4986,1.4658,1.6677,0.3518,1.3997,0.0171,19.3
SUMMEU,80.09,3.15,175.34,1.7,-4.6879,-4.0113,0.3787,-0.1399,1.3157,2.0195,5.7926,8.4086,0.5235,0.9859,10.12,6.295,12.6267,9.6996,1.4023,1.4699,1.7316,0.4002,1.5213,0.0697,13.2
FEWGUM,79.53,15.91,182.77,1.7,-3.148,-1.63,0.4317,-0.2243,1.3397,1.9712,6.1475,8.4501,0.5235,1.0683,10.1753,6.2439,12.5076,9.8168,1.4754,1.4764,1.7241,0.4412,1.434,0.0632,27.3
BOWXUH,82.24,15.52,178.68,1.7,-3.0317,-1.8882,0.4298,-0.2226,1.344,1.9864,6.0578,8.4563,0.5235,1.0835,10.1777,6.245,12.514,9.8112,1.4971,1.4656,1.7342,0.4144,1.4378,0.0558,28.8
CADSUV,84.06,12.88,180.71,1.52,-3.3834,-1.6521,0.3792,-0.217,1.3667,1.965,6.0189,8.4764,0.5236,1.0699,10.1761,6.2747,12.5463,9.7998,1.4982,1.4772,1.7223,0.4058,1.4535,0.0566,17.8
YASCIF,84.04,13.51,180.55,1.88,-3.4728,-1.9536,0.3797,-0.2168,1.3697,1.95,6.024,8.4739,0.5237,1.0835,10.1754,6.2743,12.5467,9.7994,1.4945,1.4456,1.7353,0.4281,1.4328,0.0543,19.7
ABEZEP,110.14,-0.42,207.66,3.17,-2.8858,-1.4491,0.3704,-0.1995,1.3524,1.8251,5.9508,8.5204,0.5237,1.0695,10.1948,6.266,12.5669,9.7967,1.7228,1.4717,1.6036,0.444,1.4932,0.0814,18.7
RIBYAD,78.29,15.94,174.29,1.7,-3.3265,-1.6641,0.4294,-0.2222,1.3439,2.0117,6.0823,8.4287,0.5238,1.0686,10.1716,6.242,12.5155,9.8131,1.4581,1.5059,1.708,0.4337,1.4493,0.0567,28.4
QOCHOI,80.67,3.16,177.93,2.8,-3.2973,-1.5665,0.3701,-0.2118,1.3392,1.9554,6.0026,8.6241,0.5239,1.0239,10.1824,6.3048,12.528,9.797,1.5215,1.4675,1.666,0.4326,1.4718,0.0692,14
METRUZ,103.28,-1.13,200.88,3.76,-2.6092,-1.4087,0.3312,-0.1932,1.3608,1.6923,5.7889,8.429,0.5242,1.0061,10.2241,6.2918,12.6088,9.7681,1.7105,1.5348,1.6436,0.4058,1.4311,0.0771,12.7
IQUHEH,74.73,5.71,206.17,3.37,-3.9742,-2.3256,0.2407,-0.1851,1.3182,2.9315,5.8525,7.286,0.5243,1.0009,10.1625,6.3431,12.6505,9.7657,1.358,1.1575,1.259,0.109,1.3441,0.0106,28.7
BOHZOO,79.81,-9.07,207.69,2.73,-4.9005,-3.2195,0.2622,-0.1532,1.3237,1.9673,5.9129,7.0263,0.5244,0.9926,10.1186,6.3362,12.6755,9.7261,1.5418,1.4491,1.7158,0.4065,1.3489,0.0112,2.6
NORSUL,85.48,12.69,182.21,1.7,-3.4403,-2.0195,0.3766,-0.2167,1.3697,1.9599,6.0131,8.4739,0.5244,1.0726,10.1758,6.2751,12.5488,9.7995,1.5034,1.4616,1.7372,0.4042,1.4456,0.0547,19.1
DIWMEE,79.95,3.28,176.97,1.99,-4.6697,-4.0792,0.3853,-0.1405,1.3167,2.012,5.765,8.3605,0.5245,1.0099,10.1222,6.2856,12.6353,9.6937,1.4207,1.4654,1.725,0.406,1.4816,0.0571,14.9
RAFBAB,80.56,2.39,173.03,2.9,-3.2834,-1.5388,0.3731,-0.2121,1.3553,1.9941,5.9591,8.6052,0.5246,1.0342,10.1884,6.3031,12.5296,9.7942,1.5303,1.4615,1.7247,0.4021,1.5448,0.097,17.5
UHUJOY,93.12,2.75,213.34,2.5,-3.4414,-2.3602,0.3144,-0.2125,1.3259,1.9226,5.9456,7.2733,0.5247,1.0283,10.1774,6.3043,12.5909,9.7905,1.5442,1.5132,1.6234,0.4345,1.3378,0.0106,21.9
HUZLIX,81.77,13.81,194.21,1.74,-3.7593,-2.5796,0.3346,-0.2143,1.3436,3.0115,5.9667,8.4522,0.5248,1.0187,10.1718,6.2992,12.5768,9.7894,1.2737,1.2692,1.3771,0.0897,1.4559,0.0776,19.6
ECIPUD,80.22,18.34,197.19,2.49,-3.2249,-2.275,0.4334,-0.2221,1.3388,1.9835,6.1055,8.453,0.5248,1.0766,10.173,6.2444,12.515,9.8072,1.4604,1.4537,1.7408,0.436,1.4308,0.0554,29.3
MAGTAR,86.97,11.85,190.94,2.07,-3.7813,-2.3018,0.41,-0.1939,1.3467,1.8973,5.9071,8.4549,0.5249,1.0097,10.1654,6.272,12.5629,9.7551,1.4654,1.4431,1.7275,0.4533,1.4374,0.0554,11.5
NUQRIA,80.62,2.48,173.17,3,-3.2836,-1.5354,0.3746,-0.2117,1.3545,1.9797,5.9602,8.602,0.5251,1.0353,10.1885,6.3019,12.5302,9.7933,1.5284,1.4618,1.7237,0.4063,1.5581,0.0997,17.8
EKOQAZ,85.63,12.43,181.38,1.52,-3.4799,-2.0638,0.3843,-0.2192,1.3687,1.9431,6.017,8.4707,0.5251,1.0756,10.174,6.2724,12.5391,9.8041,1.5254,1.4495,1.7068,0.419,1.438,0.0548,17.6
HANGAF,82.57,-1.72,211.35,4.07,-4.7395,-2.9501,0.2809,-0.1469,1.3383,3.1333,5.7792,8.5146,0.5251,0.9775,10.1302,6.3045,12.6807,9.7339,1.1491,1.3689,1.0069,0.1301,1.4579,0.0856,29.5
REZJAK,96.51,7.29,197.08,1.7,-3.5214,-2.437,0.377,-0.2161,1.3661,2.0267,6.0698,8.5046,0.5252,1.0399,10.1723,6.2793,12.541,9.8026,1.4889,1.4529,1.7255,0.3781,1.4457,0.046,14.3
NUGNOU,92.75,3.87,187.91,2.31,-3.4773,-1.6692,0.3818,-0.2104,1.3413,1.9693,5.994,8.527,0.5253,1.0395,10.1733,6.2808,12.5435,9.794,1.6212,1.4441,1.6482,0.426,1.49,0.0769,16.1
IYIVOB,84.53,2.01,189.92,1.88,-3.1007,-1.6092,0.2859,-0.2164,1.3552,3.1691,5.888,8.5439,0.5255,1.0813,10.1836,6.2962,12.6125,9.8054,1.2718,1.3028,1.3217,0.0901,1.5184,0.0484,18.8
FERFOZ,75.46,1.9,193.79,2.01,-5.2066,-3.3654,0.2404,-0.1658,1.3129,2.9015,5.8983,6.9459,0.5256,0.9914,10.1132,6.3599,12.6608,9.7388,1.2344,1.3635,1.16,0.117,1.3785,0.0134,11.5
FUDDOZ01,81.94,13.75,190.18,3.69,-3.4792,-1.9795,0.3973,-0.2117,1.3301,1.9268,5.9197,8.4871,0.5256,1.0329,10.1746,6.284,12.535,9.7837,1.4969,1.4584,1.6601,0.4913,1.4586,0.0687,18.2
WIVXOR,79.83,3.21,174.21,2.97,-3.6494,-1.9575,0.3845,-0.2083,1.3564,2.0625,5.953,8.5078,0.5257,1.0545,10.1722,6.2835,12.5472,9.7848,1.3903,1.4791,1.706,0.4183,1.478,0.0611,15
LORKEI01,81.42,16.3,176.17,1.7,-3.2552,-1.626,0.4248,-0.2223,1.3528,2.0217,6.0825,8.4532,0.5257,1.0804,10.1747,6.2441,12.5104,9.8206,1.4863,1.4625,1.7107,0.4328,1.4335,0.0596,27.7
PIQFAY,90.08,-0.09,188.51,2.19,-2.5013,-1.3325,0.3331,-0.2056,1.3656,1.7858,5.901,8.5185,0.5258,1.0514,10.2133,6.2908,12.5897,9.7864,1.7615,1.4224,1.6916,0.438,1.52,0.0651,18.9
TECQEX,101.96,0.09,202.64,4.05,-2.3581,-1.3214,0.355,-0.2083,1.3152,1.7219,5.866,8.4901,0.526,1.0638,10.2152,6.2788,12.5822,9.7841,1.7788,1.4221,1.6443,0.4524,1.4041,0.0712,19.6
BIGCEZ,76.89,4.54,197.38,3.08,-3.5138,-1.8321,0.2293,-0.2258,1.34,3.0091,5.9935,7.1515,0.5261,1.0284,10.1858,6.347,12.6046,9.8191,1.2607,1.3024,0.9965,0.1254,1.3573,0.0084,35.3
YAKMUV,81.55,2.29,179.12,1.7,-4.6476,-3.8776,0.3728,-0.1396,1.3079,1.9627,5.8034,8.3353,0.5261,0.9875,10.1219,6.2863,12.6412,9.6997,1.4941,1.4551,1.7201,0.3887,1.5131,0.0584,3.2
UDOWOA,82.36,2.7,215.14,2.03,-4.586,-3.8421,0.3805,-0.1332,1.301,2.012,5.7371,8.3882,0.5262,1.0468,10.1224,6.2801,12.6446,9.6948,1.4927,1.4515,1.7144,0.3961,1.534,0.0601,2.7
EVIYOY,82.79,1.15,176.75,1.7,-4.5906,-3.7293,0.3856,-0.1747,1.3523,2.0371,5.8401,8.3723,0.5263,1.0018,10.1347,6.2912,12.6021,9.7211,1.3915,1.4972,1.718,0.3619,1.5213,0.0691,15.9
UDOWUG,81.93,2.35,178.16,2.41,-4.2919,-3.6471,0.3811,-0.1626,1.3217,1.9866,5.8431,8.4153,0.5263,1.0151,10.1387,6.2842,12.6206,9.7141,1.4784,1.4569,1.7288,0.3846,1.5313,0.0477,2.7
OWUKIC,97.15,1.27,195.26,2.84,-2.8369,-1.3567,0.3691,-0.2085,1.3306,1.913,5.8898,8.5246,0.5263,1.0507,10.1933,6.2758,12.562,9.7931,1.6018,1.574,1.6286,0.4239,1.4817,0.0849,18
PIWCAA,80.31,2.53,176.9,1.7,-4.8705,-4.1771,0.3788,-0.1274,1.3009,2.0054,5.7692,8.3339,0.5264,0.9832,10.111,6.2923,12.6414,9.6874,1.4243,1.4689,1.7248,0.404,1.4969,0.0601,14
TEVLEN,79.95,16.53,175.54,1.7,-3.2948,-2.4254,0.4305,-0.2221,1.3454,2.0141,6.0879,8.4465,0.5264,1.0791,10.1724,6.2442,12.5144,9.8109,1.4348,1.4889,1.7447,0.4274,1.4494,0.0557,28.2
XEGVUA,79.42,6.68,172.1,2.69,-3.424,-1.6441,0.3731,-0.2087,1.3524,2.0536,5.9478,8.5907,0.5265,1.0291,10.181,6.3026,12.5367,9.7876,1.4174,1.4726,1.6964,0.3839,1.5371,0.0818,17.1
TEMMUV,89.32,2.2,210.45,2.6,-3.5295,-2.0022,0.3254,-0.2164,1.3376,2.0222,6.0194,7.2057,0.5269,1.0291,10.1751,6.3129,12.5819,9.7799,1.501,1.4602,1.7257,0.4428,1.2088,0.0159,23.1
PUZRIM,84.05,13.46,180.68,1.7,-3.4,-1.6524,0.3771,-0.2164,1.3759,1.9718,6.0096,8.4761,0.5269,1.0656,10.1772,6.2755,12.5451,9.8023,1.4966,1.4726,1.7277,0.4022,1.4511,0.0585,19.6
FATVED,80.98,3.51,187.53,1.9,-3.6955,-2.7828,0.2293,-0.2316,1.3329,3.1084,6.0523,7.4714,0.527,1.0452,10.176,6.3344,12.6414,9.7948,1.1994,1.3013,1.3262,0.0936,1.3893,0.0066,23.4
BIFBUN,62.43,-20.49,187.51,1.76,-3.1536,-1.4359,0.3001,-0.2096,1.3949,1.9408,5.9589,7.214,0.5272,1.0485,10.1958,6.3352,12.5525,9.8122,1.5583,1.5216,1.6686,0.361,1.3755,0.0106,36.6
PEDERL,85.38,6,178.43,2.28,-3.4353,-1.6094,0.3478,-0.2052,1.3896,2.1074,5.9993,8.6419,0.5272,1.0462,10.1816,6.2876,12.5476,9.817,1.4912,1.5312,1.5749,0.3262,1.3914,0.0529,25.1
EZOWIB,80.49,2.77,179.14,2.6,-4.9781,-4.3983,0.3823,-0.1202,1.306,2.0147,5.7021,8.3468,0.5272,1.0017,10.1089,6.2853,12.6591,9.6733,1.4165,1.4604,1.7362,0.4362,1.493,0.061,13.9
EJATIT,85.34,12.75,181.77,1.54,-3.416,-1.6861,0.3739,-0.2163,1.3733,1.9684,6.0162,8.4772,0.5272,1.0683,10.1762,6.2768,12.547,9.8023,1.4971,1.4731,1.7274,0.4023,1.455,0.0546,18
SUSDIW,79.5,16.4,175.37,1.7,-3.2072,-1.8275,0.428,-0.2212,1.341,2.015,6.0819,8.4539,0.5274,1.062,10.1742,6.2444,12.5163,9.8113,1.46,1.4912,1.7198,0.4306,1.4432,0.0595,28.5
EZOWEX,80.84,2.21,179.92,3.17,-4.9998,-4.4485,0.3845,-0.1153,1.3024,1.9969,5.6969,8.3416,0.5274,1.0013,10.1068,6.2835,12.6622,9.6698,1.4161,1.4597,1.7287,0.4378,1.4928,0.0615,14.8
MARRAZ,78.67,2.58,226.68,2.11,-3.7184,-2.232,0.2041,-0.1887,1.3161,2.988,5.84,7.5709,0.5276,1.0171,10.1645,6.3467,12.6829,9.7663,1.1892,1.3928,1.1825,0.1228,1.3246,0.0075,28.2
QAQKUQ,82.15,14.14,183.78,1.7,-3.4505,-1.7016,0.3859,-0.2172,1.3583,1.9814,6.0392,8.4675,0.5276,1.072,10.1725,6.2747,12.5429,9.7965,1.4746,1.4751,1.7298,0.4335,1.4392,0.0569,19.2
EANAPQ10,80.55,3.52,175.58,2.37,-4.3315,-3.7694,0.3898,-0.1639,1.3202,2.0377,5.8455,8.4178,0.5278,1.0148,10.139,6.2893,12.6084,9.7124,1.3904,1.478,1.733,0.394,1.5176,0.0493,13.4
BEGQAG,81.25,2.23,179.14,1.9,-4.8232,-4.2156,0.3794,-0.1265,1.2978,2.0082,5.7699,8.341,0.5278,0.9882,10.1134,6.2878,12.6515,9.6813,1.4343,1.4594,1.7355,0.3938,1.5196,0.0595,15.4
FAWJUK,76.67,2.06,205.49,3.83,-3.2028,-1.4803,0.3305,-0.2206,1.3409,2.076,5.9517,7.3301,0.5279,1.029,10.1897,6.3324,12.5451,9.792,1.4391,1.483,1.6871,0.4024,1.2935,0.0108,27.6
HAMVEX,85.56,8.78,187.51,2.38,-3.9327,-2.4099,0.3204,-0.1725,1.3144,1.985,5.8092,7.1288,0.5281,1.0508,10.1526,6.3153,12.6238,9.7406,1.4631,1.4426,1.7137,0.3779,1.3709,0.0115,22
MEKXAB,75.88,4.56,206.51,2.14,-4.9282,-4.2325,0.2072,-0.1441,1.3109,3.061,5.8349,6.9342,0.5282,0.978,10.1204,6.3624,12.7213,9.7091,1.0976,1.3476,1.2185,0.1279,1.2759,0.0118,16.8
TIVBUW,78.64,15.65,173.69,1.52,-4.1537,-3.301,0.4212,-0.1516,1.2997,1.991,5.8133,8.4217,0.5282,1.024,10.1356,6.265,12.5953,9.7185,1.4616,1.4752,1.718,0.4381,1.4361,0.0672,23.8
WAYQOE,79.6,16.34,175.52,1.7,-3.2011,-1.7813,0.4287,-0.2221,1.3401,2.0145,6.09,8.455,0.5282,1.0669,10.174,6.2441,12.5155,9.8116,1.4553,1.4965,1.7199,0.43,1.4459,0.0587,27.8
RIDWOT,104.39,2.23,202.08,1.63,-2.8086,-1.4018,0.3662,-0.2048,1.3423,1.8564,5.9369,8.5454,0.5282,1.0899,10.189,6.2725,12.5633,9.798,1.6286,1.5822,1.6032,0.4347,1.4699,0.0705,15.5
IBOHAJ,85.46,1.91,183.48,3.16,-2.6285,-1.2539,0.4038,-0.2122,1.2788,1.7651,5.9152,8.5018,0.5285,1.0243,10.2049,6.29,12.5557,9.7505,1.7165,1.4954,1.6154,0.4878,1.386,0.0754,20.3
VOKBON,94.92,8.84,193.31,2.09,-3.665,-2.6495,0.3825,-0.2115,1.3725,2.0146,6.0429,8.4859,0.5287,1.0386,10.1679,6.2775,12.5461,9.7939,1.4868,1.4526,1.7125,0.4038,1.4513,0.0489,13.6
TARNOQ,80.57,1.87,196.77,3.34,-4.8125,-4.1299,0.3859,-0.1511,1.3202,1.996,5.7466,8.4082,0.5287,1.0154,10.1232,6.281,12.6394,9.6937,1.4469,1.4624,1.6878,0.4232,1.5059,0.073,10.9
LUQFAH,82.91,2.87,208.77,3.67,-3.5455,-2.4085,0.2883,-0.2139,1.3856,3.2146,5.938,8.4902,0.5289,1.0868,10.1842,6.3025,12.6146,9.7946,1.1995,1.4125,1.2071,0.094,1.4559,0.0593,27.4
GUGHEV,89.22,2.44,188.89,2.17,-2.6189,-1.3243,0.363,-0.2096,1.3135,1.7249,5.9088,8.4787,0.5289,1.0468,10.2061,6.2833,12.5909,9.7628,1.757,1.4081,1.7077,0.4314,1.5048,0.0689,19.9
TUPBOW,86.99,1.88,184.73,2.91,-2.4944,-1.2323,0.3621,-0.2132,1.3018,1.7644,5.9202,8.5458,0.5292,1.039,10.2103,6.2989,12.5755,9.7636,1.7233,1.5421,1.6205,0.416,1.408,0.0622,18.8
FAYTOP,62.54,2.66,196.96,1.52,-2.6586,-1.4511,0.3679,-0.196,1.4086,1.932,5.9267,8.4864,0.5294,1.1309,10.199,6.279,12.5356,9.8175,1.5983,1.4802,1.644,0.3242,1.6655,0.0681,36.6
JABPIP,86.27,11.46,183.5,1.7,-4.0651,-3.4978,0.4024,-0.1677,1.3311,1.9029,5.8317,8.4243,0.5294,1.0062,10.1469,6.2768,12.599,9.7218,1.4862,1.4542,1.7282,0.4502,1.4316,0.0583,18.5
LICLAK,84.01,13.38,191.06,2.32,-4.0077,-3.3937,0.4125,-0.1742,1.3191,1.8988,5.809,8.4026,0.5296,1.0105,10.1501,6.2747,12.5906,9.7222,1.4904,1.4649,1.6929,0.4596,1.4358,0.0686,25.2
TAXYAS,80.64,13.31,173.07,4.18,-3.4018,-1.6201,0.4108,-0.2094,1.3577,1.9783,6.0159,8.4908,0.5297,1.0234,10.1804,6.2625,12.5196,9.8071,1.6149,1.4683,1.564,0.4576,1.4103,0.0653,27.7
EXIFEX,80.29,2.98,176.86,1.34,-5.009,-4.4102,0.3785,-0.1242,1.3109,2.0089,5.7345,8.3232,0.5298,0.9952,10.1077,6.2926,12.6437,9.6851,1.4119,1.4685,1.7256,0.3962,1.4898,0.0576,13
QADMUF,81,2.41,178.44,1.7,-4.8383,-4.083,0.3754,-0.1288,1.3092,1.9413,5.7543,8.33,0.5298,0.9988,10.1137,6.288,12.6458,9.6908,1.4696,1.4568,1.7186,0.4024,1.497,0.0588,14.5
HIQTEG,81.07,2.56,179.66,2.44,-4.9906,-4.4284,0.3792,-0.1186,1.2983,2.0298,5.7083,8.3468,0.5299,1.0006,10.1075,6.2869,12.6605,9.6734,1.421,1.4617,1.733,0.3955,1.4944,0.062,13.5
WERBED,79.65,3.8,175.97,2.35,-4.571,-3.8058,0.3869,-0.159,1.3021,2.0395,5.7473,8.4368,0.53,1.0389,10.1285,6.2903,12.6318,9.691,1.3869,1.4618,1.7385,0.4147,1.5103,0.0842,12.6
JITPEH,80.56,2.65,177.19,1.7,-4.7979,-4.173,0.3793,-0.1373,1.3176,2.008,5.787,8.3346,0.53,1.0041,10.1171,6.2898,12.6347,9.6962,1.4391,1.4771,1.6954,0.3992,1.5044,0.0584,14.8
KUWGIV,81.34,2.5,178.92,2.3,-4.7351,-3.9748,0.3751,-0.1347,1.3043,1.9204,5.7728,8.3408,0.53,0.9796,10.1178,6.2866,12.6436,9.6947,1.4867,1.4553,1.7187,0.4045,1.4941,0.0594,3.4
EBUYAC,82.12,2.41,214.83,1.83,-4.8959,-4.2856,0.3878,-0.115,1.2998,2.0471,5.7167,8.3959,0.53,1.0459,10.1102,6.2842,12.6548,9.6732,1.4157,1.4579,1.7363,0.4038,1.5391,0.0558,4
WOCLUY,81.79,2.45,196.46,2.03,-3.4825,-1.6193,0.2781,-0.221,1.3575,1.9395,6.0158,7.0968,0.5302,1.0432,10.1779,6.3199,12.5842,9.8177,1.501,1.4692,1.7276,0.4096,1.4032,0.0098,15.9
IXEGOH,80.31,2.63,177.03,2.65,-4.8052,-4.1234,0.3786,-0.1376,1.3239,2.0036,5.7778,8.3464,0.5303,0.9731,10.1178,6.2887,12.636,9.6967,1.4233,1.4709,1.7241,0.4031,1.493,0.0605,14.5
JOHLIE,81.86,14.03,179.41,1.7,-3.4589,-1.7067,0.3792,-0.2169,1.3667,1.9713,6.0471,8.4771,0.5303,1.0694,10.1739,6.2782,12.5429,9.7997,1.4744,1.4622,1.7362,0.4316,1.4402,0.0559,16.3
HAGGIG,80.41,3.15,176.29,1.7,-4.798,-4.1964,0.3832,-0.1351,1.3106,2.0203,5.7749,8.3926,0.5304,0.9879,10.1156,6.2929,12.6335,9.6904,1.4012,1.4705,1.7298,0.4002,1.4993,0.0563,14
MUGYEV,81.14,2.26,192.36,2.16,-4.8273,-4.0838,0.3759,-0.1298,1.305,1.9463,5.7679,8.3291,0.5305,0.9641,10.1142,6.2885,12.6444,9.6912,1.4548,1.485,1.6994,0.4071,1.4744,0.0648,3
BOMGOB,83.34,-4.5,225.27,3.16,-4.6737,-2.9055,0.2623,-0.1613,1.3515,3.3348,5.9048,8.4664,0.5305,0.9845,10.1333,6.3122,12.6842,9.7413,1.2171,1.2963,1.2443,0.1229,1.4542,0.0721,31.9
XINFUV,86.57,-2.75,180.49,2,-4.6886,-3.0392,0.3567,-0.15,1.3409,2.0768,5.8012,8.494,0.5306,1.0147,10.1217,6.2853,12.6243,9.7337,1.5064,1.5441,1.6056,0.3767,1.4759,0.076,4.4
SOBMAY,81.01,2.53,177.65,1.7,-4.8831,-4.3132,0.3782,-0.1274,1.3051,2.025,5.7634,8.3452,0.5308,1.0046,10.1116,6.2924,12.643,9.6865,1.4438,1.4609,1.7225,0.398,1.5034,0.0556,14.3
BAGYOY,81.31,2.39,178.81,2,-4.8009,-4.0499,0.3744,-0.1296,1.3039,1.9505,5.7517,8.3321,0.5309,0.997,10.1149,6.2878,12.6464,9.6914,1.4757,1.4568,1.7179,0.3849,1.4998,0.0579,3
ZISGOA,81.72,2.19,179.17,2.17,-4.6139,-3.8366,0.3733,-0.1408,1.3036,1.954,5.8059,8.3382,0.5309,0.9842,10.1227,6.2867,12.6398,9.7002,1.4979,1.4559,1.7183,0.3872,1.5014,0.0567,2.9
WAWDOO,84.19,13.97,185.17,1.7,-3.4684,-1.9773,0.3666,-0.2163,1.3871,1.9777,5.9429,8.473,0.5311,1.0972,10.1787,6.2821,12.5501,9.8012,1.5008,1.4633,1.7389,0.4025,1.4447,0.0582,20.2
MICDUY,83.42,13.53,179.64,2.57,-3.4154,-1.6354,0.3826,-0.2153,1.3632,1.9842,6.0355,8.4828,0.5315,1.0517,10.1742,6.2783,12.5397,9.7994,1.453,1.4689,1.7249,0.4478,1.4413,0.0577,20.1
DUYYUS,79.46,3.32,178.7,3.2,-4.8512,-4.1685,0.3814,-0.1251,1.2916,2.0282,5.7561,8.3557,0.5317,0.9652,10.1119,6.2841,12.656,9.6785,1.446,1.4569,1.7242,0.4695,1.4735,0.0618,14
NEFQOF,84.68,12.89,181.55,1.4,-3.4512,-2.1606,0.3844,-0.2166,1.3639,1.9661,6.012,8.4765,0.5317,1.0792,10.174,6.2727,12.5486,9.7942,1.4953,1.4609,1.7401,0.406,1.4398,0.0535,19.2
JUJPIQ,77.32,1.53,205.13,2.87,-4.5707,-3.0827,0.3045,-0.149,1.307,2.9802,5.8175,7.0246,0.5318,0.976,10.1281,6.309,12.6404,9.746,1.3065,1.3023,1.2837,0.0788,1.299,0.0109,-11.2
XILYEX,80.39,2.53,183.11,1.92,-4.8629,-4.1236,0.3785,-0.132,1.3189,1.9731,5.7718,8.3309,0.532,0.9754,10.1143,6.2884,12.6401,9.6929,1.4326,1.4657,1.7215,0.4074,1.4887,0.0622,13.9
MUCHUO,79.69,17,175.18,1.7,-3.2451,-1.9017,0.4295,-0.2221,1.3404,2.0116,6.0833,8.449,0.5321,1.0901,10.1731,6.2443,12.5182,9.808,1.4478,1.4912,1.7329,0.4269,1.4479,0.0535,27.8
AMNPQH10,80.46,3.19,176.23,1.53,-4.5172,-3.9055,0.3814,-0.15,1.3182,2.0187,5.8165,8.3674,0.5322,1.0109,10.1278,6.2911,12.6269,9.7005,1.4036,1.4698,1.73,0.4083,1.5034,0.0506,13.8
FOHRAY,62.44,-0.63,155.39,2.37,-3.4792,-1.5539,0.2826,-0.2183,1.351,1.8708,5.9972,7.5344,0.5323,1.0586,10.1818,6.3414,12.5548,9.8213,1.5965,1.5199,1.6532,0.3465,1.372,0.0079,28.3
ADAQEC,82.59,13.9,187.52,1.33,-3.4773,-1.8091,0.3886,-0.2161,1.3613,1.9518,6.034,8.4642,0.5323,1.0663,10.1718,6.274,12.5435,9.7939,1.462,1.459,1.7468,0.4385,1.4364,0.057,18.2
FOFNOF,83.75,1.12,173.93,2.8,-3.4037,-1.6214,0.3665,-0.2103,1.3851,2.0463,5.9625,8.5299,0.5326,1.0354,10.1856,6.3101,12.5207,9.8027,1.5201,1.4839,1.6773,0.3424,1.5306,0.0687,24.9
TERRUD,78.28,2.38,200.78,1.79,-3.3245,-1.5952,0.2846,-0.2186,1.3681,2.0429,5.9755,7.2336,0.5326,1.0267,10.1825,6.3363,12.569,9.81,1.4521,1.4562,1.7041,0.3816,1.3741,0.0088,31.5
HUPDAY,80.5,2.68,214.01,2.12,-3.4314,-1.6634,0.1965,-0.225,1.373,2.9179,5.9964,7.1272,0.5326,1.0311,10.1822,6.3557,12.6182,9.8296,1.311,1.3693,1.1031,0.1154,1.3778,0.0116,21.1
SEKDOB,82.48,1.87,232.32,2.05,-3.4779,-2.1409,0.2043,-0.2335,1.3235,3.1069,5.9939,7.525,0.5328,1.0741,10.1777,6.3328,12.6278,9.8351,1.2929,1.3765,1.1873,0.0902,1.2612,0.009,27
GAZGOF,80.45,2.41,177.43,1.7,-4.4779,-4.0377,0.3772,-0.143,1.3306,2.0135,5.8004,8.3403,0.5328,0.9817,10.1217,6.2866,12.6337,9.7025,1.4201,1.4699,1.7268,0.4077,1.4962,0.0592,14.8
XEGJOI,80.11,16.13,199.3,1.7,-3.3789,-2.1243,0.4395,-0.2219,1.3237,1.9578,6.0813,8.4351,0.5328,1.0789,10.1679,6.2412,12.5168,9.8024,1.4756,1.4711,1.7214,0.4434,1.4405,0.0603,27.4
FERYUX,80.38,15.18,195.63,1.7,-3.354,-1.5901,0.3835,-0.219,1.3614,1.97,6.0217,8.4674,0.5331,1.0448,10.1754,6.2791,12.5357,9.8017,1.4737,1.4675,1.7373,0.4425,1.4414,0.0649,22.4
UVURAF,80.07,5.15,194.92,3.86,-3.6169,-2.4207,0.3316,-0.2174,1.2856,2.0381,5.9913,7.3669,0.5332,1.02,10.1738,6.326,12.5651,9.7773,1.4846,1.4723,1.6777,0.3775,1.2996,0.0094,21
YOKLOC,88.13,-5.83,185.56,1.97,-2.677,-1.4705,0.3462,-0.1944,1.376,1.9547,5.8757,8.481,0.5332,1.036,10.2077,6.2861,12.5925,9.7752,1.6517,1.5344,1.5282,0.4034,1.4001,0.0565,47.5
