Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
HUKHED,76.36,4.83,170.83,4.73,-4.5433,-3.1173,0.3495,-0.145,1.3218,2.074,5.804,6.8168,0.1361,1.0359,10.1274,6.296,12.6079,9.7466,1.4513,1.4871,1.6415,0.4073,1.4535,0.0091,15
LIVROZ,73.43,4.74,170.36,2.28,-4.3895,-2.6629,0.3501,-0.1557,1.3224,2.1145,5.8587,6.9886,0.1363,0.9863,10.1361,6.2946,12.6064,9.749,1.4968,1.4409,1.7177,0.412,1.3249,0.0126,23.9
XOSBAK,70.48,7.89,199.51,2.09,-4.3833,-2.7342,0.3542,-0.1451,1.3297,2.0028,5.7828,7.0255,0.1364,1.0043,10.1395,6.2926,12.5996,9.7536,1.5269,1.5049,1.6565,0.4218,1.2057,0.0139,26.8
WOYNOP,68.77,11.59,169.22,2.56,-4.5668,-2.961,0.2842,-0.1292,1.2921,3.0101,5.6885,7.2171,0.1366,0.9692,10.1287,6.3266,12.6476,9.7415,1.3135,1.4703,1.2947,0.0614,1.2203,0.015,23.1
UKAXUA,77.24,12.3,176.23,3.37,-4.1998,-2.7203,0.255,-0.1437,1.3155,3.0264,5.7051,7.0447,0.1368,1.0386,10.1403,6.3277,12.6574,9.76,1.1472,1.2911,1.2231,0.1535,1.2762,0.0109,28.6
NAXCIY01,70.7,6.79,178.38,2.04,-4.2836,-2.455,0.269,-0.1724,1.3099,3.1446,5.8768,7.1469,0.1373,0.9859,10.1507,6.3269,12.6482,9.7558,1.3919,1.4086,1.2375,0.0619,1.2017,0.0124,26.9
NISTEQ,87.11,4.88,182.15,2.9,-3.1273,-1.538,0.37,-0.2088,1.3847,1.7784,5.8603,8.436,0.1374,1.0188,10.1994,6.3084,12.5368,9.7848,1.6231,1.4872,1.7242,0.4695,1.4852,0.0609,29.9
HIDWUN,78.48,7.64,195.32,2.65,-4.2269,-3.0969,0.3595,-0.1676,1.3328,2.1034,5.8818,6.9862,0.1376,0.9848,10.1413,6.2958,12.5904,9.7543,1.5019,1.52,1.6336,0.4017,1.3541,0.0088,26.6
YUCZII,77.35,11.3,167.46,2.04,-4.2196,-2.7322,0.3434,-0.158,1.3959,1.7057,5.822,6.9592,0.1377,1.0025,10.1595,6.2893,12.6065,9.7608,1.4419,1.3928,1.7765,0.4555,1.2403,0.0168,27.3
LIRMEH,57.25,-11.52,142.06,2.63,-4.1066,-2.3963,0.3975,-0.1675,1.3119,1.9143,5.883,8.481,0.1381,1.0032,10.1469,6.284,12.5671,9.7514,1.5716,1.6552,1.4918,0.397,1.5825,0.0428,24.7
