Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
WUWREN,94.68,2.71,19.1,-3.2112,-2.2051,1.95,1.95,-0.07,-0.03,2.43,78.81,83.87,0.0553,-0.6348,-0.6806,2.2223,2.578,1.3836,28.8297,7.2587,25.2578,8.4226,0.696,0.3007,0.4758,1.2354,3.2119,3.5363,3.6128,2.0155,2.0285,6.2763,9.8552,1.5083,0.398,0.0338,2.7892,3.5591,-384.41,1.23,126.57,36.7
CERZEF,64.12,0.56,11,-3.6433,-2.4413,2,2.17,0,-0.04,2.47,82.68,86.04,0.0398,-0.1254,-0.6223,2.0707,2.6047,1.4562,28.8815,7.2377,25.2145,8.4169,0.7051,0.3009,0.4763,1.2359,3.2157,3.4954,3.6569,2.0218,2.0193,6.3656,9.8843,1.2899,0.3818,0.0662,2.7892,3.5587,-394.69,1.23,126.18,44.2
MOYWOO,100.04,-0.81,22.8,-3.3192,-2.165,1.98,1.92,-0.03,-0.03,2.41,81.54,82.5,0.0784,-0.6409,-0.8742,2.267,2.5641,1.3781,28.7964,7.2615,25.2469,8.4155,0.7364,0.3009,0.403,1.2102,3.214,3.5669,3.5652,2.0222,2.0233,6.2827,9.8323,1.6795,0.4685,0.0471,2.7892,3.5584,-385.79,1.23,126.37,40.4
NAPHYZ02,81.85,1.3,11.6,-3.2382,-2.9216,1.99,1.96,-0.05,-0.02,2.43,83.31,82.53,0.0275,-0.65,-0.3971,2.2449,2.5862,1.3747,28.8739,7.2542,25.2514,8.42,0.7275,0.3011,0.4469,1.2141,3.2177,3.546,3.591,2.0169,2.0241,6.3416,9.8564,1.5295,0.0773,0.0104,2.79,3.5578,-385.88,1.23,126.2,41.1
MAZYES,95.7,14.23,13.8,-2.5924,-2.1546,1.99,1.92,-0.06,-0.05,2.4,80.89,82.93,0.1328,-0.8859,-0.5933,2.6395,2.5703,1.3803,29.1192,7.2568,25.2551,8.4211,0.6835,0.3013,0.6262,1.2115,3.2094,3.7156,3.3645,2.027,2.0408,6.2656,9.8412,1.6752,0.3825,0.0839,2.7882,3.5592,-366.81,1.23,126.64,48.4
PAHJUE,97.83,1.21,24.6,-3.3736,-2.3639,1.91,1.92,-0.03,-0.01,2.42,83.88,81.99,0.0645,-0.8385,-0.6015,2.5569,2.5747,1.3887,28.8651,7.2354,25.2368,8.4167,0.7519,0.3014,0.6584,1.2041,3.218,3.6184,3.5112,2.0153,2.0302,6.2809,9.7911,1.74,0.4429,0.0889,2.7895,3.5575,-378.32,1.23,126.3,39.9
KACRCO,108.69,-5.37,19,-3.4072,-2.3059,1.96,1.96,-0.04,-0.02,2.43,78.8,83.91,0.0377,-0.6201,-0.5811,2.3351,2.5844,1.3435,28.8646,7.2368,25.2709,8.4099,0.6825,0.3015,0.5036,1.2123,3.212,3.5091,3.6337,2.0194,2.0199,6.2752,9.8485,1.5842,0.3661,0.034,2.7889,3.5566,-402.61,1.23,126.29,34.9
DUBSOJ,89.36,-1.49,14.2,-2.5478,-2.4548,1.96,1.93,0.01,0.06,2.68,74.44,88.37,-0.1853,-0.1857,-0.8903,2.4996,2.5894,1.1862,28.9586,7.2223,25.4105,8.4611,0.4639,0.3016,0.5579,1.2948,3.2209,3.7526,3.7737,2.0336,2.0316,6.3614,9.819,1.3599,0.4518,0.0506,2.789,3.5647,-316.53,1.24,127.33,39.5
NUWMOI,85.23,-0.26,9.8,-3.044,-2.5617,2.19,1.94,0,0.01,2.56,76.21,87.3,-0.0455,-0.4606,-0.8204,2.1458,2.5268,1.3601,28.9248,7.2143,25.2799,8.4212,0.6193,0.302,0.2857,1.2198,3.2197,3.8697,3.7276,2.0376,2.0375,6.336,9.8663,1.6224,0.3851,0.0764,2.7887,3.5593,-387.46,1.24,126.23,46.8
LUCIFN01,85.38,-0.15,16,-3.8819,-2.6048,2,1.97,-0.04,-0.02,2.47,82.4,85.14,0.036,-0.1633,-0.5885,2.3517,2.6254,1.4155,28.8541,7.2609,25.2259,8.3917,0.6846,0.3021,0.4982,1.1909,3.2234,3.5775,3.6631,2.0281,2.0185,6.3288,9.8456,1.3474,0.3778,0.052,2.7909,3.554,-403.35,1.23,125.77,38.4
FETXAE,84.86,2.13,9.7,-3.2107,-2.32,1.99,1.95,-0.08,-0.02,2.43,82.54,83.76,0.0325,-0.5864,-0.8516,2.273,2.5767,1.3845,28.8363,7.2553,25.259,8.422,0.7031,0.3021,0.4326,1.2149,3.2173,3.5541,3.5834,2.0168,2.0259,6.2999,9.8333,1.4344,0.3836,0.049,2.7893,3.5579,-377.71,1.23,126.35,40.6
MAZKBN,62.85,0.87,17.8,-3.0334,-2.2714,2.02,2.17,0.01,-0.06,2.44,83.15,84.97,0.0215,-0.16,-0.6984,2.0569,2.615,1.4103,28.867,7.2436,25.2574,8.4429,0.7186,0.3022,0.4846,1.2317,3.2147,3.566,3.5708,2.0185,2.0262,6.3709,9.8812,1.3475,0.3639,0.0588,2.7886,3.5597,-380.59,1.24,126.73,41.5
TIXHOY,96.95,1.13,18.7,-2.5844,-2.0737,2.03,2,-0.01,-0.01,2.45,82.11,85.61,-0.0143,-0.7302,-0.845,2.284,2.5888,1.336,28.8257,7.2459,25.313,8.4263,0.6649,0.3022,0.4694,1.2444,3.2122,3.5308,3.6232,2.0197,2.0239,6.2866,9.848,1.6853,0.442,0.0504,2.7889,3.5596,-337.61,1.24,127.17,30.6
