Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,Cu-I-C,N-Cu-I,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
UPENUZ,85.85,-0.8,12,-3.3739,-2.0024,2.05,1.97,-0.02,0,2.37,88.17,78.94,0.0975,-0.1528,-0.3968,2.1042,2.5721,1.4734,28.8941,7.2465,25.2032,8.4251,0.7724,0.1812,0.4254,1.2826,3.2181,3.4275,3.645,2.0319,2.0207,6.4036,9.8933,1.3147,0.0598,0.0063,2.7879,3.5577,-344.45,1.23,127.17,42.8
KOVXEY,82.33,-0.63,13.8,-3.3178,-2.5089,2.12,1.96,-0.02,0.01,2.52,76.25,85.02,-0.0444,-0.4981,-0.2006,2.0778,2.5957,1.329,28.8768,7.2623,25.2832,8.4303,0.6635,0.3425,0.3148,1.2104,3.2169,3.8006,3.7151,2.0382,2.0271,6.3601,9.8803,1.4972,0.0783,0.0154,2.788,3.5567,-394.04,1.23,125.9,41.4
YOZGUS,86.96,-0.95,17.9,-2.7604,-2.1552,1.99,1.97,-0.02,0.02,2.49,81.12,86.3,-0.0402,-0.0988,-0.8697,2.3311,2.6174,1.3141,28.8564,7.2386,25.3393,8.433,0.6408,0.2744,0.4364,1.2536,3.2129,3.5674,3.6155,2.0227,2.0246,6.328,9.8576,1.3171,0.4549,0.0596,2.7889,3.5594,-346.82,1.24,127.21,36.3
GEQXEH,93.74,2.99,21.2,-2.8159,-2.0014,1.98,1.94,-0.09,-0.04,2.42,85.89,63.8,0.108,-0.5519,-0.7271,2.5817,2.727,1.4367,28.9235,7.1422,25.2445,8.4264,0.626,0,0.4333,1.6421,3.2181,3.6396,3.6597,2.0446,2.0286,6.2532,9.8065,1.6024,0.4222,0.0399,2.7879,3.5245,-270.53,1.28,126.41,45.2
EGINEQ,94.27,2.12,16.9,-3.6276,-2.957,1.91,1.93,-0.06,-0.03,2.47,77.94,85.76,0.048,-0.5844,-0.6737,2.449,2.618,1.3595,28.804,7.259,25.2539,8.4097,0.6742,0.3412,0.5073,1.2159,3.2137,3.5355,3.6333,2.0151,2.0241,6.272,9.799,1.449,0.3993,0.0346,2.7907,3.5579,-416.19,1.23,125.8,38.1
FAWJUK,77.29,1.44,24.4,-3.2059,-2.2405,2.27,1.97,-0.06,-0.01,2.46,81.71,85.47,-0.0024,-0.5145,-0.148,2.0306,2.6505,1.3452,28.8031,7.2594,25.2845,8.4411,0.7041,0.3407,0.2039,1.2086,3.217,3.5685,3.6748,2.0221,2.0163,6.3504,9.8621,1.465,0.0765,0.0131,2.7885,3.5557,-389.05,1.23,126.49,43
ROZVUZ,80.34,-0.35,12.3,-4.3334,-3.1287,2.06,2,-0.03,0.01,2.51,73.8,88.78,0.0393,-0.6247,0.196,2.3369,2.735,1.3504,28.8263,7.2825,25.2278,8.3839,0.6275,0.4885,0.3791,1.1301,3.2056,3.6366,3.6006,2.018,2.0246,6.3297,9.8249,1.5555,0.1348,0.025,2.7915,3.553,-437.61,1.22,124.57,28.5
KHQUIN,85.49,0.06,11.7,-3.4108,-2.2081,2.01,1.98,-0.04,0,2.42,80.65,83.76,0.0413,-0.0943,-0.7136,2.259,2.581,1.3903,28.8766,7.2526,25.2436,8.4136,0.706,0.309,0.4348,1.1902,3.2137,3.4878,3.6316,2.0213,2.0207,6.3246,9.8642,1.2354,0.395,0.0477,2.7892,3.5564,-387.59,1.23,126.63,37.8
FUGLOL,98.57,4.98,16.3,-2.7225,-2.4788,1.89,1.92,0.04,0.01,4.68,45.25,128.32,-0.614,-0.8353,-0.8437,2.9029,2.8763,0.5414,28.8585,7.176,25.7852,8.4258,0,0.6314,0.623,1.1391,3.2052,3.7507,3.9541,2.0028,2.0025,6.2928,9.7032,1.7958,0.4733,0.0565,2.7941,3.5569,-106.25,1.23,126.71,27.6
EFUPEB01,63.41,0.24,18.1,-3.5322,-2.4859,2.15,2.01,-0.05,0.05,2.49,74.91,88.9,0.0221,-0.5938,-0.5734,2.1043,2.6423,1.3802,28.9382,7.2631,25.2474,8.4044,0.6222,0.3622,0.378,1.1981,3.2101,3.5662,3.706,2.0259,2.0253,6.3246,9.8776,1.5747,0.3465,0.0664,2.7916,3.5576,-419.77,1.23,125.85,40.1
FIHSIY,84.52,1.21,15.7,-3.4665,-2.5126,1.97,1.96,-0.05,-0.02,2.46,82.37,85.68,0.0384,-0.5192,-0.6821,2.3855,2.5834,1.4053,28.8704,7.2471,25.2434,8.4201,0.6943,0.3199,0.4737,1.2113,3.2169,3.5932,3.5707,2.0184,2.026,6.2904,9.8262,1.4176,0.3864,0.0497,2.7897,3.557,-381.98,1.23,126.17,40.7
WOWDUK,81.97,-0.17,16.4,-4.6445,-3.5088,2.03,2,-0.01,0.02,2.57,77.81,91.1,0.0078,-0.5839,0.0012,2.5697,2.7795,1.398,28.9063,7.2132,25.2106,8.3788,0.6253,0.4421,0.4776,1.1553,3.2116,3.5402,3.6387,2.014,2.0153,6.3308,9.7977,1.5141,0.1187,0.0211,2.7923,3.5539,-424.14,1.22,124.12,33.1
JAGZEX,95.93,2.27,16.7,-3.5434,-2.4834,1.92,1.94,-0.06,-0.03,2.43,82.43,83.6,0.0444,-0.6556,-0.689,2.3884,2.5771,1.3851,28.7977,7.2434,25.2394,8.4159,0.7378,0.3158,0.4773,1.1969,3.2152,3.6168,3.5853,2.0215,2.025,6.2709,9.8158,1.477,0.4006,0.0379,2.7898,3.5579,-386.4,1.23,126.34,38.7
CABZIR,88.43,-0.24,14.8,-3.5935,-2.9437,1.96,1.99,-0.02,-0.02,2.51,80.21,88.9,-0.0038,-0.5421,-0.7313,2.5243,2.7017,1.3417,28.8971,7.2523,25.2692,8.42,0.6639,0.4069,0.5055,1.1946,3.2119,3.606,3.571,2.0123,2.024,6.2816,9.8035,1.4589,0.3937,0.0484,2.7907,3.5581,-398.62,1.23,124.76,47.4
SEJLOL,78.07,0.28,20.2,-3.3699,-2.258,2.28,1.97,-0.04,-0.01,2.45,79.12,83.7,-0.0016,-0.4864,-0.1927,2.0093,2.6104,1.2916,28.7723,7.2802,25.2917,8.3998,0.72,0.3265,0.2071,1.1868,3.2167,3.5897,3.7258,2.0264,2.0276,6.3587,9.8776,1.6406,0.0785,0.0152,2.7913,3.5562,-415.7,1.23,126.36,38.4
PAFBED,99.48,-2.76,27.2,-3.053,-2.0978,2.06,1.95,-0.05,-0.04,2.4,77.77,81.95,0.0189,-0.5242,-0.8596,2.0133,2.5922,1.2896,28.7491,7.2676,25.2905,8.4058,0.7301,0.2949,0.3506,1.2044,3.2134,3.5688,3.5749,2.014,2.0266,6.2889,9.8705,1.4982,0.4465,0.0437,2.7894,3.5568,-410.53,1.23,126.53,43.4
UPEPAH,85.88,-0.77,12.1,-3.3809,-1.9846,2.05,1.97,-0.03,0,2.36,89.2,78.25,0.1056,-0.1533,-0.3963,2.0971,2.5745,1.4851,28.8969,7.2463,25.1951,8.4266,0.7821,0.1685,0.4285,1.2915,3.218,3.4059,3.6655,2.0342,2.0204,6.4069,9.8925,1.3012,0.0597,0.0057,2.7877,3.5577,-340.24,1.23,127.17,42.9
WIRSOF,81.11,0.67,19.2,-4.6065,-3.5034,2.02,2.01,-0.06,0,2.52,77.2,87.97,0.0328,-0.5902,-0.0236,2.4773,2.7444,1.3805,28.8839,7.2668,25.2076,8.3772,0.6396,0.4712,0.4702,1.1206,3.2111,3.6285,3.6123,2.02,2.0168,6.3298,9.7974,1.5049,0.1161,0.0202,2.7922,3.5511,-429.92,1.22,124.6,34.3
OYOHAN,99.1,-1.95,18.6,-3.1263,-2.0395,1.98,1.94,-0.01,-0.03,2.38,79.37,81.88,0.0423,-0.478,-0.8407,2.175,2.571,1.3325,28.7969,7.2558,25.2747,8.4081,0.7204,0.2933,0.4274,1.1982,3.2119,3.5414,3.5908,2.0174,2.0264,6.2774,9.8604,1.5411,0.4567,0.0567,2.7882,3.5555,-389.96,1.23,126.67,45.2
OCEBEE,88.4,-0.23,10.2,-2.8956,-1.9074,1.96,1.97,-0.01,-0.02,2.37,93.9,77.17,0.1145,-0.752,-0.6943,2.1756,2.5465,1.5511,28.9263,7.2015,25.1839,8.4383,0.7824,0.1171,0.6006,1.3653,3.2158,3.3963,3.6677,2.0342,2.0259,6.3352,9.8413,1.675,0.4029,0.0509,2.7865,3.5601,-304.07,1.24,127.6,45.2
TILZUL,103.71,-1.17,16.6,-2.4086,-2.2368,1.94,1.94,0.08,0.03,2.6,79.22,90.65,-0.1549,-0.8395,-0.8714,2.4819,2.6285,1.1835,28.8008,7.2266,25.4333,8.4319,0.463,0.2858,0.5757,1.3121,3.2152,3.5796,3.6931,2.0175,2.0217,6.2948,9.796,1.7659,0.4264,0.0559,2.7901,3.5626,-290.81,1.24,127.52,41.9
XUKXEG,92.53,0.56,24.8,-3.4538,-2.1848,2.01,1.95,-0.05,-0.01,2.4,77.82,82.32,0.0934,-0.6406,-0.6822,2.153,2.581,1.4012,28.8271,7.2818,25.2474,8.4174,0.7385,0.3154,0.3958,1.1989,3.2106,3.5017,3.6148,2.0177,2.0261,6.2819,9.8605,1.5031,0.3987,0.035,2.7893,3.558,-405.44,1.23,126.31,36.1
HAFKUU,81.36,-0.07,22.9,-3.3946,-2.328,2.21,1.98,-0.02,-0.02,2.47,80.78,85.74,-0.0044,-0.6929,-0.2169,2.0665,2.6305,1.3365,28.8486,7.2571,25.2835,8.4139,0.6917,0.3449,0.2534,1.1951,3.213,3.5575,3.7348,2.022,2.0222,6.3599,9.8737,1.5395,0.0788,0.0141,2.7906,3.5588,-387.51,1.23,126.39,40.7
HEJGOU01,84.45,1.5,20.4,-3.3915,-2.5963,1.96,1.97,-0.03,-0.02,2.49,81.25,86.4,0.01,-0.5584,-0.7808,2.4025,2.6092,1.3905,28.9094,7.2438,25.2552,8.4063,0.6581,0.3199,0.5166,1.2095,3.2186,3.4597,3.6925,2.0229,2.0181,6.2951,9.8279,1.5523,0.4227,0.0529,2.7904,3.556,-398.53,1.23,125.68,40.7
YULVAD,83.08,0.77,24.4,-3.5179,-2.1413,2.03,1.96,-0.06,0.01,2.42,82.89,82.06,0.0783,-0.1333,-0.2016,2.2596,2.6276,1.4028,28.8842,7.2644,25.237,8.4337,0.7116,0.2776,0.4191,1.2136,3.2174,3.5334,3.6182,2.0277,2.0202,6.3773,9.8641,1.3308,0.08,0.0143,2.7857,3.5512,-385.07,1.23,126.21,43.9
MAYCUM,83.58,0.2,12.9,-3.4757,-2.2163,2.06,1.95,-0.04,-0.02,2.42,85.59,82.19,0.0629,-0.1345,-0.3772,2.1647,2.5596,1.4528,28.8617,7.2362,25.2101,8.422,0.7591,0.2365,0.3799,1.2477,3.2193,3.5279,3.6376,2.0295,2.0184,6.385,9.8833,1.2427,0.0614,0.0061,2.7891,3.5573,-373.33,1.23,126.66,31.6
NUJFII,85.47,0.36,20.7,-3.3289,-3.3089,1.91,1.92,-0.02,0,2.56,78.55,87.09,0.0309,-0.7244,-0.6054,2.8906,2.7408,1.3373,28.9121,7.2047,25.2443,8.3643,0.6229,0.5112,0.6529,1.0758,3.2014,3.6099,3.6067,2.0272,2.0173,6.2818,9.6867,1.7663,0.4314,0.0642,2.7913,3.5525,-415.32,1.22,124.65,46.5
JOHXIQ,94.04,3.41,16.1,-3.6415,-3.1265,1.92,1.94,-0.05,-0.04,2.47,77.48,85.12,0.0382,-0.6119,-0.6808,2.371,2.5996,1.3617,28.8201,7.2732,25.2455,8.4074,0.6513,0.3027,0.5049,1.21,3.2176,3.5949,3.7013,2.0258,2.0227,6.2798,9.8224,1.5127,0.3944,0.0283,2.791,3.5569,-420.6,1.23,125.7,37.9
QOQDEG,86.69,0.97,10.4,-3.0723,-2.3672,1.96,1.95,-0.02,-0.04,2.42,83.68,82.75,0.037,-0.0956,-0.909,2.3467,2.5732,1.3913,28.8248,7.2367,25.2396,8.4361,0.746,0.3036,0.4836,1.2024,3.2164,3.5947,3.5367,2.0205,2.0262,6.3272,9.8341,1.2189,0.4171,0.0419,2.7893,3.5571,-388.83,1.23,126.4,39
WUQYOY,81.95,0.11,24.3,-3.5173,-2.411,2.16,1.96,-0.03,0.01,2.47,78.62,82.05,0.0427,-0.5271,-0.2032,2.0726,2.5523,1.4056,28.8931,7.2301,25.2325,8.4318,0.6982,0.2813,0.2943,1.2592,3.2172,3.4963,3.6988,2.0243,2.0264,6.3693,9.8776,1.4793,0.0795,0.0166,2.7836,3.547,-398.2,1.24,126.11,41.9
SEKDOB,83.27,1.08,15.6,-3.52,-2.2518,2.09,1.96,-0.09,-0.02,2.4,86.15,80.09,0.0737,-0.1094,-0.3763,2.1695,2.5497,1.4497,28.8841,7.236,25.1989,8.4216,0.8138,0.2178,0.3864,1.2458,3.2205,3.5486,3.7253,2.0339,2.0237,6.3873,9.8878,1.2099,0.0618,0.0088,2.7885,3.5562,-371.57,1.23,126.54,43.5
FAYTOP,64.95,0.24,17.5,-3.089,-2.7704,2.13,1.92,-0.07,0.07,2.78,75.03,104.26,-0.1509,-0.5713,-0.5453,2.4315,2.8372,1.2529,28.9867,7.2357,25.3907,8.4493,0.3781,0.4872,0.3897,1.2525,3.2092,3.7191,3.7138,2.0237,2.0304,6.3291,9.8349,1.5519,0.3889,0.0818,2.7899,3.5609,-295.99,1.24,125.09,51
EDEFAW,85.57,-0.62,12.5,-3.3779,-1.9675,2.05,1.96,-0.02,0,2.36,90.07,77.63,0.1117,-0.1519,-0.3977,2.0928,2.5713,1.4911,28.8992,7.2393,25.1926,8.4261,0.7847,0.1587,0.4281,1.2978,3.2178,3.3846,3.6752,2.0341,2.0201,6.4093,9.8909,1.3103,0.0597,0.0052,2.7875,3.5579,-338.02,1.23,127.14,43.8
MIXPUE,82.54,-2.84,15.8,-3.3921,-2.4865,2.13,1.99,0.09,-0.01,2.49,77.98,82.89,0.0103,-0.5349,-0.1821,2.0605,2.5361,1.3972,28.927,7.1868,25.2279,8.421,0.6937,0.2385,0.3353,1.3246,3.2123,3.6938,3.7394,2.0217,2.0318,6.3822,9.875,1.4868,0.0785,0.018,2.7802,3.5354,-390.21,1.24,126.63,48.7
HUGBIX,85.22,0,20.6,-3.4674,-2.5478,1.97,1.93,-0.03,-0.03,2.49,77.01,86.95,0.0064,-0.7497,-0.5436,2.4484,2.6438,1.335,28.8787,7.2614,25.2758,8.4034,0.6365,0.3659,0.5724,1.188,3.2135,3.5431,3.644,2.0206,2.0182,6.2823,9.823,1.7397,0.436,0.0491,2.7915,3.5566,-422.75,1.23,125.69,39
HMCFUR,86.19,-0.61,11.3,-3.2688,-2.1694,2.16,1.98,-0.01,-0.02,2.41,83.12,82.9,0.0764,-0.4495,-0.8151,2.0011,2.5291,1.451,28.848,7.2399,25.2164,8.4144,0.6988,0.2471,0.2918,1.2389,3.2167,3.416,3.7155,2.0261,2.0218,6.3331,9.8752,1.4849,0.3837,0.0261,2.7879,3.5553,-377.25,1.23,126.77,49.7
YIZROO,100.4,-0.68,17.5,-3.3537,-1.9165,1.92,1.94,-0.02,-0.03,2.32,89.05,75.27,0.1652,-0.6917,-0.1603,2.2161,2.5218,1.4733,28.8688,7.2345,25.1823,8.4282,0.7901,0.1406,0.6046,1.2878,3.2177,3.4914,3.6775,2.0285,2.0341,6.342,9.8463,1.6932,0.0887,0.0179,2.7861,3.5567,-329.92,1.23,126.98,41.9
KOLTAG,78.74,1.87,23.2,-3.3572,-2.19,2.2,1.98,-0.13,0.01,2.43,82.07,84.57,0.0321,-0.6073,-0.1162,2.1001,2.6007,1.3805,28.8313,7.2672,25.2699,8.4222,0.7042,0.3175,0.2616,1.2102,3.2138,3.5882,3.5634,2.0159,2.027,6.3434,9.8632,1.4866,0.0763,0.0132,2.7881,3.5564,-375.96,1.23,126.85,35
WEVMUG,99.93,-2.57,21.3,-2.8613,-2.5414,1.96,1.94,-0.01,0.01,2.62,75.83,94.72,-0.0912,-0.7082,-0.7385,2.4485,2.7072,1.2775,28.8908,7.2371,25.3515,8.4286,0.5317,0.327,0.4957,1.3029,3.2051,3.5619,3.6971,2.018,2.0166,6.2825,9.8354,1.672,0.4012,0.0938,2.7898,3.5624,-308.24,1.24,126.85,36.9
POLNIN,82.61,-0.9,21.2,-3.3575,-2.2948,2.12,1.98,-0.03,0,2.45,81.7,84.73,0.0152,-0.6403,-0.1943,2.1117,2.6201,1.368,28.8494,7.2427,25.2659,8.4366,0.6924,0.2904,0.331,1.2638,3.2138,3.4276,3.7245,2.0234,2.0212,6.3478,9.877,1.513,0.077,0.0112,2.7896,3.5597,-377.61,1.24,126.52,37.6
NERVIQ,85.46,0.86,12.7,-3.4063,-2.2027,1.99,1.98,-0.05,0,2.43,87.76,81.44,0.0616,-0.1046,-0.7027,2.2309,2.5865,1.4788,28.9229,7.2403,25.2067,8.4085,0.7491,0.2144,0.4418,1.2605,3.2242,3.4575,3.6564,2.0281,2.0209,6.3482,9.8638,1.3406,0.4019,0.0639,2.7879,3.5557,-368.73,1.23,126.77,46.2
NOKXEQ,84.02,3.88,14.8,-3.2571,-2.2899,2.23,1.97,-0.23,0,2.45,80.43,85.86,0.0176,-0.4208,-0.7841,2.0204,2.568,1.3846,28.8206,7.2595,25.2673,8.4109,0.6658,0.3287,0.2546,1.1893,3.2158,3.5622,3.6023,2.0194,2.0217,6.3196,9.8727,1.4557,0.3963,0.0358,2.7893,3.5556,-400.49,1.23,126.49,46.2
EDEFEA,85.33,-0.64,12.9,-3.3481,-1.9343,2.04,1.96,-0.03,0,2.35,91.31,76.6,0.1227,-0.1525,-0.4014,2.0863,2.5714,1.5015,28.9031,7.2328,25.1865,8.4283,0.794,0.142,0.4377,1.3116,3.2171,3.3862,3.6656,2.0348,2.0206,6.4139,9.8883,1.3171,0.0595,0.0055,2.7871,3.558,-331.19,1.24,127.17,44.6
MUQHOW,88.04,-0.96,11.5,-2.8168,-2.0286,1.99,1.93,-0.05,0.05,2.44,83.81,64.63,0.0276,-0.6544,-0.7446,2.6514,2.7236,1.3625,28.9398,7.1475,25.3011,8.4227,0.6173,0,0.502,1.644,3.2187,3.8609,3.589,2.0806,2.0266,6.2499,9.7951,1.5976,0.4171,0.0494,2.7873,3.5151,-261.21,1.28,126.44,45.5
AFAPIH,91.52,-0.18,12.6,-2.4781,-1.8421,1.95,1.92,-0.07,-0.03,2.4,86.1,63.68,0.0478,-0.845,-0.8583,2.8017,2.7041,1.38,28.9834,7.1482,25.297,8.4305,0.6427,0,0.6061,1.6303,3.2155,3.8907,3.5392,2.0841,2.0328,6.2556,9.7814,1.5862,0.4509,0.0655,2.7865,3.5207,-282.35,1.28,126.46,45.7
ULEPUY,81.57,3.41,19.7,-2.9706,-2.3271,2.19,1.95,-0.14,-0.01,2.49,81.09,87.08,-0.0285,-0.4915,-0.8386,2.0542,2.6513,1.3421,28.8196,7.254,25.3013,8.4415,0.6571,0.3549,0.2459,1.2112,3.2171,3.6116,3.5966,2.0156,2.0255,6.3231,9.8558,1.4673,0.4347,0.0422,2.7892,3.5578,-385.4,1.23,126.47,41.6
GUZMUK,92.04,-2.6,17.3,-4.5091,-3.4681,2.11,1.89,-0.13,0.08,2.55,72.34,91.2,0.0545,-0.5862,-0.5255,2.3979,2.751,1.3624,28.839,7.2612,25.2244,8.3958,0.6227,0.485,0.309,1.1515,3.2031,3.5133,3.6347,2.0108,2.0178,6.286,9.8036,1.5361,0.4109,0.0417,2.7921,3.5557,-436.64,1.22,124.23,32.7
CUMJID,78.95,-0.84,13.4,-3.3907,-2.1229,2.24,1.97,0,0.01,2.42,78.9,84.31,0.0187,-0.6391,-0.2059,2.0533,2.6298,1.3213,28.8474,7.2712,25.2823,8.424,0.7075,0.3698,0.2308,1.1847,3.2063,3.5442,3.6095,2.0149,2.025,6.3662,9.8611,1.558,0.0784,0.0161,2.7892,3.5582,-376.53,1.23,126.42,40.3
BAPRAL,87.65,-1.18,15.4,-2.7282,-2.0279,1.97,1.9,-0.04,0.06,2.46,83.36,65.08,-0.0038,-0.6553,-0.7662,2.6953,2.7282,1.3249,28.9176,7.1453,25.3274,8.4189,0.5754,0,0.5076,1.6575,3.2222,3.6826,3.6806,2.0488,2.0174,6.2516,9.7753,1.6185,0.4457,0.0417,2.7883,3.5136,-247.31,1.28,126.49,45.5
WEGPIJ,85.01,-2.16,16,-4.3969,-3.5769,1.91,1.96,0,0.07,2.54,74.24,90.45,0.0541,-0.6018,-0.1269,2.6949,2.8087,1.4194,28.8746,7.2383,25.1802,8.3966,0.6059,0.5037,0.6339,1.1398,3.2007,3.5705,3.6111,2.0194,2.0167,6.3098,9.755,1.543,0.087,0.0155,2.7916,3.5545,-436.34,1.22,124.24,20.3
YAPFEB,91.4,5.38,20.9,-3.878,-3.3656,1.97,1.98,-0.03,-0.05,2.47,81.35,83.94,0.0413,-0.1367,-0.0439,2.4917,2.6564,1.3819,28.896,7.2442,25.228,8.3892,0.7215,0.3145,0.5099,1.2087,3.2208,3.5617,3.5897,2.019,2.0205,6.374,9.8357,1.2897,0.127,0.0245,2.7921,3.5581,-418.38,1.23,125.24,36.9
NEJDIS,99.68,-2.53,15.4,-2.901,-2.008,1.94,1.94,-0.02,0.03,2.41,82.79,80.84,0.0551,-0.1532,-0.7613,2.2616,2.5736,1.3847,28.9469,7.2296,25.2538,8.4387,0.7042,0.1827,0.5905,1.3027,3.2129,3.4799,3.6929,2.032,2.0197,6.3569,9.8601,1.4042,0.4391,0.0522,2.787,3.5599,-320.45,1.24,127.25,42.4
YELKUV,92.61,-2.64,16,-4.4279,-3.1616,2.11,1.9,-0.1,0.03,2.51,74.07,89.8,0.0697,-0.5195,-0.5446,2.4124,2.7237,1.4065,28.8695,7.2443,25.2039,8.3911,0.6153,0.4328,0.3575,1.1785,3.2077,3.5278,3.594,2.0116,2.0222,6.2863,9.8123,1.4886,0.4114,0.046,2.7915,3.5552,-435.49,1.22,124.59,31.7
ZULWAG,84.64,-0.36,22.3,-3.1691,-2.2166,1.99,1.95,-0.03,0.01,2.44,80.62,84.67,0.0066,-0.5617,-0.8538,2.2794,2.6085,1.3324,28.841,7.2508,25.288,8.414,0.6878,0.3333,0.4742,1.2066,3.2144,3.5993,3.5995,2.0189,2.028,6.289,9.834,1.439,0.4472,0.0667,2.7899,3.5582,-389.72,1.23,126.28,41
QIMFAT,88.71,13.76,13.9,-3.8802,-2.7731,2.23,2.01,-0.3,-0.05,2.47,76.02,86.43,0.0261,-0.6001,-0.4828,2.193,2.669,1.3057,28.8707,7.2923,25.2673,8.409,0.6709,0.4064,0.252,1.1717,3.2108,3.6443,3.5161,2.0137,2.0301,6.3469,9.8748,1.4993,0.0632,0.018,2.7917,3.557,-432.64,1.23,125.26,52.2
GIDZIC10,108,-4.72,17.1,-3.312,-2.1509,2.12,1.95,-0.05,-0.02,2.42,80.05,82.84,0.0432,-0.6258,-0.8322,2.0597,2.5729,1.352,28.7787,7.2664,25.2645,8.4115,0.707,0.2753,0.2861,1.2119,3.2146,3.5084,3.682,2.024,2.0187,6.3012,9.8694,1.5513,0.4704,0.0581,2.7895,3.5566,-398.1,1.23,126.48,41.1
LIPYUF,88.25,-0.4,10.1,-2.9392,-2.0288,1.99,1.91,-0.03,0,2.4,84.87,63.48,0.0746,-0.7025,-0.6666,2.6619,2.7179,1.4025,28.9861,7.1505,25.2602,8.4306,0.6692,0,0.5494,1.6243,3.2122,3.7714,3.69,2.0527,2.0349,6.2504,9.8068,1.6431,0.4055,0.0443,2.7847,3.5147,-282.83,1.28,126.74,44.7
SIZWON,82.69,1.13,14.6,-3.5524,-2.2913,2.09,1.96,-0.07,-0.01,2.44,83.75,83.75,0.0378,-0.1326,-0.38,2.1781,2.5886,1.4321,28.8681,7.2517,25.2274,8.4221,0.7521,0.283,0.349,1.2252,3.2177,3.5516,3.5968,2.0205,2.023,6.385,9.8821,1.2194,0.0603,0.0043,2.7899,3.5578,-378.49,1.23,126.57,37.3
POVLUJ,97.36,1.95,13.3,-3.9933,-2.6209,2,1.99,-0.04,-0.08,2.55,78.84,89.5,-0.0053,-0.6366,0.1666,2.4533,2.7021,1.3626,28.8703,7.2686,25.2491,8.4003,0.6222,0.3845,0.4599,1.2093,3.2179,3.5569,3.6485,2.0191,2.0162,6.3218,9.8385,1.7079,0.1301,0.0167,2.7924,3.5572,-406.66,1.23,125.03,30.2
CECBUJ,93.62,-3.88,13.5,-4.3278,-2.9631,2.21,1.87,-0.16,0.08,2.55,73.48,91.57,0.0146,-0.5333,-0.538,2.2784,2.7572,1.3271,28.8072,7.2585,25.2509,8.3933,0.6235,0.4907,0.2411,1.1537,3.2029,3.5513,3.6232,2.0103,2.0183,6.297,9.8151,1.4894,0.3999,0.0439,2.7925,3.5559,-432.11,1.22,124.25,23.4
CIXTOV,95.89,0.71,16.5,-3.2636,-2.146,2.04,1.94,-0.04,0,2.42,80.4,82.55,0.0349,-0.1548,-0.7564,2.2263,2.5914,1.3648,28.8703,7.2642,25.2604,8.4172,0.687,0.2715,0.4377,1.2266,3.2138,3.4973,3.6302,2.0198,2.0219,6.3179,9.8809,1.2708,0.4043,0.094,2.7888,3.5583,-379.46,1.23,126.44,35.9
ZULWEK,85.74,1.49,19.1,-3.0736,-2.2397,1.94,1.97,-0.04,-0.03,2.44,79.51,84.56,0.0064,-0.5531,-0.8676,2.2929,2.6113,1.3366,28.8518,7.2649,25.2811,8.4141,0.6721,0.3228,0.5188,1.2145,3.2143,3.4577,3.6909,2.0216,2.0204,6.2901,9.8384,1.4975,0.4486,0.0652,2.7901,3.5575,-400.05,1.23,126.25,40
ZOKTOI,85.82,-2.44,14.5,-4.4629,-3.7705,1.93,1.98,0,0.08,2.54,73.97,90.11,0.0577,-0.6074,-0.0835,2.6828,2.7961,1.4221,28.8817,7.2399,25.1757,8.3933,0.6066,0.4988,0.6196,1.1345,3.2012,3.5728,3.597,2.0182,2.0169,6.3105,9.7578,1.5411,0.092,0.0167,2.7917,3.5546,-439.6,1.22,124.34,32.6
JEJRIA,80.19,-1.01,14.5,-4.2034,-2.9661,2.24,1.94,0.02,0.03,2.53,73.32,89.93,-0.0021,-0.4759,-0.0947,2.2019,2.7466,1.3153,28.8079,7.2695,25.2619,8.3818,0.6474,0.4958,0.2358,1.1447,3.2021,3.5727,3.632,2.0132,2.0213,6.3463,9.8494,1.4542,0.0961,0.0143,2.7913,3.5531,-436.35,1.22,125.02,30
FAFMOQ,84.39,0.38,17.4,-3.659,-2.4146,2.05,1.96,-0.03,-0.01,2.38,87.35,79.72,0.1097,-0.1327,-0.3662,2.18,2.5656,1.4754,28.8917,7.2511,25.1899,8.4107,0.7859,0.2039,0.3897,1.2525,3.219,3.4377,3.6419,2.0293,2.02,6.3894,9.8848,1.3609,0.0601,0.0064,2.7887,3.5574,-361.59,1.23,126.83,41.3
