Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu_L1,Cu_L2,D_Cu_L1,D_Cu_L2,Cu_I,Cu_I_C,I_C_Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFreq,Ea
JIRGAV,90.36,8.42,199.3,1.64,10.51,8.47,31.5,23.5,17.8,800.64,-3.5291,-2.5138,1.98,2.05,-0.07,-0.17,2.63,53,73.66,0.398,-0.2135,0.2239,-0.6964,-0.6503,2.7964,3.9367,1.3245,1.9745,1.9958,29.0308,6.0096,25.1392,8.4838,8.4314,0.5443,0.5471,0.3927,2.9222,1.045,1.0341,1.1192,3.3821,3.7637,3.7474,10.1678,2.0517,2.0396,2.0233,2.0395,2.0136,6.2694,12.5578,4.2332,4.1878,4.1368,9.7748,1.9955,1.9857,1.9798,1.9129,1.901,1.6087,1.4614,1.6967,0.4106,0.0332,0.0488,1.5445,1.4934,1.6533,0.4368,0.0613,0.0622,-143.43,18.5
VIFBUK,74.43,7.29,171.73,3.42,7.67,9.16,29.7,26.5,18.9,702.31,-4.5707,-3.0617,2.45,2.05,-0.42,-0.05,2.52,46.18,68.55,0.3602,-0.1374,0.1223,0.211,-0.5103,3.0565,3.7646,1.3137,2.9909,2.0514,29.1858,5.7064,25.1313,6.842,8.3918,0.7675,0.1382,0.3928,2.9157,1.0661,1.0271,1.0366,3.6326,3.8,3.547,10.1247,2.023,2.0305,2.0341,2.0214,2.0157,6.2963,12.6044,4.2039,4.2018,4.1987,9.7392,1.9496,1.9959,1.9934,1.9654,1.8349,1.076,1.318,1.0861,0.1319,0.0211,0.0155,1.4692,1.4966,1.632,0.4217,0.058,0.0538,-138.44,20.3
DIXTEJ,77,6.89,166.91,1.77,6.61,7.05,29.1,24.8,17.2,597.01,-4.4945,-2.9226,2.31,2.02,-0.3,-0.02,2.51,45.52,67.91,0.4001,-0.1316,0.0831,-0.5608,-0.5486,3.0665,3.8801,1.2974,1.9841,2.0811,29.1682,5.8276,25.1423,8.3952,8.3388,0.8016,0.1836,0.3928,2.9128,0.9849,1.0373,1.1042,3.3244,3.8446,3.8535,10.1181,2.0362,2.03,2.0101,2.0352,2.0066,6.2859,12.5936,4.2358,4.2144,4.1433,9.7203,2.0005,2.0062,1.9447,1.8627,1.9063,1.4473,1.4653,1.7235,0.4043,0.0534,0.0561,1.4628,1.4412,1.7145,0.4438,0.0552,0.0548,-141.52,17.7
MIRHED,84.77,7.18,195.52,4.15,9.63,11.41,30.1,27.7,23.8,860.34,-4.3031,-2.6086,2.17,2.01,-0.25,-0.07,2.55,47.69,71.07,0.3977,-0.1604,0.1714,-0.6167,-0.5504,2.9573,3.9038,1.3296,1.9485,2.0569,29.1129,5.8529,25.1324,8.4465,8.3222,0.7053,0.3117,0.3928,2.9154,1.0535,1.0296,1.0687,3.5586,3.7831,3.5944,10.1383,2.0317,2.038,2.0309,2.0213,2.0164,6.2886,12.5879,4.222,4.2084,4.1575,9.7258,1.9925,1.9814,1.9914,1.9027,1.8578,1.4723,1.4872,1.7114,0.4269,0.0534,0.0574,1.4553,1.4218,1.7363,0.4418,0.0592,0.0587,-139.84,13.3
GOKSAC,76.78,9.92,166.56,1.7,8.22,9.32,28.9,21.9,15.8,716.53,-4.3402,-2.9021,2.27,2.05,-0.29,-0.07,2.55,47.03,70.28,0.4066,-0.1398,0.1657,-0.5665,-0.5824,3.1204,3.7945,1.3417,1.9704,2.0143,29.2192,5.8009,25.1334,8.4188,8.4004,0.7224,0.2131,0.3929,2.9142,1.0067,1.0136,1.1128,3.4334,3.6447,3.8607,10.1349,2.0435,2.0239,2.0165,2.0369,2.0141,6.2746,12.5838,4.2466,4.1938,4.1434,9.735,1.8365,1.9541,1.9728,2.0067,1.9648,1.4973,1.4611,1.6823,0.394,0.0556,0.0635,1.4865,1.4302,1.7263,0.438,0.0432,0.0737,-137.57,14.1
NETZEU,85.77,-2.53,182.73,4.24,8.17,8.33,32,25.7,18.8,721.77,-3.6847,-3.0252,2,2.06,-0.1,0.06,2.6,53.79,72.53,0.366,-0.2111,0.2666,-0.6502,-0.4634,2.7467,3.7607,1.3685,1.7987,2.0708,29.0655,5.9283,25.0956,8.4924,8.3857,0.5617,0.5262,0.393,2.9195,1.0286,1.0377,1.1318,3.3185,3.7039,3.8297,10.1693,2.0612,2.0338,2.017,2.0463,2.011,6.2729,12.5694,4.2366,4.1763,4.1565,9.7917,1.9874,1.9712,1.9658,1.9319,1.9354,1.673,1.3835,1.6609,0.3925,0.0359,0.0594,1.4514,1.489,1.6229,0.4113,0.0537,0.0603,-154.52,23.3
ZENTOB,71.81,8.96,162.9,1.7,8.15,8.36,28.6,22.2,15.9,711.01,-4.4456,-3.3906,2.23,2.04,-0.28,-0.06,2.55,46.96,69.86,0.4131,-0.1349,0.1566,-0.57,-0.5655,3.1915,3.7305,1.3393,1.9688,1.9905,29.2505,5.7508,25.1238,8.411,8.3803,0.7226,0.2453,0.3935,2.9152,1.0075,1.0063,1.1142,3.4329,3.6761,3.8377,10.1299,2.0424,2.0241,2.0168,2.0343,2.0123,6.2715,12.5909,4.2439,4.1975,4.1495,9.7245,1.8613,1.9696,1.9788,1.9846,1.9302,1.506,1.4663,1.6498,0.4251,0.0744,0.0786,1.5016,1.4337,1.6859,0.4487,0.0521,0.0763,-149.5,22
MILTOS,67.37,0.83,212.71,2.06,11.27,5.81,38.3,31.3,20.6,753.49,-3.1861,-1.9518,1.94,2.04,0,-0.08,2.62,53.8,73.88,0.2079,-0.2296,0.2726,-0.1987,-0.1995,2.8745,3.8772,1.3496,2.9668,2.8082,29.1025,6.0022,25.1191,7.0714,7.0846,0.4733,0.5064,0.3937,2.9201,1.1255,1.0456,1.0439,3.7898,3.8061,3.2358,10.1992,2.0213,2.034,2.0442,2.0436,2.0562,6.3232,12.6507,4.2474,4.1912,4.2122,9.8181,1.9781,1.9871,1.9322,1.9901,1.9306,1.424,1.3661,1.1898,0.0823,0.0129,0.01,1.3738,1.3784,1.1892,0.0809,0.0159,0.0131,-113.66,26
XUHZUX,82.4,2.84,200.49,2.31,8.27,6.69,35.2,24.1,13.2,571.98,-3.4387,-1.6564,2.11,2.06,-0.11,-0.08,2.63,55.52,72.08,0.2858,-0.2197,0.2365,-0.2353,-0.6132,2.6224,3.8437,1.3479,2.9828,1.8774,28.9492,5.9787,25.1373,7.276,8.4288,0.5226,0.4025,0.3938,2.9261,1.0742,1.0383,1.089,3.6538,3.6357,3.5868,10.1776,2.0365,2.0389,2.0468,2.0332,2.0224,6.3086,12.5931,4.2294,4.192,4.1718,9.8124,1.9508,1.9918,1.9847,1.9535,1.9316,1.3693,1.3344,1.2821,0.0811,0.0155,0.0098,1.5927,1.5393,1.59,0.3712,0.0554,0.0477,-134.2,27
CDECEA,61.56,1.66,153.63,3.6,7.05,7.85,27.8,24.4,18.3,638.79,-3.3823,-1.5652,2.09,2.16,-0.03,-0.08,2.61,56.76,71.14,0.3708,-0.2111,0.2561,-0.6041,-0.6228,2.4758,3.8453,1.3622,1.9126,1.8924,29.0491,6.0314,25.1332,8.5293,8.5146,0.5417,0.4882,0.394,2.9241,1.0309,1.0561,1.1078,3.397,3.7181,3.7464,10.1795,2.0533,2.043,2.0232,2.0468,2.0132,6.3096,12.5151,4.2289,4.1743,4.1119,9.8045,1.9775,1.9746,1.9622,1.9364,1.9538,1.5464,1.6566,1.4946,0.3815,0.0642,0.0492,1.5514,1.5175,1.6252,0.399,0.0605,0.0604,-129.25,15.5
TMTCHD,78.54,5.05,164.52,2.59,5.34,9.08,25.9,17.4,13,610.67,-4.2852,-3.1109,2.43,2.07,-0.39,-0.01,2.53,47.44,70.17,0.3891,-0.1515,0.1658,-0.494,-0.483,2.976,3.8838,1.3351,2.0685,2.1008,29.1538,5.8875,25.1365,8.3858,8.3819,0.7451,0.1433,0.3941,2.9137,1.0003,1.024,1.1204,3.3596,3.725,3.8552,10.1396,2.0509,2.0287,2.0146,2.0358,2.0096,6.2853,12.5743,4.2474,4.1876,4.1392,9.7513,1.9132,1.984,1.9841,1.9435,1.9265,1.4147,1.5008,1.6956,0.3398,0.0301,0.0413,1.4182,1.5535,1.6238,0.3722,0.043,0.0461,-124.05,2.1
GUTYEB01,79.75,2.32,210.24,2.96,7.77,9.25,39.2,29.9,19,681.39,-4.0176,-3.0801,2.06,2.09,-0.08,-0.14,2.58,47.75,72.21,0.2019,-0.1754,0.1041,-0.0463,-0.0876,3.0381,3.7723,1.3053,3.1667,3.0236,29.1059,5.8572,25.1622,7.0036,6.9501,0.609,0.4521,0.3942,2.9203,0.9954,1.052,1.1142,3.2988,3.7952,3.8866,10.1571,2.063,2.0279,2.0084,2.0445,2.0133,6.3492,12.7011,4.2398,4.2475,4.2137,9.7478,1.9563,1.9942,1.9071,1.9225,1.9677,1.2686,1.2323,1.2474,0.1248,0.0245,0.0118,1.2693,1.3721,1.1595,0.117,0.0186,0.0121,-153.53,25.4
FEKCEF,81.66,5.26,171.64,4.48,7.96,12.42,32.8,30,22,886.73,-4.3958,-2.8371,2.26,2.06,-0.26,-0.04,2.55,48.31,71.76,0.3874,-0.1789,0.2289,-0.4752,-0.4775,2.7853,3.8423,1.3684,1.9216,1.9495,29.0947,5.8818,25.0923,8.3669,8.3819,0.6974,0.2108,0.3943,2.9155,1.0041,1.0458,1.1194,3.2589,3.7912,3.836,10.1417,2.0443,2.0322,2.0116,2.0447,2.0089,6.3007,12.5577,4.2593,4.192,4.1064,9.7542,2.0119,1.9811,1.9613,1.871,1.929,1.526,1.4512,1.6219,0.3737,0.0459,0.0563,1.4764,1.4334,1.6717,0.4197,0.0402,0.0685,-105.14,11.3
DIQCAJ,80.21,8.96,178.44,2.09,5.54,5.73,34.8,25.1,11.7,517.52,-3.5443,-2.6434,2.21,2.05,-0.24,-0.08,2.66,53.31,74.93,0.2641,-0.2315,0.2477,-0.1094,-0.1117,2.5672,3.9949,1.3583,2.9078,2.9912,28.9727,6.0775,25.0762,6.9802,6.9868,0.4642,0.2551,0.3943,2.9187,1.0615,1.0387,1.119,3.3548,3.8043,3.7138,10.1718,2.0449,2.0449,2.0219,2.0404,2.0196,6.2946,12.5628,4.2017,4.1859,4.1752,9.8784,1.9959,2.0348,1.9709,1.9443,1.9325,1.2218,1.1971,1.3356,0.1168,0.0179,0.0151,1.2536,1.355,1.1714,0.119,0.0192,0.0132,-65.75,28.3
SUYWOA,76.05,1.61,229.04,3.52,6.81,8.28,39,29.2,18.7,636.67,-4.4412,-2.7683,2.43,2.07,-0.4,0.12,2.55,46.66,70.51,0.3239,-0.1643,0.1344,-0.5298,0.0547,3.0222,3.9083,1.3182,2.028,3.2825,29.1715,5.9718,25.1271,8.3743,6.8166,0.7347,0.1555,0.3944,2.9146,0.9884,1.0399,1.1282,3.2529,3.8128,3.9,10.1369,2.0567,2.0256,2.0084,2.0394,2.0069,6.3224,12.6259,4.2768,4.22,4.1291,9.7278,1.9877,1.9768,1.9578,1.86,1.9455,1.3863,1.511,1.7297,0.3636,0.0339,0.0463,1.1606,1.4431,1.0948,0.1256,0.033,0.0115,-128.02,4.8
LUCFOE,82.25,15.95,179.75,1.31,9.87,7.98,32.8,24.4,16.9,703.81,-3.4818,-2.0152,2,2.08,-0.1,-0.21,2.6,55.04,72.07,0.386,-0.2165,0.2559,-0.683,-0.6096,2.7342,3.9206,1.3722,1.9728,2.0154,29.0427,6.0288,25.1136,8.4896,8.3862,0.5697,0.5134,0.3945,2.9214,1.0773,1.0331,1.0917,3.5022,3.7776,3.5889,10.1723,2.0346,2.0511,2.0281,2.0312,2.0272,6.273,12.5433,4.2322,4.1772,4.1338,9.7977,1.9792,1.9901,1.9418,1.945,1.9415,1.5607,1.4471,1.7246,0.434,0.0453,0.0602,1.4751,1.4701,1.7206,0.4182,0.0471,0.0597,-133.78,17.6
SIYCOV,79.83,14.76,180.15,1.63,8.97,7.92,32.6,23.7,15.2,656.13,-3.3989,-1.5989,1.97,2.08,-0.07,-0.2,2.6,56.21,71.44,0.3854,-0.2187,0.2529,-0.6922,-0.6315,2.7066,3.9143,1.3674,1.9474,1.9762,29.032,6.0346,25.1216,8.471,8.3863,0.5587,0.5427,0.3947,2.9229,1.0636,1.0317,1.1079,3.4179,3.7741,3.6785,10.1758,2.0407,2.0482,2.0251,2.0406,2.0211,6.2742,12.5407,4.2374,4.177,4.1262,9.7997,1.9777,1.9847,1.9555,1.9429,1.9389,1.5678,1.4478,1.7264,0.4389,0.0502,0.0641,1.4782,1.4941,1.7153,0.4224,0.0584,0.0584,-143.31,19.8
EKELIP,75.21,6.87,175.98,2.55,6.76,12.1,28.7,24.4,16.9,696.8,-4.2756,-2.5021,2.42,2.03,-0.38,0,2.52,47.06,70.76,0.3591,-0.1656,0.1284,-0.1931,-0.4981,2.9216,3.7608,1.3328,2.993,2.0716,29.0692,5.832,25.1433,7.0713,8.4228,0.7205,0.1228,0.3948,2.9122,0.9851,1.0421,1.1315,3.2627,3.8222,3.8832,10.1492,2.0446,2.0299,2.0145,2.0518,2.0084,6.2837,12.5892,4.2214,4.213,4.1549,9.768,1.9892,2.034,1.9602,1.8853,1.8993,1.2737,1.345,1.297,0.0883,0.0148,0.0112,1.4789,1.4979,1.6283,0.4057,0.0515,0.0516,-96.12,35.5
ISOTEP,63.48,0.27,159.59,2.82,5.84,8.18,28,21.7,12.8,570.45,-4.2703,-2.4516,2,2.13,0.07,-0.07,2.53,47.43,72.06,0.3443,-0.1853,0.1727,-0.6836,-0.5478,2.8876,3.7538,1.3612,1.8209,1.9469,29.1336,5.8515,25.106,8.6126,8.4277,0.687,0.5054,0.3948,2.9132,1.0758,1.0559,1.0445,3.7033,3.7805,3.4453,10.1522,2.0224,2.0354,2.0444,2.0278,2.0221,6.287,12.6098,4.23,4.2066,4.1731,9.7589,1.9747,1.9852,1.9849,1.9739,1.8402,1.5871,1.6827,1.4602,0.44,0.0883,0.0595,1.5264,1.4935,1.6332,0.3693,0.0642,0.0511,-73.52,11.7
VIPSAP,82.15,1.7,183.78,1.7,7.36,9.27,31.3,23.3,16.1,641.4,-4.6479,-2.9139,2.18,2.04,-0.09,-0.08,2.53,47.12,69.71,0.2829,-0.1623,0.1256,-0.6067,-0.0498,2.9425,3.9267,1.3386,2.0143,3.3295,29.1328,5.9301,25.0961,8.4397,6.9344,0.7118,0.3357,0.3949,2.918,0.9803,1.0622,1.1096,3.2501,3.849,3.8737,10.1338,2.043,2.0313,2.0084,2.0438,2.0073,6.3215,12.6542,4.2783,4.216,4.1598,9.7414,1.9987,1.9931,1.9343,1.8617,1.9536,1.5046,1.4793,1.684,0.418,0.0396,0.0684,1.1853,1.3782,1.2395,0.0934,0.0179,0.0084,-138.88,8.9
INIDAM,80.02,11.1,172.59,1.56,7.75,7.21,30.3,23,15.1,623.56,-4.5887,-3.0659,2.21,2.01,-0.27,-0.04,2.51,45.68,67.1,0.4052,-0.1189,0.0739,-0.557,-0.5491,3.151,3.821,1.2858,1.9597,2.126,29.202,5.7733,25.1483,8.3784,8.2904,0.809,0.2231,0.395,2.9144,1.0082,1.0364,1.0691,3.449,3.8224,3.7598,10.1133,2.0262,2.0356,2.013,2.0255,2.013,6.2824,12.6034,4.2194,4.2244,4.1596,9.7089,1.9791,2.011,1.9019,1.8864,1.9305,1.4513,1.4952,1.6816,0.4086,0.0512,0.0596,1.4607,1.4482,1.6936,0.4611,0.0519,0.0568,-148.94,17.9
KALKEO,88.15,-0.6,197.17,2.11,6.4,9.67,34.9,25.1,13.4,631.57,-3.1085,-2.7834,1.91,2.11,-0.01,-0.13,2.62,51.42,74.54,0.327,-0.2275,0.1641,-0.8661,-0.1952,2.9856,3.9769,1.2928,1.8594,2.8181,29.0505,6.0309,25.179,8.4561,7.1623,0.5093,0.6721,0.3951,2.9185,1.0268,1.0454,1.1412,3.312,3.7572,3.8647,10.1863,2.0733,2.034,2.0182,2.049,2.0117,6.2962,12.6189,4.2421,4.2014,4.1753,9.758,1.993,1.9902,1.9419,1.9037,1.9291,1.7777,1.4494,1.6283,0.454,0.0629,0.0636,1.3952,1.3122,1.227,0.0791,0.0173,0.0108,-139.22,25.5
VEQFAA,81.37,3.68,173.78,2.16,11.16,11.2,27.2,20.5,18,899.24,-4.1675,-3.0136,2.32,2.05,-0.35,0.06,2.53,47.31,71.65,0.394,-0.1725,0.1649,-0.6204,-0.5438,2.9382,3.9352,1.3534,1.9726,2.1023,29.1414,5.8784,25.12,8.5318,8.4096,0.739,0.1952,0.3952,2.9104,1.0137,1.0498,1.1027,3.3397,3.8144,3.7905,10.146,2.0402,2.0405,2.0146,2.0385,2.0122,6.2742,12.5662,4.2152,4.2013,4.1497,9.7656,2.0057,2.0091,1.9367,1.8918,1.9223,1.4894,1.4974,1.6926,0.3934,0.0366,0.0534,1.4978,1.5166,1.6195,0.3977,0.0477,0.0488,-86.19,6.3
MEFHEM,78.38,2.88,178.72,1.7,7.75,12.65,27.7,22.1,15.7,717.92,-4.5094,-3.4072,2.24,2,-0.32,0.09,2.54,47.09,70.29,0.3804,-0.1674,0.1573,-0.4879,-0.4534,2.8395,3.7724,1.342,2.0444,2.1437,29.0469,5.817,25.0983,8.3506,8.3357,0.725,0.2185,0.3953,2.9158,1.0074,1.0477,1.1033,3.3318,3.8205,3.7968,10.1296,2.0372,2.0343,2.013,2.0356,2.0094,6.2997,12.5926,4.2598,4.2115,4.1213,9.7273,2.0031,1.9833,1.9588,1.8612,1.921,1.3494,1.504,1.7074,0.3999,0.042,0.0523,1.4229,1.4813,1.6374,0.4312,0.0473,0.0815,-142.14,1
GIFTEW,77.87,1.85,232.31,2.88,11.55,7.81,39.7,29,17.4,737.66,-4.9961,-3.7892,2.15,2.11,-0.09,-0.15,2.52,44.79,66.51,0.3128,-0.1268,0.1097,0.2409,-0.6168,3.0429,3.9225,1.3193,3.1435,1.8385,29.1643,5.9217,25.0908,6.8828,8.4851,0.7995,0.2848,0.3953,2.9129,1.0053,1.0229,1.0943,3.3688,3.8438,3.7783,10.1111,2.035,2.0294,2.0142,2.0255,2.007,6.3174,12.642,4.2616,4.2229,4.1575,9.7279,1.9749,1.9645,1.9874,1.8986,1.9027,1.1635,1.3467,0.9847,0.1307,0.0323,0.0137,1.571,1.4814,1.6535,0.4077,0.0539,0.082,-126.85,18.1
IJUTEO,84.2,2.58,188.49,1.89,6.23,6.54,33.7,23.1,11.9,529.02,-3.4108,-1.653,2,2.02,-0.04,-0.08,2.55,56.3,70.03,0.2567,-0.2035,0.2317,-0.6024,-0.1147,2.7439,3.8361,1.3993,1.9862,3.1209,29.0375,5.8983,25.1195,8.3831,7.0059,0.571,0.4851,0.3953,2.9193,1.0381,1.0335,1.1198,3.359,3.7722,3.7476,10.1885,2.0503,2.0466,2.0244,2.0481,2.0191,6.2936,12.6301,4.2424,4.1895,4.1983,9.8196,1.9991,1.9892,1.9458,1.9372,1.9483,1.5591,1.4387,1.7004,0.3924,0.0379,0.0584,1.2711,1.3628,1.2233,0.0952,0.0192,0.0118,-157.88,29.8
EPYROB,74.94,6.74,172.53,1.79,8.17,8.53,26.9,22,15.8,640.38,-4.5842,-2.8818,2.53,2.01,-0.46,0.07,2.49,45.64,67.91,0.361,-0.1434,0.0892,-0.1079,-0.5427,2.9923,3.8694,1.3182,2.7094,2.0671,29.1268,5.8109,25.1352,7.1489,8.3905,0.7996,0.1216,0.3954,2.9133,1.0025,1.0435,1.091,3.384,3.8333,3.7972,10.1248,2.033,2.0353,2.0143,2.032,2.0103,6.2947,12.6041,4.2224,4.2221,4.1596,9.7402,1.9928,2.0265,1.9362,1.8877,1.897,1.2462,1.2541,1.254,0.1123,0.0168,0.0135,1.5123,1.4969,1.6026,0.4362,0.062,0.0558,-128.2,14.5
BIXZOX10,80.81,4.5,194.32,2.03,9.03,9.8,32.4,26.8,20.9,748.99,-4.4979,-3.2345,2.45,2.04,-0.26,-0.09,2.51,46.61,69.12,0.3146,-0.1508,0.1055,-0.5903,-0.0119,3.0352,3.8762,1.3272,2.0099,3.2787,29.1821,5.8303,25.1286,8.4476,6.9199,0.7517,0.1419,0.3955,2.9143,1.0088,1.0436,1.0914,3.3835,3.8359,3.7734,10.1363,2.0383,2.0388,2.015,2.0319,2.0123,6.3155,12.6232,4.2343,4.2285,4.1603,9.7467,2.0002,2.0081,1.9359,1.887,1.9156,1.4995,1.4707,1.7121,0.3615,0.0404,0.0483,1.155,1.4255,1.1908,0.0945,0.0185,0.0089,-130.5,8.9
CABARB10,66.21,0.08,170.74,1.68,6.3,7.37,30.2,22.3,14,571.18,-3.1051,-1.5066,1.98,2.07,-0.01,-0.02,2.55,61.95,66.48,0.2387,-0.2075,0.2416,-0.1345,-0.6838,2.5806,3.8222,1.4219,2.8081,1.9154,29.0336,5.9683,25.1377,7.134,8.4399,0.5721,0.4662,0.3955,2.9273,1.048,1.0208,1.121,3.3978,3.7152,3.7522,10.1978,2.0545,2.0447,2.0284,2.0497,2.0205,6.3268,12.5986,4.2541,4.1939,4.1506,9.8359,1.975,1.9883,1.9707,1.9466,1.9553,1.3616,1.3705,1.1744,0.0844,0.0101,0.0108,1.5677,1.506,1.6852,0.3769,0.0511,0.0531,-104.75,27.1
MSEHPD,77.66,5.05,164.6,3.11,4.72,8.72,26.4,19.5,13.7,597.67,-4.2688,-3.0539,2.39,2.07,-0.35,-0.03,2.52,47.19,69.85,0.3873,-0.1488,0.1597,-0.5252,-0.5115,3.0168,3.8924,1.3526,2.0216,2.0876,29.1636,5.8877,25.1288,8.3605,8.3457,0.755,0.1595,0.3957,2.9133,0.9969,1.0286,1.1168,3.349,3.7405,3.8548,10.1393,2.0497,2.0297,2.0143,2.036,2.0096,6.2856,12.5795,4.2492,4.1884,4.1419,9.7476,1.9243,1.9813,1.9786,1.9365,1.927,1.4457,1.494,1.6719,0.3735,0.0384,0.0468,1.4349,1.541,1.6292,0.3914,0.0414,0.0578,-126.1,1.8
TEJPIH,58.64,-9.86,144.77,1.7,5.13,10.15,22.9,14.8,9.3,584.01,-4.1161,-2.482,2.35,2.12,-0.46,0.83,2.54,46.68,71.76,0.3968,-0.1634,0.1585,-0.532,-0.6806,2.9961,3.8093,1.3109,1.9646,1.8711,29.1902,5.8201,25.1495,8.4753,8.6058,0.7298,0.2241,0.3957,2.9113,1.0246,1.0256,1.1062,3.4927,3.6953,3.7575,10.1449,2.0438,2.0287,2.0254,2.0323,2.0148,6.2853,12.5694,4.2255,4.195,4.149,9.7484,1.8705,2.0068,1.9908,1.9715,1.9087,1.5139,1.5361,1.6221,0.3209,0.044,0.0418,1.5966,1.6685,1.4679,0.4127,0.0786,0.0509,-104.71,28.1
TUBRUD,62.31,1.14,154.71,2.93,7.6,11.12,26.1,19.2,13.7,709.39,-3.5405,-1.607,2.08,2.15,-0.01,-0.07,2.58,58.21,69.64,0.354,-0.2112,0.278,-0.5992,-0.5854,2.5067,3.8359,1.419,1.9148,1.8993,29.04,5.9961,25.1221,8.5318,8.5259,0.5884,0.4621,0.3957,2.9236,1.0889,1.0368,1.0698,3.7819,3.6,3.4603,10.1837,2.024,2.0355,2.0615,2.0316,2.0312,6.3027,12.5264,4.196,4.1781,4.1523,9.817,1.9545,1.9947,1.9799,1.9616,1.9263,1.5302,1.6805,1.497,0.3582,0.0759,0.0584,1.5716,1.4988,1.6345,0.3415,0.0492,0.0541,-117.85,15.2
BEBKAV,86.81,-0.85,227.83,2.91,7.53,7.77,44,35,19.8,643.55,-3.8374,-1.997,2.08,2.09,-0.1,-0.04,2.62,49.3,74.03,0.3139,-0.1884,0.2049,-0.6946,-0.1086,2.9069,3.8247,1.3069,1.8349,2.9222,29.0337,5.8724,25.1681,8.487,7.065,0.5988,0.3967,0.3959,2.9202,1.0189,1.0319,1.1238,3.3735,3.7363,3.7839,10.1688,2.0616,2.0337,2.0231,2.0384,2.0121,6.3062,12.6213,4.2509,4.2232,4.1472,9.7586,1.9773,1.9863,1.9843,1.9044,1.9061,1.4903,1.6019,1.638,0.4388,0.1024,0.1007,1.2541,1.3871,1.2172,0.0828,0.0168,0.0184,-89.52,10.5
LANJUG,86.97,3.29,195.66,2.28,4.69,8.46,35.6,23.9,10.9,541.58,-2.8554,-1.5469,2.01,2.05,-0.07,-0.01,2.54,57.08,68.48,0.2932,-0.1975,0.2051,0.207,-0.6052,2.8292,3.8099,1.3851,3.0928,1.8547,29.0697,5.9453,25.1624,6.8963,8.3758,0.6272,0.5391,0.396,2.9267,1.0529,1.033,1.0942,3.5583,3.7138,3.6322,10.1838,2.0434,2.0455,2.0399,2.0357,2.0194,6.3093,12.598,4.2393,4.2012,4.1576,9.7995,1.9967,1.989,1.9571,1.9284,1.9283,1.2381,1.1222,1.0925,0.1963,0.0588,0.0209,1.5333,1.504,1.6664,0.3959,0.069,0.056,-190.66,31.1
KIGQAS,87.31,10.12,187.96,1.7,9.26,9.78,30.6,22.7,17,738.53,-3.8939,-3.2765,1.95,2.06,-0.06,-0.21,2.61,51,72.78,0.4152,-0.185,0.2119,-0.6526,-0.6312,2.9567,3.7742,1.3386,1.9831,1.8943,29.0732,5.8652,25.145,8.4398,8.4133,0.5972,0.5401,0.3961,2.9216,1.0223,1.0307,1.1179,3.3689,3.6459,3.878,10.1631,2.0676,2.0251,2.0101,2.0404,2.0199,6.2726,12.5814,4.2194,4.2145,4.1475,9.7309,1.9395,1.9916,1.92,1.9367,1.9432,1.5818,1.4247,1.7225,0.4127,0.0294,0.0514,1.4742,1.4555,1.733,0.4453,0.0553,0.0754,-167.89,19.8
