Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
TOJPAJ,89.38,-1.47,14.3,-4.0936,-3.1019,2.11,2.03,-0.1,0.13,2.47,87.34,74.83,0.0076,-0.1165,-0.1042,2.248,2.6984,1.3276,28.8422,7.2606,25.2562,8.4042,0.672,0.4032,0.4297,1.1663,3.2086,3.4873,3.6741,2.0169,2.0179,6.3438,9.8846,1.2021,0.0947,0.0159,2.7923,3.5557,-444.44,1.22,124.9,33.2
NELNID,76.06,3.11,15.2,-3.9939,-2.5483,2.28,2.02,-0.1,-0.04,2.45,83.56,78.1,-0.0095,-0.0618,-0.2542,1.9964,2.6954,1.2734,28.7848,7.2937,25.282,8.4035,0.703,0.4082,0.2812,1.1494,3.2163,3.5912,3.6367,2.0182,2.0192,6.3729,9.8979,1.2197,0.0842,0.0198,2.7925,3.5541,-435.78,1.22,125.34,41.4
BENDAC,61.42,1.22,7.8,-3.3508,-2.3993,2.23,2.04,-0.13,0.06,2.48,87.66,81.75,0.0205,-0.5828,-0.5927,2.0287,2.6041,1.4296,28.8845,7.2495,25.2445,8.4229,0.6687,0.3292,0.3205,1.2039,3.2151,3.5324,3.7128,2.0226,2.0193,6.3473,9.8746,1.5746,0.3432,0.0721,2.7901,3.5586,-388.59,1.23,126.27,39.6
QEDMIX,79.06,1.36,16.3,-4.2164,-2.9747,2.06,2.08,-0.07,0,2.48,86.18,76.89,0.0246,-0.6038,-0.0349,2.2227,2.6897,1.3336,28.8509,7.2768,25.2461,8.3851,0.6567,0.4438,0.4115,1.13,3.2128,3.5818,3.6469,2.0199,2.0171,6.3327,9.8554,1.5116,0.1185,0.022,2.7921,3.553,-435.91,1.22,124.98,33.4
XUQPOQ,95.76,-0.08,18.7,-3.3674,-2.1862,1.9,1.94,0.04,-0.06,2.39,74.29,93.83,0.1266,-0.6805,-0.6182,2.0398,2.613,1.5399,28.7617,7.2042,25.1475,8.5512,0.8188,0,0.5355,1.47,3.2121,3.6777,3.6051,2.0495,2.02,6.3084,9.8379,1.5512,0.4108,0.037,2.7785,3.5263,-352.53,1.24,127.95,42.9
BOZNEM,102.29,1.34,16.1,-4.1218,-2.6192,2.08,1.92,-0.1,0,2.5,88.15,74.37,0.014,-0.5846,-0.5155,2.2322,2.7196,1.2796,28.7717,7.2788,25.2825,8.393,0.6434,0.4561,0.3451,1.1635,3.2062,3.6328,3.5467,2.012,2.026,6.2763,9.8328,1.4888,0.376,0.0313,2.7923,3.5567,-439.11,1.23,124.77,35.2
VOHJOU,78.44,0.91,21.3,-4.3655,-3.0108,2.1,2.08,-0.08,0.02,2.5,86.79,76.93,0.009,-0.6572,-0.0307,2.1817,2.7518,1.3308,28.846,7.2809,25.2499,8.4072,0.6564,0.4493,0.374,1.1286,3.2141,3.5564,3.6474,2.0162,2.0158,6.3356,9.8592,1.5343,0.1177,0.0208,2.7918,3.5516,-436.79,1.22,124.72,24.9
UFIWOW,80.85,-1.37,16.4,-4.4442,-3.0449,2.02,2.04,0.07,-0.05,2.51,88.81,74.39,0.0194,-0.5386,-0.0135,2.3654,2.7419,1.3597,28.8634,7.2487,25.2414,8.3848,0.6356,0.4505,0.459,1.1511,3.2069,3.5042,3.6584,2.0157,2.0169,6.3219,9.844,1.4648,0.1183,0.0187,2.7922,3.5541,-439.23,1.22,124.87,27.4
YESTOG,78.96,-4.8,18.6,-4.21,-2.6628,2.2,1.98,0.06,0.03,2.5,87.66,78.2,0.0303,-0.0638,-0.5961,2.1679,2.696,1.3865,28.7886,7.2543,25.2371,8.3858,0.6742,0.3808,0.3213,1.1657,3.2137,3.6321,3.5521,2.0197,2.021,6.3193,9.857,1.3504,0.4118,0.0632,2.7926,3.5555,-434.88,1.22,124.97,32.6
ROMLIQ,81.2,-1.73,14.6,-4.244,-3.6558,2.1,1.95,0,0.03,2.5,87.76,74.44,0.0395,-0.0355,-0.6087,2.3146,2.7166,1.355,28.7885,7.2576,25.2257,8.3818,0.6242,0.4388,0.4238,1.1429,3.21,3.7015,3.6501,2.0289,2.0228,6.3256,9.8171,1.2056,0.4191,0.049,2.7922,3.5537,-442.72,1.22,124.58,23.4
QQQGEM01,62.82,1.28,8.2,-3.5193,-2.3528,2.25,1.99,-0.08,0.01,2.46,86.01,82.48,0.0296,-0.6633,-0.1702,2.0238,2.613,1.4311,28.8619,7.2387,25.2369,8.4453,0.6989,0.3144,0.2717,1.2311,3.2144,3.571,3.5937,2.0222,2.0206,6.3699,9.8878,1.6336,0.0785,0.0191,2.7893,3.5579,-390.35,1.23,126.45,41.5
YODLUY,88.49,8.22,15.6,-3.6402,-2.9757,1.93,1.95,-0.05,-0.09,2.48,85.69,81.19,0.0098,-0.6591,-0.669,2.4803,2.6316,1.3569,28.8237,7.2516,25.2561,8.4139,0.7058,0.3812,0.5588,1.165,3.2141,3.615,3.5405,2.0122,2.0246,6.2763,9.7922,1.6279,0.4539,0.0592,2.7909,3.5577,-402.59,1.23,125.7,37.9
HIHLAL,62.09,0.88,14.2,-3.4335,-2.4256,2.2,2.04,-0.12,0.06,2.49,88.53,81.34,0.0217,-0.5672,-0.5573,2.0479,2.6178,1.4376,28.9058,7.2524,25.2411,8.4199,0.6591,0.3397,0.3204,1.2003,3.2149,3.501,3.6525,2.0218,2.0187,6.3395,9.8783,1.5659,0.3299,0.0653,2.7899,3.5582,-392.22,1.23,126.13,39.1
SOGHUS,81.15,-0.46,19.4,-3.9431,-2.816,2.13,1.92,-0.07,0.07,2.52,90.27,73.14,0.023,-0.5837,-0.6055,2.1801,2.7399,1.342,28.7652,7.2643,25.2497,8.3945,0.6293,0.4661,0.3236,1.1566,3.2018,3.5475,3.6177,2.0144,2.0171,6.2903,9.8377,1.5908,0.4458,0.0641,2.7917,3.5555,-437.8,1.22,124.62,22.6
THCHAC,62.06,0.68,9.3,-3.3839,-2.3567,2.19,2.04,-0.1,0.05,2.47,87.49,81.36,0.027,-0.5815,-0.5904,2.0571,2.5979,1.4285,28.8987,7.2534,25.2432,8.4203,0.6665,0.3345,0.3516,1.197,3.2136,3.6775,3.5668,2.0246,2.0325,6.3402,9.8751,1.5334,0.3485,0.0639,2.7899,3.5582,-384.77,1.23,126.38,39.7
FUGVUB,82.73,-2.36,16.2,-4.3901,-3.3577,2.16,1.9,-0.14,0.24,2.55,92.25,73.8,0.0164,0.2348,-0.5116,2.37,2.7986,1.3713,28.7892,7.2593,25.2324,8.3908,0.6,0.4958,0.3941,1.1648,3.199,3.6085,3.6498,2.0234,2.0153,6.3106,9.8256,1.1035,0.3982,0.0511,2.7916,3.5553,-424.37,1.22,124.33,30.6
SUVCET,84.36,-2.5,16.3,-4.5429,-3.8006,1.93,1.97,-0.01,0.1,2.58,92.23,74.24,0.0412,-0.5324,-0.5637,2.6564,2.8608,1.4214,28.8677,7.2185,25.1928,8.3924,0.5791,0.5272,0.6102,1.1508,3.197,3.5269,3.6238,2.0138,2.0162,6.2774,9.7602,1.4869,0.4261,0.0493,2.7905,3.5524,-417.23,1.22,124.6,32.6
QETWER,61.94,1.16,10.6,-3.5569,-2.3348,2.28,2.01,-0.09,0.02,2.46,86.43,82.12,0.0248,-0.6535,-0.1184,2.0307,2.6089,1.4153,28.8511,7.254,25.2409,8.4169,0.6885,0.3333,0.2728,1.1972,3.2145,3.54,3.6129,2.0191,2.0195,6.3742,9.8785,1.5958,0.0802,0.0161,2.7898,3.5589,-382.3,1.23,126.58,48.7
IXUZIL,61.12,1.45,13.2,-3.3254,-2.3372,2.24,2.04,-0.14,0.06,2.46,86.27,82.56,0.0299,-0.585,-0.5952,1.9906,2.6551,1.4315,28.8701,7.2207,25.2393,8.4747,0.6863,0.3098,0.3029,1.2586,3.2143,3.4703,3.7368,2.0195,2.0224,6.3513,9.8745,1.55,0.3474,0.0706,2.7883,3.5584,-385.94,1.23,126.28,41
JUMHEH,96.42,0.18,14,-3.2149,-2.0288,1.92,1.94,-0.01,-0.06,2.37,78.73,89.38,0.11,-0.6802,-0.6262,2.1612,2.5526,1.495,28.8371,7.2307,25.1822,8.4409,0.7929,0.1855,0.5785,1.2892,3.218,3.485,3.6525,2.0311,2.0191,6.2926,9.8495,1.5739,0.4304,0.0485,2.787,3.5567,-340.85,1.23,127.26,41.8
XINDIH,100.79,-2.02,18.9,-3.3128,-1.9562,1.91,1.97,-0.03,-0.05,2.34,79.27,85.73,0.1248,-0.7193,-0.1424,2.3018,2.5446,1.4541,28.9156,7.2502,25.1955,8.4258,0.7658,0.2043,0.6754,1.2595,3.2157,3.3832,3.6801,2.0325,2.0273,6.3247,9.8541,1.6317,0.0894,0.0103,2.7869,3.5572,-339.15,1.23,126.9,41.8
SUSYAI01,83.9,-4.11,11.2,-4.4715,-2.9999,2.38,1.98,0.81,-0.06,2.52,89.09,74.43,-0.0292,-0.3639,-0.0934,1.9248,2.7565,1.2787,28.7184,7.2963,25.2735,8.4198,0.6458,0.4655,0.1345,1.1582,3.2109,3.5934,3.6276,2.0127,2.0184,6.3815,9.8816,1.2431,0.122,0.0252,2.7924,3.553,-443.57,1.22,124.38,26.3
JASGUG,81.97,-1.27,14.1,-4.1863,-2.8872,1.99,2.07,0,0.02,2.51,88.06,76.77,0.0292,-0.4838,0.2039,2.3111,2.7098,1.3683,28.8425,7.2565,25.2304,8.3716,0.6261,0.4445,0.4504,1.132,3.2115,3.5806,3.6263,2.0184,2.0196,6.3264,9.8331,1.496,0.1328,0.0255,2.7923,3.5533,-432.15,1.22,124.68,29
WIBLID,94.15,-3.2,15.7,-4.2115,-2.8296,2.07,1.96,-0.09,0.06,2.5,88.79,72.47,0.0203,-0.5768,-0.5174,2.2489,2.6974,1.3104,28.8376,7.27,25.2614,8.3946,0.6291,0.439,0.3727,1.1514,3.2067,3.5156,3.6481,2.0117,2.0173,6.2815,9.8451,1.5669,0.3962,0.0386,2.7924,3.556,-446.25,1.22,124.79,33.6
APUJEB,62.13,0.68,10.8,-3.3858,-2.3656,2.18,2.04,-0.09,0.05,2.47,87.5,81.48,0.0263,-0.6032,-0.5796,2.0505,2.5953,1.4315,28.8964,7.2507,25.2408,8.4189,0.6702,0.3347,0.3448,1.1951,3.2136,3.5218,3.6259,2.0207,2.0194,6.3374,9.8753,1.5721,0.3498,0.0658,2.7898,3.5583,-386.42,1.23,126.43,38.7
HODYOP,62.06,0.74,9.5,-3.3923,-2.3775,2.19,2.04,-0.1,0.05,2.47,87.79,81.27,0.0264,-0.5778,-0.594,2.0566,2.6001,1.4298,28.9027,7.2543,25.242,8.4213,0.6607,0.334,0.3573,1.199,3.2141,3.6461,3.544,2.0168,2.034,6.3417,9.8757,1.5333,0.3518,0.0643,2.79,3.5581,-386.24,1.23,126.36,39.1
QOPXOI,62.4,0.63,9.2,-3.3906,-2.3622,2.16,2.05,-0.09,0.05,2.46,87.05,81.68,0.0307,-0.5941,-0.609,2.073,2.5954,1.4329,28.8982,7.2522,25.2361,8.4208,0.6769,0.3343,0.3823,1.1931,3.2141,3.5118,3.6413,2.0211,2.0191,6.338,9.8716,1.5681,0.3549,0.0652,2.79,3.5582,-385.41,1.23,126.43,38.3
POLQUF,93.98,0.55,19,-3.3929,-2.3875,1.97,1.95,-0.01,-0.03,2.46,80.68,77.94,0.0181,-0.19,-0.531,2.2838,2.552,1.3527,28.8948,7.2278,25.248,8.4413,0.7151,0.2717,0.5659,1.2783,3.2175,3.6621,3.7272,2.0269,2.0211,6.3245,9.8549,1.3772,0.4094,0.081,2.7808,3.541,-405.93,1.24,125.84,42.5
QESQAJ,78.67,0.94,15.4,-3.4029,-2.1883,2.21,2,-0.04,0,2.44,84.17,77.81,0.0037,-0.6319,-0.2097,1.9959,2.6367,1.2832,28.8146,7.2927,25.3063,8.4133,0.6777,0.4016,0.2658,1.1527,3.2091,3.5881,3.6175,2.0154,2.0268,6.3535,9.8752,1.5166,0.0795,0.0119,2.7901,3.5564,-404.7,1.23,126.12,38.7
LEPRAB,96.29,0.16,16.5,-3.357,-2.1712,1.94,1.93,-0.02,-0.05,2.41,81.65,84.39,0.0702,-0.6684,-0.6122,2.2657,2.5512,1.4295,28.8367,7.243,25.2176,8.4203,0.7632,0.254,0.576,1.2354,3.2175,3.5169,3.6189,2.0235,2.0207,6.2772,9.8406,1.6009,0.4594,0.0589,2.7886,3.5569,-371.54,1.23,126.58,39.5
YIKCOM01,59.39,-10.26,9.3,-3.8598,-2.1201,2.38,1.99,0.55,-0.1,2.35,63.58,82.83,0.1112,-0.669,-0.5412,1.9853,2.7432,1.3844,28.8532,7.1545,25.2002,8.5174,0.7749,0,0.18,1.5457,3.1924,3.8668,3.5797,2.064,2.0274,6.3046,9.8545,1.5807,0.3556,0.06,2.7745,3.4992,-392.99,1.26,128.63,47.4
COWHEC,61.58,1.23,19.7,-3.6173,-2.5759,2.27,2,-0.15,0.08,2.53,91.19,79.4,0.0038,-0.5619,-0.5748,2.0484,2.6403,1.4178,28.886,7.2608,25.2486,8.4124,0.6175,0.3707,0.2789,1.2021,3.2131,3.5872,3.6678,2.0275,2.0165,6.3365,9.8769,1.5593,0.3806,0.0731,2.7909,3.5581,-395.08,1.23,125.73,44.6
GESKEU,98.69,-5.94,24.9,-3.4034,-2.201,2.07,1.98,-0.04,-0.01,2.42,83.05,82.62,0.0519,-0.6333,-0.5829,2.1379,2.5893,1.3956,28.8194,7.2798,25.2436,8.4167,0.7208,0.2691,0.3681,1.224,3.2165,3.5769,3.603,2.0224,2.0209,6.2833,9.8818,1.5111,0.3727,0.0433,2.7897,3.5578,-389.1,1.23,126.62,35.2
OXABOG,79.49,-0.79,20.8,-4.2741,-3.0522,2.07,2.07,-0.06,0.05,2.45,85.47,77.25,0.0449,-0.5902,-0.0362,2.2187,2.6099,1.3576,28.8278,7.2491,25.224,8.39,0.6831,0.4392,0.4114,1.1328,3.2094,3.6503,3.5862,2.0227,2.0207,6.3317,9.8493,1.5035,0.1178,0.0201,2.7915,3.5538,-426.83,1.22,125.21,49.8
CAJVOZ,65.73,-3.92,10.5,-3.7199,-2.1024,2.04,1.99,0.1,0.12,2.39,81.99,79.25,0.0339,-0.5799,-0.5548,2.6319,2.6943,1.2385,29.099,7.178,25.2923,8.3931,0.7882,0.5947,0.4411,1.0203,3.1858,3.9114,3.3936,2.0283,2.0654,6.261,9.846,1.6005,0.3275,0.0594,2.7761,3.5618,-389.07,1.24,127.01,60.3
KAHDUS,85.33,-1.55,16.6,-4.1646,-3.2742,2.06,1.99,0.08,-0.04,2.54,91.01,72.79,0.0136,-0.5296,-0.4959,2.3476,2.7742,1.3577,28.8611,7.2508,25.2459,8.3878,0.5937,0.4807,0.4322,1.1537,3.2024,3.5072,3.6614,2.0158,2.0162,6.2837,9.8369,1.519,0.3848,0.0282,2.7915,3.5542,-438.58,1.22,124.75,19.6
WAJQEG,101.39,-2.74,13,-3.3995,-2.0206,2.05,2.01,-0.02,-0.11,2.39,63.94,88.25,0.1306,-0.6711,-0.1235,2.5073,2.709,1.4887,28.9657,7.1575,25.1892,8.4371,0.7233,0,0.4316,1.616,3.2117,3.7208,3.6178,2.0501,2.0312,6.2943,9.8565,1.706,0.1189,0.0262,2.7857,3.5264,-288.64,1.28,126.21,44.1
NESHAV,84.83,-1.56,17.6,-4.4078,-3.5674,1.93,2.05,0.05,-0.03,2.35,63.21,84.58,0.1864,-0.6186,0.0254,2.6879,2.8034,1.4985,28.9276,7.1618,25.0981,8.4507,0.7639,0,0.5268,1.609,3.1951,3.5992,3.5371,2.0315,2.0166,6.2822,9.7803,1.5765,0.1204,0.0332,2.7732,3.4977,-372.3,1.27,128.68,30.8
TEFSED,62.14,0.72,11.9,-3.3623,-2.3852,2.19,2.03,-0.11,0.06,2.48,87.96,81.26,0.0196,-0.5845,-0.5917,2.0525,2.6052,1.4268,28.8967,7.2534,25.2466,8.4196,0.6598,0.3399,0.3435,1.201,3.2139,3.6575,3.6761,2.0358,2.0192,6.3388,9.8747,1.5834,0.3557,0.0685,2.79,3.5585,-387.68,1.23,126.28,39.7
BOVTOW,62.29,0.69,15.8,-3.3193,-2.3497,2.18,2.03,-0.1,0.05,2.46,87.36,81.49,0.0269,-0.5935,-0.5926,2.06,2.5945,1.4246,28.9038,7.2439,25.2463,8.421,0.6716,0.3325,0.367,1.1968,3.2137,3.6099,3.572,2.0193,2.0294,6.3395,9.872,1.5394,0.365,0.0621,2.7899,3.5584,-383.97,1.23,126.46,38.2
LALQIY,86.56,9.59,19.1,-3.4534,-2.2672,1.97,2,-0.09,-0.08,2.44,83.08,84.62,0.0625,-0.6294,-0.648,2.1882,2.6027,1.4516,28.8729,7.2548,25.2115,8.4234,0.7285,0.2557,0.4774,1.251,3.2186,3.4499,3.6627,2.0246,2.0173,6.2978,9.8557,1.5057,0.4021,0.0597,2.789,3.5566,-380.67,1.23,126.26,39.4
MCEITO,105.09,6.47,22.8,-4.1408,-2.6412,2.14,1.95,-0.17,-0.01,2.48,88,74.56,0.0425,-0.5501,-0.5369,2.1758,2.7205,1.3347,28.8009,7.2861,25.2461,8.3981,0.6382,0.4513,0.3379,1.1644,3.2069,3.6472,3.5455,2.025,2.0175,6.2823,9.8472,1.565,0.3959,0.0397,2.7921,3.556,-437.99,1.22,124.75,32.2
LABVAO,96.71,1.6,14.9,-3.7026,-2.6443,1.93,1.91,-0.04,-0.05,2.45,85.1,80.42,0.0402,-0.6917,-0.6403,2.47,2.6056,1.3597,28.829,7.247,25.2474,8.4149,0.6989,0.344,0.5976,1.1993,3.2133,3.6736,3.6059,2.0259,2.0263,6.271,9.8018,1.644,0.4471,0.0694,2.7903,3.5579,-398.65,1.23,125.99,38
QOQVAT,81.78,-1.23,15.1,-3.9352,-2.7933,2.1,2,0.04,0,2.49,88.01,71.96,-0.0102,-0.5015,-0.1151,2.1375,2.6909,1.2922,28.8106,7.2696,25.2856,8.3935,0.6562,0.4343,0.333,1.1588,3.205,3.5233,3.6518,2.013,2.0199,6.3212,9.8835,1.4809,0.0933,0.015,2.7918,3.555,-448.78,1.22,125.34,38.8
TYRPXL10,61.57,1.02,21.5,-3.4413,-2.4083,2.22,2.07,-0.15,0.08,2.44,86.44,81.72,0.0504,-0.5264,-0.6112,1.9836,2.6019,1.4371,28.889,7.2524,25.2242,8.4236,0.6943,0.3337,0.3294,1.1907,3.2142,3.5964,3.5853,2.0164,2.0298,6.3304,9.8866,1.5121,0.3766,0.0623,2.79,3.5592,-405.03,1.23,125.94,48
JIPCOD,79.25,0.39,16.4,-4.5599,-3.5519,2.02,2.05,0.02,-0.05,2.53,88.29,75.41,0.0293,-0.0573,-0.0931,2.4246,2.7323,1.3685,28.8495,7.2754,25.2142,8.4427,0.6362,0.4479,0.5267,1.1638,3.2097,3.5696,3.5876,2.0132,2.0189,6.3592,9.8268,1.3199,0.1143,0.0155,2.791,3.5507,-440.02,1.22,124.12,31.9
AGOLOY,67.62,-0.47,22,-2.891,-2.3632,2,1.94,-0.02,0.05,2.55,89.93,78.69,-0.0928,-0.261,-0.2199,2.3834,2.6401,1.3001,28.9587,7.2237,25.3441,8.4357,0.5701,0.3163,0.4346,1.2628,3.2119,3.6519,3.6321,2.0177,2.0381,6.3773,9.8716,1.3662,0.081,0.0113,2.7903,3.5606,-338.29,1.24,126.9,39.6
TOVWAF,87.52,9.89,16.4,-3.3597,-2.2773,1.99,1.98,-0.1,-0.07,2.45,83.9,84.54,0.0465,-0.624,-0.6515,2.2035,2.5904,1.4463,28.8675,7.2586,25.2307,8.4175,0.6904,0.2645,0.4901,1.2332,3.2197,3.4306,3.7054,2.0268,2.0207,6.2989,9.8564,1.5417,0.3903,0.0569,2.7889,3.5571,-382.37,1.23,126.46,39
ZUDKIV,85.39,0.75,18.1,-3.0249,-2.2366,1.96,1.96,-0.01,-0.04,2.45,84.87,80.3,0.0114,-0.853,-0.5738,2.269,2.6296,1.3595,28.8322,7.2659,25.2733,8.419,0.6638,0.3039,0.5567,1.2248,3.2166,3.5227,3.6576,2.0258,2.0201,6.2956,9.8405,1.7495,0.4073,0.0424,2.7902,3.5577,-400.54,1.23,126.1,49
YUJHET,81.32,-0.89,16.1,-4.2674,-3.5287,2.01,2.01,0.01,-0.02,2.37,63,87.25,0.184,-0.0005,-0.1242,2.7397,2.7838,1.5252,29.0216,7.1889,25.0964,8.4267,0.7742,0,0.563,1.6054,3.1952,3.5855,3.5651,2.0324,2.019,6.3222,9.8038,1.3808,0.1194,0.0241,2.7731,3.5014,-362.26,1.27,128.52,41.1
VEZKOD,81.79,0.63,16.9,-4.2667,-2.9946,2.11,2,-0.03,-0.03,2.47,86.16,77.76,0.062,-0.0546,-0.5893,2.2577,2.6648,1.4079,28.8478,7.2478,25.2122,8.385,0.6687,0.3723,0.4282,1.1658,3.2147,3.5386,3.6029,2.0183,2.0184,6.3221,9.8568,1.3852,0.3983,0.0632,2.7918,3.5548,-431.61,1.22,125.15,36.5
FINHEQ,90.96,7.82,17.1,-4.0306,-2.8567,2.15,2,-0.12,-0.04,2.46,84.83,75.82,0.013,-0.5232,-0.1333,2.0554,2.708,1.28,28.796,7.2919,25.2684,8.3921,0.6765,0.4537,0.2852,1.1407,3.21,3.7122,3.5934,2.0285,2.025,6.3422,9.8573,1.497,0.0938,0.0141,2.7909,3.5523,-438.19,1.22,125.25,36.1
WEVSEV,62.15,0.72,14.3,-3.3612,-2.3694,2.18,2.04,-0.1,0.05,2.47,87.4,81.43,0.0282,-0.5832,-0.5934,2.039,2.6007,1.4291,28.9011,7.2494,25.2415,8.4179,0.6644,0.3311,0.3442,1.2032,3.2143,3.6324,3.5938,2.0274,2.025,6.34,9.8763,1.5292,0.3559,0.061,2.79,3.5585,-389.46,1.23,126.33,38.8
EROGAU,83.17,-1.41,12.4,-4.074,-3.0081,2,2,-0.02,0.06,2.5,88.42,73.7,0.016,-0.5684,-0.0811,2.3515,2.7412,1.3376,28.8189,7.259,25.2454,8.402,0.6323,0.4492,0.4766,1.1519,3.2047,3.5213,3.6407,2.0145,2.0182,6.3145,9.8281,1.4879,0.093,0.0171,2.7923,3.5555,-444.78,1.22,124.61,34.2
XEJVIU,62.37,1.58,20.8,-3.4203,-2.3445,2.19,2.02,-0.12,0.04,2.47,87.22,81.5,0.0331,-0.6014,-0.621,2.0612,2.6283,1.4292,28.8918,7.2509,25.2404,8.4347,0.6707,0.3393,0.3641,1.217,3.2131,3.5103,3.6656,2.0179,2.0244,6.3327,9.8693,1.5657,0.4125,0.0755,2.7885,3.5584,-384.09,1.23,126.51,42.1
JOWKUD,83.65,0.36,20.5,-3.8794,-3.1613,2.05,1.97,-0.03,-0.02,2.45,83.05,77.55,-0.0139,-0.1111,-0.1946,2.26,2.7098,1.2647,28.7572,7.2865,25.2855,8.4267,0.7315,0.3677,0.4138,1.1818,3.2167,3.5232,3.6719,2.0158,2.0187,6.3558,9.8394,1.2264,0.083,0.0102,2.7911,3.5511,-433.22,1.22,125.6,34.8
OVIBEC,95.75,1.18,18.9,-3.5084,-2.5766,1.92,1.92,-0.04,-0.01,2.48,84.38,82.04,0.0086,-0.8559,-0.602,2.4785,2.6104,1.3457,28.8299,7.2684,25.259,8.4089,0.7192,0.3051,0.6191,1.2136,3.2206,3.4961,3.6618,2.0163,2.0187,6.2833,9.7965,1.7834,0.4637,0.073,2.791,3.557,-401.41,1.23,125.84,41.1
XIMPAM,62.76,0.68,9.6,-3.353,-2.3419,2.15,2.04,-0.08,0.04,2.46,86.88,81.76,0.0344,-0.6019,-0.6118,2.09,2.5939,1.434,28.8998,7.2489,25.235,8.4201,0.6788,0.3328,0.3972,1.196,3.2138,3.535,3.6079,2.0199,2.0206,6.3369,9.8688,1.5833,0.3546,0.0667,2.7898,3.5584,-384.58,1.23,126.48,38.3
GURHAD,88.92,2.66,17.6,-3.7021,-2.8458,2.02,1.96,-0.01,-0.05,2.43,81.66,80.2,0.0497,-0.1511,-0.6107,2.3953,2.5743,1.3429,28.8572,7.2747,25.2412,8.4027,0.7033,0.2849,0.5063,1.2005,3.2183,3.4411,3.705,2.015,2.018,6.3471,9.8218,1.2679,0.4127,0.0731,2.7896,3.5567,-401.17,1.23,126.07,37
BOXPEL,61.79,0.16,10.3,-3.457,-2.388,2.21,2.05,-0.09,0.08,2.46,87.11,75.57,0.0019,-0.5653,-0.6017,1.9614,2.6393,1.3247,28.8565,7.2778,25.2823,8.4027,0.6457,0.3789,0.3229,1.1699,3.2083,3.5249,3.6507,2.0158,2.0217,6.332,9.8853,1.5451,0.3573,0.0682,2.7916,3.5578,-427.69,1.23,125.88,37.8
BEJHII,95.91,0.91,20,-3.2374,-2.2961,1.93,1.94,-0.02,-0.06,2.37,77.07,91.7,0.1149,-0.6558,-0.6589,2.0856,2.5467,1.5143,28.8059,7.2084,25.171,8.461,0.8111,0.1528,0.5461,1.3401,3.2176,3.4163,3.6552,2.0269,2.0239,6.2965,9.8478,1.5768,0.4552,0.0446,2.7854,3.5564,-342.27,1.24,127.31,44.3
LEJCAH,84.43,-0.76,15.8,-4.1722,-3.3387,2,2.01,0.01,0.01,2.5,87.92,75.8,0.0019,-0.1102,-0.1188,2.4096,2.756,1.349,28.813,7.2563,25.244,8.4106,0.6531,0.4308,0.4889,1.1643,3.2087,3.5203,3.6459,2.0158,2.0178,6.3496,9.831,1.2133,0.0928,0.0132,2.7921,3.5527,-440.15,1.22,124.78,33.8
BEWNAV,62.8,0.21,18.5,-3.501,-2.4436,2.16,2.03,-0.08,0.06,2.5,89.56,79.38,0.0114,-0.5935,-0.532,2.0763,2.6051,1.4132,28.9187,7.2454,25.2527,8.4181,0.6305,0.3499,0.362,1.2106,3.2127,3.5493,3.6728,2.029,2.0185,6.3357,9.8785,1.5565,0.3311,0.0576,2.7905,3.558,-389.79,1.23,126.14,39.5
GUQFIK,89.44,-1.05,15.8,-4.0319,-2.6992,2.09,2.03,0.01,0,2.44,85.33,75.42,0.0217,-0.1187,-0.1119,2.2133,2.6705,1.3325,28.844,7.2716,25.2541,8.4071,0.6987,0.3726,0.4422,1.1718,3.2092,3.5039,3.6447,2.0167,2.0194,6.3463,9.8914,1.208,0.0955,0.0174,2.7916,3.5557,-436.82,1.22,125.62,34.5
DENWOJ,62.55,0.8,14.4,-3.3518,-2.3142,2.17,2.03,-0.09,0.04,2.46,86.91,81.53,0.0319,-0.5943,-0.595,2.0812,2.5982,1.4238,28.8804,7.2524,25.2412,8.4178,0.6775,0.3316,0.3805,1.1933,3.2136,3.693,3.5615,2.0302,2.0273,6.3344,9.8657,1.5372,0.3559,0.065,2.7898,3.5584,-385.91,1.23,126.47,37.2
