Ligand,Bite_Angle,D_Bite_Angle,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,C-I,N-Cu-I,Cu-I-C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_I,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_I,Atomic_Population_Amide_O,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Amide_C-N,Orbital_Charge_N_s,Orbital_Charge_I_pz,Orbital_Charge_I_py,Orbital_Charge_I_dxy,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_O_s,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
POWWUW,88.4,-1.27,22,-2.8426,-1.9305,1.95,1.91,-0.01,-0.02,2.37,79.17,86.44,0.1031,-0.1199,-0.8226,2.4892,2.5633,1.4283,28.9417,7.2419,25.2364,8.4315,0.7665,0.2005,0.4918,1.2591,3.2194,3.5961,3.4804,2.0206,2.0338,6.3172,9.8266,1.4171,0.4287,0.0565,2.7873,3.5561,-353.16,1.23,126.79,42.1
LEVHAX,87.4,-4.19,12.4,-4.8568,-4.1941,1.9,1.84,0.05,0.13,2.66,91.41,74.19,0.105,-0.5708,-0.5808,2.965,2.8052,1.5232,28.8668,7.2337,25.0817,8.3922,0.5577,0.598,0.6498,1.0856,3.192,3.5802,3.5753,2.0175,2.0101,6.2804,9.6594,1.7365,0.4255,0.0486,2.7894,3.5515,-377.36,1.22,123.42,33.7
VONPEW,86.87,-3.68,12.3,-4.8084,-4.1092,1.9,1.86,0.08,0.07,2.64,91.56,73.88,0.0935,-0.5549,-0.58,2.9386,2.7889,1.5101,28.887,7.2319,25.0979,8.3953,0.5636,0.5772,0.6422,1.0949,3.1937,3.5113,3.6193,2.012,2.0125,6.2796,9.6775,1.6147,0.4359,0.0459,2.7893,3.5526,-384.03,1.22,123.59,33.7
RIJYAK,87.24,-3.87,16.6,-4.9981,-4.3045,1.88,1.81,0.02,0.15,2.65,91.26,74.57,0.1435,-0.6313,-0.6075,2.9876,2.806,1.5588,28.8076,7.2308,25.0469,8.3913,0.5626,0.6093,0.6545,1.0718,3.1911,3.5327,3.582,2.0104,2.0138,6.2785,9.6289,1.6598,0.4485,0.0538,2.7898,3.551,-380.38,1.22,123.34,30.8
HUDFIW,99.01,-1.35,20.7,-3.8498,-2.3158,2,2.28,-0.14,-0.03,2.4,80.19,82.64,0.094,-0.1928,0.037,2.397,2.5667,1.389,28.8884,7.2577,25.227,8.4062,0.7458,0.2682,0.4616,1.1836,3.2216,3.6724,3.4443,2.0181,2.0329,6.4167,9.8717,1.3622,0.0731,0.0096,2.7906,3.5552,-401.51,1.23,126.03,30.6
LODSEE,92.63,2.32,22,-4.0959,-2.5984,2.1,1.83,-0.16,0.13,2.5,90.87,73.97,0.1186,-0.5926,-0.5307,2.9321,2.7617,1.4324,29.1903,7.2173,25.1832,8.435,0.634,0.4339,0.3952,1.243,3.1997,3.6111,3.4754,2.0098,2.0301,6.2577,9.7822,1.5928,0.4031,0.0806,2.7875,3.5543,-428.44,1.23,124.77,51.7
EBUYAC,87.7,-3.17,20.1,-4.7119,-4.0476,1.91,1.85,0,0.14,2.65,91.08,74.24,0.1067,-0.5725,-0.6167,2.9445,2.7831,1.5168,28.8642,7.2306,25.0982,8.3967,0.5886,0.5754,0.6517,1.0832,3.194,3.519,3.6206,2.0133,2.0123,6.2794,9.6696,1.6512,0.4787,0.0579,2.7893,3.5518,-382.44,1.22,123.58,21.9
OGEGUC,91.23,-1.77,19.4,-3.0561,-2.7079,1.92,1.83,0.03,0.12,5.23,130.64,31.46,-0.6013,-0.8507,-0.8538,2.978,2.6604,0.5506,28.8918,7.1794,25.771,8.4381,0,0.6375,0.6227,0.5104,3.262,3.7523,3.9501,2.0037,2.0032,6.2842,9.6802,1.668,0.4884,0.0791,2.7762,3.5811,-419.07,1.28,121.38,39.3
DIQPUR,85.85,-1.56,19.4,-4.4979,-3.5277,2.13,1.91,-0.05,0.08,2.54,90.47,72.86,0.0293,-0.5889,-0.0743,2.5383,2.7911,1.371,28.8897,7.2478,25.2191,8.399,0.6114,0.5065,0.3629,1.144,3.1985,3.5263,3.644,2.0146,2.015,6.3294,9.7862,1.5148,0.0935,0.0172,2.7916,3.5547,-432.99,1.22,124.67,32.4
DPCBAZ,82.73,-0.98,15,-4.5974,-3.7468,2.02,1.91,0.01,0.03,2.53,87.93,75.16,0.0756,-0.6549,-0.0087,2.6675,2.7713,1.4254,28.8997,7.2692,25.1724,8.37,0.6063,0.5154,0.4466,1.0922,3.2046,3.6464,3.614,2.0238,2.0202,6.34,9.7461,1.5735,0.1229,0.0139,2.7916,3.5513,-434.06,1.22,124.64,15.9
HAXTAD01,87.56,-4.37,12.7,-5.0624,-4.4068,1.89,1.83,0.08,0.11,2.67,91.75,74.56,0.1356,-0.5723,-0.5854,3.0041,2.8309,1.5582,28.8618,7.2321,25.0466,8.3931,0.55,0.6146,0.6709,1.0782,3.1913,3.5115,3.5806,2.0118,2.0104,6.2793,9.6412,1.7013,0.4349,0.0534,2.7896,3.5517,-371.84,1.22,123.14,32.1
