Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_35A,PX_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,Cu-O,C-I,N-Cu-I,Cu-I-C,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Lowdin_Charge_Amide_C,Lowdin_Charge_Amide_O,Bonded_Valence_Cu,Bonded_Valence_N,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Bonded_Valence_Amide_C,Bonded_Valence_Amide_O,Atomic_Population_Cu,Atomic_Population_N,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Atomic_Population_Amide_C,Atomic_Population_Amide_O,Bond_Order_Cu-I,Bond_Order_Cu-C,Bond_Order_C-I,Bond_Order_Cu-N,Bond_Order_Cu-L1,Bond_Order_Cu-L2,Bond_Order_Amide_C-O,Bond_Order_Amide_C-N,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_N_s,Orbital_Charge_N_p,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dxz,Orbital_Charge_L1_dxy,Orbital_Charge_L1_dz2,Orbital_Charge L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dxz,Orbital_Charge_L2_dxy,Orbital_Charge_L2_dz2,Orbital_Charge_Amide_C_s,Orbital_Charge_Amide_C_p,Orbital_Charge_Amide_C_pz,Orbital_Charge_Amide_C_px,Orbital_Charge_Amide_C_py,Orbital_Charge_Amide_O_s,Orbital_Charge_Amide_O_p,Orbital_Charge_Amide_O_pz,Orbital_Charge_Amide_O_px,Orbital_Charge_Amide_O_py,ImgFreq,Amide_C-O,Amide_O-C-N,Ea
KAHTUJ,89.14,0.01,204.1,1.83,9.87,7.63,38.4,27.4,17.1,657.41,-2.8424,-1.6839,1.96,1.92,0,0.03,2.43,3.78,3.62,2.36,68.66,104.36,88.68,92.99,0.2734,-0.2111,-0.091,0.1436,-0.8592,-0.8446,0.1752,-0.6954,2.3001,2.6672,3.672,1.5901,1.7882,1.8453,4.1808,1.9597,28.9329,7.1583,5.7983,25.1848,8.5396,8.5435,5.8486,8.5055,0.8138,0.1013,0.716,0,0.6004,0.6546,1.8097,1.5424,2.9437,1.0536,1.0545,0.9469,3.209,3.9239,1.3792,1.2069,1.3379,3.705,3.7945,3.6896,3.4518,10.2157,2.0356,2.0457,2.0585,2.02,2.0559,6.3789,12.5694,4.0871,4.2373,4.2449,9.7784,1.9712,1.9806,1.987,1.9533,1.8864,1.675,1.591,1.6033,0.4314,0.0726,0.1052,0.0898,1.7323,1.6761,1.4565,0.4262,0.0441,0.112,0.0655,2.7846,2.7947,0.9601,0.9887,0.846,3.5612,4.8222,1.7379,1.511,1.5733,-253.22,1.25,127.73,42.6
GUKWAM,97.33,0.59,201.06,3.02,6.69,9.31,35.3,27.6,19.2,698.81,-3.22,-2.2226,1.95,1.92,-0.04,-0.02,2.55,3.31,3.08,2.42,82.7,83.54,88.75,103.16,0.349,-0.1859,-0.0517,0.0513,-0.6194,-0.86,0.1972,-0.6175,2.4812,2.5685,3.7759,1.3876,1.9593,1.7973,4.0584,2.094,28.886,7.2424,5.8598,25.2418,8.4049,8.5281,5.7832,8.4204,0.6039,0,0.746,0.2992,0.4813,0.6547,1.9959,1.2139,2.9335,1.0086,1.09,0.9266,3.2166,3.8906,1.2852,1.2671,1.3383,3.7584,3.5801,3.8997,3.5564,10.1541,2.0221,2.059,2.0161,2.0299,2.0269,6.2863,12.5557,4.1772,4.1658,4.2127,9.8091,1.9688,2.0049,1.975,1.9508,1.9097,1.4471,1.6972,1.5062,0.4624,0.07,0.114,0.0629,1.7207,1.6758,1.4833,0.4213,0.0511,0.1101,0.0791,2.7893,2.7716,1.0078,0.974,0.7899,3.558,4.7628,1.581,1.6931,1.4887,-371.69,1.23,126.47,41.3
QICVIH,85.1,-5.09,184.65,1.9,4.68,7.37,30.9,19.3,9.5,520.01,-4.4374,-3.2477,2.18,1.91,0.17,0.02,2.53,3.05,2.92,2.53,89.75,74.14,88.05,98.99,0.1737,-0.1731,-0.0232,0.0097,0.1749,-0.3311,0.2066,-0.5737,2.4887,2.798,3.6714,1.3562,2.9894,3.2482,4.0001,2.0755,28.8559,7.2646,5.9266,25.2331,6.9906,7.5247,5.7541,8.3889,0.5785,0,0.6125,0.4904,0.4255,0.6548,1.9701,1.149,2.9315,0.9992,1.0924,0.9087,3.2017,3.8897,1.3095,1.2318,1.3483,3.7778,3.5198,3.9162,3.6453,10.1313,2.0225,2.0468,2.014,2.0312,2.0169,6.3689,12.6551,4.2425,4.143,4.2697,9.8023,1.9709,1.8728,1.9836,1.988,1.987,1.1482,1.1218,1.258,0.136,0.0219,0.0304,0.0185,1.3627,1.2327,1.4482,0.0666,0.0096,0.0272,0.0056,2.7922,2.7611,0.999,0.966,0.7961,3.5557,4.714,1.5897,1.6479,1.4763,-439.86,1.22,124.56,33.9
DABJIZ,81.62,0.7,185.52,2.83,7.2,10.84,39.7,29,17.1,734.23,-2.7659,-1.8152,2.15,1.95,-0.07,-0.01,2.53,3.3,3.34,2.31,77.37,85.9,89.81,98.56,0.3398,-0.1939,-0.0782,0.142,-0.4627,-0.8317,0.1879,-0.6373,2.0529,2.5236,3.7082,1.4349,1.9475,1.7515,4.1163,2.1066,28.8903,7.2274,5.7981,25.2235,8.4286,8.5765,5.804,8.4338,0.6071,0,0.7654,0.1704,0.2685,0.6549,2.0172,1.2867,2.9295,1.0007,1.1231,0.9266,3.2118,3.9026,1.2888,1.2856,1.3282,3.7223,3.5208,3.8952,3.5347,10.185,2.0313,2.0626,2.0248,2.0378,2.0285,6.2994,12.486,4.1765,4.1429,4.1665,9.8748,1.9858,2.0015,1.9814,1.9522,1.9538,1.4514,1.5991,1.5356,0.3748,0.046,0.1249,0.0497,1.7062,1.738,1.3875,0.4569,0.0571,0.0959,0.0736,2.7855,2.7831,0.9982,0.9633,0.8216,3.5577,4.7809,1.5887,1.6572,1.535,-331.28,1.24,127.08,50.5
OZISAT,85.06,-0.07,182.51,3.69,8.82,9.05,34.6,27.1,20.6,803.56,-3.0803,-2.4348,2.16,1.93,-0.07,0,2.5,3.13,3.13,2.53,89.53,77.12,89.1,96.4,0.2763,-0.1736,-0.0308,-0.0214,-0.5906,-0.8139,0.2005,-0.6079,2.2118,2.6272,3.658,1.3454,1.9636,1.7908,4.0954,2.0836,28.9025,7.2391,5.8624,25.2982,8.4688,8.5465,5.787,8.4235,0.6488,0,0.5996,0.3274,0.2698,0.6551,1.9777,1.2441,2.9382,0.9928,1.0426,0.968,3.2112,3.8831,1.3124,1.2577,1.3129,3.7705,3.4895,3.9147,3.7009,10.1458,2.0211,2.0518,2.0177,2.034,2.0211,6.3182,12.5484,4.1811,4.132,4.2353,9.8571,1.9773,2.017,1.9748,1.9528,1.9352,1.5747,1.6187,1.4611,0.413,0.0463,0.1055,0.0669,1.7801,1.5482,1.5294,0.404,0.07,0.1088,0.0513,2.7901,2.7685,0.9997,0.9675,0.8013,3.5597,4.757,1.5857,1.6871,1.4843,-367.67,1.23,126.5,41.4
ASIQUP,100.25,4.06,209.88,3.8,6.09,8.66,41,32.5,19.7,654.81,-3.0828,-2.5179,1.88,1.84,0.05,0.09,2.53,3.37,3.18,4.42,98.86,49.29,45.75,127.96,0.3897,-0.108,0.0051,-0.5744,-0.8138,-0.8336,0.1478,-0.7525,2.9516,2.6859,3.6352,0.5548,1.8231,1.8577,3.6117,2.0211,28.78,7.1327,5.9832,25.7362,8.4541,8.4783,5.8582,8.5054,0.5493,0,0,0.6355,0.6642,0.6553,1.8183,0.5615,2.8613,1.0611,0.951,1.0121,3.2588,3.7663,1.4368,1.1203,1.2092,3.8535,3.8442,3.9062,3.8927,10.0778,2.0163,2.0182,2.0114,2.0203,2.0116,6.2835,12.6513,4.2402,4.1734,4.2377,9.6755,2.0046,1.7352,1.9633,1.9814,1.9908,1.7548,1.6409,1.3768,0.497,0.0579,0.1158,0.0715,1.7079,1.617,1.4854,0.4912,0.0713,0.1032,0.0809,2.7759,2.8388,0.9565,0.9399,0.9423,3.5834,4.8376,1.7441,1.5739,1.5197,-408.97,1.29,122.88,25.4
LOJHAU,98.6,-0.87,206.03,2.15,10.79,10.06,40.5,30.6,18.4,754.92,-2.5486,-2.24,1.9,1.93,-0.02,0,2.53,3.31,3.44,2.34,76.6,85.77,88.82,96.03,0.2533,-0.2042,-0.0738,0.1361,-0.7078,-0.3692,0.1884,-0.6428,2.4665,2.5538,3.7115,1.4326,2.0267,2.724,4.0732,2.1041,28.9504,7.2374,5.8121,25.1996,8.4535,7.0911,5.7889,8.4379,0.5999,0,0.7628,0.1525,0.6013,0.6556,2.0119,1.3004,2.9323,0.9942,1.1319,0.9193,3.2168,3.9085,1.3775,1.2153,1.3156,3.7297,3.4802,3.8701,3.6042,10.1797,2.0265,2.06,2.0273,2.0394,2.0266,6.3581,12.5873,4.1444,4.2202,4.2227,9.8012,1.9806,1.9954,1.9054,1.9465,1.9733,1.4859,1.7968,1.4805,0.4184,0.089,0.0709,0.1031,1.4849,1.2991,1.2919,0.0733,0.016,0.0108,0.0088,2.7861,2.7825,0.9791,0.9785,0.8249,3.56,4.7827,1.6624,1.5806,1.5398,-330.74,1.24,126.73,45.4
BABTEG,83.58,-1.61,183.3,3.38,9.21,14.15,29.7,23.8,19.8,916.24,-4.4669,-3.5827,2.21,1.83,-0.13,0.15,2.49,3.01,2.92,2.57,93.1,73.09,86.74,97.05,0.3406,-0.1586,-0.0121,0.0336,-0.5028,-0.5212,0.2075,-0.5749,2.4551,2.8151,3.6384,1.3858,2.042,2.2219,4.0022,2.0697,28.8095,7.2454,5.9292,25.2227,8.4241,8.4923,5.7614,8.3922,0.617,0,0.5805,0.5206,0.2901,0.6559,1.9561,1.1543,2.9334,1.0019,1.0215,0.9662,3.1951,3.8811,1.269,1.2279,1.3843,3.7746,3.5534,3.8899,3.6214,10.1271,2.0284,2.0378,2.0145,2.0311,2.0152,6.2971,12.5804,4.2305,4.113,4.2369,9.7819,1.9824,1.8705,1.9912,1.9803,1.9575,1.4496,1.6858,1.4744,0.3511,0.0261,0.1109,0.0454,1.4522,1.5994,1.5641,0.4219,0.0457,0.1182,0.0529,2.7912,2.7605,0.9591,0.9386,0.8628,3.5545,4.7157,1.5333,1.5965,1.5859,-417.33,1.22,124.15,30.1
JUNLAF,95.74,0.67,205.56,2.63,9.64,7.26,36,29.5,22,748.59,-2.9611,-2.0317,2.01,1.93,-0.05,-0.03,2.5,3.43,2.03,2.36,61.94,89.58,87.95,77.17,0.3377,-0.2023,-0.0563,0.1611,-0.5278,-0.8692,0.2131,-0.6561,2.5152,2.7307,3.6442,1.5085,2.0062,1.8036,3.9158,1.9332,28.9552,7.1912,5.794,25.1955,8.4699,8.497,5.6791,8.4864,0.6818,0,0.6694,0,0.3786,0.656,1.3715,1.5517,2.9305,1.0487,0.8817,1.0983,3.1968,3.9262,1.4214,1.3197,1.1851,3.7234,3.4958,3.7482,3.6771,10.1943,2.0466,2.061,2.031,2.031,2.0247,6.2676,12.5767,4.1817,4.195,4.2,9.818,1.9843,2.0057,1.9284,1.9286,1.971,1.514,1.6893,1.4182,0.4081,0.0491,0.1064,0.0525,1.708,1.728,1.4768,0.3975,0.0374,0.1044,0.0872,2.7762,2.7725,0.8845,0.9203,0.9677,3.5222,4.7561,1.6289,1.6915,1.4358,-346.1,1.27,128.39,40.6
YUZRAN,83.62,-1.49,186.43,4.12,8.37,9.06,29.5,23.8,18.5,758.07,-4.6469,-3.7886,2.06,1.85,-0.1,0.14,2.49,3.03,2.94,2.58,92.39,73.37,86.11,98.09,0.3691,-0.1513,-0.0114,0.0558,-0.558,-0.5519,0.2111,-0.5676,2.6136,2.8423,3.6471,1.4285,2.0086,2.1799,4.0019,2.0754,28.8009,7.2282,5.9348,25.1815,8.4676,8.5208,5.7589,8.3877,0.6359,0,0.5788,0.5289,0.4132,0.656,1.9624,1.1475,2.9335,1.0004,1.0726,0.9159,3.1944,3.8747,1.3019,1.2198,1.3529,3.7776,3.531,3.9016,3.6119,10.1221,2.0262,2.0395,2.0137,2.0281,2.0146,6.2849,12.6037,4.2293,4.1312,4.2432,9.7424,1.9724,1.8077,1.9957,1.9927,1.974,1.483,1.6466,1.4663,0.4365,0.0458,0.1164,0.0637,1.5077,1.5836,1.5434,0.4243,0.0462,0.124,0.0472,2.7912,2.7573,0.9864,0.9597,0.8113,3.5543,4.7102,1.5878,1.617,1.5054,-416.93,1.22,124.35,33.1
ZAPWUK01,97.74,-2.09,195.59,2.9,7.92,7.37,36.4,26.9,17,683.92,-4.4549,-2.6222,2.17,1.94,-0.14,0.04,2.57,3.08,3.01,2.5,87.25,74.77,89.05,99.16,0.2482,-0.1792,-0.0264,0.0276,-0.5565,0.0185,0.2081,-0.5779,2.2506,2.7098,3.6406,1.3124,1.9344,3.2502,3.9991,2.0832,28.832,7.2817,5.9124,25.258,8.4828,7.0651,5.7494,8.3929,0.5526,0,0.6587,0.4554,0.2395,0.6561,1.9797,1.1498,2.9297,1.0147,1.0228,0.9668,3.209,3.8903,1.2553,1.2748,1.3602,3.7762,3.525,3.8734,3.6661,10.1317,2.0196,2.0461,2.0122,2.0339,2.02,6.3428,12.571,4.1868,4.1409,4.2433,9.838,1.9904,1.9484,1.9786,1.9761,1.9444,1.4818,1.5711,1.5844,0.4168,0.0735,0.1077,0.0542,1.2459,1.1583,1.2417,0.1575,0.027,0.0372,0.0337,2.7928,2.7593,1.0132,0.9393,0.8068,3.5557,4.7176,1.5245,1.6801,1.513,-437.54,1.22,124.89,10.8
FOMVAH,86.81,-2.41,185.97,3.1,13.9,14.42,28.9,17.7,12.3,1065.54,-4.6456,-4.0921,2.06,1.94,0.09,-0.01,2.48,3,3,2.58,92.21,72.81,85.87,96.76,0.3459,-0.1525,-0.011,0.0557,-0.5138,-0.5334,0.212,-0.5639,2.6616,2.8444,3.665,1.4278,2.0872,2.0825,3.9961,2.0935,28.9196,7.2269,5.9389,25.1843,8.4595,8.5042,5.7558,8.3833,0.6644,0,0.5659,0.5363,0.4546,0.6565,1.9838,1.1422,2.9333,1.001,1.1009,0.8865,3.1958,3.8743,1.3051,1.2247,1.3445,3.7732,3.524,3.9029,3.6159,10.1284,2.0268,2.0428,2.0137,2.0291,2.0161,6.2838,12.6016,4.23,4.1559,4.2157,9.7687,1.9419,1.8411,2.0067,1.9942,1.9848,1.4769,1.6139,1.5427,0.3534,0.0338,0.1119,0.0443,1.4822,1.7164,1.4475,0.3716,0.0232,0.1139,0.0473,2.7903,2.7568,0.9963,0.9643,0.7962,3.5521,4.706,1.5959,1.6407,1.4694,-428.25,1.22,124.63,21.4
VAYSAP,84.96,-1.08,183.08,3.36,7.65,11.08,30.8,23.9,18.6,731,-4.3275,-3.4199,2.16,1.9,-0.02,0.05,2.5,2.99,3.01,2.53,90.85,73,87.42,96.36,0.3278,-0.1652,-0.021,0.0398,-0.5251,-0.4955,0.2107,-0.5743,2.4334,2.762,3.6666,1.3705,2.0395,2.1691,3.9863,2.1043,28.8665,7.252,5.9239,25.2305,8.4548,8.4932,5.7478,8.3802,0.6178,0,0.5982,0.4962,0.348,0.6569,2.0019,1.1377,2.9325,1.015,1.09,0.8927,3.201,3.8825,1.2444,1.2988,1.3393,3.769,3.5359,3.8885,3.6289,10.1379,2.021,2.0495,2.0134,2.0333,2.0207,6.2907,12.5722,4.2068,4.1597,4.2056,9.8094,1.9539,1.934,1.9781,1.9693,1.974,1.5106,1.6138,1.5366,0.3292,0.0338,0.1018,0.0396,1.415,1.7164,1.4633,0.4035,0.0352,0.1197,0.0494,2.7909,2.7579,1.0051,0.9652,0.7876,3.5521,4.7098,1.5196,1.7334,1.4568,-434.05,1.22,124.78,19.3
DOXXUL,86.25,-2.06,186.13,2.14,7.15,9.79,28.9,18.8,13.5,686.74,-4.6267,-3.8572,2.07,1.92,0.06,0.01,2.49,3.01,3.01,2.56,91.71,73.3,86.18,97.35,0.3419,-0.1556,-0.0143,0.0513,-0.5378,-0.5071,0.2122,-0.564,2.6109,2.822,3.6781,1.4179,2.0727,2.1254,4.0069,2.0983,28.8846,7.2254,5.943,25.1922,8.4756,8.4888,5.7639,8.3787,0.6526,0,0.5809,0.5214,0.4383,0.6569,1.994,1.1418,2.933,1.0005,1.1115,0.8795,3.1978,3.8757,1.2888,1.2584,1.3284,3.7723,3.5053,3.912,3.629,10.1301,2.0203,2.0463,2.0137,2.0331,2.0167,6.282,12.6018,4.2235,4.1615,4.2168,9.7743,1.9309,1.8718,1.993,1.9878,1.9908,1.4804,1.6143,1.5364,0.3777,0.0392,0.1172,0.0445,1.4498,1.7172,1.455,0.3762,0.0237,0.1149,0.0443,2.7908,2.7564,1.014,0.9634,0.779,3.5521,4.7057,1.5659,1.6945,1.4452,-427.04,1.22,124.66,21.8
YAKREK,85.96,-2.06,184.63,2.14,5.77,11.3,28.6,16.5,9.6,624.03,-4.4696,-3.6124,2.12,1.91,0.06,0.01,2.49,3.02,3.02,2.56,91.56,73.51,86.52,97.38,0.3278,-0.1595,-0.0161,0.0325,-0.5075,-0.5219,0.2121,-0.5645,2.5301,2.8053,3.6754,1.3928,2.0736,2.1164,4.0061,2.1023,28.8741,7.2357,5.9358,25.2149,8.4347,8.4981,5.7602,8.3792,0.6449,0,0.5842,0.5054,0.3929,0.657,2.0003,1.1462,2.933,0.9996,1.117,0.8766,3.1998,3.8778,1.2965,1.2543,1.327,3.7723,3.5131,3.9125,3.6371,10.1325,2.0211,2.0481,2.014,2.0327,2.0166,6.2876,12.593,4.2236,4.1584,4.211,9.7917,1.9323,1.8933,1.9934,1.9861,1.9866,1.4721,1.6181,1.5464,0.3351,0.0321,0.1031,0.0404,1.4614,1.7204,1.4549,0.3786,0.0227,0.1165,0.0452,2.791,2.7563,1.0122,0.9652,0.7789,3.5521,4.7067,1.5774,1.6867,1.4426,-428.16,1.22,124.77,21.1
JUMXAQ,84.1,-0.94,200.61,1.72,9.56,6.97,35.5,25.9,15.1,635.94,-4.7075,-3.5139,2.04,1.91,-0.01,0.02,2.52,3.06,3.03,2.52,87.89,74.69,87.45,98.1,0.1874,-0.1766,-0.0253,0.0529,-0.1169,-0.0527,0.2064,-0.5708,2.6267,2.7468,3.6964,1.3865,3.2515,3.313,3.9338,2.1094,28.8735,7.2624,5.9322,25.1949,7.066,7.0044,5.7348,8.3786,0.5889,0,0.6208,0.4754,0.4694,0.6573,2.0124,1.1025,2.9311,1.0086,1.0672,0.9266,3.2097,3.8874,1.2284,1.3437,1.3153,3.772,3.5914,3.7855,3.6635,10.1347,2.0252,2.0364,2.0215,2.0303,2.0213,6.3664,12.6733,4.1746,4.2275,4.2712,9.7729,1.99,1.9771,1.8892,1.9707,1.9458,1.2154,1.3458,1.3092,0.0912,0.0123,0.0226,0.0086,1.3065,1.1339,1.2968,0.127,0.024,0.0411,0.0151,2.7928,2.7613,1.0055,0.9784,0.7774,3.5526,4.7083,1.5001,1.7609,1.4473,-440.44,1.22,124.54,31.2
ALAROU,91.01,7.14,198.45,2.12,10.27,10.33,40.4,34.5,27.4,874.06,-3.3617,-1.8463,2.08,1.96,-0.06,-0.05,2.72,3.27,2.58,2.37,79.77,79.7,88.67,110.97,0.3909,-0.164,-0.0665,0.0224,-0.6401,-0.8399,0.1671,-0.6731,2.5522,2.6777,3.7807,1.2037,2.0456,1.705,3.9901,2.0153,29.035,7.1772,5.8178,25.3246,8.4903,8.4826,5.7046,8.4102,0.4134,0,0.7822,0.5021,0.3623,0.6578,1.8921,1.0926,2.9324,1.0044,1.0786,0.9543,3.1912,3.8862,1.2475,1.3555,1.2832,3.7648,3.7519,3.8365,3.4619,10.1623,2.0233,2.0345,2.0214,2.0394,2.0437,6.2539,12.523,4.1529,4.1703,4.1998,9.8322,2.0068,1.9529,1.9392,1.9883,1.9449,1.6035,1.6253,1.4657,0.4247,0.0484,0.0952,0.0718,1.7335,1.7047,1.4141,0.4272,0.0486,0.1108,0.0541,2.7802,2.8066,1.0064,0.9515,0.8487,3.5637,4.7736,1.5299,1.7017,1.542,-346.96,1.25,127.05,46.9
QUJKOV,83.19,-1.66,209.31,4.48,10.29,7.41,37.4,37.2,27.6,864.84,-4.4392,-2.9922,2.22,1.85,-0.2,0.22,2.47,3.17,3.05,2.6,93.56,77.14,86.95,101.72,0.2508,-0.1655,-0.0074,0.0305,0.0186,-0.5683,0.227,-0.6097,2.387,2.767,3.808,1.4117,2.8679,2.1861,3.9606,2.0554,28.8468,7.2404,5.9519,25.2295,6.9179,8.4758,5.7191,8.453,0.6372,0,0.6018,0.4715,0.3114,0.6579,1.8786,1.1884,2.9347,0.9961,1.1238,0.865,3.2076,3.8779,1.3667,1.2003,1.311,3.7739,3.5654,3.8665,3.6377,10.126,2.0179,2.0461,2.0145,2.0294,2.0182,6.3164,12.611,4.2288,4.1584,4.2238,9.8218,1.961,1.9112,1.9988,1.9803,1.9705,1.1921,1.0603,1.4077,0.1198,0.0216,0.045,0.0141,1.4347,1.7258,1.4668,0.4618,0.0402,0.1288,0.0793,2.7881,2.7454,0.9955,0.9453,0.8046,3.5482,4.7174,1.7266,1.5399,1.4509,-405.56,1.22,124.74,32
LUJJAC,82.47,-1.65,175.08,2.7,5.57,7.4,35.2,26.1,13.7,569.5,-3.036,-2.2538,2.35,1.92,0.05,-0.04,2.52,3.26,3.04,2.46,85.3,81.74,88.59,102.74,0.3071,-0.1859,-0.0469,0.0028,-0.7161,-0.8244,0.2025,-0.6119,2.0555,2.6012,3.7277,1.3657,1.7075,1.8076,4.0329,2.086,28.8147,7.262,5.8533,25.2796,8.6359,8.552,5.7711,8.4197,0.6165,0,0.6761,0.3267,0.1574,0.6581,1.9833,1.1992,2.9359,0.9994,1.1022,0.9179,3.2163,3.8903,1.3094,1.2514,1.3295,3.765,3.5618,3.9139,3.6039,10.1527,2.0197,2.0618,2.0169,2.0299,2.0244,6.3324,12.5103,4.1692,4.1078,4.2333,9.8502,1.9748,2.0087,1.9763,1.9499,1.9404,1.6971,1.6007,1.4492,0.4487,0.0836,0.0969,0.078,1.7165,1.615,1.5365,0.4131,0.066,0.0912,0.0777,2.7905,2.7665,1.0074,0.9741,0.7849,3.5586,4.7553,1.6066,1.6682,1.4805,-372.25,1.23,126.62,46.1
TURWOS,85.93,-1,183.36,2.35,7.97,11.43,28.3,16,9.8,681.72,-4.2916,-3.3138,2.28,1.84,-0.09,0.09,2.48,3.03,2.91,2.58,93.16,73.74,86.88,97.34,0.3154,-0.1593,-0.0133,0.0155,-0.5185,-0.52,0.2075,-0.5744,2.3924,2.7984,3.6402,1.3693,1.9852,2.1757,4.0106,2.0702,28.8494,7.2403,5.9259,25.2385,8.464,8.4821,5.7628,8.3918,0.6466,0,0.583,0.4979,0.2488,0.6582,1.9607,1.1653,2.9339,0.9991,1.0434,0.948,3.1994,3.878,1.2891,1.2383,1.3506,3.7735,3.523,3.9086,3.6509,10.1286,2.0236,2.043,2.0127,2.0323,2.017,6.3027,12.5755,4.2249,4.1083,4.2423,9.8064,1.9813,1.8864,1.9836,1.984,1.9712,1.4814,1.6982,1.466,0.3251,0.0219,0.0983,0.0397,1.484,1.5931,1.5754,0.3763,0.0411,0.099,0.0469,2.7915,2.7604,0.9988,0.9448,0.8167,3.555,4.7172,1.5596,1.6326,1.5251,-415.43,1.22,124.28,39.5
HISGIA,85.08,-2.22,190.61,2.57,6.4,11.2,29.9,21.5,13.7,684.72,-4.509,-3.8214,1.95,1.88,-0.03,0.11,2.49,3.05,2.96,2.58,91.5,73.99,85.34,98.89,0.3947,-0.145,-0.011,0.0812,-0.5692,-0.6066,0.2125,-0.5644,2.7855,2.8472,3.6923,1.4554,2.0204,2.0872,3.9959,2.0784,28.8473,7.227,5.9408,25.158,8.4598,8.4982,5.7548,8.3866,0.6302,0,0.5926,0.5324,0.5782,0.6582,1.9667,1.1339,2.9334,1.0023,1.1042,0.8821,3.1952,3.868,1.3196,1.2019,1.3465,3.776,3.5742,3.8672,3.5794,10.1221,2.0277,2.037,2.017,2.0252,2.0151,6.2797,12.6136,4.2172,4.1601,4.2364,9.7119,1.9589,1.8181,1.9842,1.992,1.9588,1.5723,1.6161,1.4468,0.4141,0.0392,0.1193,0.05,1.5617,1.5701,1.517,0.455,0.0587,0.1298,0.0525,2.7909,2.7561,0.9735,0.9709,0.8117,3.5538,4.7075,1.6314,1.5914,1.4846,-422.01,1.22,124.45,33.6
BIVLAT01,85.59,-2.65,185.67,1.84,6.07,9.15,30.4,21.5,12.7,596.51,-4.7005,-3.8989,2.14,1.89,0.14,-0.01,2.49,3.03,3.41,2.6,90.76,72.99,85.74,96.09,0.2826,-0.1681,-0.0012,0.0171,-0.2946,-0.5792,0.2395,-0.7483,2.4519,2.7284,3.8307,1.421,3.0262,2.1636,3.8686,2.0225,28.7989,7.2435,6.0408,25.1797,7.1139,8.5214,5.6353,8.4664,0.6254,0,0.6086,0.4563,0.335,0.6585,1.7608,1.2086,2.9323,1.0328,0.9688,0.9784,3.2028,3.8855,1.2982,1.2554,1.332,3.7867,3.8762,3.5429,3.6629,10.1142,2.0173,2.0173,2.0301,2.0202,2.0294,6.3176,12.6051,4.146,4.214,4.2451,9.7947,1.9862,1.9475,1.9103,1.9732,1.9775,1.2536,1.2422,1.4132,0.089,0.0143,0.0195,0.0098,1.4741,1.6878,1.4968,0.4163,0.0455,0.1155,0.0544,2.7851,2.7404,0.9882,0.957,0.7951,3.5519,4.7391,1.6011,1.6595,1.4784,-426.6,1.23,125.63,33.1
