Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,PC_Buried_Volume_35A,PC_Buried_Volume_7A,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-N,I-C-N,C-N-Cu,Lowdin_Charge_Cu,Lowdin_Charge_N,Lowdin_Charge_C,Lowdin_Charge_I,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_Cu,Atomic_Population_I,Bond_Order_Cu-I,Bond_Order_C-I,Bond_Order_Cu-N,Orbital_Charge_N_s,Orbital_Charge_N_pz,Orbital_Charge_N_px,Orbital_Charge_N_py,Orbital_Charge_I_s,Orbital_Charge_I_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_L1_pz,Orbital_Charge_L1_dyz,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_d,ImgFreq,Ea
UNUPEA,87.62,10.26,203.07,36.8,14.6,-3.2508,-2.1696,2.05,1.97,90.57,103.84,0.3045,-0.3129,-0.1527,0.0674,1.2053,2.9061,28.7983,25.2502,0.2375,0.8469,0.6111,3.2446,1.2782,1.2724,1.4415,3.7395,3.9178,4.2267,9.8251,1.3523,0.0177,1.5368,1.7514,0.4196,-154.31,14.3
PUTYUA,85.93,1.39,193.45,34.1,25.9,-2.8464,-1.7037,2,1.94,88.43,95.9,0.3338,-0.2977,-0.1472,0.0948,1.2832,1.9599,28.8763,25.2819,0.4197,0.7272,0.5919,3.239,1.2947,1.2694,1.4167,3.7208,3.8881,4.2207,9.8146,1.6193,0.1035,1.7506,1.599,0.4208,-184.95,14.3
AZILOM,81.59,-2.7,214.5,37.3,17.3,-3.9224,-3.5229,2.03,1.98,88.84,103.21,0.2483,-0.2662,-0.1096,0.1204,1.4375,2.0355,28.8688,25.1772,0.5345,0.7359,0.5748,3.2458,1.3338,1.2307,1.3781,3.7364,3.9128,4.238,9.8131,1.5316,0.0916,1.3348,1.2287,0.119,-303.55,14.3
AXOYER,83.83,-6.27,181.68,33.2,24,-2.9445,-2.4154,2.11,1.96,87.45,100.01,0.3026,-0.2903,-0.138,0.0824,1.3605,2.003,28.8222,25.2675,0.4805,0.7117,0.5715,3.2454,1.3431,1.22,1.4047,3.7228,3.9176,4.2079,9.8266,1.4898,0.0695,1.735,1.6677,0.4285,-206.37,14.3
VEBBOT,78.7,3.36,176.8,28.5,11.3,-3.2676,-1.9938,2.11,1.95,91.39,102.43,0.2639,-0.3156,-0.1535,0.0577,1.1607,1.9573,28.8296,25.2651,0.1928,0.8514,0.6316,3.2404,1.2927,1.2537,1.4518,3.7411,3.911,4.2505,9.8198,1.5452,0.0824,1.5107,1.1073,0.0843,-149.27,14.3
FIFYAW,78.19,2.76,233.66,39.8,13.5,-3.6667,-2.8185,1.94,1.95,86.55,102.73,0.2815,-0.2531,-0.0984,0.0618,1.3333,3.2383,28.8847,25.2615,0.5295,0.7016,0.588,3.2393,1.2865,1.2983,1.3511,3.7453,3.8507,4.2309,9.7866,1.261,0.0166,1.6814,1.7419,0.4147,-309.2,14.2
XIQBIL,78.93,1.62,197.86,36.1,19.7,-3.681,-3.1032,2.1,1.96,92.86,98.18,0.242,-0.2979,-0.1377,0.0668,1.1979,3.0658,28.7008,25.2483,0.2336,0.8423,0.6352,3.2417,1.247,1.3004,1.4317,3.7486,3.9076,4.2118,9.8483,1.2213,0.0202,1.2366,1.3341,0.0645,-245.44,14.2
WIPHEI,85.55,-0.52,174.53,30.8,17.7,-3.4224,-2.2295,2.2,1.96,91.7,97.67,0.2639,-0.3186,-0.1571,0.1395,1.2642,1.9332,28.7731,25.2112,0.3071,0.8361,0.6539,3.2382,1.3253,1.2362,1.4432,3.7187,3.8725,4.2056,9.8715,1.5416,0.0703,1.3379,1.235,0.0602,-120.78,14.2
NUHHEE,79.68,-0.48,216.37,38.4,19,-3.2961,-1.4676,2.01,1.98,89.41,97.33,0.1274,-0.3156,-0.1419,0.112,1.335,3.027,28.8238,25.2248,0.41,0.7755,0.5713,3.2432,1.3575,1.2157,1.4231,3.7208,3.557,4.2344,9.8788,1.3722,0.0126,1.3069,1.219,0.1266,-170.29,14.2
QEVKOR,102.36,-1.96,200.42,36.7,14.8,-3.1269,-1.6102,2,1.99,88.46,95,0.3191,-0.2984,-0.1415,0.1158,1.3298,2.0068,28.7929,25.2406,0.448,0.7436,0.5748,3.2457,1.2226,1.338,1.4166,3.7175,3.8208,4.1987,9.8475,1.5031,0.1014,1.6988,1.5224,0.3641,-183.05,14.2
