Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,HOMO_Energy,LUMO_Energy,Lowdin_Charge_Cu,Lowdin_Charge_C,Bonded_Valence_I,Bonded_Valence_L1,Atomic_Population_C,Atomic_Population_L2,Bond_Order_Cu_L2,Orbital_Charge_C_pz,Orbital_Charge_I_d,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_d,Orbital_Charge_L2_px,Orbital_Charge_L2_dz2,Ea
NOHROT,81.65,4.38,173.93,2.24,-3.5793,-2.9553,0.3815,-0.1602,1.3422,1.8193,5.8231,8.4448,0.2515,0.9985,10.1393,6.3056,12.595,9.7178,1.4452,0.0585,15.1
FAWKAR,79.88,3.83,171.79,1.92,-2.4433,-1.4842,0.3473,-0.2144,1.3123,1.6474,5.912,8.448,0.2522,1.0387,10.1926,6.3204,12.5448,9.7875,1.5336,0.045,24.1
NUGYIY,77.39,1.44,166.81,2.39,-2.9645,-2.2106,0.2811,-0.1968,1.3491,1.9546,5.8148,7.7325,0.2527,1.0049,10.1625,6.3367,12.5969,9.7853,1.5289,0.0112,11.1
OCINIY,85.56,-15.2,176.51,1.52,-3.2334,-2.5147,0.2989,-0.2016,1.3564,2.0678,5.8723,6.9726,0.2527,1.0358,10.158,6.3204,12.5924,9.7883,1.3882,0.0135,32.7
CUQTEN,79.36,1.32,172.63,2.99,-3.6054,-2.7331,0.3181,-0.1882,1.3409,2.0005,5.8049,6.9407,0.2528,0.9958,10.148,6.3146,12.604,9.7633,1.3797,0.0152,25.3
WOCREL,80.51,0.11,172.86,1.7,-3.3711,-2.55,0.3086,-0.2013,1.3468,2.039,5.7994,6.9705,0.2531,1.0031,10.1576,6.3176,12.5951,9.7787,1.4238,0.0141,25.5
HIRBAM,75.64,2.31,163.4,2.18,-2.9233,-2.0338,0.2818,-0.1979,1.3278,2.0103,5.8617,7.6272,0.2537,1.0168,10.1661,6.3412,12.5928,9.7842,1.4815,0.0106,15.4
UDEGUH,97.01,-5.76,192.18,3.11,-3.8438,-1.8084,0.3709,-0.2266,1.3988,1.787,6.0526,8.4342,0.2538,1.0483,10.1701,6.2524,12.5383,9.8384,1.4337,0.065,-9.9
XOPYOS,82.9,15.76,187.32,2.31,-2.6432,-1.6985,0.2994,-0.2083,1.3568,2.093,5.7797,7.1752,0.2549,1.0224,10.1897,6.3229,12.566,9.8116,1.2508,0.0145,33
PAXTIT,75.89,2.44,162.71,1.82,-2.8715,-2.0319,0.278,-0.1977,1.336,1.9817,5.8634,7.6407,0.2554,1.0071,10.1663,6.3476,12.585,9.7895,1.5081,0.0114,16.4
ECIRAM,75.66,2.3,162.23,2.39,-2.8833,-2.0418,0.28,-0.1973,1.3319,1.9899,5.8775,7.6168,0.256,1.0121,10.1655,6.3479,12.5852,9.7869,1.494,0.0124,16.3
QUBFEZ,76.28,4.04,214.62,2.07,-3.1094,-2.6615,0.2921,-0.2272,1.3487,1.9838,6.0005,7.0124,0.2561,1.1097,10.1676,6.3092,12.6206,9.7781,1.1991,0.0173,13.4
NUYYOX,78.73,2.69,182.69,1.84,-3.6319,-2.9471,0.2131,-0.184,1.3392,3.2117,5.8438,7.0128,0.2562,1.0216,10.1482,6.3598,12.6619,9.7652,1.3639,0.0148,19.6
SESYEV,79.79,17.84,191.44,2.06,-3.0356,-2.7996,0.3392,-0.2189,1.2716,1.9204,5.8101,7.0133,0.2562,1.0414,10.1657,6.3157,12.5853,9.7598,1.2652,0.0267,21.5
JARCOX,81.53,-0.15,176.6,1.72,-3.4837,-2.7215,0.3154,-0.2013,1.3434,2.0332,5.7999,6.8774,0.2563,1.0022,10.1559,6.3043,12.6061,9.7742,1.4418,0.0133,35.9
QIMZAP,81.23,6.95,174.21,2.3,-3.4753,-3.12,0.3706,-0.1785,1.3182,2.0954,5.8196,8.3935,0.2566,1.0214,10.1404,6.3015,12.5905,9.7375,1.4644,0.0614,14
CAEYOR,61.34,1.27,151.42,2.08,-2.4227,-1.8714,0.3154,-0.2127,1.4335,1.9278,5.87,8.4466,0.257,1.0326,10.1954,6.3412,12.5372,9.8062,1.5569,0.0494,29.5
OJEDIR,87.82,4.84,222.05,2.11,-2.6184,-2.3551,0.2706,-0.2256,1.3086,3.0593,6.0095,8.4482,0.2579,1.0177,10.182,6.3392,12.6055,9.7847,1.4515,0.0601,21.5
BEGRUA,88.74,-20.6,179.26,1.72,-3.0227,-2.5889,0.2794,-0.2193,1.4256,2.0524,5.9133,6.9204,0.2595,1.0424,10.1681,6.3202,12.5646,9.8359,1.4279,0.0126,31
JOHKEY,77.18,4.4,217.81,1.99,-2.6682,-1.695,0.2674,-0.2135,1.3404,3.1482,5.885,8.46,0.2602,1.0434,10.1839,6.3416,12.5923,9.7987,1.477,0.0578,25.6
UBOJUS,109.39,-4.95,240.45,2.71,-2.702,-1.6849,0.3071,-0.2146,1.3361,3.0317,5.9338,8.4196,0.2604,1.0364,10.1882,6.3299,12.5693,9.7936,1.4851,0.062,18.6
FIMREB,78.97,4.53,172.33,3.48,-2.4324,-1.4864,0.3507,-0.2177,1.3187,1.7308,5.9285,8.3961,0.2605,1.0588,10.1916,6.3126,12.5469,9.7898,1.5344,0.0524,22.9
QAGSEZ,79.22,2.71,219.91,2.47,-3.1799,-2.6323,0.2697,-0.2214,1.3609,3.1591,5.9054,8.4175,0.2607,1.0901,10.1683,6.3194,12.6457,9.7651,1.5474,0.058,15.1
WANREK,92.4,5.35,196.9,2.22,-3.8207,-3.0413,0.2687,-0.1774,1.3416,3.2593,5.8826,8.4278,0.2608,1.0397,10.1414,6.322,12.6659,9.7433,1.4577,0.0549,13.9
ESERUP,85.33,5.09,175.4,1.77,-2.8883,-1.9518,0.3555,-0.2034,1.3809,2.114,5.8676,8.4116,0.2609,1.0196,10.1621,6.3108,12.5396,9.7941,1.4481,0.0509,12.7
SOLPEP,81.24,-1.11,174.64,1.7,-3.2809,-2.2877,0.2975,-0.2015,1.3441,2.0221,5.8538,6.8713,0.2611,1.0113,10.1581,6.3132,12.6071,9.7822,1.387,0.0137,27.3
LESQUY,79.8,5.13,173.06,2.42,-2.5106,-1.6432,0.3385,-0.2114,1.3473,1.7377,5.9203,8.4308,0.2612,1.0574,10.1869,6.3159,12.5464,9.7992,1.4991,0.0527,15.9
TUKROJ,80.87,0.86,189.27,1.91,-3.0651,-2.3474,0.308,-0.2218,1.3799,1.9947,5.8723,6.9818,0.2614,1.0244,10.1733,6.3072,12.573,9.8119,1.3954,0.0097,23.3
LENLOF,82.77,9.12,178.92,1.78,-2.7054,-1.6524,0.2522,-0.2167,1.3652,3.0119,5.8832,8.4561,0.2615,1.0555,10.1816,6.3449,12.5897,9.8133,1.466,0.0579,22.4
WITTOI,78.25,4.35,204.66,1.89,-3.1097,-2.5203,0.2869,-0.2192,1.3371,1.9325,5.9292,7.0504,0.2615,1.1143,10.1697,6.3094,12.6432,9.7605,1.2201,0.0221,14.9
PADXUP,92.1,3.57,188.96,2.58,-2.8429,-2.7743,0.3972,-0.2184,1.325,1.8185,5.8978,8.3706,0.2615,1.017,10.1806,6.2935,12.5762,9.7331,1.4852,0.0568,19.8
BUFCAI,81.74,-0.63,172.15,1.7,-2.8119,-1.83,0.2848,-0.214,1.4084,1.9731,5.8642,7.1138,0.2619,1.0218,10.1739,6.3328,12.5523,9.8302,1.324,0.0127,26.6
