Ligand,Bite_Angle,D_Bite_Angle,Cone_Angle,Sterimol_B1,Sterimol_B5,Sterimol_L,PC_Buried_Volume_3-5A,PC_Buried_Volume_5A,PC_Buried_Volume_7A,SASA,HOMO_Energy,LUMO_Energy,Cu-L1,Cu-L2,D_Cu-L1,D_Cu-L2,Cu-I,Cu-C,C-I,I-C-Cu,Lowdin_Charge_Cu,Lowdin_Charge_C,Lowdin_Charge_I,Lowdin_Charge_L1,Lowdin_Charge_L2,Bonded_Valence_Cu,Bonded_Valence_C,Bonded_Valence_I,Bonded_Valence_L1,Bonded_Valence_L2,Atomic_Population_Cu,Atomic_Population_C,Atomic_Population_I,Atomic_Population_L1,Atomic_Population_L2,Bond_Order_Cu_I,Bond_Order_Cu_C,Bond_Order_C_I,Bond_Order_Cu_L1,Bond_Order_Cu_L2,Orbital_Charge_C_s,Orbital_Charge_C_pz,Orbital_Charge_C_px,Orbital_Charge_C_py,Orbital_Charge_I_s,Orbital_Charge_I_pz,Orbital_Charge_I_px,Orbital_Charge_I_py,Orbital_Charge_I_d,Orbital_Charge_I_dxz,Orbital_Charge_I_dyz,Orbital_Charge_I_dxy,Orbital_Charge_I_dz2,Orbital_Charge_I_dx2y2,Orbital_Charge_Cu_s,Orbital_Charge_Cu_p,Orbital_Charge_Cu_pz,Orbital_Charge_Cu_px,Orbital_Charge_Cu_py,Orbital_Charge_Cu_d,Orbital_Charge_Cu_dxz,Orbital_Charge_Cu_dyz,Orbital_Charge_Cu_dxy,Orbital_Charge_Cu_dz2,Orbital_Charge_Cu_dx2y2,Orbital_Charge_L1_pz,Orbital_Charge_L1_px,Orbital_Charge_L1_py,Orbital_Charge_L1_d,Orbital_Charge_L1_dyz,Orbital_Charge_L1_dz2,Orbital_Charge_L2_pz,Orbital_Charge_L2_px,Orbital_Charge_L2_py,Orbital_Charge_L2_d,Orbital_Charge_L2_dyz,Orbital_Charge_L2_dz2,ImgFre,Ea
YOHJEM,84,13.74,195.01,1.73,12.41,7.6,32.6,24.2,17.2,787.53,-2.8042,-2.3394,2.02,2,-0.15,-0.1,2.59,2.26,2.21,70.85,0.3729,-0.2156,0.1946,-0.6621,-0.6879,2.8388,3.7612,1.3326,2.0047,1.9843,29.0489,5.9253,25.1729,8.4147,8.4573,0.5708,0.2746,0.7245,0.4282,0.5051,2.9276,1.1027,1.0355,1.0587,3.714,3.6961,3.772,3.4483,10.175,2.0269,2.0525,2.0336,2.0189,2.0431,6.2879,12.5814,4.242,4.182,4.1574,9.7577,1.9556,1.9688,1.9338,1.9498,1.9497,1.4733,1.4963,1.7264,0.4469,0.0603,0.0714,1.5787,1.466,1.6892,0.4392,0.047,0.0554,-169.06,20.1
GUMJIJ,82.68,-13.12,176.15,1.62,4.42,6.62,30.7,20.9,9,516.66,-2.8944,-1.9516,2.36,1.96,0.76,-0.07,2.59,2.33,2.2,69.67,0.1862,-0.2145,0.2195,-0.1396,-0.1177,2.5246,3.6638,1.3889,2.9218,3.0825,28.9904,5.8713,25.1107,7.0339,6.9719,0.5281,0.1751,0.7981,0.1847,0.5053,2.9293,1.0318,1.0487,1.1141,3.7107,3.3491,3.7791,3.7602,10.1814,2.0481,2.0449,2.0193,2.0536,2.0154,6.3746,12.6061,4.2776,4.1875,4.141,9.833,2.0089,1.9949,1.958,1.8976,1.9738,1.2358,1.4017,1.1455,0.1141,0.0165,0.0131,1.2686,1.3981,1.1276,0.1222,0.0218,0.0125,-136.89,28.7
IDUQEF,82.67,-2.43,176.14,1.63,4.64,6.02,30.7,20.9,9,516.84,-2.8948,-1.9517,2.36,1.96,0.07,-0.05,2.59,2.33,2.2,69.67,0.1863,-0.2145,0.2194,-0.1395,-0.1176,2.5238,3.6632,1.3889,2.9216,3.0829,28.9899,5.8715,25.1107,7.034,6.9719,0.528,0.1752,0.7981,0.1844,0.5055,2.9293,1.0322,1.0485,1.1139,3.7107,3.3483,3.7808,3.7594,10.1814,2.0477,2.0451,2.0192,2.0537,2.0156,6.3747,12.606,4.2776,4.1873,4.1411,9.833,2.0083,1.9951,1.9575,1.8979,1.9742,1.2349,1.4028,1.1453,0.1141,0.0165,0.0131,1.2673,1.3993,1.1277,0.1222,0.0217,0.0125,-136.17,28.8
QUGTAO,75.73,5.23,236.58,2.51,7.51,7.45,47.9,32.2,17.6,618.06,-4.1147,-2.6677,2.3,2,-0.29,0.04,2.53,2.01,2.44,68.52,0.183,-0.157,0.0544,-0.1449,-0.0166,2.9275,3.6367,1.2855,3.0652,3.3231,28.9962,5.7083,25.207,7.0559,6.9262,0.7077,0.453,0.4741,0.2192,0.5058,2.9246,1.0372,1.036,1.0692,3.7707,3.6536,3.7036,3.6755,10.142,2.0227,2.0423,2.0248,2.0251,2.0272,6.3471,12.7173,4.2404,4.2593,4.2176,9.7525,1.7952,2.0463,1.9611,1.9868,1.9632,1.3716,1.2389,1.2636,0.0875,0.0228,0.0146,1.2628,1.2875,1.1989,0.1302,0.0293,0.0253,-149.1,13.2
FORBZA,63.81,-0.15,158.49,1.7,3.73,10.86,24.3,14.3,8.4,602.57,-2.8036,-2.5448,2.12,2.02,-0.05,0.04,2.57,2.29,2.2,69.66,0.3408,-0.2104,0.2259,-0.5972,-0.5949,2.681,3.7918,1.3997,1.9001,1.9331,29.0957,5.9537,25.1352,8.4913,8.4894,0.6005,0.2532,0.7466,0.3972,0.5058,2.9267,1.0549,1.0363,1.1011,3.7083,3.4807,3.7483,3.6544,10.1824,2.0415,2.049,2.0303,2.0413,2.0203,6.3042,12.5709,4.2567,4.1838,4.1304,9.7841,1.9989,1.9918,1.9677,1.8805,1.9452,1.5396,1.5152,1.6473,0.3587,0.0529,0.0515,1.5391,1.6774,1.4842,0.3676,0.0632,0.0497,-167.66,21.2
FEHBIG,92.07,0.15,190.26,4.53,9.34,9.7,36.8,36.4,29.2,856.6,-2.4371,-1.5179,2.18,2.02,-0.05,-0.05,2.63,2.32,2.21,70.92,0.3912,-0.2125,0.2016,-0.6158,-0.7212,2.5879,3.5214,1.2624,2.0285,1.6951,28.9911,5.7868,25.2284,8.4033,8.4465,0.5211,0.1981,0.7403,0.2943,0.5059,2.9351,1.0153,1.0412,1.1306,3.7102,3.3085,3.765,3.829,10.1857,2.0537,2.0361,2.0172,2.0653,2.0135,6.3036,12.5372,4.2499,4.1619,4.1253,9.7681,1.9958,1.987,1.9578,1.8662,1.9614,1.5246,1.5024,1.638,0.4369,0.062,0.0598,1.6581,1.3944,1.7141,0.4542,0.047,0.0701,-158.79,13.7
YOYWAN,88.24,9.9,187.31,1.52,11.98,7.56,31.6,22.1,14.2,702.22,-3.2896,-2.9263,1.99,2,-0.13,-0.11,2.59,2.17,2.24,71.81,0.3866,-0.2044,0.1878,-0.6445,-0.7028,2.9826,3.75,1.3329,2.0112,1.9743,29.0448,5.8858,25.1503,8.3851,8.4582,0.5902,0.3369,0.6981,0.4584,0.5061,2.9259,1.0831,1.037,1.067,3.7262,3.6226,3.7862,3.5146,10.1626,2.028,2.0515,2.0314,2.0213,2.0305,6.2768,12.6025,4.2321,4.1976,4.1727,9.7341,1.963,1.9512,1.96,1.9412,1.9188,1.4674,1.4884,1.7243,0.4507,0.0637,0.0635,1.6148,1.4538,1.6974,0.4153,0.0358,0.0552,-165.26,22.1
LALQIY,82.96,13.57,197.59,2.55,10.51,6.8,33.5,26.5,19,724.39,-2.5482,-1.7014,2.1,2,-0.21,-0.09,2.62,2.29,2.2,71.21,0.3752,-0.2138,0.2004,-0.6397,-0.6801,2.696,3.7345,1.315,1.9896,1.9091,29.0419,5.9116,25.1769,8.4104,8.4627,0.5479,0.2653,0.7705,0.3649,0.5067,2.9299,1.0399,1.0302,1.1223,3.7113,3.3927,3.7627,3.7547,10.1782,2.0483,2.0427,2.0224,2.0497,2.0151,6.2962,12.5542,4.2534,4.1695,4.1313,9.7745,1.9909,1.9903,1.9667,1.8926,1.9339,1.4849,1.4727,1.7316,0.4274,0.0549,0.06,1.5908,1.435,1.7048,0.4366,0.0501,0.0511,-171.33,17.8
XERPIU,86.84,8.88,176.65,1.7,6.87,9.32,29,20.3,12.4,612.99,-3.7117,-3.0164,2.35,2,-0.33,-0.07,2.51,2,2.41,68.8,0.3616,-0.1491,0.1212,-0.4903,-0.6225,2.9597,3.8249,1.3426,1.8683,1.9647,29.1495,5.8495,25.1247,8.3213,8.3863,0.7638,0.4657,0.5186,0.1516,0.5073,2.9187,1.0099,1.0343,1.0944,3.7623,3.4413,3.8081,3.736,10.1311,2.0317,2.0358,2.0176,2.0348,2.0112,6.3084,12.6054,4.2686,4.2072,4.1296,9.7246,1.9902,1.9883,1.9808,1.8576,1.9075,1.5988,1.31,1.6196,0.3925,0.0434,0.0761,1.5031,1.4343,1.7227,0.4623,0.0444,0.0658,-155.86,17.4
WOKXAX,100.99,0.81,193.31,1.7,16.02,8.1,36.4,27.3,16.7,853.37,-3.1165,-2.5949,2.25,2.02,-0.28,-0.03,2.6,2.08,2.22,74.16,0.3622,-0.2069,0.2366,-0.7629,-0.7527,2.7901,3.5989,1.3175,1.8311,1.9191,29.0278,5.8556,25.1326,8.5523,8.5278,0.5959,0.3622,0.7841,0.2316,0.5078,2.92,1.0433,1.0275,1.1216,3.7165,3.3643,3.7533,3.7651,10.1642,2.0371,2.0411,2.0198,2.047,2.0192,6.2939,12.5691,4.2214,4.1973,4.1504,9.7748,1.9268,1.9886,1.9433,1.9436,1.9725,1.5533,1.7066,1.5053,0.4512,0.0945,0.0635,1.6294,1.4547,1.7144,0.4265,0.0475,0.0559,-89.26,13.2
RIWJEM,63.95,-0.11,158.76,1.81,9.37,15.34,24.8,17.4,10.9,824.71,-3.0456,-2.9463,2.12,2.01,-0.06,0.05,2.56,2.22,2.2,70.8,0.3498,-0.2095,0.2438,-0.575,-0.5745,2.7175,3.7948,1.4111,1.944,1.9333,29.1223,5.9563,25.1033,8.4963,8.4541,0.6097,0.2864,0.7554,0.3997,0.5078,2.9232,1.017,1.0673,1.1094,3.7106,3.1943,3.8015,3.8753,10.1745,2.0384,2.0298,2.0135,2.0762,2.0167,6.2948,12.571,4.215,4.183,4.173,9.7844,1.9489,1.9226,1.9902,1.9776,1.9451,1.5208,1.6239,1.5507,0.3487,0.0665,0.0548,1.5398,1.5772,1.5257,0.4235,0.0695,0.0752,-149.6,21.5
EKEYOL,76.9,-0.67,176.94,1.7,5.18,6.02,30.2,21.7,9.6,519.8,-3.4883,-3.1039,2.38,1.94,-0.02,-0.01,2.55,2.03,2.3,71.95,0.2001,-0.1993,0.1542,-0.066,-0.113,2.8104,3.6855,1.3495,2.7162,3.1342,29.0385,5.8357,25.1032,7.097,6.9735,0.6075,0.3806,0.6822,0.182,0.5086,2.9215,1.0022,1.0611,1.1215,3.7426,3.2845,3.8227,3.8384,10.1577,2.0474,2.0365,2.0126,2.0512,2.01,6.3633,12.6515,4.2841,4.2293,4.1382,9.785,2.0233,1.9963,1.9555,1.8598,1.9501,1.326,1.2281,1.1851,0.1056,0.0115,0.0138,1.2951,1.3694,1.1288,0.1219,0.0231,0.0124,-126.25,24.7
OTUBEM,92.17,3.53,194.34,2.79,8.25,7.41,40.5,35.9,24.3,706.93,-2.8535,-1.8148,2.44,2.36,-0.19,-0.04,2.6,2.16,2.24,72.5,-0.0362,-0.2242,0.1431,0.925,0.0515,2.8815,3.6354,1.3376,3.3723,2.0234,29.1084,5.7751,25.1702,14.4838,16.3865,0.515,0.2189,0.6787,0.5229,0.5086,2.9286,1.034,1.0571,1.1118,3.7274,3.4021,3.7954,3.7416,10.1904,2.0456,2.0474,2.0266,2.0518,2.019,6.4337,12.7792,4.2919,4.2537,4.2336,9.8233,2.0015,1.9921,1.9728,1.8934,1.9635,2.8229,3.0292,3.018,0.1846,0.0666,0.0331,3.2191,3.5797,3.5966,0.0759,0.0178,0.0271,-113.29,24.1
USUNED,78.14,2.38,169.52,1.7,4.94,7.7,29.2,20.5,10.4,556.79,-3.876,-3.6568,2.49,1.94,-0.32,0.03,2.54,1.99,2.42,69.58,0.2309,-0.1748,0.0896,-0.1199,-0.0773,2.8542,3.6915,1.3182,2.8836,3.1859,29.0149,5.7997,25.1245,6.9651,6.8962,0.6702,0.4443,0.5443,0.1251,0.5088,2.9244,0.9869,1.0589,1.114,3.7719,3.3087,3.836,3.8569,10.137,2.0406,2.0315,2.0114,2.0451,2.0083,6.3685,12.6545,4.2884,4.2421,4.124,9.7461,2.0043,1.9985,1.9457,1.8501,1.9474,1.1898,1.4086,1.1608,0.118,0.0206,0.0135,1.2574,1.3902,1.1333,0.1224,0.0217,0.0123,-160.99,16.3
WOCLUY,82.37,1.86,190.52,1.98,6.25,7.06,31.7,23.1,11.7,565.13,-2.661,-1.5797,2.18,1.98,-0.11,-0.03,2.62,2.36,2.2,69.94,0.25,-0.2172,0.1601,-0.6496,-0.1854,2.5767,3.7008,1.3328,1.9232,3.1293,29.0021,5.8751,25.1929,8.4319,7.0942,0.5042,0.1982,0.7255,0.3,0.509,2.9324,1.0532,1.0498,1.0921,3.7149,3.4919,3.8003,3.642,10.1908,2.0412,2.0558,2.0245,2.0414,2.0278,6.3386,12.6164,4.2649,4.1953,4.1562,9.7949,1.9955,1.9921,1.9471,1.8929,1.9673,1.4757,1.4738,1.7374,0.4216,0.0478,0.0546,1.3576,1.407,1.1659,0.0895,0.0166,0.0093,-126.47,25.2
URESIU,81.46,5.15,171.36,2.77,8.1,11.16,33.5,26.2,18.6,765.85,-2.5095,-1.5362,2.26,2.05,-0.18,-0.1,2.63,2.31,2.18,71.59,0.3602,-0.2154,0.2159,-0.4842,-0.8573,2.4471,3.7017,1.293,2.0145,1.6974,28.9717,5.917,25.1783,8.4365,8.5498,0.4762,0.2343,0.8026,0.2187,0.5092,2.9288,1.0351,1.0424,1.1173,3.7077,3.518,3.6578,3.71,10.1906,2.0553,2.0391,2.0371,2.0439,2.0152,6.3297,12.5229,4.2314,4.1565,4.1351,9.7872,1.9671,1.9784,1.9883,1.9188,1.9346,1.4788,1.5214,1.6165,0.353,0.0576,0.0485,1.7585,1.3797,1.7054,0.4586,0.0507,0.0672,-152.19,27.3
VEKTOW,94.4,0.88,197.74,5.24,9.01,10.35,40.8,36,26.8,892.18,-2.8498,-2.5646,1.9,1.98,0.04,-0.07,2.62,1.99,2.34,73.81,0.4277,-0.1788,0.0237,-0.8079,-0.6192,3.3179,3.4657,1.1929,1.791,1.983,29.2103,5.6824,25.2932,8.4003,8.3555,0.5221,0.382,0.5632,0.6705,0.5093,2.9239,1.1125,1.0665,0.9832,3.7591,3.8652,3.8356,3.3418,10.1746,2.0217,2.0293,2.0363,2.0248,2.0625,6.2633,12.6339,4.1963,4.245,4.1926,9.6752,1.9832,1.9563,1.9059,1.9371,1.8927,1.6498,1.4698,1.6566,0.507,0.0592,0.1033,1.5721,1.4859,1.5713,0.4811,0.0668,0.0705,-140.09,43.6
WESVUO,78.21,3.99,170.8,1.94,9.5,7.33,33.5,28,19,698.5,-2.509,-1.6855,2.25,2.03,-0.11,-0.11,2.65,2.25,2.18,73.55,0.3566,-0.2182,0.2106,-0.5077,-0.8935,2.4629,3.7758,1.2756,1.9706,1.6319,28.9534,5.9639,25.1723,8.406,8.5022,0.4402,0.2901,0.8286,0.2198,0.51,2.9268,1.047,1.0451,1.1064,3.7094,3.4817,3.7634,3.6503,10.1846,2.0479,2.0457,2.0329,2.0401,2.018,6.3269,12.5338,4.2404,4.1553,4.1381,9.7826,1.9949,1.9823,1.9806,1.9007,1.9241,1.4802,1.5112,1.6238,0.3806,0.0597,0.0516,1.7567,1.3955,1.7085,0.4749,0.0563,0.0656,-155.99,24.3
BEKKOU,84.65,0.11,179.31,2.12,6.19,9.91,29.8,21.5,14.5,676.84,-3.0655,-2.8736,2.24,1.96,-0.19,0.05,2.56,2.09,2.26,71.97,0.3108,-0.2119,0.1705,0.1823,-0.5635,2.8396,3.6447,1.3548,2.7434,1.9954,29.0505,5.8501,25.132,6.8941,8.4228,0.624,0.3535,0.6785,0.2317,0.51,2.922,1.0207,1.0425,1.1334,3.7289,3.305,3.7847,3.8459,10.165,2.0498,2.035,2.0148,2.0551,2.0103,6.3145,12.6012,4.2625,4.2085,4.1303,9.7734,1.9982,1.987,1.971,1.885,1.9322,1.1473,1.3652,0.9772,0.1252,0.0203,0.0152,1.5451,1.5182,1.6221,0.3776,0.0407,0.0567,-132.31,28.7
GOJROM01,62.84,0.86,155.99,2.07,5.86,10.04,24.4,15.9,10.4,616.63,-2.9229,-2.8349,2.17,2.02,-0.11,0.03,2.57,2.25,2.2,70.69,0.3496,-0.2102,0.2408,-0.5766,-0.5607,2.6422,3.7685,1.4005,1.895,1.9488,29.0723,5.9493,25.1116,8.4979,8.4818,0.5907,0.2747,0.7711,0.3492,0.5104,2.925,1.0204,1.0407,1.132,3.7112,3.2409,3.7606,3.8715,10.1751,2.0528,2.0312,2.0137,2.066,2.0113,6.309,12.5591,4.2504,4.185,4.1236,9.7823,1.9739,1.9675,1.9752,1.9179,1.9478,1.528,1.5489,1.616,0.3441,0.0629,0.0539,1.5512,1.6345,1.4988,0.3498,0.0598,0.0478,-158.37,18.2
UDAFEM,79.23,3.13,206.46,3.7,9.53,11.15,35.7,25.9,19,843.73,-3.4345,-2.961,2.14,1.94,-0.24,0.08,2.59,2.03,2.24,74.46,0.3294,-0.2124,0.2066,-0.6677,-0.0637,3.0972,3.7855,1.3437,1.9699,3.1885,29.1594,5.9246,25.1099,8.4297,7.0389,0.5782,0.4047,0.7404,0.3898,0.5105,2.917,1.0263,1.046,1.1278,3.7265,3.3087,3.7889,3.8059,10.1634,2.0518,2.037,2.0169,2.0467,2.0111,6.3067,12.6277,4.2562,4.2329,4.1386,9.7362,2.0144,1.9921,1.9789,1.8364,1.9143,1.4713,1.4561,1.7549,0.4472,0.0484,0.0644,1.3701,1.3588,1.1599,0.0821,0.0122,0.0091,-83.7,19.9
KINSIL04,78.78,3.11,206.52,2.1,5.95,9.36,37.9,28.3,14.8,632.73,-2.4505,-1.4546,2.31,2.01,-0.16,-0.04,2.65,2.43,2.18,69.88,0.2779,-0.2196,0.1831,-0.6438,-0.215,2.4236,3.635,1.3047,1.9821,2.7553,28.9046,5.8796,25.2023,8.4679,7.2427,0.465,0.1542,0.7763,0.1981,0.5107,2.936,1.0184,1.0465,1.1288,3.7087,3.3511,3.733,3.8262,10.1978,2.0695,2.0376,2.0176,2.0595,2.0137,6.3659,12.5629,4.2548,4.1985,4.1097,9.7933,1.9926,1.9851,1.9617,1.8955,1.9585,1.5672,1.4709,1.6769,0.3917,0.0392,0.0574,1.4296,1.3731,1.1693,0.0777,0.0115,0.0092,-80.92,26.1
YOKKOZ,78.45,6.81,167.7,4.42,9.4,9.8,33,29,23.4,820.86,-2.4794,-1.5243,2.29,2.07,-0.21,-0.09,2.61,2.31,2.17,71.15,0.3565,-0.2189,0.2403,-0.5211,-0.8742,2.4574,3.7271,1.3332,1.932,1.6925,28.9975,5.9293,25.1634,8.4788,8.5411,0.504,0.2322,0.8094,0.1871,0.5109,2.928,1.0345,1.0438,1.1202,3.699,3.4288,3.7064,3.7342,10.1912,2.0573,2.0412,2.0295,2.0489,2.0144,6.3269,12.5216,4.2404,4.1515,4.1297,9.795,1.996,1.9771,1.9796,1.9044,1.9378,1.5959,1.4422,1.5849,0.386,0.0647,0.0686,1.7524,1.3743,1.6959,0.4806,0.0466,0.0809,-155.22,28
YELKUV,91.59,-1.63,185.97,3.06,8.7,11.91,30.5,21.8,15.1,732.39,-3.743,-2.8965,2.21,1.96,-0.19,-0.03,2.54,1.99,2.33,71.53,0.3686,-0.1755,0.1847,-0.5735,-0.6203,2.9545,3.7614,1.3649,1.993,2.0552,29.1519,5.8783,25.091,8.3577,8.3777,0.6796,0.4576,0.6445,0.2697,0.511,2.9156,1.0042,1.0401,1.122,3.7483,3.3127,3.7976,3.8143,10.1424,2.0416,2.0323,2.0146,2.0442,2.0097,6.2918,12.5965,4.2514,4.217,4.128,9.7431,1.9986,1.9952,1.9743,1.8596,1.9155,1.4326,1.4823,1.719,0.4167,0.0445,0.0647,1.6884,1.4647,1.5013,0.4635,0.0578,0.0679,-129,16.8
POXPEX,77.71,3.12,200.48,2.94,7.21,6.28,39,30.8,15.7,587.75,-2.5148,-1.4523,2.37,2.01,-0.17,-0.05,2.66,2.4,2.19,70.69,0.2902,-0.2223,0.1898,-0.6655,-0.2082,2.4134,3.6082,1.2895,1.9768,2.8101,28.8819,5.8595,25.2089,8.4795,7.3014,0.451,0.1568,0.7643,0.1739,0.5119,2.9357,1.0255,1.0512,1.12,3.709,3.367,3.7741,3.7632,10.1969,2.0555,2.046,2.0206,2.0582,2.0165,6.369,12.554,4.2556,4.1907,4.1077,9.7869,1.9949,1.9904,1.9503,1.8879,1.9633,1.6494,1.4747,1.599,0.4018,0.0497,0.067,1.4191,1.3623,1.1827,0.0774,0.0152,0.0095,-89.67,30.3
WIQZOL,93.25,5.6,187.68,3.11,4.88,8.43,34.4,22.6,12.6,581.67,-2.4364,-1.4566,2.1,2.04,-0.12,-0.13,2.61,2.32,2.18,70.79,0.3482,-0.2164,0.2136,-0.5171,-0.9032,2.6474,3.7127,1.3077,2.0464,1.7315,28.9933,5.9039,25.1887,8.3908,8.4596,0.5076,0.2192,0.7771,0.3311,0.5126,2.9281,1.0366,1.0356,1.1244,3.7035,3.365,3.7626,3.7656,10.1897,2.0542,2.0425,2.0229,2.0533,2.0169,6.2986,12.5639,4.2536,4.153,4.1574,9.7893,1.9945,1.9816,1.9627,1.8939,1.9566,1.6238,1.4347,1.5685,0.3844,0.048,0.0506,1.7657,1.4232,1.701,0.4615,0.0598,0.0562,-149.66,24.4
WUKXUV,81.72,18.3,204.04,3.25,12.17,9.67,37.8,31.1,20.7,939.52,-2.4618,-1.5682,2.22,1.98,-0.31,-0.08,2.58,2.38,2.2,68.25,0.3146,-0.2122,0.2096,-0.1597,-0.7288,2.6294,3.5109,1.3554,3.0244,1.9652,28.9689,5.7659,25.1968,7.1215,8.4758,0.5689,0.147,0.7085,0.2975,0.5127,2.9354,1.0221,1.0359,1.1283,3.7013,3.4085,3.6867,3.7936,10.2004,2.0645,2.0415,2.0237,2.0539,2.0168,6.323,12.5672,4.2516,4.1893,4.1263,9.7951,2.001,1.9814,1.9677,1.8962,1.9488,1.2408,1.2334,1.4223,0.0875,0.0208,0.0161,1.5796,1.4681,1.7329,0.4269,0.0669,0.0767,-128.18,25.3
RABXEA,86.41,-1.35,225.43,2.53,12.95,6.81,46.4,34.7,18.6,773.07,-3.7618,-2.4755,1.97,1.99,0.01,-0.02,2.58,1.97,2.32,73.45,0.1829,-0.1995,0.1313,-0.1117,-0.2221,2.9446,3.8355,1.3288,3.1957,2.8173,29.0337,5.8545,25.1145,6.9731,7.0618,0.5907,0.501,0.7044,0.4418,0.5129,2.9161,0.9971,1.1094,1.0815,3.7535,3.2711,3.8524,3.8321,10.1596,2.038,2.0517,2.0141,2.0477,2.0082,6.327,12.7221,4.2362,4.2328,4.2531,9.768,1.9961,2.0031,1.933,1.9225,1.9134,1.2667,1.2115,1.3992,0.1001,0.015,0.0194,1.4313,1.3697,1.1772,0.0765,0.012,0.0091,-78.42,7.5
DUNCEW,77.56,8.03,194.65,3.96,8.2,8.85,35.5,29.8,22.2,733.33,-2.7759,-1.7748,2.4,2,-0.41,-0.07,2.63,2.31,2.22,71.1,0.2953,-0.2147,0.1846,-0.6317,-0.1048,2.5279,3.607,1.292,1.7291,3.2386,28.9691,5.8141,25.1932,8.2546,6.9017,0.4786,0.1839,0.7283,0.1511,0.513,2.9333,1.0046,1.0632,1.1236,3.7192,3.2835,3.7744,3.854,10.1843,2.0597,2.036,2.0119,2.0653,2.0115,6.3651,12.5632,4.2554,4.1928,4.115,9.7763,1.9886,1.977,1.9626,1.886,1.962,1.4726,1.388,1.6922,0.5601,0.0724,0.0918,1.3237,1.3522,1.1795,0.091,0.0216,0.0108,-164.27,32.1
WOCMEJ,83.5,1.49,198.67,1.81,6.38,9.81,32.4,23.4,12.9,637.81,-2.6994,-1.6785,2.11,1.98,-0.11,-0.02,2.62,2.33,2.2,70.56,0.2529,-0.2181,0.1643,-0.6663,-0.1847,2.6848,3.7425,1.3344,2.0124,3.1176,29.0274,5.9034,25.1878,8.4602,7.1154,0.5144,0.2343,0.7372,0.3841,0.5133,2.9308,1.059,1.0501,1.0879,3.714,3.5211,3.7975,3.6142,10.1889,2.0396,2.0559,2.027,2.0379,2.0284,6.3261,12.6286,4.2613,4.1995,4.1678,9.7924,2.0006,1.9949,1.9492,1.8866,1.9611,1.5216,1.4523,1.723,0.4298,0.0474,0.0546,1.3455,1.4084,1.1739,0.0899,0.0152,0.01,-151.98,22.7
AFUTDZ10,83.97,-7.29,180.35,1.7,4.77,7.8,31.1,20.2,11,550.8,-3.1361,-2.3716,2.22,1.96,0.46,-0.08,2.58,2.21,2.21,71.28,0.2013,-0.2174,0.2006,0.1531,-0.3444,2.7498,3.7097,1.3741,2.8402,3.1461,29.0401,5.9037,25.1054,7.0052,7.4046,0.5407,0.2641,0.7779,0.3018,0.5135,2.9256,1.0381,1.0478,1.114,3.7168,3.3623,3.7969,3.7461,10.1772,2.0445,2.0483,2.0185,2.0483,2.0176,6.3626,12.634,4.2697,4.2009,4.1635,9.8021,2.0087,1.9913,1.9553,1.8827,1.9641,1.1905,1.3555,0.9727,0.1245,0.0223,0.0154,1.3897,1.4253,1.2216,0.0645,0.0048,0.0074,-140.31,32.8
HACMUT,76.54,5.22,171.45,1.7,4.85,7.36,28.1,16.7,9,542.12,-2.5532,-1.6408,2.17,2.01,-0.13,-0.08,2.61,2.35,2.19,70.15,0.2408,-0.2248,0.1711,-0.7087,-0.3428,2.5158,3.709,1.3379,1.9079,2.7025,28.9737,5.9091,25.1806,8.5063,7.5252,0.5166,0.2145,0.7509,0.323,0.5142,2.9306,1.0538,1.0458,1.104,3.7098,3.4657,3.7935,3.6683,10.1915,2.0421,2.0537,2.0248,2.0448,2.0261,6.351,12.6078,4.2682,4.1951,4.1445,9.8003,1.987,2.0004,1.9496,1.9064,1.957,1.6069,1.4356,1.7291,0.3905,0.0356,0.0509,1.5124,1.3466,1.1238,0.0851,0.0085,0.011,-136.53,26.7
SENKIR10,79.9,4.16,173.51,2.95,9.47,7.74,33.3,28.5,20.4,757.28,-2.4939,-1.5196,2.19,2.03,-0.14,-0.1,2.62,2.31,2.18,71.52,0.3502,-0.2156,0.2029,-0.5031,-0.8575,2.5036,3.7243,1.3017,1.995,1.6907,28.9705,5.9373,25.1799,8.4136,8.5299,0.4875,0.2511,0.7919,0.2609,0.5145,2.9279,1.0428,1.0452,1.1077,3.708,3.4583,3.7693,3.672,10.1895,2.0499,2.0471,2.0299,2.0442,2.0184,6.3186,12.5443,4.2418,4.1593,4.1432,9.7869,1.9971,1.9848,1.9718,1.8965,1.9367,1.4535,1.5435,1.6151,0.3846,0.046,0.0498,1.754,1.3967,1.7006,0.4567,0.0446,0.0679,-171.93,22.1
VAPGOL,80.33,3.86,211.02,1.9,7.65,6.98,36.2,25.9,14.1,585.27,-3.0153,-2.4271,2.07,2.04,-0.13,-0.04,2.62,2.01,2.33,74.05,0.1984,-0.2005,0.0854,-0.1021,0.0976,3.1637,3.7829,1.2698,3.194,2.8811,29.1716,5.787,25.1874,6.9937,6.9758,0.5376,0.4034,0.6903,0.4151,0.5157,2.9235,1.1241,1.0699,0.9894,3.7611,3.8606,3.8395,3.2919,10.1615,2.0173,2.0317,2.0417,2.0216,2.0492,6.3442,12.7203,4.2611,4.239,4.2202,9.7371,2.0034,2.0033,1.9572,1.9151,1.858,1.2589,1.2886,1.3086,0.0893,0.0137,0.0121,1.3126,1.3303,0.9885,0.1142,0.0253,0.0148,-144.44,12.5
