Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
MIWVEV,82.53,215.21,24.7,-3.4037,2.03,1.94,0.449,-0.2471,-0.6799,1.893,2.9568,28.819,7.278,0.6921,0.3783,0.5804,3.1646,6.3752,12.4073,4.1003,9.7685,1.9423,1.5641,1.5704,0.4495,0.0643,1.5717,27
ETCYTC,88.91,192.31,23.5,-2.2959,1.94,1.93,0.3871,-0.2455,-0.8407,2.1745,2.88,28.801,7.297,0.5974,0.5768,0.5806,3.1662,6.3702,12.4974,4.2147,9.7453,1.9279,1.5225,1.6992,0.4056,0.0791,1.6282,21.8
YUDNUH,96.04,205.57,33.8,-2.8578,1.99,1.93,0.324,-0.2448,-0.1376,2.0969,2.893,28.8605,7.2877,0.6285,0.5156,0.5807,3.1694,6.3728,12.5079,4.1244,9.7953,1.8821,1.4791,1.6229,0.4701,0.0553,1.2051,22.3
TIDTAD,79.2,173.96,20.7,-4.0448,2.32,1.92,0.3424,-0.265,-0.0439,1.7455,2.964,28.7861,7.3091,0.7132,0.1882,0.5813,3.1643,6.4483,12.4061,4.2061,9.8031,1.986,1.5073,1.6448,0.3351,0.0647,1.277,25.8
MAQVAB,89.52,192.05,21,-1.8317,1.95,1.95,0.3289,-0.2441,-0.8633,2.0362,2.857,28.8494,7.2913,0.58,0.5657,0.5813,3.1664,6.3879,12.5067,4.1641,9.7765,1.9399,1.7016,1.6347,0.4091,0.089,1.5305,21.3
IBEKEG,81.85,231.09,33.8,-3.3803,2.19,1.88,0.5494,-0.2188,-0.6565,2.2819,2.9464,28.7838,7.2309,0.6753,0.2583,0.5814,3.1528,6.3091,12.4189,4.1643,9.7226,1.9542,1.3724,1.5066,0.4137,0.0437,1.7501,25
EDELUV,79.8,222.01,25.9,-3.2865,2.19,1.93,0.1915,-0.2572,-0.4483,1.8014,2.9489,28.853,7.2761,0.6744,0.2776,0.5816,3.1637,6.491,12.4991,4.156,9.8184,1.9269,1.4395,1.1691,0.1208,0.0254,1.2023,23.3
ECINAH,82.47,194.29,24.4,-3.5925,2.11,1.93,0.4356,-0.2365,-0.6107,1.8414,3.0136,28.8545,7.2454,0.7059,0.3184,0.5817,3.1628,6.3719,12.4021,4.1649,9.7904,1.9722,1.6164,1.5143,0.359,0.0813,1.5949,12
LETDUJ,94.24,196.13,18.4,-2.5757,2.05,1.91,0.2108,-0.252,-0.4183,1.8181,2.8788,28.8224,7.2862,0.5936,0.3503,0.5817,3.1712,6.4516,12.5259,4.2381,9.8118,1.9605,1.6103,1.5052,0.4012,0.0859,1.4067,25.9
OGECUZ,79.86,203.2,23,-4.0519,2.23,1.94,0.3564,-0.2636,-0.0156,1.8256,2.9592,28.7522,7.3102,0.6956,0.2407,0.5818,3.1647,6.4185,12.4249,4.1884,9.8002,1.9868,1.546,1.5752,0.327,0.0567,1.2383,36.1
KAKXAY,100.62,198.97,22.1,-2.2759,2.1,1.93,0.3343,-0.2397,-0.886,1.7633,2.8704,28.8148,7.2736,0.6025,0.3427,0.582,3.1666,6.4056,12.4583,4.1549,9.8018,1.9447,1.5216,1.6315,0.3483,0.0676,1.6708,22
OHOYES,81.18,190.46,24.4,-3.7324,2.07,1.99,0.2225,-0.2481,-0.227,1.8918,3.0035,28.8442,7.2545,0.6469,0.3699,0.582,3.1708,6.4577,12.4917,4.1096,9.8281,1.9368,1.3907,1.1306,0.12,0.0206,1.1662,19.7
HUJBOE,85.46,187.06,23.5,-2.7584,1.99,1.93,0.3792,-0.249,-0.8449,1.8904,2.8947,28.7863,7.2843,0.6116,0.4294,0.5826,3.1671,6.3877,12.4581,4.1595,9.7751,1.9372,1.6739,1.513,0.409,0.0766,1.4935,17.9
GUTYEB01,82.44,227.51,31.3,-3.7776,2.02,1.93,0.301,-0.2517,-0.1587,2.2424,2.9476,28.795,7.2926,0.6918,0.5016,0.583,3.1652,6.4263,12.5204,4.2077,9.7523,1.9195,1.218,1.2184,0.126,0.0301,1.191,25.4
BIGCEZ,80.95,209.17,28.3,-3.3961,2.09,1.96,0.1918,-0.2498,-0.2523,1.9005,2.9968,28.9035,7.2657,0.6495,0.3663,0.5831,3.1663,6.4734,12.5172,4.194,9.8176,1.9084,1.2459,1.0526,0.1354,0.0273,1.2223,35.3
URUPED,86.17,187.42,22.4,-2.6784,1.99,1.94,0.3781,-0.2486,-0.8529,1.9094,2.8888,28.7965,7.2941,0.6131,0.4459,0.5832,3.166,6.3837,12.4603,4.173,9.7779,1.9402,1.6654,1.5364,0.3868,0.0712,1.4969,17.7
