Ligand,Bite Angle (°),Cone Angle (°),% Buried Volume (5.0A),HOMO Energy (eV),Cu-L1 (A),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L2),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Bond Order (Cu-L1),Bond Order (Cu-L2),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(p),Orbital Charge Cu(px),Orbital Charge Cu(d),Orbital Charge Cu(dyz),Orbital Charge L1(px),Orbital Charge L1(py),Orbital Charge L1(d),Orbital Charge L1(dyz),Orbital Charge L2(px),Ea
JOXXIG,97.61,201.94,35.3,-3.7939,2.06,1.93,0.4721,-0.2292,-0.5426,2.1656,2.983,28.8374,7.2129,0.6211,0.3668,0.479,3.1712,6.2588,12.4514,4.1632,9.8177,1.9573,1.7906,1.3779,0.4214,0.0914,1.3981,10.8
VUJTOJ,62.52,155.69,19.3,-3.1221,2.14,2.05,0.381,-0.2583,-0.6076,1.6572,2.9225,28.8608,7.3253,0.6781,0.3868,0.4791,3.1602,6.4428,12.3616,4.1562,9.8147,1.9611,1.7003,1.52,0.336,0.0675,1.456,15.4
WONVIE,62.16,154.47,13.7,-3.1955,2.16,2.05,0.3793,-0.2595,-0.5766,1.6355,2.9217,28.8524,7.3264,0.6811,0.3531,0.4792,3.1611,6.448,12.3561,4.1856,9.8166,1.992,1.564,1.5967,0.323,0.0641,1.6129,16.3
SUWWEO,81.36,225.27,25.4,-4.0624,2.04,2.07,0.3362,-0.2421,-0.0774,1.7936,3.012,28.7932,7.2748,0.682,0.4198,0.4792,3.1649,6.3986,12.4394,4.1926,9.8257,1.9744,1.5207,1.65,0.409,0.0737,1.4003,41.3
MUSJUF,80.82,195.52,27.2,-3.1025,2.13,2.01,0.3254,-0.2515,-0.1753,1.7092,2.9746,28.796,7.2794,0.6676,0.323,0.4794,3.1658,6.4128,12.4252,4.1615,9.8366,1.9545,1.6866,1.5419,0.3672,0.0812,1.2052,18.2
LUCFAQ,96.38,200.73,23.1,-3.0099,1.94,1.91,0.432,-0.2454,-0.6158,1.918,2.8991,28.6753,7.2869,0.6019,0.5062,0.4796,3.1686,6.3295,12.4622,4.1554,9.7762,1.9753,1.5504,1.6967,0.4272,0.0872,1.593,26.3
LUCFOE,96.7,201.21,23.2,-3.013,1.93,1.91,0.4345,-0.2452,-0.6147,1.928,2.8993,28.6741,7.2874,0.6004,0.5132,0.4798,3.1688,6.3282,12.4632,4.163,9.7741,1.9741,1.552,1.6969,0.433,0.0869,1.59,17.6
FAHFAV,62.25,195.1,23,-3.2182,2.17,2.04,0.3906,-0.2546,-0.5587,1.6214,2.9385,28.8515,7.3017,0.6879,0.3146,0.4802,3.1608,6.4433,12.3552,4.1252,9.8109,1.969,1.6309,1.4718,0.402,0.071,1.4884,16
NBZOAO03,63.95,159.17,16.8,-3.5504,2.04,2.07,0.4508,-0.2587,-0.5197,1.9136,2.9398,28.8636,7.3368,0.7119,0.5189,0.4802,3.1625,6.4066,12.3676,4.133,9.775,1.9664,1.4854,1.5198,0.3183,0.047,1.6425,23.2
EYEKOK,79.78,228.32,26.6,-3.6249,2.12,2.06,0.3407,-0.2562,-0.072,1.7981,2.9187,28.8151,7.3221,0.6886,0.3624,0.4803,3.167,6.4038,12.4207,4.188,9.8348,1.9852,1.5204,1.6516,0.3615,0.0569,1.4341,25.4
GIRWAG,95.76,198.42,19.9,-2.7275,1.93,1.96,0.4016,-0.2455,-0.6831,1.8165,2.8824,28.703,7.2894,0.5968,0.4811,0.4803,3.1696,6.3425,12.4545,4.2,9.8014,1.9507,1.6004,1.5975,0.3963,0.0611,1.5897,18.6
NAXCIY01,77.15,201.74,23.3,-3.6775,2.1,2.03,0.2214,-0.2711,-0.1004,1.7488,2.9413,28.7624,7.3219,0.6674,0.3463,0.4805,3.1678,6.4498,12.4848,4.1881,9.844,1.9641,1.2196,1.4795,0.0625,0.0064,1.37,26.9
XARJIL,63.73,180.75,21.7,-3.3096,2.14,2.01,0.3188,-0.2632,-0.1638,1.7595,2.9435,28.841,7.3188,0.6775,0.3933,0.4805,3.1638,6.4523,12.4078,4.1692,9.8211,1.9559,1.7083,1.5416,0.3423,0.0738,1.2997,16.1
HIHNIV01,83.18,192.06,20.6,-3.2085,2.04,1.96,0.3396,-0.2585,-0.0746,1.8489,2.9169,28.7348,7.3197,0.6521,0.3949,0.4805,3.1662,6.3937,12.4618,4.2077,9.8049,1.9752,1.5596,1.5691,0.3524,0.0628,1.3963,21.9
VUWYER,90.74,189.72,22.2,-4.0169,2.03,1.97,0.4908,-0.1075,-0.5201,1.7979,3.2194,28.7507,7.0634,0.632,0.4427,0.4806,3.1539,6.2424,12.4142,4.1393,9.8526,1.9345,1.5862,1.5377,0.3913,0.0771,1.5374,-20.7
ELUGEY,79.81,205.97,26.1,-3.494,2.06,1.98,0.1929,-0.269,-0.2013,1.8804,2.9346,28.8271,7.3105,0.6672,0.4432,0.4808,3.1704,6.4445,12.524,4.1809,9.8386,1.9573,1.3846,1.0961,0.1164,0.0355,1.287,24.5
CEKBIF,80.52,188.4,24.3,-4.2084,2.05,2.03,0.3556,-0.2692,0.1794,2.028,2.9568,28.7642,7.3153,0.7085,0.454,0.481,3.173,6.4096,12.4387,4.1898,9.7961,1.9434,1.1897,1.0666,0.1276,0.0197,1.0721,29
HUTJIR,93.16,196.96,24.6,-3.0881,1.93,1.94,0.4485,-0.2474,-0.664,1.9204,2.9174,28.6641,7.2819,0.6144,0.47,0.4811,3.17,6.3351,12.4511,4.1996,9.7653,1.9211,1.5296,1.6554,0.4058,0.0603,1.5919,24.6
RUQKOG,85.17,225.61,38.2,-3.1512,2.03,1.94,0.5028,-0.2054,-0.6067,2.1038,3.043,28.8132,7.2077,0.6418,0.4855,0.4811,3.1602,6.2736,12.4453,4.1527,9.7783,1.962,1.5263,1.6397,0.391,0.0673,1.565,46.2
IBOWAZ,81.14,212.24,29.2,-2.978,2.11,2.01,0.1969,-0.2645,-0.2163,1.6514,2.9351,28.7806,7.2922,0.6334,0.2668,0.4812,3.1694,6.4537,12.4944,4.2036,9.855,1.9743,1.2433,1.3526,0.0633,0.0094,1.3879,20.1
YIRNOC,62.55,185.02,25.4,-3.197,2.19,2.01,0.2902,-0.2657,-0.1995,1.6653,2.9293,28.8506,7.3126,0.6614,0.3407,0.4813,3.1644,6.4789,12.4045,4.1378,9.8265,1.944,1.7121,1.5257,0.3421,0.0781,1.293,17.4
AKIHAF,95.63,196.28,19.4,-2.7667,2,1.95,0.3936,-0.2452,-0.634,1.7579,2.8921,28.7134,7.2944,0.611,0.4007,0.4813,3.1679,6.3534,12.4398,4.1096,9.8132,1.9581,1.5325,1.6925,0.3506,0.085,1.512,16.9
NANLIY,83.5,185.69,19.5,-4.437,1.95,1.96,0.5612,-0.2241,-0.5189,2.1462,3.002,28.6073,7.2811,0.7325,0.545,0.4813,3.1694,6.3199,12.4327,4.1519,9.6862,1.9257,1.651,1.5359,0.3747,0.0619,1.4942,15.1
VOXPED01,93.02,195.56,20.2,-3.1374,1.95,1.95,0.4342,-0.2479,-0.6547,1.8866,2.9104,28.6906,7.2941,0.6272,0.4542,0.4814,3.1681,6.3415,12.4398,4.1224,9.7845,1.9668,1.57,1.6588,0.3989,0.0549,1.5425,27.2
UFAMAS,92.18,197.15,21.6,-3.3298,1.92,1.91,0.4833,-0.2465,-0.5745,2.0007,2.9184,28.5991,7.2871,0.6255,0.4646,0.4814,3.1709,6.3259,12.4559,4.1523,9.7349,1.9763,1.5242,1.6765,0.4092,0.0712,1.5613,26.2
BIPXUW,95.34,198.21,22.1,-2.8257,1.96,1.93,0.4111,-0.246,-0.6158,1.8352,2.891,28.7063,7.2852,0.5972,0.4939,0.4814,3.1698,6.34,12.453,4.1734,9.7959,1.9556,1.5596,1.67,0.3959,0.0748,1.5761,27.3
LESVEM,63.02,156.91,14.1,-2.9767,2.12,2.04,0.3685,-0.2591,-0.5836,1.6768,2.9222,28.8698,7.327,0.6764,0.3886,0.4817,3.1616,6.4458,12.3698,4.1329,9.8159,1.9627,1.6493,1.6152,0.3166,0.0684,1.4973,22.6
ZAKTAJ,81.89,230.85,40.2,-3.0723,2.06,2,0.2439,-0.2582,-0.2418,1.8231,2.9249,28.791,7.2829,0.6383,0.3945,0.4817,3.1664,6.4242,12.4906,4.2054,9.8413,1.949,1.4081,1.2552,0.0868,0.0177,1.1772,22.4
XICPAC,93.13,194.08,21.7,-2.9475,1.98,1.96,0.4165,-0.2457,-0.642,1.8369,2.925,28.746,7.2946,0.6437,0.4267,0.4817,3.1664,6.353,12.4371,4.1182,9.7933,1.9711,1.6142,1.5761,0.3522,0.0766,1.5956,16.5
POHZUJ,95.79,200.51,22.2,-3.4786,1.92,1.92,0.4811,-0.2437,-0.6257,2.0789,2.9234,28.6729,7.2863,0.6427,0.5224,0.4817,3.1676,6.3274,12.4529,4.1282,9.7386,1.9489,1.5542,1.6786,0.3954,0.0812,1.5447,21.2
ZIGCEX,80.15,173.68,18.6,-3.993,2.24,1.99,0.3623,-0.2462,-0.5397,1.5585,2.9883,28.7347,7.2824,0.6814,0.2261,0.4818,3.1629,6.4036,12.3915,4.1669,9.8426,1.9885,1.077,1.6073,0.0803,0.0083,1.7029,4
KAGTAQ,79.89,234.51,33.2,-3.8425,2.08,2.07,0.3664,-0.253,-0.054,1.8794,2.9227,28.8263,7.2835,0.6752,0.3792,0.4819,3.167,6.3908,12.4202,4.1972,9.8225,1.9779,1.5185,1.6601,0.4417,0.0836,1.3981,29.4
BAGQUY,79.2,229.46,29.7,-3.7959,2.14,1.99,0.2721,-0.266,-0.1248,1.908,2.9172,28.7512,7.3132,0.6844,0.3827,0.4819,3.1695,6.4373,12.4753,4.1535,9.8153,1.9481,1.4738,1.1221,0.1168,0.0276,1.1779,37
YESLUG,84.23,193.53,21.8,-3.6431,2.03,1.94,0.3683,-0.2511,-0.5963,1.9208,3.003,28.732,7.2748,0.6797,0.3934,0.4819,3.163,6.3856,12.4576,4.1545,9.7885,1.9455,1.3525,1.2823,0.0935,0.0163,1.5354,31.3
MENDUF,81.49,177.84,23.7,-3.5158,2.4,1.89,0.4811,-0.2341,-0.5439,1.9152,2.8709,28.7126,7.2479,0.4401,0.1386,0.482,3.1881,6.2877,12.3881,4.1344,9.8432,1.981,1.2297,1.3212,0.0597,0.0126,1.5314,-2.7
XIJMIM,62.49,155.6,22.2,-3.1522,2.12,2.07,0.3871,-0.2579,-0.5979,1.6661,2.923,28.8695,7.3291,0.6797,0.4141,0.482,3.16,6.4369,12.3606,4.1662,9.8154,1.9767,1.4742,1.6307,0.3655,0.0593,1.6873,22.7
UKOSAP01,78.63,172.99,17.4,-3.8692,2.23,1.98,0.3538,-0.2501,-0.6168,1.5606,2.9793,28.7165,7.2892,0.6794,0.2244,0.4821,3.162,6.4147,12.4012,4.1579,9.8302,1.9798,1.0779,1.6576,0.0799,0.0082,1.6938,5.4
RAGMUJ,62.55,155.48,18.6,-3.1759,2.16,2.04,0.3859,-0.2583,-0.584,1.6431,2.9271,28.8492,7.3271,0.6847,0.3513,0.4821,3.1598,6.4414,12.3573,4.1231,9.8154,1.9708,1.4934,1.6424,0.3167,0.0692,1.6382,22.8
RAVMIK,88.62,190.99,23.6,-3.0962,1.99,1.97,0.4294,-0.2504,-0.6646,1.8289,2.9085,28.7592,7.3172,0.6541,0.4632,0.4821,3.1673,6.3586,12.4197,4.1342,9.7923,1.972,1.5921,1.5963,0.385,0.0515,1.5487,19.5
SUSDIW,93.42,196.73,20.2,-2.9914,1.93,1.94,0.4253,-0.2475,-0.6819,1.8901,2.902,28.684,7.2931,0.6142,0.4672,0.4822,3.1687,6.3408,12.4502,4.1584,9.7837,1.9652,1.5956,1.5875,0.4041,0.0548,1.5598,28.5
BOZNEM,103.42,204.4,23.9,-3.6393,2.03,1.92,0.4806,-0.2427,-0.5098,1.9503,2.9398,28.6682,7.28,0.625,0.429,0.4823,3.1646,6.302,12.4322,4.171,9.7851,1.9539,1.6729,1.4902,0.3603,0.0648,1.4509,11
XUSXOY,97.35,201.63,34,-3.3752,1.88,1.97,0.4596,-0.2379,-0.6251,2.1524,2.9029,28.7806,7.259,0.6385,0.6595,0.4824,3.1652,6.356,12.456,4.1176,9.7284,1.9036,1.5315,1.6286,0.4629,0.0979,1.5454,24.3
CIWWOX,80.07,178.33,25.2,-3.9085,2.06,1.98,0.5552,-0.208,-0.5055,2.2148,2.9411,28.7842,7.225,0.5452,0.3729,0.4827,3.1688,6.2823,12.3897,4.107,9.7729,1.9362,1.4218,1.5831,0.3884,0.0621,1.557,8.9
TAKZOX,83.05,220.63,29.9,-3.6991,2.03,2.01,0.3971,-0.2466,0.0059,2.0049,2.968,28.7496,7.2774,0.6937,0.4311,0.4827,3.1608,6.3642,12.4461,4.1651,9.7925,1.9806,1.4942,1.6379,0.4046,0.0712,1.4082,22.9
VOMSOF,90.29,191.79,36.9,-3.5098,2.18,1.93,0.4533,-0.2204,-0.4698,2.0957,2.9366,28.845,7.1528,0.5119,0.2783,0.4828,3.1728,6.2548,12.4485,4.1113,9.8434,1.9565,1.4703,1.5977,0.3619,0.0639,1.5762,11.7
RIBYAD,91.87,194.49,20.3,-3.1746,1.95,1.94,0.4359,-0.2482,-0.6494,1.8773,2.9102,28.6828,7.2945,0.6272,0.4429,0.4829,3.1682,6.3426,12.4381,4.128,9.7834,1.9713,1.5679,1.6532,0.3999,0.0551,1.5281,28.4
SEMHAU,94.57,197.76,21.2,-2.8724,1.95,1.93,0.4176,-0.2465,-0.6266,1.8467,2.896,28.69,7.2862,0.6025,0.4755,0.4829,3.1695,6.3386,12.4531,4.158,9.7906,1.9696,1.5561,1.6844,0.3971,0.0792,1.5727,18.3
ANITUO,95.06,211.74,25.8,-4.1277,1.91,2.02,0.3793,-0.2555,-0.051,2.0472,2.9632,28.6851,7.2666,0.6672,0.5256,0.4829,3.1683,6.3721,12.4854,4.1472,9.7632,1.9551,1.5139,1.6018,0.3975,0.0577,1.2449,30.7
YICGUM,104.61,200.33,29.2,-3.0748,2.14,1.97,0.4053,-0.2311,-0.5826,1.9128,2.9243,28.8612,7.2277,0.5679,0.2798,0.483,3.1717,6.286,12.4524,4.1812,9.8562,1.9676,1.6447,1.5139,0.4404,0.0919,1.4673,-4.7
RIXGOW,94.82,199.86,29.2,-3.8089,2.04,1.99,0.4703,-0.2069,-0.5751,1.9121,3.0492,28.8329,7.2024,0.6596,0.4197,0.483,3.1616,6.3154,12.4214,4.1344,9.7929,1.9511,1.6428,1.4139,0.3694,0.0519,1.6488,18
EKOQAZ,96.09,198.35,20.9,-2.8824,1.95,1.96,0.412,-0.2454,-0.6747,1.7945,2.8915,28.683,7.2875,0.5967,0.4482,0.483,3.169,6.3385,12.4486,4.1883,9.8008,1.9431,1.5725,1.615,0.4257,0.0634,1.5877,17.6
YEBJUN,79.67,207.46,26.7,-4.3338,2.02,1.99,0.3027,-0.2665,-0.0956,2.0862,2.9638,28.7553,7.3352,0.7205,0.4954,0.4831,3.1705,6.4162,12.5039,4.1562,9.7772,1.9691,1.0817,1.3986,0.1146,0.0126,1.4121,28.2
RAFTEY,95.55,197.85,19.9,-2.7357,1.94,1.96,0.3966,-0.2456,-0.6793,1.7969,2.8821,28.7114,7.2875,0.5961,0.4716,0.4833,3.1696,6.3452,12.4522,4.1976,9.8059,1.9514,1.5901,1.6106,0.3971,0.0607,1.5801,18.2
JASHOA,62.09,154.33,16.5,-3.3228,2.19,2.04,0.3886,-0.2594,-0.5701,1.6299,2.9269,28.8492,7.3261,0.6921,0.3353,0.4834,3.1603,6.4449,12.3512,4.1449,9.8152,1.9865,1.5159,1.6222,0.3315,0.0612,1.6454,22.7
ITIWIT,79.1,198.86,21.8,-4.0254,2.05,2.05,0.2559,-0.2508,0.0831,1.8501,3.0009,28.8176,7.2932,0.6741,0.4181,0.4834,3.1663,6.4383,12.4763,4.1697,9.8295,1.9681,1.0324,1.2378,0.1291,0.0119,1.1739,15.7
WUJVUT,96.83,200.8,34.5,-3.3669,1.89,1.98,0.4625,-0.2373,-0.6202,2.1419,2.9339,28.7841,7.2514,0.6441,0.6431,0.4834,3.1646,6.3528,12.4519,4.1069,9.7327,1.912,1.5067,1.6407,0.4876,0.0993,1.5599,22.9
IQIYEN,63.01,205.79,31.8,-3.3117,2.17,2.02,0.3367,-0.2583,-0.166,1.7751,2.9401,28.8588,7.3029,0.6777,0.3478,0.4835,3.1628,6.4372,12.3934,4.1743,9.8327,1.9633,1.7127,1.4897,0.3421,0.0746,1.3146,22.9
BOWZES,81.79,179.6,23.5,-4.2479,2.08,1.96,0.5068,-0.2257,-0.5796,2.006,3.0077,28.7369,7.2262,0.6956,0.3583,0.4835,3.1655,6.3242,12.4016,4.2007,9.7674,1.9784,1.6268,1.5228,0.3676,0.0918,1.5821,14.1
UBAGOV,63,156.72,15.8,-3.1674,2.14,2.03,0.384,-0.2597,-0.5603,1.6635,2.9296,28.8538,7.3353,0.6941,0.3547,0.4836,3.1613,6.4359,12.3626,4.1532,9.8176,1.9872,1.5014,1.6163,0.3244,0.062,1.6518,26.3
TELRIL,93.24,215.81,30.7,-3.3514,1.92,1.93,0.4814,-0.243,-0.6813,2.0136,2.9382,28.6421,7.2619,0.6243,0.4669,0.4837,3.1675,6.3245,12.4437,4.1449,9.7504,1.9668,1.5662,1.5561,0.4164,0.0539,1.5446,29.7
IYIVOB,84.96,192.78,21.6,-2.9619,1.98,2.02,0.2754,-0.2588,-0.709,1.7933,2.9244,28.826,7.3019,0.6475,0.4293,0.4838,3.1664,6.4134,12.4898,4.2162,9.8214,1.948,1.4071,1.2471,0.0922,0.0169,1.5173,18.8
XABQIB,94.54,198,22.5,-3.0124,1.94,1.94,0.4298,-0.246,-0.585,1.9497,2.9039,28.7176,7.2926,0.6156,0.5261,0.4838,3.1681,6.3394,12.4524,4.1563,9.7784,1.9714,1.5307,1.7007,0.3989,0.071,1.567,17.4
YILJIP,83.95,185.29,29.1,-3.1525,1.94,1.99,0.4279,-0.2486,-0.5616,1.9689,2.9235,28.803,7.286,0.6528,0.5872,0.4838,3.166,6.378,12.4398,4.147,9.7543,1.9457,1.4603,1.7099,0.4859,0.0734,1.6575,16.7
HUVZIJ,79.58,214.71,36.9,-3.6842,2.12,2.01,0.3439,-0.2416,-0.1699,1.6912,3.0099,28.7835,7.2825,0.6773,0.311,0.4839,3.1657,6.398,12.4251,4.1165,9.833,2.003,1.4879,1.6427,0.3752,0.0812,1.4108,34.2
WANKIF,62.81,156.36,18.9,-3.1445,2.12,2.05,0.3865,-0.2581,-0.5916,1.6837,2.9259,28.857,7.3271,0.6794,0.3958,0.4839,3.1599,6.4388,12.3632,4.1647,9.8114,1.9714,1.4633,1.619,0.3386,0.05,1.6928,14.8
KOBNIB01,63.42,165.69,18.2,-3.0066,2.18,2,0.2955,-0.2637,-0.1532,1.6821,2.9179,28.8618,7.3294,0.673,0.344,0.484,3.1652,6.4694,12.4034,4.1635,9.8317,1.947,1.7286,1.5234,0.3579,0.0734,1.2677,26
IKEGAH,78.99,173.1,17,-3.7889,2.23,1.98,0.3423,-0.2522,-0.6452,1.5366,2.9723,28.7208,7.2914,0.6786,0.2212,0.4842,3.1613,6.4223,12.4036,4.1551,9.8319,1.9789,1.0864,1.6522,0.0811,0.0093,1.6947,6.3
DUKSEK,82.51,196.74,26.6,-3.2158,1.99,2,0.3055,-0.2606,-0.7568,1.8388,2.9482,28.7791,7.2971,0.6496,0.4352,0.4843,3.1674,6.4081,12.4758,4.2068,9.8107,1.9508,1.4358,1.2168,0.0953,0.018,1.4727,26.6
WAYQOE,93.32,196.56,20.2,-2.986,1.94,1.94,0.4253,-0.2467,-0.6823,1.888,2.8997,28.6853,7.2867,0.6132,0.4637,0.4843,3.1686,6.3416,12.4493,4.1943,9.7838,1.9457,1.545,1.6537,0.4035,0.0642,1.5894,27.8
OGEFOW,63.08,195.74,25,-3.2544,2.1,2.04,0.4116,-0.2545,-0.5672,1.7039,2.9461,28.8447,7.3135,0.6964,0.3839,0.4845,3.1589,6.4185,12.3624,4.1686,9.8075,1.9822,1.4745,1.5949,0.4456,0.0826,1.6712,15.2
VAWWIZ,91.23,194.92,26.2,-3.0711,1.96,1.96,0.4283,-0.2499,-0.6775,1.8602,2.9254,28.7399,7.2941,0.6257,0.4547,0.4845,3.1692,6.3513,12.4341,4.1856,9.7863,1.9366,1.5409,1.6671,0.419,0.0664,1.5981,20.9
EFALON,63.5,157.69,18.1,-3.2868,2.09,2.06,0.3924,-0.258,-0.6391,1.7233,2.9211,28.8668,7.3278,0.687,0.4329,0.4846,3.1594,6.4303,12.3649,4.1533,9.8124,1.9661,1.4646,1.6214,0.3475,0.0653,1.6841,13.2
HEVLOJ,79.5,185.51,21.1,-3.9174,2.2,2,0.251,-0.2576,-0.1719,1.6453,2.9825,28.7606,7.2847,0.6756,0.2319,0.4848,3.1658,6.452,12.4543,4.1858,9.8427,1.9887,1.1132,1.6274,0.0823,0.0088,1.4041,10.6
KISRIQ,85.02,194.68,31.2,-3.6283,2.23,1.99,0.3861,-0.2532,-0.568,1.6497,2.9576,28.7392,7.3005,0.6885,0.2526,0.4848,3.1632,6.3824,12.3944,4.1632,9.8372,1.9628,1.1607,1.4715,0.0915,0.0166,1.5664,14
FPAMCA11,62.42,160.09,15.3,-3.3152,2.15,2.04,0.3943,-0.2584,-0.5832,1.6624,2.9266,28.8493,7.3287,0.6874,0.3753,0.4849,3.1597,6.4368,12.3549,4.1823,9.814,1.9804,1.4713,1.607,0.356,0.0659,1.6944,22.8
ELOCOZ,82.25,233.86,35.1,-3.6286,2.06,2.01,0.2859,-0.2543,-0.1255,1.9406,2.9664,28.7783,7.2989,0.6881,0.3802,0.485,3.1636,6.4056,12.491,4.1351,9.8175,1.9702,1.4421,1.1935,0.0911,0.0194,1.2124,15.1
DHXBHP10,94.31,199.14,21.5,-3.2269,1.91,1.93,0.4543,-0.2461,-0.5987,2.0245,2.9123,28.6696,7.285,0.6261,0.5311,0.4851,3.1683,6.3326,12.4618,4.1915,9.7513,1.9154,1.59,1.5658,0.4047,0.0819,1.4929,28.2
IQUHEH,79.57,235.72,33.1,-3.4685,2.05,2,0.2368,-0.259,-0.2185,1.8819,2.9416,28.8191,7.2797,0.6576,0.4051,0.4853,3.1689,6.4267,12.4985,4.1529,9.838,1.9445,1.3068,1.1844,0.1126,0.0323,1.2381,28.7
JOHLIE,93.6,196.63,22.1,-2.8195,1.93,1.95,0.4106,-0.246,-0.6778,1.8311,2.8948,28.6974,7.2851,0.6039,0.4657,0.4853,3.1691,6.3434,12.4519,4.1591,9.7941,1.9643,1.5795,1.6287,0.4313,0.0665,1.5512,16.3
BEYMIB,84.32,184.99,26.4,-3.0687,1.97,1.98,0.4178,-0.2514,-0.5596,1.9433,2.9005,28.7881,7.3004,0.6491,0.5573,0.4853,3.1652,6.3713,12.4404,4.1748,9.7704,1.9372,1.5178,1.6562,0.4487,0.0715,1.5349,17.9
XISREW,62.16,154.53,17,-3.2374,2.18,2.04,0.3827,-0.2594,-0.5892,1.635,2.9239,28.8497,7.3308,0.6823,0.3484,0.4854,3.1604,6.4457,12.3557,4.1658,9.8158,1.9667,1.4708,1.5811,0.299,0.0376,1.6897,15.4
WOMHUD,66.19,250.53,34.1,-2.9084,1.98,1.98,0.411,-0.2227,-0.1712,2.5547,2.9191,28.8403,7.2392,0.6203,0.4573,0.4855,3.1645,6.3356,12.5325,4.1877,9.7209,1.9032,1.3772,1.2119,0.0809,0.0218,1.2331,28.2
DERKOB,92.46,197.98,24.7,-3.5589,1.92,1.91,0.5054,-0.2426,-0.6214,2.0948,2.9371,28.6173,7.2784,0.6437,0.509,0.4855,3.1694,6.3227,12.4542,4.1341,9.7177,1.9576,1.5564,1.6083,0.433,0.063,1.5286,27.2
LAPXEG,78.87,190.76,23.7,-3.8719,2.33,1.9,0.4921,-0.2259,-0.6012,2.0141,2.9034,28.7095,7.2401,0.4752,0.1824,0.4856,3.1821,6.2843,12.4003,4.1595,9.8232,1.9651,1.2414,1.3535,0.0607,0.014,1.588,1.7
LORTIY,84.07,225.37,26.9,-3.3396,2.02,1.98,0.3189,-0.2618,-0.0926,1.9435,2.9174,28.8159,7.2793,0.6628,0.4838,0.4857,3.1689,6.3997,12.4844,4.179,9.797,1.9784,1.5374,1.6591,0.3849,0.0628,1.4119,18.4
LAWJOI,90.37,204.52,32,-3.3139,2.06,1.98,0.3937,-0.2368,-0.5907,1.7698,3.0054,28.7996,7.2714,0.6626,0.3319,0.4858,3.1651,6.3676,12.4236,4.188,9.815,1.9789,1.6793,1.4736,0.4331,0.1002,1.5073,12.9
XIWPAU,96.21,206.76,32.6,-3.9001,2.01,1.96,0.4714,-0.2429,-0.5165,1.9087,2.9693,28.7687,7.2592,0.6999,0.4158,0.4858,3.1653,6.3273,12.4091,4.0811,9.7922,1.9319,1.5932,1.5524,0.3607,0.0624,1.708,3
AROHOG,96.15,214,36.5,-3.0496,1.96,1.96,0.3542,-0.2452,-0.6569,1.9887,2.919,28.7442,7.2664,0.6122,0.5677,0.4858,3.1681,6.3539,12.4922,4.1643,9.7997,1.9397,1.2123,1.384,0.0879,0.0115,1.6048,26.5
HISMAA,81.17,193,21.1,-3.8959,2.15,2.02,0.3129,-0.2535,-0.1203,1.7181,2.9905,28.802,7.3101,0.688,0.3671,0.486,3.1628,6.4088,12.434,4.2004,9.8443,1.9475,1.5122,1.5508,0.3433,0.0443,1.3633,29.4
JEDZIC01,93.27,196.14,21.3,-2.879,1.94,1.94,0.4137,-0.2469,-0.6742,1.8423,2.8985,28.7033,7.2878,0.6053,0.4741,0.4861,3.169,6.3432,12.4498,4.1577,9.7933,1.9641,1.5949,1.626,0.4048,0.0615,1.5572,18.6
CIWLAW,96.48,199.51,20,-2.7158,1.96,1.93,0.4015,-0.2453,-0.6228,1.8349,2.8837,28.7017,7.2874,0.5946,0.4855,0.4861,3.1697,6.341,12.4598,4.1994,9.7977,1.9476,1.572,1.6372,0.3966,0.0769,1.573,18.3
HUDJAS,96.31,199.1,19.9,-2.6994,1.93,1.96,0.3976,-0.2451,-0.6893,1.8192,2.8831,28.7067,7.2856,0.5947,0.4825,0.4862,3.1696,6.3432,12.4583,4.192,9.801,1.948,1.586,1.628,0.3975,0.0633,1.5866,28.5
UVUQOS,93.98,195.57,20.8,-3.1133,1.96,1.97,0.3934,-0.2541,-0.6687,1.7777,2.9272,28.7567,7.2808,0.6355,0.4486,0.4863,3.1716,6.3587,12.4455,4.163,9.8024,1.9557,1.5669,1.5963,0.4269,0.0569,1.5565,27.3
DAKZOF,93.7,196.72,22.4,-2.987,1.94,1.95,0.4279,-0.2471,-0.666,1.8578,2.9022,28.6943,7.2855,0.6038,0.4817,0.4864,3.1693,6.3377,12.4481,4.1926,9.7863,1.9402,1.5541,1.6557,0.4197,0.065,1.5811,26.6
BILSAQ,89.56,189.86,27.4,-3.9811,2.02,1.94,0.4931,-0.2213,-0.5365,1.9349,3.0522,28.7306,7.2356,0.6647,0.4744,0.4867,3.1612,6.2867,12.4198,4.1363,9.8003,1.9524,1.5845,1.5027,0.413,0.0574,1.4953,9.9
MOBXUW,82.85,180.6,20.6,-3.745,2.09,1.96,0.4678,-0.2502,-0.5549,1.8074,2.9783,28.74,7.2902,0.7257,0.3181,0.4868,3.1636,6.3635,12.3844,4.1804,9.7843,1.9674,1.614,1.5384,0.3507,0.086,1.5682,13.7
