Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
MODGIX,93.55,45,-2.6106,0.1909,1.93,0.385,-0.2439,-0.7744,1.6849,2.9052,28.8153,7.2849,0.6212,3.1661,6.3917,9.7998,1.9549,42.7
ERABOO,99.27,43,-2.9937,-0.4816,1.93,0.3622,-0.2087,-0.6174,1.6656,3.0404,28.8831,7.1962,0.6327,3.1589,6.4158,9.7892,1.9759,35.6
JUMXAQ,81.74,35.2,-4.7315,-3.6829,1.92,0.3473,-0.2676,-0.1116,2.1912,2.9901,28.7025,7.323,0.7249,3.1701,6.4006,9.7392,1.9715,31.2
FAWYIO,102.31,41.6,-2.9258,-1.2078,1.96,0.4054,-0.229,-0.588,1.8596,2.9691,28.8788,7.2329,0.6405,3.167,6.3408,9.8196,1.9692,36.2
KAMLIT,93.95,35.6,-3.1501,-1.4277,1.9,0.4187,-0.2421,-0.5718,2.0088,2.9091,28.8045,7.276,0.643,3.1655,6.3803,9.7547,1.9712,46.5
JOPMIN,84.64,31.7,-4.0342,-2.7629,1.97,0.417,-0.2115,-0.5225,2.4513,2.9653,28.8419,7.2225,0.5528,3.1681,6.2691,9.7852,1.9006,24.9
EZUNIX,75.01,30.7,-3.5204,-2.0114,1.93,0.2923,-0.2648,-0.6837,1.7505,2.9494,28.8452,7.2929,0.6865,3.1654,6.4962,9.7935,1.9491,39.9
BAMYET,93.11,49.8,-3.9012,-1.7109,2.31,-0.0532,-0.2487,0.931,2.5069,3.0704,29.2586,7.19,0.6759,3.1612,6.5255,9.8129,1.943,28.2
CUPRAI,84.27,46.7,-3.6179,-2.2083,1.9,0.2543,-0.2513,-0.1728,2.2105,2.9373,28.877,7.2649,0.6841,3.1655,6.4403,9.7707,1.9637,58
ALAROU,94.88,38.2,-2.855,-1.1406,1.92,0.3832,-0.2422,-0.655,1.8127,2.9096,28.8428,7.2932,0.6533,3.1644,6.3953,9.7913,1.9744,46.9
EHIQOC,77.03,30.1,-4.2574,-2.2729,1.92,0.323,-0.2667,-0.5168,1.6802,2.9925,28.8293,7.3004,0.7429,3.1623,6.4878,9.8005,1.943,44
KAHFEF,83.7,45,-2.7171,-0.8734,1.93,0.3067,-0.2501,-0.202,1.7197,2.9212,28.7951,7.261,0.6101,3.167,6.4293,9.8181,1.9559,43.8
ULEPUY,81.25,37.8,-3.0616,-1.1919,1.9,0.3672,-0.2511,-0.4949,1.6745,2.9447,28.8344,7.2545,0.6554,3.1622,6.4423,9.7843,1.9174,41.6
OCAXUM,92.61,37.4,-3.1717,-1.5829,1.9,0.4121,-0.2436,-0.6022,1.9282,2.9064,28.7985,7.2699,0.633,3.1675,6.3898,9.7581,1.9706,41.7
UVURAF,83.64,38.8,-3.4108,-2.4744,1.99,0.3713,-0.2511,-0.554,1.9479,2.9322,28.8259,7.2875,0.6615,3.1688,6.4167,9.7735,1.9761,39.4
QOWMAQ,96.67,43.2,-3.7701,-2.8646,1.89,0.566,-0.2151,-0.5824,2.5205,2.9736,28.7829,7.2444,0.6923,3.1616,6.2691,9.6843,1.8352,35.1
WAYPIX,79.05,34.6,-3.1745,-0.6979,1.91,0.371,-0.2548,-0.4817,1.6831,2.931,28.832,7.2719,0.6586,3.1629,6.4432,9.7854,1.9181,48.5
VUMXAF,85.7,28.6,-3.702,-2.878,1.86,0.4817,-0.2155,-0.5447,2.2709,2.9539,28.8328,7.1637,0.5025,3.169,6.2608,9.7923,1.9508,24
BUYGOT,96.89,35.6,-3.1288,-1.0165,1.9,0.4077,-0.2395,-0.5715,1.9425,2.9192,28.8286,7.269,0.6481,3.1638,6.3872,9.7661,1.9771,39
NODMOK,83.94,42.9,-2.9373,-0.9049,1.92,0.3158,-0.2534,-0.1981,1.682,2.9255,28.826,7.286,0.6643,3.1613,6.4376,9.8088,1.9646,39.7
HIKWEG,82.67,28.9,-3.0308,-1.2365,1.91,0.3518,-0.2532,-0.5243,1.6973,2.9181,28.8422,7.274,0.6569,3.1619,6.4491,9.7819,1.9418,42.5
MXURID01,90.84,36.1,-3.3626,-1.2999,1.91,0.3566,-0.239,-0.6024,1.7341,3.0297,28.9012,7.1966,0.6625,3.1611,6.4365,9.7927,1.9795,34.9
JUNLAF,93.61,50.7,-2.9035,-1.8618,1.91,0.4318,-0.2436,-0.5364,2.1302,2.9607,28.8147,7.2712,0.6526,3.1671,6.3382,9.7706,1.9795,40.6
UVEJOV,93.47,41.9,-3.1337,-1.0853,1.91,0.4287,-0.2387,-0.5809,2.0154,2.9515,28.8407,7.2722,0.6477,3.1646,6.3658,9.7607,1.9754,38.9
UYAFOR,83.13,37.6,-4.0082,-2.7732,1.95,0.3922,-0.2159,-0.6292,2.3469,3.0018,28.8927,7.1907,0.5798,3.1683,6.2875,9.8049,1.9677,24.6
SEJLOL,77.53,48,-3.4557,-0.9178,1.94,0.3243,-0.2571,-0.4843,1.7986,2.9706,28.8783,7.2505,0.6767,3.1654,6.4512,9.8068,1.8994,38.4
NARXIN,81.79,33.7,-2.9011,-1.2692,1.93,0.3708,-0.2507,-0.5253,1.8408,2.9142,28.8435,7.2833,0.6315,3.1643,6.4185,9.7858,1.9363,39.6
DOWYEW,78.29,29,-3.2815,-0.3848,1.87,0.3159,-0.2587,0.1686,1.6469,2.934,28.8181,7.266,0.68,3.1596,6.4859,9.7888,1.9546,33.2
POXPEX,79.03,41.1,-3.2939,-0.0955,1.94,0.3029,-0.2613,-0.6229,1.6924,2.9602,28.8583,7.2902,0.6721,3.1662,6.4723,9.8094,1.9525,40.1
CUHNUR,79.38,29.6,-4.1636,-1.8441,1.9,0.2976,-0.2753,0.084,1.7351,2.9627,28.7844,7.2984,0.7125,3.1643,6.491,9.8045,1.9198,36.4
YAPFEB,96.56,41.7,-3.5509,-3.4037,1.97,0.2519,-0.2569,-0.1413,2.2596,2.9244,28.8179,7.2939,0.6636,3.1704,6.396,9.781,1.9042,36.9
XIVWUX,94.3,40.3,-3.9161,-2.3325,1.87,0.4727,-0.2145,-0.5296,2.3532,2.9592,28.9066,7.1422,0.5513,3.1666,6.2522,9.8021,1.9628,26.7
KUWMIA,84.8,39.3,-3.6766,-2.6761,1.96,0.4582,-0.2403,-0.6631,2.227,2.9459,28.8083,7.2519,0.6725,3.1682,6.3799,9.7208,1.9765,39.8
KNMYSL01,83.39,29.5,-3.3194,0.2727,1.88,0.3522,-0.2525,-0.7701,1.5993,2.9242,28.8049,7.2579,0.6611,3.1603,6.4808,9.7737,1.9687,51.2
CERSUP,75.97,44.5,-3.2617,-0.5821,1.93,0.3601,-0.2623,-0.4799,1.6854,2.9546,28.857,7.28,0.6754,3.1669,6.4655,9.7896,1.891,48.9
MAYCIB,77.73,28,-3.3102,-2.1282,1.94,0.2649,-0.2624,-0.6427,1.7846,2.9065,28.8176,7.2945,0.6534,3.1688,6.4499,9.8085,1.9382,46.9
FOLVOR,83.42,28.8,-4.175,-3.4283,1.84,0.5266,-0.2013,-0.4229,2.4404,2.9993,28.7902,7.1255,0.523,3.1632,6.2427,9.7469,1.9411,24.1
LEKTAZ,84.89,40.6,-2.8873,-1.9196,1.9,0.3301,-0.2528,-0.1026,2.0706,2.9117,28.7764,7.288,0.6202,3.1665,6.3835,9.7756,1.9372,40.4
AFAPAB,89.94,40,-1.8631,-1.4162,1.92,0.3594,-0.24,-0.8756,2.0741,2.8686,28.883,7.2973,0.5994,3.163,6.3683,9.779,1.8985,39
NIFVIK,96.47,37,-3.4823,-3.0158,1.9,0.494,-0.2318,-0.5572,2.2625,2.9599,28.7971,7.2317,0.6513,3.1684,6.3469,9.6992,1.9936,46.4
SOZHEW,106.32,48.7,-3.342,-1.1037,1.96,0.3402,-0.2467,-0.6217,1.8608,2.9368,28.8378,7.2828,0.6691,3.1661,6.3968,9.8169,1.9413,38.1
SIGMIH,80.09,29.8,-3.6433,-1.4053,1.91,0.2176,-0.2705,-0.0933,1.7457,2.9401,28.8534,7.2925,0.6722,3.1654,6.5072,9.8141,1.9702,40.5
ZUHKIW,83.75,34.9,-4.7189,-3.9286,1.92,0.4202,-0.2463,-0.0436,2.3699,3.0338,28.716,7.2571,0.7261,3.1657,6.3685,9.7191,1.9714,27.7
PANRIG,80.85,35.8,-3.1684,-0.9702,1.89,0.3684,-0.2548,-0.4584,1.6723,2.9408,28.8389,7.2756,0.6695,3.1628,6.456,9.7809,1.8829,47.4
WOJQIY,85.35,38.8,-3.9824,-3.2171,1.93,0.3312,-0.1977,-0.191,2.8511,3.023,28.9725,7.182,0.5796,3.1626,6.3048,9.7347,1.9626,22.9
PULGIO,85.3,46.7,-2.6501,-0.8082,1.93,0.3016,-0.2548,-0.1836,1.7563,2.8675,28.7965,7.3402,0.6296,3.1668,6.4233,9.8192,1.9628,46.5
QIRXIA,67.85,32,-2.8474,0.4341,1.94,0.2481,-0.2547,-0.2188,1.7979,2.9653,28.887,7.2889,0.6462,3.1604,6.4724,9.8103,1.9032,45
NADMIO,82.33,42.5,-2.8431,-1.8428,1.97,0.4025,-0.2295,-0.5673,1.9351,2.9895,28.8941,7.2811,0.6643,3.1592,6.3548,9.7871,1.9372,44
LICJIT,92.87,33.2,-4.0334,-2.4413,1.82,0.4828,-0.2107,-0.4247,2.2593,2.9935,28.8251,7.1449,0.5517,3.1624,6.2685,9.7815,1.9342,24.3
MIKDIT,92.96,35.3,-3.0377,-0.2232,1.9,0.3765,-0.2435,-0.4653,1.7412,2.9269,28.8525,7.2704,0.6664,3.1627,6.42,9.783,1.8928,38.6
SAVXAQ,102.1,40.5,-2.7496,-1.0591,1.93,0.3819,-0.242,-0.6758,1.7854,2.9266,28.8547,7.2782,0.649,3.1655,6.3943,9.7964,1.9578,36.3
WAKNUS,90.88,44.5,-4.803,-3.8036,1.94,0.3959,-0.233,-0.3639,2.4402,3.0223,28.7535,7.257,0.6496,3.1597,6.3467,9.7465,1.8629,31.7
EACHUL,91.63,35.9,-3.4398,-1.6251,1.92,0.3591,-0.2388,-0.5969,1.7512,3.0283,28.9159,7.1754,0.6615,3.1613,6.4314,9.7948,1.9802,43.3
VIVBOU01,95.94,38.8,-3.129,-0.9206,1.92,0.3895,-0.2451,-0.5713,1.8626,2.9312,28.8311,7.2646,0.6456,3.1655,6.4086,9.7839,1.9722,42.4
GLCTSM,82.16,31.3,-3.189,0.4197,1.86,0.346,-0.2558,-0.7651,1.6228,2.9248,28.8165,7.2527,0.6618,3.1615,6.4852,9.7668,1.9561,45.6
HOCKAN,81.58,33.2,-2.969,-1.4774,1.92,0.3635,-0.252,-0.5451,1.7412,2.9169,28.8831,7.2771,0.6555,3.1668,6.4407,9.7814,1.9507,41.3
HOCMIW,93.67,43.8,-3.2018,-1.3412,1.89,0.4197,-0.2415,-0.59,1.9852,2.9023,28.8485,7.2892,0.6564,3.1671,6.3701,9.7667,1.9718,41.4
ITAXAE,94.25,36.1,-3.166,-1.5852,1.9,0.4079,-0.2424,-0.593,1.9657,2.9089,28.805,7.2704,0.632,3.1653,6.3902,9.7564,1.9708,45.2
HUVWOL,81.16,42.7,-4.5025,-2.8787,1.82,0.5497,-0.2036,-0.0765,2.4039,2.9754,28.7964,7.1535,0.488,3.1781,6.2681,9.749,1.8856,26.5
BIPPEV,78.67,33.2,-3.4757,-0.8515,1.9,0.3743,-0.2578,-0.4484,1.678,2.9387,28.831,7.272,0.6815,3.1624,6.4568,9.7824,1.9163,47
TABSAQ,79.59,34,-3.1537,-0.5222,1.9,0.3622,-0.2545,-0.471,1.6993,2.9243,28.8395,7.2686,0.6597,3.1627,6.4506,9.7832,1.9092,47.1
VACLAO,81.42,28.2,-2.9304,-2.0292,1.91,0.3414,-0.2519,-0.5676,1.716,2.9113,28.8517,7.2848,0.6486,3.1635,6.4482,9.7846,1.9555,40.6
JAYCIW,85.53,31.5,-4.1596,-3.4212,1.9,0.5558,-0.1918,-0.5658,2.7312,3.021,28.8681,7.1594,0.5443,3.1621,6.2214,9.7136,1.9476,22.4
DUHRAZ,83.96,36.1,-3.6227,-3.4869,1.89,0.476,-0.2478,-0.5084,2.0994,2.9421,28.7548,7.2909,0.6865,3.1673,6.3631,9.7274,1.9489,73.8
RUYKOL01,81.55,35,-4.8529,-3.8947,1.92,0.364,-0.2628,-0.0858,2.2303,3.0037,28.6947,7.318,0.7359,3.1706,6.3962,9.7282,1.9754,31
GATBOU,95.13,36.1,-3.2594,-1.1835,1.9,0.4272,-0.2413,-0.6249,2.0024,2.9223,28.7939,7.2882,0.6514,3.1635,6.3687,9.7578,1.9754,37.6
BUYPIW,95.73,37.1,-2.9793,-2.0763,1.9,0.4365,-0.2402,-0.6104,2.1081,2.9091,28.8155,7.2697,0.6468,3.1659,6.3637,9.7394,1.9686,42.3
UWAKOU,77.86,30.1,-3.1994,-1.8504,1.95,0.2595,-0.2618,-0.702,1.7493,2.8964,28.8473,7.305,0.6497,3.1678,6.4583,9.816,1.9496,44
OJOKOP,81.84,31.6,-3.0208,-1.9794,1.94,0.3418,-0.2547,-0.5195,1.7843,2.9498,28.8917,7.2738,0.6522,3.165,6.4394,9.7834,1.9675,39.1
QALQIF,90.07,34,-3.093,-2.2233,1.89,0.3726,-0.2493,-0.4473,1.7518,2.9266,28.8522,7.2678,0.6662,3.1641,6.4256,9.7818,1.9139,43.6
LIGZEI,92.31,37.2,-3.0665,-1.3549,1.9,0.4146,-0.2418,-0.6003,1.9667,2.9055,28.8054,7.2671,0.6316,3.1657,6.3837,9.758,1.9189,45
CERQIA,99.15,33.1,-2.5261,-2.0415,1.9,0.3965,-0.2402,-0.6819,2.1372,2.8788,28.8278,7.2781,0.6086,3.1691,6.3659,9.748,1.9837,41.5
YOPPUO,82.44,28.8,-3.1835,-1.0738,1.89,0.3493,-0.2528,-0.5828,1.643,2.9248,28.8438,7.2687,0.6679,3.1597,6.4715,9.7783,1.952,42
DIFQUF,104.36,43.2,-2.3972,-2.4211,1.88,0.4679,-0.2377,-0.859,2.4846,2.8855,28.7367,7.2752,0.6026,3.1706,6.3192,9.6891,1.9395,36.6
CIHQIT,83.88,35.5,-5.3429,-4.9721,1.95,0.4784,-0.1915,0.1321,2.6373,3.078,28.7618,7.24,0.8299,3.183,6.3516,9.6552,1.9928,31.1
HXPYRR,79.41,34,-3.2832,-1.1708,1.9,0.3808,-0.2555,-0.4715,1.6397,2.9458,28.8252,7.2713,0.6755,3.1607,6.4473,9.7823,1.8792,88.1
XUYRAM,105.82,36.6,-4.5968,-3.8684,1.86,0.6142,-0.1855,-0.5506,2.6365,2.9727,28.8073,7.1551,0.5114,3.172,6.2245,9.7004,1.9697,31.4
KABRUD,89.56,36.1,-2.232,-1.4479,1.92,0.3808,-0.2427,-0.8682,2.1699,2.8924,28.8355,7.2945,0.6083,3.163,6.3769,9.7505,1.8857,42.7
ELOWUX,95.67,44.7,-3.1927,-1.4438,1.92,0.4194,-0.238,-0.5547,1.9282,2.979,28.8534,7.2418,0.6515,3.1656,6.3688,9.7784,1.9366,44
TEVMUD,95.88,40.9,-2.8661,-1.4914,1.86,0.443,-0.2447,-0.6812,2.1605,2.9101,28.7898,7.2834,0.6276,3.1675,6.3298,9.7482,1.9535,60.9
VEHWIO,91.81,36.7,-3.0865,-1.0621,1.94,0.3843,-0.2253,-0.6087,1.87,3.0264,28.8976,7.2302,0.6164,3.1676,6.3868,9.7972,1.96,39.2
NUXROQ,98.19,43.9,-3.4157,-1.9912,1.89,0.4734,-0.2359,-0.5915,2.1728,2.9416,28.7876,7.2579,0.6592,3.1651,6.3393,9.7331,1.9783,41.1
GUZNAR,95.79,40.6,-3.5571,-2.2965,1.89,0.4846,-0.2412,-0.574,2.2362,2.9313,28.7948,7.2699,0.6448,3.1669,6.3367,9.7305,1.9774,39
BONWIM,96.16,34,-3.1657,-0.8523,1.91,0.3836,-0.2447,-0.4799,1.825,2.917,28.8447,7.2703,0.6601,3.1641,6.4155,9.7778,1.9608,43.2
VILSOB,83.94,28.3,-4.2811,-3.5162,1.81,0.5352,-0.1999,-0.388,2.3511,3.0076,28.743,7.141,0.5252,3.1636,6.2624,9.7406,1.9219,26.7
LICVIE,94.68,32.2,-4.0094,-3.1335,1.87,0.5096,-0.2094,-0.4747,2.3524,2.9798,28.8342,7.1742,0.5756,3.1662,6.2557,9.769,1.8869,25.4
MEBXUO,96.38,34.7,-3.2979,-1.2657,1.89,0.4077,-0.2418,-0.594,1.995,2.9167,28.8082,7.2587,0.6339,3.1664,6.3819,9.7606,1.9748,40.5
YONLUJ,80.19,37.4,-3.0126,-1.8094,1.91,0.3963,-0.246,-0.4516,1.7543,2.9491,28.8928,7.2583,0.6761,3.1608,6.418,9.7804,1.894,44.3
XOSRUV,82.84,41.4,-3.926,-2.7452,1.9,0.4012,-0.2166,-0.4703,2.4228,3.0099,28.8983,7.1113,0.5544,3.1679,6.2821,9.794,1.9575,25.3
ANONIC,79.83,35.8,-3.0772,-1.4141,1.93,0.3805,-0.2449,-0.5512,1.8485,3.0028,28.8683,7.2547,0.6763,3.1626,6.4109,9.7808,1.9752,49.6
HULGIE01,91.62,51.7,-4.0459,-2.2929,1.96,0.2653,-0.2546,-0.1059,2.2113,2.9985,28.9067,7.2461,0.7007,3.1643,6.379,9.8279,1.9575,35.4
GLYPRB,78.34,34.3,-3.2933,-1.0569,1.9,0.3821,-0.2578,-0.4657,1.653,2.9597,28.8301,7.2744,0.6813,3.1601,6.4493,9.7803,1.8761,79.8
SPGLUC01,89.26,35.5,-1.342,0.796,1.89,0.2189,-0.2435,-0.8786,2.0502,2.8943,29.1142,7.2318,0.6382,3.1685,6.4786,9.7572,1.9537,7.5
ZEFBOD,85.86,39.2,-4.8337,-4.0461,2,0.4243,-0.17,-0.109,2.856,3.0892,28.8856,7.14,0.557,3.1593,6.2978,9.6992,1.969,27.6
LUBKOL,87.14,30.4,-4.6322,-3.9505,1.93,0.6222,-0.1664,-0.5556,2.9383,3.0702,28.8539,7.1371,0.5889,3.1536,6.2105,9.6477,1.9489,23.6
BUXNOY,88.82,40.1,-3.0233,-0.5431,1.91,0.3896,-0.2449,-0.5239,1.929,2.9476,28.905,7.2371,0.6496,3.1654,6.3845,9.7842,1.9019,42.3
NELFOC,83.72,30.8,-3.1001,-0.7889,1.9,0.3496,-0.2522,-0.5858,1.6671,2.9225,28.8533,7.2765,0.6617,3.1601,6.4613,9.7828,1.955,41.2
NATDUK,79.02,29.5,-3.3888,-0.9273,1.9,0.3584,-0.2575,-0.4536,1.6337,2.9235,28.8293,7.2747,0.6646,3.1623,6.4742,9.7814,1.91,45.4
EFABIX,80.03,28.5,-3.1835,-0.557,1.88,0.3477,-0.2552,-0.4586,1.6463,2.9327,28.8478,7.2614,0.677,3.16,6.4766,9.775,1.9213,45.3
APESIZ,75.88,31.1,-3.5263,-1.3089,1.89,0.2064,-0.2693,0.1299,1.7062,2.9215,28.8477,7.2759,0.6567,3.1665,6.5253,9.8077,1.9793,41.5
TOJLAF,93.09,39,-3.0958,-1.5581,1.89,0.4106,-0.2437,-0.5884,1.9746,2.9221,28.8201,7.2634,0.6418,3.1667,6.3863,9.757,1.9711,38.4
MOFJIA,84.22,31.4,-4.0605,-3.1591,1.94,0.4232,-0.2135,-0.4945,2.4493,2.9848,28.8463,7.2198,0.5793,3.1657,6.2833,9.7666,1.976,22.4
YATCIH,96.19,49.4,-2.9157,-2.4372,1.94,0.4867,-0.2338,-0.5605,2.2342,2.9321,28.86,7.2591,0.6453,3.1671,6.3285,9.7366,1.9621,35.5
JIXMEL,89.94,37.9,-4.162,-2.1681,1.93,0.3758,-0.1522,-0.6489,2.0137,3.1599,28.8553,7.1112,0.5879,3.158,6.3205,9.8379,1.9852,11.8
WELYAN,86.69,28.7,-4.4127,-3.6343,1.81,0.5406,-0.1891,-0.5304,2.5286,3.0322,28.7998,7.1261,0.5475,3.1579,6.232,9.7348,1.9932,21.1
GUKWAM,95.84,34.5,-3.0805,-2.0687,1.89,0.42,-0.2431,-0.6127,2.1111,2.9128,28.8227,7.249,0.6337,3.1663,6.3788,9.7394,1.9664,41.3
LONPEK,82.7,42.4,-3.0967,-1.7846,1.93,0.4023,-0.2462,-0.5526,1.9655,2.9427,28.8696,7.292,0.6571,3.1636,6.3951,9.7761,1.9445,41.4
CHMPIP,78.89,34.2,-3.278,-1.114,1.9,0.3802,-0.2564,-0.4615,1.6482,2.9565,28.8298,7.2675,0.679,3.1601,6.4499,9.7805,1.9438,78.3
GEVWIQ,79.05,34.7,-3.1681,-0.949,1.9,0.3768,-0.2559,-0.4706,1.6822,2.9657,28.8473,7.27,0.6841,3.1603,6.4443,9.7816,1.9622,45.2
DARRIX,80.5,30.2,-3.2626,-1.232,1.92,0.3521,-0.2475,-0.5662,1.7669,2.9748,28.9099,7.2555,0.6688,3.1627,6.4449,9.7828,1.9744,36.2
ROCMOO,95.43,34.8,-4.015,-2.7584,1.81,0.4963,-0.2098,-0.4323,2.2894,2.991,28.8255,7.1362,0.5631,3.1625,6.2665,9.7711,1.9699,26.4
MBCHPA,78.92,34.4,-3.2457,-1.0256,1.9,0.3789,-0.2567,-0.4705,1.6695,2.9553,28.8394,7.2752,0.6779,3.1601,6.447,9.7808,1.8958,45.9
DAPTIA,83.35,33.5,-3.5545,-2.1917,1.92,0.2187,-0.265,-0.1189,2.0377,2.9493,28.88,7.2744,0.6597,3.1669,6.4652,9.7932,1.9658,40.3
QADNIU,87.29,30.4,-4.4724,-3.864,1.88,0.6079,-0.1707,-0.543,2.9007,3.0636,28.8508,7.1478,0.5757,3.155,6.2134,9.6608,1.9774,22.7
WUKNUN,90.12,37.8,-4.1439,-2.0688,1.93,0.3725,-0.1515,-0.6488,2.0046,3.16,28.8543,7.113,0.5848,3.1579,6.3221,9.8397,1.986,12.4
KGLUCP02,90.35,31.3,-1.6811,0.7591,1.89,0.2523,-0.2333,-0.8351,1.9692,2.878,29.0275,7.2498,0.6562,3.1605,6.4593,9.7667,1.9523,52.5
AZDCAR01,82.13,35.4,-4.7775,-4.2235,1.96,0.4905,-0.2426,-0.6172,2.3112,2.9612,28.649,7.3572,0.7433,3.1721,6.3539,9.6835,1.9757,32.7
PUVQUU,79.16,39.2,-2.9601,-2.1892,1.92,0.4491,-0.2367,-0.542,2.1471,2.931,28.8908,7.2508,0.6597,3.1598,6.3549,9.7504,1.9364,43
LEYXUK,94.53,33.1,-2.9318,-1.8869,1.93,0.3827,-0.243,-0.5118,1.9276,2.9029,28.8563,7.273,0.6356,3.1676,6.4025,9.7695,1.9018,42.8
UROTIG,81.45,30,-3.3105,-1.0209,1.9,0.349,-0.2551,-0.4682,1.6302,2.9282,28.8446,7.2723,0.6675,3.162,6.4699,9.7812,1.8996,48.3
BUFPIB,87.1,28.7,-4.5325,-3.7368,1.79,0.5505,-0.186,-0.4998,2.517,3.0416,28.7636,7.1366,0.5468,3.1593,6.2369,9.7259,1.9825,20.3
BUBMUI,97.24,48.8,-2.3735,-0.7834,1.97,0.2358,-0.2292,-0.1576,1.9293,2.9764,28.9276,7.2127,0.6491,3.1631,6.4108,9.8461,1.979,53.4
XAMCEW,79.06,27.6,-3.2772,-0.4609,1.88,0.3419,-0.2571,-0.4614,1.6385,2.9321,28.8465,7.2618,0.6704,3.1606,6.4885,9.7732,1.8878,47.5
AKIVUO,96.29,38.8,-3.2669,-2.2284,1.91,0.4329,-0.2392,-0.6071,2.0074,2.946,28.8212,7.2711,0.6552,3.1624,6.3666,9.7606,1.9757,36.7
MENTUX,79.84,28.7,-3.8615,-1.8434,1.88,0.3023,-0.2668,-0.5583,1.711,2.9411,28.8379,7.2866,0.6953,3.1655,6.5088,9.7875,1.9533,39.4
DEFNEI,93.51,35,-3.7178,-2.4493,1.95,0.3449,-0.2516,-0.6105,1.9318,2.9376,28.8927,7.2888,0.6881,3.1678,6.4349,9.7954,1.9799,43.5
BACCER,94.79,40.7,-3.1092,-1.3129,1.91,0.4025,-0.24,-0.5799,1.9418,2.9549,28.8543,7.2371,0.6459,3.1641,6.3874,9.7661,1.9721,34.8
WOBNAD,81.9,35.1,-3.5327,-1.8609,1.91,0.227,-0.2614,-0.1013,1.9015,2.9481,28.8621,7.2627,0.671,3.165,6.4829,9.8073,1.9755,37.6
RIZWEF,81.1,32.1,-3.5625,-1.3059,1.88,0.3844,-0.2565,-0.5647,1.6743,2.9482,28.8287,7.259,0.6856,3.1595,6.469,9.7748,1.9581,43.4
QOCFUM,79.68,29.4,-3.1404,-1.0871,1.9,0.3397,-0.2542,-0.5876,1.6909,2.9517,28.9002,7.2596,0.6749,3.16,6.4688,9.7776,1.9407,39.1
CAHJIG,79.3,28,-3.3185,-0.3099,1.86,0.3499,-0.257,-0.4437,1.6095,2.951,28.8308,7.2458,0.6799,3.159,6.4973,9.7663,1.9177,47.2
TUNTIF,82.86,44.7,-4.3068,-2.6152,1.85,0.5153,-0.225,-0.4512,2.0729,3.0573,28.8578,7.1937,0.7492,3.1574,6.3268,9.7753,1.9306,43.1
IFOVUU,87.26,40.1,-3.6868,-1.9753,1.86,0.3707,-0.2429,-0.1403,1.9434,2.9673,28.7758,7.2392,0.6814,3.1571,6.4355,9.7542,1.9837,44
DABJIZ,81.41,33.1,-3.0132,-0.4345,1.91,0.3581,-0.2534,-0.4724,1.681,2.913,28.8469,7.2704,0.6492,3.1634,6.4458,9.7857,1.8957,50.5
DLHTDA10,79.35,28.5,-3.2687,-0.4287,1.88,0.3438,-0.2566,-0.4622,1.6382,2.9343,28.8454,7.2602,0.6694,3.1605,6.486,9.7734,1.9681,48.2
IKIJAP,74.69,44.8,-3.3824,-0.785,1.91,0.3413,-0.2653,-0.6092,1.7424,2.9741,28.8437,7.2833,0.6886,3.1641,6.4818,9.7881,1.9681,43.7
XOLZOP,81.82,29,-2.9236,-1.1574,1.91,0.3476,-0.2534,-0.5326,1.7338,2.9142,28.8561,7.2869,0.6534,3.162,6.447,9.7838,1.9471,40.4
GOJBOY,96.51,42.9,-2.9048,-0.9101,1.9,0.3977,-0.235,-0.6206,1.9397,2.9123,28.8408,7.2505,0.6284,3.1652,6.3847,9.7762,1.9795,38.6
BOCNIR,85.99,28.5,-3.9856,-3.0501,1.8,0.5106,-0.2023,-0.5102,2.4004,2.9958,28.7769,7.1464,0.5195,3.1637,6.2528,9.7531,1.9419,21.3
ARERUL,95.3,50,-3.2912,-1.9639,1.9,0.5064,-0.2326,-0.6328,2.2706,2.9572,28.8881,7.2278,0.6563,3.1631,6.3134,9.7187,1.9708,43.1
BOQVEL,95.61,37.8,-3.1496,-1.4066,1.9,0.4039,-0.2471,-0.5978,2.0178,2.9104,28.8484,7.2697,0.6358,3.1678,6.3812,9.7666,1.9657,48
IFOTIJ,84.63,54.7,-4.9589,-4.9885,1.9,0.4757,-0.139,-0.1374,3.4613,2.9995,29.0851,7.1744,0.7694,3.1589,6.3086,9.5319,1.8583,26.3
NEQJEY,81.58,33.7,-3.0255,-1.1312,1.93,0.3492,-0.252,-0.5618,1.7941,2.9634,28.8802,7.2653,0.6454,3.1643,6.4309,9.7862,1.9668,38.1
DUZMIV,80.95,30.6,-3.305,-0.7374,1.91,0.3401,-0.2561,-0.4678,1.6577,2.9685,28.8654,7.2593,0.6591,3.1638,6.4705,9.7813,1.8749,48.4
TUSLOJ,81.15,31.7,-3.525,-1.8882,1.91,0.3785,-0.2573,-0.5204,1.5973,2.9321,28.8347,7.2899,0.6886,3.1623,6.4681,9.7856,1.9599,45.3
