Ligand,Bite Angle (°),% Buried Volume (3.5A),HOMO Energy (eV),LUMO Energy (eV),Cu-L2 (A),Lowdin Charge (Cu),Lowdin Charge (N),Lowdin Charge (L1),Bonded Valence (Cu),Bonded Valence (N),Atomic Population (Cu),Atomic Population (N),Bond Order (Cu-N),Orbital Charge N(s),Orbital Charge Cu(s),Orbital Charge Cu(d),Orbital Charge Cu(dxz),Ea
QAJKET,84.16,36.2,-3.0169,0.1779,2.01,0.2747,-0.2465,-0.6084,1.7392,2.9619,28.7912,7.2798,0.6316,3.1648,6.4131,9.8312,1.917,46.4
BULQUX,85.42,33.7,-4.5587,-3.2914,1.96,0.5347,-0.1979,0.1657,2.4411,2.9918,28.8103,7.2271,0.5619,3.169,6.2795,9.7538,1.9267,29.1
MERYUE,64.28,29.2,-2.9765,-2.094,2.1,0.3784,-0.2596,-0.5709,1.758,2.9121,28.9528,7.316,0.6784,3.1627,6.4342,9.8064,1.9543,42.7
XIFYAN,62.4,24.7,-3.1192,-1.1493,2.08,0.3765,-0.2586,-0.5737,1.659,2.9212,28.8615,7.3286,0.6748,3.1605,6.4457,9.8175,1.9136,38.1
HICHIN,96.81,33.4,-4.1513,-2.3106,2.01,0.5022,-0.2271,-0.4472,1.9364,3.0816,28.7772,7.2254,0.7083,3.1625,6.2905,9.8102,1.9835,31.1
EQICOY,91.25,37.5,-3.0905,-0.802,2.03,0.395,-0.212,-0.7782,1.783,3.0179,28.7923,7.2514,0.6191,3.1661,6.3403,9.8304,1.9576,46.6
AMITDZ,85.38,31.2,-3.161,-1.0388,2.04,0.2019,-0.2659,-0.1572,1.8006,2.8923,28.8136,7.3269,0.6275,3.1675,6.426,9.8655,1.956,42.7
PUVRAZ,62.56,26.3,-3.0972,0.1804,2.1,0.3819,-0.2577,-0.6106,1.6639,2.9203,28.8637,7.3242,0.6726,3.1601,6.4405,9.815,1.9108,37.6
VELZOB,94.13,31.5,-2.8457,-1.7836,1.99,0.273,-0.2521,-0.3941,1.8729,2.8799,28.754,7.2889,0.591,3.1704,6.4027,9.8063,1.9559,49.6
GUFDOB,85.45,31.9,-3.9277,-3.0359,1.98,0.475,-0.2301,-0.4673,1.8105,3.0537,28.7459,7.2333,0.7094,3.163,6.3188,9.8109,1.9835,27.9
EVOWIV,62.35,24.8,-3.1524,-1.1783,2.08,0.3806,-0.2587,-0.5799,1.639,2.9225,28.8421,7.3292,0.6772,3.1606,6.444,9.8174,1.9139,38.6
OKUFEI,96.35,49.9,-1.8763,-0.202,2.04,0.3619,-0.2373,-0.8604,1.9463,2.9005,28.9416,7.2788,0.6547,3.1685,6.3482,9.8173,1.9651,51.8
OYUGIA,79.32,38.8,-3.5445,-2.3524,2,0.3737,-0.2459,-0.0483,1.7846,2.9774,28.7471,7.2835,0.6927,3.1598,6.383,9.8207,1.9608,32.6
ATEYIJ,75.44,44.3,-3.9883,-2.9197,2.05,0.3811,-0.2352,-0.0348,2.2592,2.9465,28.7532,7.2424,0.631,3.1656,6.3321,9.7616,2.0014,32.4
OGUSUG,62.44,24.5,-3.1111,-0.6017,2.09,0.3757,-0.2586,-0.5873,1.6576,2.9233,28.8597,7.3294,0.6758,3.1605,6.4453,9.818,1.9213,39
GUZMUK,88.41,36.1,-4.1424,-3.5802,1.98,0.5092,-0.2446,-0.5457,1.9978,2.9839,28.6873,7.2829,0.7062,3.1648,6.3105,9.7607,1.9665,32.7
OFUHAB,93.76,37.6,-3.9224,-2.81,2.01,0.5047,-0.2341,-0.5952,2.0313,3.0772,28.7584,7.27,0.7025,3.1653,6.3086,9.7717,1.9572,30.9
GLYALB25,97.45,35.5,-3.1909,-1.041,1.99,0.4075,-0.2428,-0.6803,1.7078,2.9561,28.7476,7.294,0.6554,3.1641,6.3396,9.8366,1.9523,31.6
JOWZUQ,97.77,45,-3.0949,-1.6869,2.03,0.4575,-0.24,-0.7672,1.9413,2.9432,28.8815,7.2748,0.6639,3.1657,6.3417,9.7837,1.9744,36.6
